md_only_bins,model_only_bins
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
True,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,True
False,True
False,True
True,False
False,False
True,False
True,False
False,False
True,False
True,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,True
False,True
False,False
False,False
False,False
True,False
True,False
True,False
True,False
True,False
True,False
True,False
False,False
True,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,True
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,True
True,False
False,False
False,False
True,False
True,False
True,False
False,False
True,False
True,False
True,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,True
True,False
False,True
False,True
False,False
False,False
False,False
False,False
False,True
True,False
False,False
False,False
False,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
True,False
True,False
True,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,True
False,False
False,True
False,False
False,False
True,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
True,False
True,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,True
False,True
False,False
False,True
False,True
False,True
False,False
False,True
False,False
False,False
False,True
False,True
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
True,False
False,False
False,False
True,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,True
False,False
False,True
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,True
False,False
False,False
False,False
False,True
False,True
False,True
False,True
False,True
False,False
False,True
False,False
False,True
False,True
False,True
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,True
False,True
False,True
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,True
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
False,False
