tcr_name,BA_unbound,BC1_unbound,AC1_unbound,BC2_unbound,AC2_unbound,dc_unbound,alpha_cdr3_bend_deg_unbound,alpha_cdr3_apex_height_A_unbound,beta_cdr3_bend_deg_unbound,beta_cdr3_apex_height_A_unbound,BA_bound,BC1_bound,AC1_bound,BC2_bound,AC2_bound,dc_bound,alpha_cdr3_bend_deg_bound,alpha_cdr3_apex_height_A_bound,beta_cdr3_bend_deg_bound,beta_cdr3_apex_height_A_bound,germline_label,germline_collapsed
1ao7,-67.68747901812054,102.1082959292329,-109.41560485625692,-161.0718076909287,150.80335225710957,26.03955310810724,149.13119522211275,15.993309075368384,171.27385300392882,19.258138857048547,-62.92829241867477,106.98147149975472,-108.04723320673476,-159.82632182440304,148.0895047876545,26.81791296141771,138.5965700042833,15.60390892270663,164.25231414635078,18.66449763475887,TRAV12-2*01-TRAJ24*02|TRBV6-5*01-TRBJ2-7*01,TRAV12-2*01-TRAJ24*02|TRBV6-5*01-TRBJ2-7*01
1mi5,-71.47237487999392,106.24111166158985,-103.11163715749308,-157.85873794231242,148.54266470526102,26.43770025087549,149.53259453764912,20.56229391287681,157.52887505230524,16.008043524840993,-72.43172705662364,105.71653549254347,-102.0166528770515,-158.75733094497542,148.98695649450053,26.493672341208725,153.6998655981888,17.09240343493073,146.90603458110752,14.44367573286713,TRAV26-2*01-TRAJ52*01|TRBV7-8*01-TRBJ2-7*01,TRAV26-2*01-TRAJ52*01|TRBV7-8*01-TRBJ2-7*01
1mwa,-68.72288965287227,105.12307452121763,-111.0557006254296,-157.79092480430964,150.5920052361521,26.064889349747897,151.1340448068014,15.948508370999877,155.96178796147882,14.137315435873,-66.58179572337404,104.59303468087529,-109.46412823237114,-160.35256022225013,150.27371381565717,26.03045730716716,167.10783310279658,13.476755375828713,161.41997754930213,14.200014799803286,TRAV9-4*01-TRAJ35*02|TRBV13-2*01-TRBJ2-4*01,TRAV9-4*01-TRAJ35*02|TRBV13-2*01-TRBJ2-4*01
1oga,-68.15969153489132,105.14333903617785,-106.28933253680373,-159.48917960743427,151.38618314450895,25.75541864745725,178.04841355556312,15.461302105186071,158.93930885614657,16.897732145897308,-57.79711019001297,107.17989447892148,-104.98145757832005,-157.2789974946498,151.15509090537455,26.06673568211063,169.19697642156007,10.543154561376683,171.95265970729406,14.384107482171038,TRAV27*01-TRAJ42*01|TRBV19*01-TRBJ2-7*01,TRAV27*01-TRAJ42*01|TRBV19*01-TRBJ2-7*01
2bnr,-61.884140933474725,105.77777108151588,-111.47872689307798,-161.46163326427236,145.91146527331887,26.17018435622872,178.7325939418704,18.614369689131895,166.4972989774825,16.937552734403294,-59.41332959820237,107.26343064100263,-109.16689543712994,-159.97944675688393,143.9291655453178,26.532370839869976,162.74126405441876,15.64225976467848,170.95957054358644,15.855218579802004,TRAV21*01-TRAJ6*01|TRBV6-5*01-TRBJ2-2*01,TRAV21*01-TRAJ6*01|TRBV6-5*01-TRBJ2-2*01
2ckb,-68.72311438588704,105.12272570840986,-111.0553862136732,-157.79159304943516,150.5921351542554,26.06487476455553,151.1511946813739,15.948717343310696,155.98826648687225,14.137529867665265,-68.33413626389152,103.62246392812955,-109.79813973155312,-160.01950588251606,149.6157620836579,25.95297964003054,153.43641781426516,13.017037715813712,160.64631441099084,14.092431791976749,TRAV9-4*01-TRAJ35*02|TRBV13-2*01-TRBJ2-4*01,TRAV9-4*01-TRAJ35*02|TRBV13-2*01-TRBJ2-4*01
2iam,-65.0604936343418,107.70680915394144,-109.58597731091244,-157.4022467532838,147.62700742876746,25.736038961230637,172.05644245921803,16.223794717138986,168.4170037699896,14.09336273549387,-55.89016405475809,108.90711647506168,-108.7023295538027,-157.85635304735288,146.10020268145172,26.042155211186945,168.65380557646324,15.923619114279374,167.88937990282813,14.948777086052262,TRAV22*01-TRAJ54*01|TRBV6-6*01-TRBJ1-3*01,TRAV22*01-TRAJ54*01|TRBV6-6*01-TRBJ1-3*01
2ian,-65.06114620498487,107.70651322583757,-109.58621342577464,-157.40274803846089,147.62691755194572,25.736022919710187,172.0572174494447,16.22254372387113,168.39630021939422,14.093195732616577,-56.04904187735899,108.60731018489014,-109.12914186871616,-157.6001519082492,147.02599856050546,25.75011701614328,170.32377747503529,15.901220708482626,175.96171326126444,14.976691510243128,TRAV22*01-TRAJ54*01|TRBV6-6*01-TRBJ1-3*01,TRAV22*01-TRAJ54*01|TRBV6-6*01-TRBJ1-3*01
2nx5,-72.7173581299341,104.92629964178758,-105.6826184741798,-160.32039601234462,152.12414351070646,26.253209022392426,152.05574249462938,15.338774045690672,141.1120221748315,16.36975956461352,-68.64614485985383,104.09035986009087,-108.10313821213212,-158.4220386031594,151.19223646631633,26.26427125003925,169.73310690383516,14.163979584710154,144.38559252670632,15.622203139641352,TRAV1-2*01-TRAJ6*01|TRBV10-3*01-TRBJ1-5*01,other
2oi9,-68.72283513258056,105.12339106265597,-111.05536058000784,-157.79061530716382,150.59242727437572,26.064817273997534,151.1333168011854,15.948327742105688,155.97536163617417,14.136535216975018,-67.04174425687233,104.25796724632136,-106.88414633286034,-161.29191874892246,149.95133205623324,26.00749589680301,133.44125972738345,13.115797084314265,153.15487310048502,13.611981434121816,TRAV9-4*01-TRAJ35*02|TRBV13-2*01-TRBJ2-4*01,TRAV9-4*01-TRAJ35*02|TRBV13-2*01-TRBJ2-4*01
