feature,N,n_groups,SS_total,SS_between,SS_within,eta2
d_alpha_mhc,149,65,9349.794855453625,9346.902248695207,2.892606758417969,0.9996906235053136
d_beta_mhc,149,65,23784.39613039441,23770.480022005202,13.916108389206784,0.9994149059613322
phi_pc1A,149,65,317518.7575031563,316618.96034425404,899.7971589022782,0.9971661606199963
phi_rA,149,65,346391.4630693076,344963.0061715997,1428.4568977078889,0.9958761775332146
theta_rB,149,65,13724.568370602094,13645.671927714277,78.8964428878171,0.9942514445075874
theta_pc1B,149,65,36203.924713767425,35982.32401434961,221.60069941781694,0.9938790973307502
theta_rA,149,65,12309.185936888896,12199.093181938932,110.09275494996473,0.9910560490746969
theta_pc1A,149,65,33510.52710436437,32962.19534906689,548.331755297484,0.9836370298327516
AC1,149,65,1502.6366548881404,1477.7636971158026,24.872957772337713,0.9834471242988616
phi_pc1B,149,65,99997.15648764174,98269.87242614235,1727.284061499391,0.9827266682156821
beta_cdr3_apex_height_A,149,65,359.66397684882276,352.77255617777786,6.891420671044898,0.9808392802319995
phi_rB,149,65,67329.7097386838,65444.58300234609,1885.126736337712,0.9720015615149069
BC1,149,65,939.9136311681741,912.6486008824245,27.265030285749617,0.9709919833252517
BC2,149,65,561.1397697736036,543.34094139029,17.79882838331355,0.9682809357987678
BA,149,65,4139.353748260173,3956.7528789163557,182.60086934381752,0.9558866237463838
AC2,149,65,1050.8023999976324,988.7886162600084,62.01378373762395,0.940984352778635
alpha_cdr3_apex_height_A,149,65,465.01925217577434,437.5267364598691,27.492515715905256,0.940878758057283
beta_cdr3_bend_deg,149,65,759372.4800287388,696259.7384631549,63112.74156558397,0.916888294973245
dc,149,65,23.287205706115557,21.074922572381823,2.2122831337337345,0.9050000604772964
d_alpha_beta,149,65,23.287205706115557,21.074922572381823,2.2122831337337345,0.9050000604772964
beta_cdr3_apex_resi,143,61,273.35664335664336,244.41616716616716,28.940476190476204,0.8941292377785086
alpha_cdr3_apex_resi,143,62,324.20979020979024,268.0232822732825,56.186507936507724,0.8266970658099175
alpha_cdr3_bend_deg,149,65,1262436.0627001037,707515.508783312,554920.5539167917,0.5604367062123327
