TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row0_cand000029,openmm,811.712507468541,AB,MP,P,M,MP_AB,M_P,-35.83315793033478,-35.83315793033478,1761.1249393889934,959.2660037191274,959.2660037191274,1968.8116503671201,-35.83315793044153,-34019.78127804495 kJ/mol
Binding_donor1_row1_cand000034,openmm,816.4829150499584,AB,MP,P,M,MP_AB,M_P,-31.769744633306573,-31.769744633306573,1808.035860239003,960.9859453737096,960.9859453737096,1885.8282179947782,-31.76974463344459,-34252.9576289042 kJ/mol
Binding_donor1_row2_cand000033,openmm,817.4798599253512,AB,MP,P,M,MP_AB,M_P,-40.931427215275335,-40.931427215275335,1883.519488703221,965.602934199378,965.602934199378,1943.1784960922885,-40.931427214969176,-33816.1581156361 kJ/mol
Binding_donor1_row3_cand000023,openmm,837.8680423208973,AB,MP,P,M,MP_AB,M_P,-32.829302640643505,-32.829302640643505,1621.0323946366727,961.6186165009317,961.6186165009317,1997.8700404485564,-32.8293026402896,-33825.349336472034 kJ/mol
Binding_donor1_row4_cand000008,openmm,828.8521186664278,AB,MP,P,M,MP_AB,M_P,-28.045499300325105,-28.045499300325105,1801.5850457534423,960.9124409501019,960.9124409501019,1991.1275542954218,-28.04549930054634,-33969.13325701278 kJ/mol
Binding_donor1_row5_cand000016,openmm,765.2528687272672,AB,MP,P,M,MP_AB,M_P,-34.116567969202265,-34.116567969202265,1817.639088419514,961.1073168849866,961.1073168849866,1988.5903032271372,-34.11656796938371,-33742.75772310947 kJ/mol
Binding_donor1_row6_cand000014,openmm,-338.77164144101994,AB,MP,P,M,MP_AB,M_P,-48.67141184958854,-48.67141184958854,2089.3431343965235,-67.79385069124272,-67.79385069124272,1829.7217933915608,-48.671411849668175,-53917.881296184874 kJ/mol
Binding_donor2_row10_cand000011,openmm,888.8026653673787,AB,MP,P,M,MP_AB,M_P,-28.903567645051567,-28.903567645051567,1912.128010473683,968.8682571094441,968.8682571094441,1965.8038042333649,-28.90356764532021,-28318.814188505246 kJ/mol
Binding_donor1_row9_cand000001,openmm,813.7646404163122,AB,MP,P,M,MP_AB,M_P,-40.004485522198934,-40.004485522198934,1912.629812026178,977.3162795458397,977.3162795458397,1955.4804842315555,-40.004485522501454,-32439.45983896578 kJ/mol
Binding_donor2_row13_cand000005,openmm,-258.1582982243997,AB,MP,P,M,MP_AB,M_P,-44.81225581898093,-44.81225581898093,1980.0743453574469,-66.49243522445677,-66.49243522445677,1880.4124458118026,-44.812255818568445,-54355.3655302764 kJ/mol
Binding_donor2_row11_cand000017,openmm,822.2063474896833,AB,MP,P,M,MP_AB,M_P,-25.27150746184725,-25.27150746184725,1741.2173803889334,964.8353663262938,964.8353663262938,1962.2076657864047,-25.271507461829856,-30627.93507562366 kJ/mol
Binding_donor2_row14_cand000019,openmm,825.9048774051463,AB,MP,P,M,MP_AB,M_P,-26.425097884617003,-26.425097884617003,1670.9395726342038,978.4189160402892,978.4189160402892,1938.7585932664624,-26.42509788475661,-32519.19755655358 kJ/mol
Binding_donor2_row15_cand000002,openmm,906.5291055045977,AB,MP,P,M,MP_AB,M_P,-41.15516259605863,-41.15516259605863,2048.7162676398098,968.4960209656377,968.4960209656377,1941.4643965983764,-41.15516259625349,-35927.41271421676 kJ/mol
Binding_donor2_row16_cand000013,openmm,761.9045567955203,AB,MP,P,M,MP_AB,M_P,-39.03015418777022,-39.03015418777022,1877.7295877417882,963.8597824881163,963.8597824881163,1961.5278173791494,-39.03015418773032,-35497.52571948909 kJ/mol
Binding_donor2_row18_cand000027,openmm,818.742017662069,AB,MP,P,M,MP_AB,M_P,-32.965088270260935,-32.965088270260935,1829.5111127582975,961.9054956600626,961.9054956600626,1949.4575158803195,-32.96508827027628,-33840.172180296584 kJ/mol
Binding_donor2_row17_cand000021,openmm,753.053345386726,AB,MP,P,M,MP_AB,M_P,-29.207332501172118,-29.207332501172118,1741.6520837279631,956.2165945041287,956.2165945041287,1967.6542798765183,-29.207332501073893,-33590.80678003855 kJ/mol
Binding_donor2_row19_cand000030,openmm,763.3142725205306,AB,MP,P,M,MP_AB,M_P,-32.881892765241446,-32.881892765241446,1747.3930223861137,958.8044400344609,958.8044400344609,1931.2414756921607,-32.88189276508308,-34251.02431501936 kJ/mol
Binding_donor2_row20_cand000024,openmm,860.2590928747187,AB,MP,P,M,MP_AB,M_P,-33.994865873325125,-33.994865873325125,1899.1816312605408,965.460844147558,965.460844147558,2035.7595715915356,-33.99486587347542,-34106.448598283365 kJ/mol
Binding_donor2_row21_cand000015,openmm,852.1683555208144,AB,MP,P,M,MP_AB,M_P,-34.028421657217336,-34.028421657217336,2056.102190753495,961.813582835129,961.813582835129,1985.9498295083795,-34.02842165736638,-34008.535275166214 kJ/mol
Binding_donor2_row22_cand000025,openmm,811.3140361880917,AB,MP,P,M,MP_AB,M_P,-29.472730926732197,-29.472730926732197,1691.771977726385,955.7358335209501,955.7358335209501,1900.224958059308,-29.472730927040857,-33882.676163989716 kJ/mol
Binding_donor2_row24_cand000031,openmm,787.2533477491145,AB,MP,P,M,MP_AB,M_P,-37.007522291854,-37.007522291854,1791.601669347807,966.2589203421821,966.2589203421821,1956.6180975950244,-37.00752229135503,-33773.79003165472 kJ/mol
Binding_donor2_row23_cand000022,openmm,799.7302441114098,AB,MP,P,M,MP_AB,M_P,-31.684081626800662,-31.684081626800662,1841.4135911532742,962.5265043393647,962.5265043393647,1989.7502025058989,-31.68408162660944,-34056.91320901914 kJ/mol
Binding_donor2_row25_cand000026,openmm,345.31155103225603,AB,MP,P,M,MP_AB,M_P,-27.64901727210605,-27.64901727210605,1915.6480292941992,455.4401628389056,455.4401628389056,1906.8419899458086,-27.649017271925572,-45438.19090365156 kJ/mol
Binding_donor2_row26_cand000032,openmm,798.258765292146,AB,MP,P,M,MP_AB,M_P,-30.396257229821117,-30.396257229821117,1805.2903719984067,962.7757329971839,962.7757329971839,1916.5304212218941,-30.396257229888874,-34213.557066344765 kJ/mol
Binding_donor2_row27_cand000020,openmm,827.5369159387228,AB,MP,P,M,MP_AB,M_P,-45.354618425794456,-45.354618425794456,2009.158698181134,957.8835865029946,957.8835865029946,1924.7403491820298,-45.35461842625273,-34391.126900117146 kJ/mol
Binding_donor2_row28_cand000018,openmm,760.6237904567774,AB,MP,P,M,MP_AB,M_P,-27.568025496093924,-27.568025496093924,1646.513426013901,958.3499549282271,958.3499549282271,1952.90157797179,-27.568025496027076,-34609.78191253284 kJ/mol
Binding_donor2_row29_cand000028,openmm,776.4959549169893,AB,MP,P,M,MP_AB,M_P,-36.677025612916395,-36.677025612916395,1767.8705904058377,960.6836957215207,960.6836957215207,1990.9653550302698,-36.6770256129829,-34029.51691314745 kJ/mol
Binding_donor2_row30_cand000003,openmm,761.4375065323126,AB,MP,P,M,MP_AB,M_P,-30.488787359744038,-30.488787359744038,1817.1503419298238,962.0888955724,962.0888955724,1971.047680877567,-30.488787359636603,-34744.21771425687 kJ/mol
Binding_donor2_row31_cand000010,openmm,655.3851743880473,AB,MP,P,M,MP_AB,M_P,-38.32187645252941,-38.32187645252941,1785.8508560045996,975.5058480371378,975.5058480371378,1978.6381410655472,-38.32187645286547,-29740.366763250255 kJ/mol
Binding_donor2_row33_cand000009,openmm,182.855199250941,AB,MP,P,M,MP_AB,M_P,-42.451546617692,-42.451546617692,1739.700541885591,464.72707806944044,464.72707806944044,1964.2610805579613,-42.45154661755501,-38194.51400746195 kJ/mol
