TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10128_cand000113,rosetta_sidechain,1171.8404457069753,AB,MP,P,M,MP_AB,M_P,328.84870613084865,328.84870613084865,333.5263618243571,0.0,0.0,0.0,328.84870613091823
Non-binding_donor1_row10178_cand000317,rosetta_sidechain,3434.9859910550667,AB,MP,P,M,MP_AB,M_P,1.8970178821336958,1.8970178821336958,150.2664025140077,2071.344989595475,2071.344989595475,787.0497878611577,1.8970178821168702
Non-binding_donor1_row10018_cand000412,rosetta_sidechain,55162.50422335398,AB,MP,P,M,MP_AB,M_P,52535.150751999085,52535.150751999085,2839.941550175365,37.736982965453194,37.736982965453194,154.3502557671453,52535.15075199939
Non-binding_donor1_row10957_cand000296,rosetta_sidechain,1401.3089382900182,AB,MP,P,M,MP_AB,M_P,-5.809185686824321,-5.809185686824321,483.98834205583375,-31.357689205282668,-31.357689205282668,1881.879786777558,-5.809185686797491
Non-binding_donor1_row11150_cand000516,rosetta_sidechain,2933.6704013701246,AB,MP,P,M,MP_AB,M_P,11.19600533241919,11.19600533241919,208.34395543231437,1195.6070732570638,1195.6070732570638,335.2679134081483,11.196005331966262
Non-binding_donor1_row11214_cand000577,rosetta_sidechain,8892.117881909606,AB,MP,P,M,MP_AB,M_P,0.1880000263627153,0.1880000263627153,93.68787022663506,4925.880289667937,4925.880289667937,1233.9037057786136,0.1880000267046853
Non-binding_donor1_row11314_cand000071,rosetta_sidechain,3845.4935811515297,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,2714.07544474143,2714.07544474143,489.1145059382625,0.0015974174011716968
Non-binding_donor1_row11485_cand000452,rosetta_sidechain,1207.2811394538035,AB,MP,P,M,MP_AB,M_P,-0.0005814238370476232,-0.0005814238370476232,0.0,0.0,0.0,0.0,-0.0005814237460981531
Non-binding_donor1_row11172_cand000357,rosetta_sidechain,179007.7727435067,AB,MP,P,M,MP_AB,M_P,7082.380399489601,7082.380399489601,684.2779598130637,0.0,0.0,0.0,7082.380399489251
Non-binding_donor1_row1174_cand000153,rosetta_sidechain,903.2536991922212,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,0.34972836090787496
Non-binding_donor1_row11538_cand000078,rosetta_sidechain,1194.8113277877087,AB,MP,P,M,MP_AB,M_P,-1.5237652090563643,-1.5237652090563643,154.75822841905375,0.0,0.0,0.0,-1.5237652085527316
Non-binding_donor1_row12124_cand000318,rosetta_sidechain,2472.4504897837774,AB,MP,P,M,MP_AB,M_P,2.7566369211699566,2.7566369211699566,94.67248414936452,0.0,0.0,0.0,2.756636920752044
Non-binding_donor1_row12105_cand000009,rosetta_sidechain,740.1171719038998,AB,MP,P,M,MP_AB,M_P,2.3391640517602355,2.3391640517602355,245.94063584084702,-31.688452126645757,-31.688452126645757,1895.399983706641,2.3391640520310375
Non-binding_donor1_row12604_cand000211,rosetta_sidechain,82614.2320231753,AB,MP,P,M,MP_AB,M_P,19.23172683903249,19.23172683903249,105.2068416073063,-0.025984046813732675,-0.025984046813732675,2.4983341044747647,19.231726839003386
Non-binding_donor1_row12430_cand000178,rosetta_sidechain,5333.747509546233,AB,MP,P,M,MP_AB,M_P,4909.442002600512,4909.442002600512,814.5101777505247,55.38062803964101,55.38062803964101,1279.5091668902446,4909.442002600346
Non-binding_donor1_row12544_cand000526,rosetta_sidechain,1054.2610823414325,AB,MP,P,M,MP_AB,M_P,-2.9897362174340287,-2.9897362174340287,305.28786536935667,-29.998583711119295,-29.998583711119295,1867.0255454954572,-2.9897362175458966
Non-binding_donor1_row12845_cand000226,rosetta_sidechain,676.9794601232961,AB,MP,P,M,MP_AB,M_P,-1.885402411546238,-1.885402411546238,228.04452614010654,-33.5764287421444,-33.5764287421444,1885.4570058554266,-1.8854024115978518
