TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row0_cand000002,openmm,-53.661531834762656,AB,MP,P,M,MP_AB,M_P,-54.14085861398624,-54.14085861398624,2038.4155903761641,-47.378816205577955,-47.378816205577955,1940.7547302104776,-54.14085861357408,-56858.403173825965 kJ/mol
Binding_donor1_row10_cand000004,openmm,-204.81240086965803,AB,MP,P,M,MP_AB,M_P,-46.68042343928582,-46.68042343928582,2050.664148169263,-53.096635656516575,-53.096635656516575,1920.6652846313036,-46.680423439238865,-55436.87266440767 kJ/mol
Binding_donor1_row11_cand000012,openmm,263.98773476770475,AB,MP,P,M,MP_AB,M_P,310.50578619500357,310.50578619500357,2352.0487591994597,-56.91138798958153,-56.91138798958153,1744.0139175708946,310.5057861947307,-46439.577449185985 kJ/mol
Binding_donor1_row12_cand000014,openmm,188.48899025591567,AB,MP,P,M,MP_AB,M_P,-44.18404287571042,-44.18404287571042,2090.6353063615306,-60.7474921984313,-60.7474921984313,1856.4135402783495,-44.1840428755778,-47590.42019355274 kJ/mol
Binding_donor1_row14_cand000027,openmm,729.2673482306811,AB,MP,P,M,MP_AB,M_P,364.72177657678105,364.72177657678105,2116.684205821206,-49.43433614159585,-49.43433614159585,1910.138885874751,364.7217765767954,-32659.449178464645 kJ/mol
Binding_donor1_row13_cand000008,openmm,794.1141251754486,AB,MP,P,M,MP_AB,M_P,310.6982153349156,310.6982153349156,2324.40259646451,-44.4317166129465,-44.4317166129465,1860.2774199895846,310.6982153346595,-35612.302457437225 kJ/mol
Binding_donor1_row15_cand000017,openmm,-280.37883951276024,AB,MP,P,M,MP_AB,M_P,-41.4364084014544,-41.4364084014544,1973.1112883719545,-50.815431705307546,-50.815431705307546,1997.8842900922712,-41.436408401003064,-51804.844153802216 kJ/mol
Binding_donor1_row1_cand000019,openmm,-251.3523332209646,AB,MP,P,M,MP_AB,M_P,-43.818646689431404,-43.818646689431404,1985.3498396106759,-52.99184644060954,-52.99184644060954,1905.5497248965762,-43.81864668905567,-54327.70081814106 kJ/mol
Binding_donor1_row2_cand000010,openmm,192.0611477236548,AB,MP,P,M,MP_AB,M_P,-31.252312514118785,-31.252312514118785,1623.2870962916068,-60.04715026035865,-60.04715026035865,1978.8987148443605,-31.252312514320266,-45561.28755527066 kJ/mol
Binding_donor1_row3_cand000003,openmm,264.8023442211554,AB,MP,P,M,MP_AB,M_P,-54.77332769406843,-54.77332769406843,2178.589723453251,-48.45488042336592,-48.45488042336592,1912.556546982689,-54.773327694207694,-44422.3076578727 kJ/mol
Binding_donor1_row4_cand000020,openmm,859.703291412824,AB,MP,P,M,MP_AB,M_P,463.26633685287493,463.26633685287493,2527.9603859097037,-46.96391783915021,-46.96391783915021,1812.7720865384597,463.26633685311384,-33340.7723906044 kJ/mol
Binding_donor1_row5_cand000016,openmm,82.9156355735282,AB,MP,P,M,MP_AB,M_P,-47.146033128910545,-47.146033128910545,1827.2550768961135,-57.9226569797255,-57.9226569797255,1862.4433037781391,-47.14603312858095,-46357.2161932352 kJ/mol
Binding_donor1_row6_cand000001,openmm,75.47351149306708,AB,MP,P,M,MP_AB,M_P,-41.40552843860941,-41.40552843860941,1705.9726436242365,-51.52987605522617,-51.52987605522617,1985.8779141861785,-41.405528438526275,-47133.00374930214 kJ/mol
Binding_donor1_row8_cand000024,openmm,-281.62216363698406,AB,MP,P,M,MP_AB,M_P,-35.37253258452941,-35.37253258452941,2144.99199572602,-51.62234373601858,-51.62234373601858,1813.1923928504157,-35.37253258482173,-56349.04483069268 kJ/mol
Binding_donor1_row9_cand000025,openmm,462.26941220924965,AB,MP,P,M,MP_AB,M_P,585.3640924882052,585.3640924882052,2130.9595873250805,-59.18109850537034,-59.18109850537034,2002.5932116852086,585.3640924884601,-39165.42280181414 kJ/mol
Binding_donor2_row16_cand000022,openmm,223.25693689932882,AB,MP,P,M,MP_AB,M_P,-34.126045016285644,-34.126045016285644,1753.0647451646403,-52.892301884813435,-52.892301884813435,1949.6930344880936,-34.12604501622792,-43715.84731719739 kJ/mol
Binding_donor2_row17_cand000013,openmm,131.12383448704693,AB,MP,P,M,MP_AB,M_P,-27.918801416048268,-27.918801416048268,1784.4851397434236,-63.04565451132544,-63.04565451132544,1992.3241830586644,-27.918801416240882,-46027.68692472943 kJ/mol
Binding_donor2_row18_cand000021,openmm,108.01570806636738,AB,MP,P,M,MP_AB,M_P,-39.66943183077548,-39.66943183077548,1716.4948070484716,-41.55647672448316,-41.55647672448316,2000.93461366151,-39.66943183082546,-46884.66396099194 kJ/mol
Binding_donor2_row19_cand000011,openmm,18144.193228434007,AB,MP,P,M,MP_AB,M_P,9687.836908444764,9687.836908444764,1416.4575514157198,1375.210451772914,1375.210451772914,1765.2609353231614,9687.836908444737,9.509527583554206e+19 kJ/mol
Binding_donor2_row21_cand000026,openmm,107.50172534049446,AB,MP,P,M,MP_AB,M_P,-38.31413423790754,-38.31413423790754,1680.1076475685895,-53.08498678123772,-53.08498678123772,1984.1979455754167,-38.314134238260465,-47042.276672056694 kJ/mol
Binding_donor3_row24_cand000009,openmm,646.395206603031,AB,MP,P,M,MP_AB,M_P,-45.21364622040005,-45.21364622040005,2101.4511815493097,-45.87691258930482,-45.87691258930482,1881.4615671036856,-45.213646220453256,-48507.60947819135 kJ/mol
Binding_donor3_row26_cand000006,openmm,77.56193145433227,AB,MP,P,M,MP_AB,M_P,291.79454251568364,291.79454251568364,2189.0709220606855,-50.32992830131413,-50.32992830131413,1897.0717453914094,291.7945425154437,-43234.05156568799 kJ/mol
Binding_donor3_row25_cand000023,openmm,1926096.2882004003,AB,MP,P,M,MP_AB,M_P,2185.753066287376,2185.753066287376,563.2530905966682,5012.088252434973,5012.088252434973,1587.1426306619794,2185.7530662855133,5.476463770496571e+24 kJ/mol
Binding_donor4_row27_cand000007,openmm,-173.21955962949352,AB,MP,P,M,MP_AB,M_P,-44.00288842938568,-44.00288842938568,2340.776197281095,-54.15546564403806,-54.15546564403806,1841.950725926849,-44.00288842938011,-52242.029993941804 kJ/mol
