TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10238_cand000351,rosetta_sidechain,3280.4588325830714,AB,MP,P,M,MP_AB,M_P,-1.0729561436314725,-1.0729561436314725,246.48558193245196,0.0,0.0,0.0,-1.0729561433358867
Non-binding_donor1_row1001_cand000240,rosetta_sidechain,8968.375980331848,AB,MP,P,M,MP_AB,M_P,2857.6851453899426,2857.6851453899426,784.4235250010212,72.65534073672359,72.65534073672359,478.69829563515253,2857.6851453898407
Non-binding_donor1_row10082_cand000242,rosetta_sidechain,19320.66082302491,AB,MP,P,M,MP_AB,M_P,6248.523175814262,6248.523175814262,947.7801141015154,17.485357513601002,17.485357513601002,250.5690007925313,6248.523175814087
Non-binding_donor1_row1061_cand000350,rosetta_sidechain,13884.224054282713,AB,MP,P,M,MP_AB,M_P,6653.902971432955,6653.902971432955,1289.7364006989678,5624.290076301392,5624.290076301392,740.634090611619,6653.902971433182
Non-binding_donor1_row10376_cand000488,rosetta_sidechain,640.9743608256708,AB,MP,P,M,MP_AB,M_P,17.239009681858875,17.239009681858875,540.9733498904676,-22.920105850409072,-22.920105850409072,1689.8201023322013,17.239009682133542
Non-binding_donor1_row10685_cand000245,rosetta_sidechain,81065.55454799006,AB,MP,P,M,MP_AB,M_P,9755.579377149697,9755.579377149697,1143.60105289809,-1.724321049898549,-1.724321049898549,156.65602187748337,9755.579377149494
Non-binding_donor1_row11016_cand000114,rosetta_sidechain,43924.02967064973,AB,MP,P,M,MP_AB,M_P,15809.094864536222,15809.094864536222,1321.0938315553576,0.0,0.0,0.0,15809.094864536139
Non-binding_donor1_row11207_cand000337,rosetta_sidechain,32689.5996118836,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,30983.197945465665,30983.197945465665,1450.1903443559984,-9.775445505511016e-06
Non-binding_donor1_row11683_cand000280,rosetta_sidechain,29248.462524870512,AB,MP,P,M,MP_AB,M_P,12892.504085250503,12892.504085250503,902.812830691622,8962.541322961826,8962.541322961826,697.6685602274225,12892.504085250377
Non-binding_donor1_row110_cand000018,rosetta_sidechain,52805.03870664306,AB,MP,P,M,MP_AB,M_P,46406.76493496785,46406.76493496785,3525.215968879016,1226.1733739152783,1226.1733739152783,911.7768727579403,46406.76493496755
Non-binding_donor1_row11843_cand000395,rosetta_sidechain,1266.0503835675793,AB,MP,P,M,MP_AB,M_P,-9.765262666405761e-05,-9.765262666405761e-05,0.0,0.0,0.0,0.0,-9.765246113602188e-05
