TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Binding_donor1_row111_cand00487,none,10468.083800334136,AB,MP,P,M,MP_AB,M_P,952.3666068035564,952.3666068035564,1814.2499227507838,2632.4569848700753,2632.4569848700753,1659.387533081971,952.3666068035818
Binding_donor1_row1022_cand00441,none,229818.81195144702,AB,MP,P,M,MP_AB,M_P,3716.116539577517,3716.116539577517,1103.1402794300159,2782.121660224395,2782.121660224395,789.2238863327254,3716.1165395776916
Binding_donor1_row1003_cand00194,none,15343.399576041897,AB,MP,P,M,MP_AB,M_P,493.32123550475444,493.32123550475444,1437.2324304557565,2674.161241591159,2674.161241591159,1591.8507765530267,493.3212355049236
Binding_donor1_row1021_cand00361,none,19781.83928914351,AB,MP,P,M,MP_AB,M_P,5529.363094598319,5529.363094598319,1750.7030199199742,2842.837087728032,2842.837087728032,1585.5850910804809,5529.363094598979
Binding_donor1_row1147_cand00497,none,22262.6577847288,AB,MP,P,M,MP_AB,M_P,5068.9485663241685,5068.9485663241685,1911.3788220745005,2177.355943258517,2177.355943258517,1631.8048460326625,5068.94856632411
Binding_donor1_row115_cand00398,none,15713.515536849174,AB,MP,P,M,MP_AB,M_P,4781.602655053537,4781.602655053537,1903.2928823044256,2085.8597412026525,2085.8597412026525,1553.2808695255067,4781.602655053435
Binding_donor1_row116_cand00068,none,14166.865175574088,AB,MP,P,M,MP_AB,M_P,2276.4763830992015,2276.4763830992015,1745.2131682065242,1852.7509916358076,1852.7509916358076,1552.6210730121015,2276.4763830992797
Binding_donor1_row1185_cand00117,none,23345.329612030284,AB,MP,P,M,MP_AB,M_P,4082.47562512516,4082.47562512516,2154.7125255463043,3938.7464344974323,3938.7464344974323,1554.765671540801,4082.475625125291
Binding_donor1_row1192_cand00324,none,20484.177379303204,AB,MP,P,M,MP_AB,M_P,6306.372835300446,6306.372835300446,1785.9101739281114,2986.1839835502738,2986.1839835502738,1619.259031518382,6306.372835300677
Binding_donor1_row1178_cand00013,none,26024.599827629856,AB,MP,P,M,MP_AB,M_P,7026.923209172754,7026.923209172754,1710.1288931347474,1866.545429803663,1866.545429803663,1523.0164646879607,7026.923209172863
Binding_donor1_row127_cand00178,none,15152.427206642164,AB,MP,P,M,MP_AB,M_P,2210.5255956609817,2210.5255956609817,1889.1821823117516,2404.8759602994805,2404.8759602994805,1504.5972836889073,2210.525595660729
Binding_donor1_row1339_cand00139,none,24083.580196860654,AB,MP,P,M,MP_AB,M_P,6009.163792555992,6009.163792555992,1765.1338753536156,1944.0855378006445,1944.0855378006445,1565.4379798228206,6009.163792556079
Binding_donor1_row1203_cand00566,none,26117.698266581894,AB,MP,P,M,MP_AB,M_P,8192.362150061832,8192.362150061832,1900.2964932875823,1758.2839410116194,1758.2839410116194,1471.2693062938456,8192.362150061515
Binding_donor1_row1351_cand00345,none,18389.140459743634,AB,MP,P,M,MP_AB,M_P,5718.139073658816,5718.139073658816,1741.3618238378278,3676.8107212688737,3676.8107212688737,1565.4687829448635,5718.1390736593985
Binding_donor1_row1381_cand00265,none,19139.616138089306,AB,MP,P,M,MP_AB,M_P,7933.951986682538,7933.951986682538,1635.4280176904813,2052.1271235306504,2052.1271235306504,1568.7651126114256,7933.951986682403
Binding_donor1_row1426_cand00071,none,16774.579270057056,AB,MP,P,M,MP_AB,M_P,4308.012681493352,4308.012681493352,1736.2886403944715,2210.7925945221737,2210.7925945221737,1560.8376487374323,4308.012681493608
Binding_donor1_row145_cand00274,none,17046.88426442763,AB,MP,P,M,MP_AB,M_P,6055.134849858616,6055.134849858616,1912.112224940226,1753.927356139724,1753.927356139724,1491.6053087186854,6055.134849858488
Binding_donor1_row1430_cand00195,none,20143.71667316777,AB,MP,P,M,MP_AB,M_P,6683.098834782291,6683.098834782291,1805.6718078886663,1874.4976444519202,1874.4976444519202,1599.3125012553794,6683.098834781769
Binding_donor1_row1453_cand00431,none,19446.893229879308,AB,MP,P,M,MP_AB,M_P,7847.475308128371,7847.475308128371,2030.4459438334047,1904.0670681469023,1904.0670681469023,1635.7738100789052,7847.475308128123
Binding_donor1_row144_cand00402,none,18608.424607929388,AB,MP,P,M,MP_AB,M_P,5426.8673433390395,5426.8673433390395,1944.5611304116808,1925.7035696704042,1925.7035696704042,1454.726835175858,5426.8673433391195
Binding_donor1_row1502_cand00108,none,17261.938349114844,AB,MP,P,M,MP_AB,M_P,2178.4874515534702,2178.4874515534702,1834.8220953729835,2107.811360500896,2107.811360500896,1639.6115874215493,2178.4874515536285
Binding_donor1_row147_cand00576,none,20786.815394746834,AB,MP,P,M,MP_AB,M_P,6989.013680556427,6989.013680556427,2214.676880227262,1776.3717035666168,1776.3717035666168,1514.4007437982273,6989.013680556538
Binding_donor1_row1491_cand00495,none,32467.44337271377,AB,MP,P,M,MP_AB,M_P,11684.818081064299,11684.818081064299,1713.2660798016027,2277.3546508347126,2277.3546508347126,1623.834749582808,11684.818081064797
Binding_donor1_row1548_cand00237,none,12923.981777878842,AB,MP,P,M,MP_AB,M_P,4173.203223333112,4173.203223333112,2273.595712873106,2037.3773616404724,2037.3773616404724,1565.5147200107758,4173.203223333458
Binding_donor1_row1558_cand00144,none,20832.611671156177,AB,MP,P,M,MP_AB,M_P,7586.546023096105,7586.546023096105,1779.5438876774792,1709.2447712411004,1709.2447712411004,1571.7883874557674,7586.546023096558
Binding_donor1_row1550_cand00041,none,14133.484995196304,AB,MP,P,M,MP_AB,M_P,4019.72728169967,4019.72728169967,1896.3763519182828,2836.2286222518646,2836.2286222518646,1690.8527865010396,4019.727281699943
