TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row1034_cand000071,none,8909.60849698825,AB,MP,P,M,MP_AB,M_P,4398.9948435487895,4398.9948435487895,1855.1197703674502,239.06474449003917,239.06474449003917,1644.4187439018078,4398.994843548401
Non-binding_donor1_row10030_cand000515,none,27660.4759516133,AB,MP,P,M,MP_AB,M_P,10326.078241662646,10326.078241662646,1978.0622522255592,261.82732917262047,261.82732917262047,1627.4988627863686,10326.078241662792
Non-binding_donor1_row10500_cand000544,none,21624.406435190613,AB,MP,P,M,MP_AB,M_P,8278.618054539877,8278.618054539877,2018.311840854141,289.62379340389316,289.62379340389316,1652.1738313018545,8278.618054539053
Non-binding_donor1_row10212_cand000275,none,31520.377131860285,AB,MP,P,M,MP_AB,M_P,12859.217452951383,12859.217452951383,2139.6436165232276,208.81916221395522,208.81916221395522,1601.9198059613298,12859.217452951107
Non-binding_donor1_row10579_cand000589,none,18573.431255019572,AB,MP,P,M,MP_AB,M_P,7641.766853708783,7641.766853708783,2100.1195263581126,210.57693586032974,210.57693586032974,1659.419150690998,7641.766853709054
Non-binding_donor1_row10671_cand000233,none,30538.519950144015,AB,MP,P,M,MP_AB,M_P,12430.285210749375,12430.285210749375,2030.441522332634,218.16034942940405,218.16034942940405,1637.1415198939378,12430.285210749207
Non-binding_donor1_row1069_cand000064,none,16775.597979725087,AB,MP,P,M,MP_AB,M_P,6835.224591661492,6835.224591661492,1871.7048973323574,377.1487912251191,377.1487912251191,1644.4399515914743,6835.224591661732
Non-binding_donor1_row10684_cand000329,none,20755.88301622889,AB,MP,P,M,MP_AB,M_P,9258.059913994743,9258.059913994743,1998.4188029934587,184.78629511264944,184.78629511264944,1606.8799696393469,9258.05991399462
Non-binding_donor1_row10763_cand000192,none,28128.18036171765,AB,MP,P,M,MP_AB,M_P,8876.950821801427,8876.950821801427,2068.9774691314187,210.20652353911282,210.20652353911282,1644.6554726045288,8876.950821801394
Non-binding_donor1_row10865_cand000058,none,16330.27830675364,AB,MP,P,M,MP_AB,M_P,7256.6717196258705,7256.6717196258705,2303.3815484297534,167.91729175405044,167.91729175405044,1597.497638085986,7256.67171962584
Non-binding_donor1_row10873_cand000260,none,25569.27848299186,AB,MP,P,M,MP_AB,M_P,9695.849435239203,9695.849435239203,2170.3605115441355,191.66136267297543,191.66136267297543,1667.7133431474203,9695.849435238935
Non-binding_donor1_row10988_cand000146,none,21528.28348827391,AB,MP,P,M,MP_AB,M_P,6784.475374185602,6784.475374185602,1920.1895932044174,219.8821194383586,219.8821194383586,1611.69202079853,6784.475374186048
Non-binding_donor1_row11253_cand000265,none,14208.580015557365,AB,MP,P,M,MP_AB,M_P,7189.225479660678,7189.225479660678,2229.197127546681,142.99189999691725,142.99189999691725,1625.879305838782,7189.225479660813
Non-binding_donor1_row11278_cand000445,none,25236.205214657915,AB,MP,P,M,MP_AB,M_P,11549.246160454073,11549.246160454073,2143.7998582767186,211.37083587113648,211.37083587113648,1653.5063707932056,11549.246160453917
Non-binding_donor1_row11303_cand000383,none,22603.696840863227,AB,MP,P,M,MP_AB,M_P,14072.768982500193,14072.768982500193,1977.706779077551,124.86981759608307,124.86981759608307,1605.733777012977,14072.768982500213
