TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10500_cand000544,rosetta_sidechain,1425.0444569219578,AB,MP,P,M,MP_AB,M_P,604.8512609488337,604.8512609488337,324.38983468582836,-0.13168790782043516,-0.13168790782043516,34.38646916577338,604.8512609485246
Non-binding_donor1_row1034_cand000071,rosetta_sidechain,139.82254200053012,AB,MP,P,M,MP_AB,M_P,0.0757426059087436,0.0757426059087436,47.907519366935645,-0.3038269750052791,-0.3038269750052791,196.91503528402706,0.07574260584556214
Non-binding_donor1_row10030_cand000515,rosetta_sidechain,28253.456907820568,AB,MP,P,M,MP_AB,M_P,5140.598668897099,5140.598668897099,1357.4318968626355,22071.659132191122,22071.659132191122,1218.613357137063,5140.5986688970515
Non-binding_donor1_row10212_cand000275,rosetta_sidechain,55445.097538097354,AB,MP,P,M,MP_AB,M_P,39108.83968622974,39108.83968622974,2747.0814469493466,5808.999682552548,5808.999682552548,746.5886342991574,39108.83968622978
Non-binding_donor1_row10579_cand000589,rosetta_sidechain,15819.854935153186,AB,MP,P,M,MP_AB,M_P,2769.9819567745253,2769.9819567745253,839.9501589837452,11272.727492464908,11272.727492464908,930.5593847651459,2769.9819567746563
Non-binding_donor1_row1069_cand000064,rosetta_sidechain,6869.265662467777,AB,MP,P,M,MP_AB,M_P,5374.728590164315,5374.728590164315,576.2686003622262,0.0,0.0,0.0,5374.7285901644045
Non-binding_donor1_row10684_cand000329,rosetta_sidechain,16106.393048161008,AB,MP,P,M,MP_AB,M_P,8701.156733221806,8701.156733221806,1651.7521287264976,6343.219450378197,6343.219450378197,579.9315189848774,8701.156733221957
Non-binding_donor1_row10671_cand000233,rosetta_sidechain,17621.537451632128,AB,MP,P,M,MP_AB,M_P,0.0055300504427577835,0.0055300504427577835,3.355880300640223,13764.595320434148,13764.595320434148,1085.4401197836514,0.00553005023903097
Non-binding_donor1_row10988_cand000146,rosetta_sidechain,2247.307619034495,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-5.9117155615240335e-12
Non-binding_donor1_row10763_cand000192,rosetta_sidechain,2868.2224068495257,AB,MP,P,M,MP_AB,M_P,-0.02155958482535425,-0.02155958482535425,45.271149111175376,13.681326019699753,13.681326019699753,259.3103078182196,-0.021559584868555248
Non-binding_donor1_row10865_cand000058,rosetta_sidechain,6438.0900796618425,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,303.98318378701117,303.98318378701117,485.0056595702363,3.637978807091713e-12
Non-binding_donor1_row10873_cand000260,rosetta_sidechain,15723.887509618025,AB,MP,P,M,MP_AB,M_P,2025.2575496680147,2025.2575496680147,565.8362399457709,10545.137521268103,10545.137521268103,830.0952543250953,2025.2575496680347
Non-binding_donor1_row11303_cand000383,rosetta_sidechain,1067.4017472964226,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-4.092726157978177e-12
Non-binding_donor1_row11253_cand000265,rosetta_sidechain,1099.6385694789612,AB,MP,P,M,MP_AB,M_P,11.43836034343235,11.43836034343235,231.4261054443552,-11.145789719126753,-11.145789719126753,1404.8549671283495,11.438360343232262
Non-binding_donor1_row11360_cand000381,rosetta_sidechain,15907.633564461486,AB,MP,P,M,MP_AB,M_P,173.4782164832468,173.4782164832468,264.3904648215656,15546.868708877137,15546.868708877137,1341.6743740009485,173.47821648321587
