TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10208_cand000230,none,21740.580164227136,AB,MP,P,M,MP_AB,M_P,5998.408913916901,5998.408913916901,1788.730145064162,1974.2497606240063,1974.2497606240063,1927.5083715625228,5998.408913917076
Non-binding_donor1_row10874_cand000526,none,17516.116318863555,AB,MP,P,M,MP_AB,M_P,4596.911028992308,4596.911028992308,1736.7027566053466,1933.9986327313727,1933.9986327313727,1974.3463143787417,4596.911028992001
Non-binding_donor1_row10464_cand000355,none,29544.213111584606,AB,MP,P,M,MP_AB,M_P,5408.840489451912,5408.840489451912,1897.2717135815744,1828.649982571028,1828.649982571028,1903.2756927505484,5408.840489451555
Non-binding_donor1_row10017_cand000127,none,27148.33169078333,AB,MP,P,M,MP_AB,M_P,6687.542495787413,6687.542495787413,2081.286810924601,2090.9090992949345,2090.9090992949345,1887.3617496027884,6687.542495787591
Non-binding_donor1_row11119_cand000340,none,21723.625300474683,AB,MP,P,M,MP_AB,M_P,6120.964692921092,6120.964692921092,1919.7862747638476,2193.1051260813347,2193.1051260813347,1932.4863298418907,6120.964692921505
Non-binding_donor1_row10883_cand000306,none,20324.849292479583,AB,MP,P,M,MP_AB,M_P,7565.936175882338,7565.936175882338,2043.777567633084,1897.8160836092065,1897.8160836092065,1958.9706230152783,7565.93617588226
Non-binding_donor1_row11312_cand000525,none,17640.227721266143,AB,MP,P,M,MP_AB,M_P,3635.0319212533286,3635.0319212533286,1789.4890530080236,1991.6569104953373,1991.6569104953373,1903.6677557566977,3635.0319212534723
Non-binding_donor1_row11734_cand000167,none,36591.05817672176,AB,MP,P,M,MP_AB,M_P,13876.971002502873,13876.971002502873,1725.3655011493747,2090.8036392900667,2090.8036392900667,1908.6685817277764,13876.971002503044
Non-binding_donor1_row12265_cand000237,none,9834.46204498532,AB,MP,P,M,MP_AB,M_P,1924.698945903675,1924.698945903675,1820.1143376357493,1836.981535199914,1836.981535199914,1915.6209029991137,1924.6989459033084
Non-binding_donor1_row12276_cand000443,none,11976.265540990615,AB,MP,P,M,MP_AB,M_P,2545.668670083678,2545.668670083678,1765.6581800179335,1994.9795809953134,1994.9795809953134,1939.499179131688,2545.6686700834252
Non-binding_donor1_row11952_cand000034,none,18440.68845981992,AB,MP,P,M,MP_AB,M_P,4012.97470279564,4012.97470279564,2039.6584664860757,1892.6764031448142,1892.6764031448142,1931.7179350639174,4012.9747027956455
Non-binding_donor1_row12085_cand000454,none,13400.642837395262,AB,MP,P,M,MP_AB,M_P,3575.893202492889,3575.893202492889,2108.91073428637,2115.020919138562,2115.020919138562,1900.6592037342232,3575.8932024928927
Non-binding_donor1_row12759_cand000522,none,15909.344221459662,AB,MP,P,M,MP_AB,M_P,1853.5119378665113,1853.5119378665113,1659.7282834081113,2189.5188061801286,2189.5188061801286,1960.432541824824,1853.5119378668242
Non-binding_donor1_row12799_cand000557,none,10061.019327465961,AB,MP,P,M,MP_AB,M_P,459.7727711532152,459.7727711532152,1946.80474728661,2258.185178556486,2258.185178556486,1950.077852438592,459.77277115320794
Non-binding_donor1_row12802_cand000431,none,10242.002547847942,AB,MP,P,M,MP_AB,M_P,279.99913168186504,279.99913168186504,1938.0886738433958,2244.811424035098,2244.811424035098,1914.0342358116538,279.9991316819469
Non-binding_donor1_row13620_cand000271,none,11322.802807526416,AB,MP,P,M,MP_AB,M_P,4178.243492618027,4178.243492618027,2061.685786040324,2130.0183205806525,2130.0183205806525,1896.9609751615494,4178.2434926181795
Non-binding_donor1_row13931_cand000582,none,19231.530187620734,AB,MP,P,M,MP_AB,M_P,6734.464367387705,6734.464367387705,1632.4431633607392,2250.167847392301,2250.167847392301,1884.6587853397912,6734.464367387707
Non-binding_donor1_row14994_cand000349,none,18216.549449464484,AB,MP,P,M,MP_AB,M_P,5091.302032026986,5091.302032026986,1293.5457097822573,1942.9344236211932,1942.9344236211932,1872.8036713022047,5091.302032027394
Non-binding_donor1_row14543_cand000438,none,16843.399017240878,AB,MP,P,M,MP_AB,M_P,4487.817286134452,4487.817286134452,1904.7614256081106,1763.6370468169903,1763.6370468169903,1933.0225182591603,4487.817286134263
Non-binding_donor1_row15200_cand000204,none,20359.497035362157,AB,MP,P,M,MP_AB,M_P,5240.807246908302,5240.807246908302,1558.0917493748357,1941.3692299600016,1941.3692299600016,1882.3238062962846,5240.807246908724
Non-binding_donor1_row15212_cand000238,none,16179.237983333445,AB,MP,P,M,MP_AB,M_P,6499.413045358147,6499.413045358147,1492.2632668186116,1968.0786525085718,1968.0786525085718,1885.1885199173378,6499.413045357745
Non-binding_donor1_row15333_cand000347,none,18182.87493800355,AB,MP,P,M,MP_AB,M_P,5407.36656888865,5407.36656888865,1367.6415842946117,2014.5985204498365,2014.5985204498365,1910.2427601148102,5407.366568888559
Non-binding_donor1_row15336_cand000109,none,15971.530301669338,AB,MP,P,M,MP_AB,M_P,4926.603894531019,4926.603894531019,1359.8252319593103,2044.2853808358282,2044.2853808358282,1891.3096688567616,4926.603894531005
Non-binding_donor1_row15217_cand000352,none,16210.140623378058,AB,MP,P,M,MP_AB,M_P,5922.677967944195,5922.677967944195,1578.1087599115426,1998.7447086592424,1998.7447086592424,1842.2640241631104,5922.6779679440115
Non-binding_donor1_row1636_cand000082,none,9468.012921459627,AB,MP,P,M,MP_AB,M_P,1179.4117089606498,1179.4117089606498,1631.8483086095466,2163.661875128014,2163.661875128014,1904.8571472213087,1179.4117089606207
Non-binding_donor1_row17024_cand000576,none,14915.519490769091,AB,MP,P,M,MP_AB,M_P,5105.650436353608,5105.650436353608,1758.3180776148793,1983.895933473631,1983.895933473631,1895.2024977625233,5105.650436353339
Non-binding_donor1_row1756_cand000258,none,11357.285269701882,AB,MP,P,M,MP_AB,M_P,2314.239477082365,2314.239477082365,1961.5798049198013,2051.8415420006154,2051.8415420006154,1900.180122490079,2314.2394770824067
Non-binding_donor1_row17437_cand000410,none,18164.756374822387,AB,MP,P,M,MP_AB,M_P,4554.045464167322,4554.045464167322,2004.327246717687,2130.6611158636397,2130.6611158636397,1927.9524376233617,4554.045464167539
Non-binding_donor1_row17718_cand000024,none,18189.962012653166,AB,MP,P,M,MP_AB,M_P,2231.377064634018,2231.377064634018,1744.087570465328,2109.7017262582362,2109.7017262582362,1913.4948980447123,2231.3770646338053
Non-binding_donor1_row18266_cand000494,none,12977.98345716556,AB,MP,P,M,MP_AB,M_P,2839.2919974168017,2839.2919974168017,1652.2305816521111,1986.0577828305181,1986.0577828305181,1908.4013058846353,2839.2919974167817
Non-binding_donor1_row18213_cand000006,none,15970.003520692597,AB,MP,P,M,MP_AB,M_P,3465.148309180564,3465.148309180564,1738.0116371890585,2075.550684679962,2075.550684679962,1947.0633818106987,3465.148309180595
Non-binding_donor1_row17799_cand000169,none,20399.629007134543,AB,MP,P,M,MP_AB,M_P,6456.15315059183,6456.15315059183,2091.0498492084453,2136.305165246527,2136.305165246527,1930.4990203853815,6456.15315059185
Non-binding_donor1_row18835_cand000241,none,14937.174419936568,AB,MP,P,M,MP_AB,M_P,3815.707319420084,3815.707319420084,2048.1115769886555,2065.3652101896214,2065.3652101896214,1916.752054765841,3815.707319420322
Non-binding_donor1_row18840_cand000516,none,16021.225919733195,AB,MP,P,M,MP_AB,M_P,4780.514940693536,4780.514940693536,2147.2547336525313,2039.828650674503,2039.828650674503,1910.805182769992,4780.514940693467
Non-binding_donor1_row18868_cand000465,none,16281.237726300902,AB,MP,P,M,MP_AB,M_P,3541.7459255513386,3541.7459255513386,2089.0602979734736,2003.4654898571644,2003.4654898571644,1894.763419464835,3541.7459255512385
Non-binding_donor1_row18848_cand000203,none,18935.510292918443,AB,MP,P,M,MP_AB,M_P,6309.821030528787,6309.821030528787,2289.335619544875,2077.854597781722,2077.854597781722,1912.9959898602656,6309.821030528663
Non-binding_donor1_row18872_cand000223,none,16998.280637863303,AB,MP,P,M,MP_AB,M_P,3445.4639952959496,3445.4639952959496,2044.9174693171276,2018.9458495591207,2018.9458495591207,1918.906884802466,3445.4639952959587
Non-binding_donor1_row1965_cand000240,none,14247.472683995273,AB,MP,P,M,MP_AB,M_P,4564.735710599522,4564.735710599522,1994.153195030528,2018.6145159349066,2018.6145159349066,1932.4242814477275,4564.7357105998435
Non-binding_donor1_row1960_cand000578,none,19621.712062774986,AB,MP,P,M,MP_AB,M_P,5340.317401032284,5340.317401032284,2018.994551601371,2047.4311443970828,2047.4311443970828,1890.9472997189532,5340.31740103244
Non-binding_donor1_row19668_cand000057,none,18898.991213350924,AB,MP,P,M,MP_AB,M_P,4142.655384190806,4142.655384190806,2043.6536182281166,2190.466927741595,2190.466927741595,1953.059060969452,4142.655384191314
Non-binding_donor1_row1968_cand000476,none,11974.329427802824,AB,MP,P,M,MP_AB,M_P,4362.144901257182,4362.144901257182,1855.7554735801582,1976.342119026588,1976.342119026588,1909.2039401440231,4362.144901257055
Non-binding_donor1_row20108_cand000132,none,20308.614164354774,AB,MP,P,M,MP_AB,M_P,4598.293015124289,4598.293015124289,1812.878272370151,1736.083649320287,1736.083649320287,1883.4483180548345,4598.293015124211
Non-binding_donor1_row20364_cand000425,none,14310.918090905438,AB,MP,P,M,MP_AB,M_P,3172.1226094514477,3172.1226094514477,1752.8918489704288,2172.425909126807,2172.425909126807,1906.9875426484064,3172.122609451377
Non-binding_donor1_row20639_cand000316,none,14651.474965924413,AB,MP,P,M,MP_AB,M_P,5497.105127204362,5497.105127204362,1645.9785640468626,2145.382227065314,2145.382227065314,1898.755670081809,5497.105127204848
Non-binding_donor1_row20864_cand000362,none,13998.867026635411,AB,MP,P,M,MP_AB,M_P,4084.8701962962023,4084.8701962962023,1778.279656494543,2013.7887202678412,2013.7887202678412,1895.4644755617574,4084.8701962960986
Non-binding_donor1_row21223_cand000088,none,12324.637796646579,AB,MP,P,M,MP_AB,M_P,1956.6989001404781,1956.6989001404781,1906.9443825952587,2026.2868307773715,2026.2868307773715,1913.1576694051516,1956.69890014058
Non-binding_donor1_row21313_cand000045,none,16720.30728726177,AB,MP,P,M,MP_AB,M_P,3455.1811159114204,3455.1811159114204,1827.7702127640941,2197.6921376222867,2197.6921376222867,1949.5610177834724,3455.1811159116296
Non-binding_donor1_row21512_cand000227,none,16445.629102884668,AB,MP,P,M,MP_AB,M_P,4093.2766061957554,4093.2766061957554,1863.197642837871,2191.2381553909618,2191.2381553909618,1952.805817573497,4093.276606195952
Non-binding_donor1_row21602_cand000496,none,21313.3603409508,AB,MP,P,M,MP_AB,M_P,9092.412852625344,9092.412852625344,2000.3920334606692,2114.0028839337424,2114.0028839337424,1918.863282599242,9092.412852625564
Non-binding_donor1_row22375_cand000444,none,9088.76074257858,AB,MP,P,M,MP_AB,M_P,571.0857324740355,571.0857324740355,1804.7580620905865,2046.2010943227751,2046.2010943227751,1902.0359815043475,571.0857324742665
Non-binding_donor1_row218_cand000551,none,10740.30705051693,AB,MP,P,M,MP_AB,M_P,1972.9486267903521,1972.9486267903521,1871.135764855829,2157.012715971367,2157.012715971367,1919.563314769669,1972.9486267903994
Non-binding_donor1_row22232_cand000373,none,11724.181457957968,AB,MP,P,M,MP_AB,M_P,2699.222548816975,2699.222548816975,1928.8823645628627,1862.3183922220987,1862.3183922220987,1974.2042135495535,2699.22254881729
Non-binding_donor1_row22391_cand000157,none,16734.641737459668,AB,MP,P,M,MP_AB,M_P,2828.369107896262,2828.369107896262,1939.8519062950058,2001.5601952403426,2001.5601952403426,1941.5021577663706,2828.3691078959855
Non-binding_donor1_row23075_cand000322,none,11106.63320229617,AB,MP,P,M,MP_AB,M_P,3696.825382897224,3696.825382897224,1842.7195163127863,1916.4418491549868,1916.4418491549868,1894.2798624207865,3696.8253828971137
Non-binding_donor1_row22782_cand000058,none,16935.85441242657,AB,MP,P,M,MP_AB,M_P,5682.74635450636,5682.74635450636,1859.0127078714768,2019.10454109347,2019.10454109347,1918.9447468117064,5682.746354506462
Non-binding_donor1_row23197_cand000455,none,11436.907493080787,AB,MP,P,M,MP_AB,M_P,3598.065166043183,3598.065166043183,2259.227968545215,2035.198041315722,2035.198041315722,1942.7493235077322,3598.0651660430767
Non-binding_donor1_row23226_cand000066,none,12016.938532576245,AB,MP,P,M,MP_AB,M_P,2070.0328455734925,2070.0328455734925,1897.126688356262,1995.568506058837,1995.568506058837,1898.6309527319709,2070.032845573278
