TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10208_cand000230,rosetta_sidechain,10649.900243048549,AB,MP,P,M,MP_AB,M_P,-1.9506312337507552,-1.9506312337507552,139.68904790031567,9255.110537331975,9255.110537331975,685.6163558536821,-1.950631233265085
Non-binding_donor1_row10464_cand000355,rosetta_sidechain,484.5864218079971,AB,MP,P,M,MP_AB,M_P,0.0016359742072609151,0.0016359742072609151,1.0246866823553233,-0.10415301137052779,-0.10415301137052779,36.5553859487173,0.0016359740023972336
Non-binding_donor1_row10017_cand000127,rosetta_sidechain,19296.471971733867,AB,MP,P,M,MP_AB,M_P,12826.285350550017,12826.285350550017,1502.7026938792826,4415.546190343443,4415.546190343443,371.6548013923686,12826.285350549846
Non-binding_donor1_row10874_cand000526,rosetta_sidechain,38162.10012206484,AB,MP,P,M,MP_AB,M_P,24609.41188427013,24609.41188427013,2117.4789589493935,11445.910270120281,11445.910270120281,1027.526030524577,24609.411884270223
Non-binding_donor1_row11119_cand000340,rosetta_sidechain,929.3451228099577,AB,MP,P,M,MP_AB,M_P,-0.00042553294190383895,-0.00042553294190383895,0.0,0.0,0.0,0.0,-0.0004255326732618414
Non-binding_donor1_row11734_cand000167,rosetta_sidechain,5915.623029935373,AB,MP,P,M,MP_AB,M_P,691.0665682667232,691.0665682667232,673.1655337928237,0.0,0.0,0.0,691.0665682664494
Non-binding_donor1_row10883_cand000306,rosetta_sidechain,34722.31132878931,AB,MP,P,M,MP_AB,M_P,9857.840035002177,9857.840035002177,1236.3271225945741,21259.94727228323,21259.94727228323,1262.1984794057173,9857.840035002188
Non-binding_donor1_row11312_cand000525,rosetta_sidechain,16755.744831333206,AB,MP,P,M,MP_AB,M_P,5808.700735717117,5808.700735717117,704.0797130753583,0.4192138770886089,0.4192138770886089,172.13265532786357,5808.700735716995
Non-binding_donor1_row11952_cand000034,rosetta_sidechain,3292.720933693307,AB,MP,P,M,MP_AB,M_P,775.792616053529,775.792616053529,358.42003948766575,0.0,0.0,0.0,775.7926160535139
Non-binding_donor1_row12276_cand000443,rosetta_sidechain,1563.3428672138652,AB,MP,P,M,MP_AB,M_P,-3.3539104675855924,-3.3539104675855924,201.45800321466598,157.05353357277139,157.05353357277139,138.89676150413715,-3.3539104677163323
Non-binding_donor1_row12085_cand000454,rosetta_sidechain,2513.895654791052,AB,MP,P,M,MP_AB,M_P,353.45982173551147,353.45982173551147,410.8544930271785,164.22423175267755,164.22423175267755,725.685159399834,353.4598217352773
Non-binding_donor1_row12759_cand000522,rosetta_sidechain,23889.85298077717,AB,MP,P,M,MP_AB,M_P,-0.42117371413769433,-0.42117371413769433,109.18974501650855,22813.260720012237,22813.260720012237,1238.69229971265,-0.4211737140722107
Non-binding_donor1_row12265_cand000237,rosetta_sidechain,-127.32755616170927,AB,MP,P,M,MP_AB,M_P,0.31389429099826316,0.31389429099826316,195.4977426041998,-33.264099652851,-33.264099652851,1952.3810975177882,0.31389429079901277
Non-binding_donor1_row12799_cand000557,rosetta_sidechain,268.08065910810785,AB,MP,P,M,MP_AB,M_P,185.49878424452123,185.49878424452123,233.12123902706207,0.0,0.0,0.0,185.4987842446316
Non-binding_donor1_row13931_cand000582,rosetta_sidechain,14460.169580485717,AB,MP,P,M,MP_AB,M_P,0.0029133659045328386,0.0029133659045328386,15.248623636899637,13557.704308394965,13557.704308394965,1135.5767891852724,0.0029133661737432703
Non-binding_donor1_row13620_cand000271,rosetta_sidechain,345.96067358583105,AB,MP,P,M,MP_AB,M_P,-0.11332265801360109,-0.11332265801360109,674.369027517791,-27.160287812343086,-27.160287812343086,1905.2701231504057,-0.11332265809971886
Non-binding_donor1_row14994_cand000349,rosetta_sidechain,1276.6869050835624,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-12
Non-binding_donor1_row15200_cand000204,rosetta_sidechain,5634.420743113422,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,1948.9602590282984,1948.9602590282984,601.9453801113383,0.0
Non-binding_donor1_row14543_cand000438,rosetta_sidechain,3980.132858781095,AB,MP,P,M,MP_AB,M_P,-0.8224167968705842,-0.8224167968705842,74.36884400736656,3990.740439514046,3990.740439514046,492.79838402597534,-0.8224167971343377
