TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10185_cand000231,openmm,-246.4054972580489,AB,MP,P,M,MP_AB,M_P,-37.07217520384546,-37.07217520384546,1911.0765310480538,-56.78962410324053,-56.78962410324053,2048.6182421920003,-37.07217520400491,-57439.192629900615 kJ/mol
Non-binding_donor1_row10440_cand000343,openmm,418.6029274029403,AB,MP,P,M,MP_AB,M_P,-48.97211967314729,-48.97211967314729,2174.204556558048,-62.49705328492683,-62.49705328492683,1822.3003431313248,-48.972119672820384,-45139.83144448605 kJ/mol
Non-binding_donor1_row10849_cand000521,openmm,-230.14940781022335,AB,MP,P,M,MP_AB,M_P,-44.67133505742757,-44.67133505742757,1898.1083313407541,-58.801912400895276,-58.801912400895276,1918.9271538928465,-44.671335057138265,-57203.468403583756 kJ/mol
Non-binding_donor1_row10858_cand000323,openmm,-194.84264297931256,AB,MP,P,M,MP_AB,M_P,-61.8133774360617,-61.8133774360617,2318.709340201525,-56.81775127629866,-56.81775127629866,1972.5139281036577,-61.813377435884405,-56187.70880288101 kJ/mol
Non-binding_donor1_row11092_cand000345,openmm,-293.5118237456768,AB,MP,P,M,MP_AB,M_P,-43.948104661331854,-43.948104661331854,2039.3672602396343,-57.00675249355838,-57.00675249355838,2065.3198718237322,-43.94810466185373,-56591.144298044666 kJ/mol
Non-binding_donor1_row11284_cand000532,openmm,-68.50940066250696,AB,MP,P,M,MP_AB,M_P,-40.04528803938388,-40.04528803938388,2098.882312871998,-60.09005948761951,-60.09005948761951,1987.4215609468313,-40.045288038949366,-56179.963238409575 kJ/mol
Non-binding_donor1_row11705_cand000165,openmm,34.332762811191586,AB,MP,P,M,MP_AB,M_P,-51.51361954645773,-51.51361954645773,2091.3066375620365,-53.320763682130284,-53.320763682130284,1860.87817007514,-51.51361954641611,-58044.32940754508 kJ/mol
Non-binding_donor1_row11923_cand000034,openmm,-166.39750269244433,AB,MP,P,M,MP_AB,M_P,-52.962141117852084,-52.962141117852084,2251.966289603217,-51.280673214320544,-51.280673214320544,2037.3464792465807,-52.96214111787074,-54809.46752308362 kJ/mol
Non-binding_donor1_row12056_cand000442,openmm,-220.6207675091144,AB,MP,P,M,MP_AB,M_P,-47.336308622591616,-47.336308622591616,2226.8939755517126,-60.8377636790171,-60.8377636790171,1894.3562768139486,-47.33630862223572,-57223.48296218139 kJ/mol
Non-binding_donor1_row12236_cand000236,openmm,-359.5272823993893,AB,MP,P,M,MP_AB,M_P,-37.36984079056799,-37.36984079056799,1791.2066897025531,-59.584343616666196,-59.584343616666196,1913.196757023377,-37.369840790693274,-58064.65959642171 kJ/mol
Non-binding_donor1_row12247_cand000449,openmm,-214.81248261776497,AB,MP,P,M,MP_AB,M_P,-38.748033641381056,-38.748033641381056,1865.994342917228,-70.13485837011753,-70.13485837011753,1930.903308453313,-38.748033641709725,-54970.14468836207 kJ/mol
