TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10018_cand000412,openmm,367.1849096958444,AB,MP,P,M,MP_AB,M_P,-36.613570716624224,-36.613570716624224,2099.400760987048,-53.27961591232382,-53.27961591232382,1497.9646291663464,-36.613570716436016,-48544.27213502457 kJ/mol
Non-binding_donor1_row10127_cand000113,openmm,379.48144561078936,AB,MP,P,M,MP_AB,M_P,-34.68087234225857,-34.68087234225857,1980.2878883306823,-59.51946219620629,-59.51946219620629,1652.7576478151561,-34.68087234230035,-41699.22250309024 kJ/mol
Non-binding_donor1_row10203_cand000271,openmm,-242.20551225305945,AB,MP,P,M,MP_AB,M_P,-40.06484977252336,-40.06484977252336,1854.0301729509583,-61.571432953687875,-61.571432953687875,1669.216948176523,-40.064849772600894,-57823.18372018541 kJ/mol
Non-binding_donor1_row10176_cand000317,openmm,509.5760046193466,AB,MP,P,M,MP_AB,M_P,-26.524594225266128,-26.524594225266128,1513.2318231064876,-63.7970128044949,-63.7970128044949,1634.1950938358157,-26.524594225163582,-44930.06752787353 kJ/mol
Non-binding_donor1_row10956_cand000296,openmm,10034.089977834741,AB,MP,P,M,MP_AB,M_P,4378.453974613775,4378.453974613775,2089.0727867738997,178.51072475200567,178.51072475200567,1654.6168035624562,4378.4539746139,1.7495628636701363e+17 kJ/mol
Non-binding_donor1_row11148_cand000516,openmm,509.4140026669319,AB,MP,P,M,MP_AB,M_P,250.1471551159911,250.1471551159911,1901.0702248945574,-62.20703244168264,-62.20703244168264,1602.9499303139328,250.1471551161742,-37213.87719343454 kJ/mol
Non-binding_donor1_row11171_cand000357,openmm,-258.0702050684037,AB,MP,P,M,MP_AB,M_P,-39.157029966221046,-39.157029966221046,1752.0696902944744,-61.41615275363294,-61.41615275363294,1729.827012624568,-39.157029966595815,-52300.83798321644 kJ/mol
Non-binding_donor1_row1118_cand000153,openmm,-255.6974905446791,AB,MP,P,M,MP_AB,M_P,-27.77901935019804,-27.77901935019804,1788.0835509969213,-60.69629687734684,-60.69629687734684,1628.950813826631,-27.77901935066498,-47941.5685784909 kJ/mol
Non-binding_donor1_row11213_cand000577,openmm,-153.10344902712228,AB,MP,P,M,MP_AB,M_P,-39.457456775377636,-39.457456775377636,1781.6194409809702,-62.27954046742056,-62.27954046742056,1619.5272614748474,-39.45745677537897,-54713.425232213245 kJ/mol
Non-binding_donor1_row11502_cand000452,openmm,-149.3826609737655,AB,MP,P,M,MP_AB,M_P,-31.103614315233514,-31.103614315233514,1694.4750195595725,-56.41106984042345,-56.41106984042345,1649.9512824902522,-31.103614315475625,-52430.51096407007 kJ/mol
Non-binding_donor1_row11584_cand000078,openmm,5566.786266724409,AB,MP,P,M,MP_AB,M_P,950.5516873004508,950.5516873004508,1978.5455998300968,52.80779755383446,52.80779755383446,1692.7352831182027,950.5516873002434,55256077.38910681 kJ/mol
Non-binding_donor1_row12104_cand000009,openmm,-302.2432359613533,AB,MP,P,M,MP_AB,M_P,-42.99579335279543,-42.99579335279543,2173.7709236876267,-54.67294427891525,-54.67294427891525,1586.6859206603363,-42.99579335264343,-56243.1710342525 kJ/mol
Non-binding_donor1_row12123_cand000318,openmm,-358.0707463081795,AB,MP,P,M,MP_AB,M_P,-35.651772063312706,-35.651772063312706,1674.2015076789733,-68.34513871821896,-68.34513871821896,1666.3983888179112,-35.651772063289854,-50742.3588121876 kJ/mol
Non-binding_donor1_row12385_cand000594,openmm,-359.6350514724012,AB,MP,P,M,MP_AB,M_P,-57.20259625483277,-57.20259625483277,2176.2304804546307,-54.7457950460346,-54.7457950460346,1654.2192098018336,-57.20259625448921,-53297.27374788358 kJ/mol
Non-binding_donor1_row12429_cand000178,openmm,-406.4063534382217,AB,MP,P,M,MP_AB,M_P,-36.47340755418048,-36.47340755418048,1522.6240836440375,-66.40484897203012,-66.40484897203012,1682.7601136385624,-36.47340755443361,-52953.90146710542 kJ/mol
Non-binding_donor1_row12543_cand000526,openmm,25.152466743996442,AB,MP,P,M,MP_AB,M_P,296.70752011730326,296.70752011730326,1940.7451735631955,-65.36143192448509,-65.36143192448509,1598.2266039369024,296.7075201180063,-43176.35373069653 kJ/mol
Non-binding_donor1_row12603_cand000211,openmm,-353.1235460144381,AB,MP,P,M,MP_AB,M_P,-36.458667547576454,-36.458667547576454,1888.4850978085046,-57.654927426913815,-57.654927426913815,1617.4316485204872,-36.45866754763637,-53686.33129122397 kJ/mol
Non-binding_donor1_row12670_cand000470,openmm,-53.983806452144165,AB,MP,P,M,MP_AB,M_P,-58.46408784071211,-58.46408784071211,2290.3150595360003,-56.49691062900578,-56.49691062900578,1539.0945075705029,-58.46408784041596,-54102.985651374125 kJ/mol
Non-binding_donor1_row12923_cand000474,openmm,-355.81883136088254,AB,MP,P,M,MP_AB,M_P,-26.442689413693245,-26.442689413693245,1685.700109128019,-64.62419378176598,-64.62419378176598,1653.2531351542693,-26.442689413767596,-54861.68365614737 kJ/mol
Non-binding_donor1_row12844_cand000226,openmm,-234.16034212998042,AB,MP,P,M,MP_AB,M_P,-33.543202774588025,-33.543202774588025,1880.160971016156,-59.937770999912246,-59.937770999912246,1685.8899078664092,-33.5432027749969,-52566.34741316741 kJ/mol
Non-binding_donor1_row12973_cand000423,openmm,-393.996848741954,AB,MP,P,M,MP_AB,M_P,-42.77438386355033,-42.77438386355033,2083.443921524783,-64.96157105283872,-64.96157105283872,1663.1393316271524,-42.77438386356482,-53097.26099874495 kJ/mol
Non-binding_donor1_row13475_cand000502,openmm,-303.4592214597719,AB,MP,P,M,MP_AB,M_P,-49.244536944875165,-49.244536944875165,1863.2140877179336,-59.16226299560789,-59.16226299560789,1642.9921427993033,-49.24453694481474,-49251.641091697325 kJ/mol
Non-binding_donor1_row13699_cand000203,openmm,-471.0453641363138,AB,MP,P,M,MP_AB,M_P,-41.38885734697618,-41.38885734697618,1725.4578717304091,-62.05739436947968,-62.05739436947968,1685.3599716063716,-41.38885734675176,-51556.92688268282 kJ/mol
Non-binding_donor1_row13851_cand000217,openmm,-253.15543692876705,AB,MP,P,M,MP_AB,M_P,-40.53618449808235,-40.53618449808235,1963.3788437706442,-61.82004104398524,-61.82004104398524,1640.5933002192107,-40.536184497930066,-48682.83252552657 kJ/mol
Non-binding_donor1_row14151_cand000414,openmm,-250.83155972229417,AB,MP,P,M,MP_AB,M_P,-33.856063113516996,-33.856063113516996,1707.2698964366211,-61.345134750344016,-61.345134750344016,1675.983597443524,-33.85606311335718,-53972.777585173695 kJ/mol
Non-binding_donor1_row14221_cand000425,openmm,-84.90622694114028,AB,MP,P,M,MP_AB,M_P,-46.57543125423573,-46.57543125423573,1744.4734666414538,-50.98424478140236,-50.98424478140236,1485.5144664520944,-46.575431254356005,-52714.90312732146 kJ/mol
Non-binding_donor1_row14299_cand000430,openmm,-240.8313866686586,AB,MP,P,M,MP_AB,M_P,-31.145473056926193,-31.145473056926193,1704.5325297948118,-65.91544882683034,-65.91544882683034,1658.2988044515957,-31.145473057382105,-54742.196098796776 kJ/mol
Non-binding_donor1_row14387_cand000209,openmm,-197.1385595937008,AB,MP,P,M,MP_AB,M_P,-38.30779586776771,-38.30779586776771,1777.7601223968468,-68.53410617740127,-68.53410617740127,1767.6572956572063,-38.30779586717773,-51467.57417706013 kJ/mol
Non-binding_donor1_row145_cand000319,openmm,-274.84064953983744,AB,MP,P,M,MP_AB,M_P,-32.02220214760382,-32.02220214760382,1622.5123873002508,-57.68800188037079,-57.68800188037079,1666.9495017395393,-32.02220214810569,-46547.421470321264 kJ/mol
Non-binding_donor1_row14709_cand000140,openmm,155.83557461282942,AB,MP,P,M,MP_AB,M_P,-51.765818601864396,-51.765818601864396,2054.6208949107418,-64.1835312439539,-64.1835312439539,1669.973311818186,-51.76581860141232,-47187.21274253357 kJ/mol
Non-binding_donor1_row1476_cand000416,openmm,-321.4300114719392,AB,MP,P,M,MP_AB,M_P,-30.46787534423038,-30.46787534423038,1807.7237953687459,-66.05844164712829,-66.05844164712829,1515.6984930598214,-30.46787534447793,-53193.50084912271 kJ/mol
Non-binding_donor1_row14785_cand000120,openmm,-349.7717290335029,AB,MP,P,M,MP_AB,M_P,-26.39336050947668,-26.39336050947668,1548.2031404690752,-65.89359407082685,-65.89359407082685,1711.672074474266,-26.393360509556032,-54529.75308230085 kJ/mol
Non-binding_donor1_row14826_cand000112,openmm,-152.05235374881337,AB,MP,P,M,MP_AB,M_P,-34.991609995628906,-34.991609995628906,1600.635445314354,-70.05140611526288,-70.05140611526288,1665.2215094247817,-34.99160999592337,-55770.23492736906 kJ/mol
Non-binding_donor1_row1488_cand000221,openmm,-122.91409752817835,AB,MP,P,M,MP_AB,M_P,-38.090564292122494,-38.090564292122494,2095.7866727983574,-57.4756742487787,-57.4756742487787,1658.0248343011463,-38.090564292166306,-51980.516088274075 kJ/mol
Non-binding_donor1_row14999_cand000509,openmm,-317.7603534126095,AB,MP,P,M,MP_AB,M_P,-46.234512126808625,-46.234512126808625,1839.2236373350788,-60.650749812849796,-60.650749812849796,1604.1205497928117,-46.23451212662036,-55196.255677034555 kJ/mol
Non-binding_donor1_row15266_cand000019,openmm,-50.35755027472443,AB,MP,P,M,MP_AB,M_P,-45.946272726587296,-45.946272726587296,2049.9087463979436,-56.04685851564402,-56.04685851564402,1426.0085903730878,-45.94627272664145,-49810.81751051896 kJ/mol
Non-binding_donor1_row15385_cand000542,openmm,-333.9192331181637,AB,MP,P,M,MP_AB,M_P,-41.69678345482987,-41.69678345482987,1735.3463487668482,-60.8554555654471,-60.8554555654471,1622.6627028124512,-41.69678345494344,-51136.68978389544 kJ/mol
