TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Binding_donor1_row1_cand000004,none,29356.681197202503,AB,MP,P,M,MP_AB,M_P,4269.024021048794,4269.024021048794,1737.1643380148575,4752.811643514677,4752.811643514677,1904.1995614582897,4269.024021049194
Binding_donor1_row2_cand000024,none,27907.144148781194,AB,MP,P,M,MP_AB,M_P,3136.391100203433,3136.391100203433,1808.8795756704726,4666.7349068669,4666.7349068669,1915.1179456508023,3136.3911002034256
Binding_donor1_row4_cand000014,none,24783.110056929974,AB,MP,P,M,MP_AB,M_P,3190.423813274414,3190.423813274414,1772.5815831228201,4703.965972301916,4703.965972301916,1903.1892485319518,3190.423813274683
Binding_donor1_row3_cand000019,none,24502.087213106086,AB,MP,P,M,MP_AB,M_P,1564.3700975633183,1564.3700975633183,1637.5122045560042,4669.831985256953,4669.831985256953,1936.2453346576283,1564.370097563191
Binding_donor1_row5_cand000005,none,25971.37862342139,AB,MP,P,M,MP_AB,M_P,5307.6407274417,5307.6407274417,1832.202844857932,4707.516766493938,4707.516766493938,1925.7070056060109,5307.640727441216
Binding_donor1_row0_cand000026,none,28269.819272658362,AB,MP,P,M,MP_AB,M_P,1378.2830496850438,1378.2830496850438,1690.8786871871396,4639.271221977031,4639.271221977031,1894.6374609919733,1378.283049684771
Binding_donor2_row10_cand000033,none,25234.438985328088,AB,MP,P,M,MP_AB,M_P,6280.329204585705,6280.329204585705,1572.021935780742,4363.831634861126,4363.831634861126,1890.390555201605,6280.329204586134
Binding_donor1_row6_cand000016,none,18755.748947039607,AB,MP,P,M,MP_AB,M_P,6778.069458470067,6778.069458470067,1973.2317316043805,4047.2488868221917,4047.2488868221917,1931.019112988438,6778.069458470371
Binding_donor2_row13_cand000032,none,15888.61030276169,AB,MP,P,M,MP_AB,M_P,3591.30207406328,3591.30207406328,1751.4666441313254,4207.580468228859,4207.580468228859,1875.973282308053,3591.30207406316
Binding_donor2_row11_cand000021,none,21998.07682145662,AB,MP,P,M,MP_AB,M_P,3196.350605865944,3196.350605865944,1517.8815276171588,4632.414510759876,4632.414510759876,1920.8789517168423,3196.350605866064
Binding_donor1_row9_cand000023,none,23159.48961169796,AB,MP,P,M,MP_AB,M_P,7573.083870937162,7573.083870937162,1702.2600335385273,4830.1605132111945,4830.1605132111945,1859.909876920171,7573.083870937116
Binding_donor2_row14_cand000007,none,27693.601117602,AB,MP,P,M,MP_AB,M_P,4195.400431369937,4195.400431369937,1646.6239480191557,4581.195728729413,4581.195728729413,1937.9997784068278,4195.400431369995
Binding_donor2_row15_cand000002,none,31342.66153662508,AB,MP,P,M,MP_AB,M_P,5989.292588593329,5989.292588593329,1980.3803054538319,4831.601749631541,4831.601749631541,1868.3638019097357,5989.292588593387
Binding_donor2_row18_cand000001,none,22863.89322923635,AB,MP,P,M,MP_AB,M_P,1329.2087385520244,1329.2087385520244,1599.5719347524152,4773.895992981617,4773.895992981617,1909.3362826434382,1329.2087385519808
Binding_donor2_row16_cand000030,none,31993.65503504903,AB,MP,P,M,MP_AB,M_P,3696.186075307025,3696.186075307025,1848.3633138232813,4720.9779594193915,4720.9779594193915,1923.8378045192383,3696.1860753071633
Binding_donor2_row17_cand000010,none,26303.934796987636,AB,MP,P,M,MP_AB,M_P,2056.938193120852,2056.938193120852,1698.2433017699109,4642.495053087458,4642.495053087458,1929.1115767142724,2056.9381931211174
Binding_donor2_row19_cand000003,none,28004.34619363814,AB,MP,P,M,MP_AB,M_P,3771.3337682630263,3771.3337682630263,1717.2792355845065,4702.525871482761,4702.525871482761,1896.289069941645,3771.333768263048
Binding_donor2_row20_cand000031,none,24736.958598120575,AB,MP,P,M,MP_AB,M_P,3147.2508156127187,3147.2508156127187,1785.9617813748375,4709.55627780334,4709.55627780334,1906.319438367762,3147.2508156127406
Binding_donor2_row23_cand000025,none,30064.22272405657,AB,MP,P,M,MP_AB,M_P,3664.6725215206316,3664.6725215206316,1840.7269088123694,4647.165337798,4647.165337798,1930.7543892045137,3664.6725215210245
Binding_donor2_row24_cand000028,none,27330.532170341885,AB,MP,P,M,MP_AB,M_P,3265.2122833480717,3265.2122833480717,1794.342255152459,4624.611047168664,4624.611047168664,1903.937731042415,3265.2122833482063
Binding_donor2_row22_cand000006,none,33158.78047649359,AB,MP,P,M,MP_AB,M_P,5595.117569050159,5595.117569050159,1682.658310522548,4762.2013077156735,4762.2013077156735,1908.7371770458894,5595.117569049959
Binding_donor2_row21_cand000020,none,32684.326106189714,AB,MP,P,M,MP_AB,M_P,8031.855574139216,8031.855574139216,1993.4097933674427,4653.177628326547,4653.177628326547,1903.0505607910789,8031.855574139103
Binding_donor2_row25_cand000034,none,27129.661782709765,AB,MP,P,M,MP_AB,M_P,3991.8234055658613,3991.8234055658613,1785.5929428832687,4707.787625319137,4707.787625319137,1913.1840587834413,3991.823405566214
Binding_donor2_row26_cand000015,none,29743.17287106589,AB,MP,P,M,MP_AB,M_P,6447.121871892356,6447.121871892356,1876.496206223007,4658.87117130574,4658.87117130574,1957.454614512958,6447.121871892257
Binding_donor2_row29_cand000013,none,26227.635426957575,AB,MP,P,M,MP_AB,M_P,2801.4845453113776,2801.4845453113776,1667.469733968936,4731.871628755527,4731.871628755527,1909.7823345011154,2801.4845453111266
Binding_donor2_row30_cand000027,none,26225.447275027513,AB,MP,P,M,MP_AB,M_P,1540.0266679715423,1540.0266679715423,1782.4728139009685,4582.573171323228,4582.573171323228,1929.6463688681401,1540.0266679716187
