TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10030_cand000515,openmm,477.3281797664067,AB,MP,P,M,MP_AB,M_P,-53.04061258781178,-53.04061258781178,2553.557152008886,-43.278319715645736,-43.278319715645736,1628.715093536366,-53.04061258790523,-44668.11370390252 kJ/mol
Non-binding_donor1_row10212_cand000275,openmm,-232.19133730358863,AB,MP,P,M,MP_AB,M_P,-60.0716984703073,-60.0716984703073,2633.972126825916,-52.28125508983794,-52.28125508983794,1540.657182298512,-60.071698470191166,-58062.421029019715 kJ/mol
Non-binding_donor1_row1034_cand000071,openmm,-295.20866609153575,AB,MP,P,M,MP_AB,M_P,-36.934051855681844,-36.934051855681844,1860.6068217970771,-56.77129154097324,-56.77129154097324,1740.2400425499297,-36.93405185588972,-55526.56945339895 kJ/mol
Non-binding_donor1_row10500_cand000544,openmm,-254.32010808102345,AB,MP,P,M,MP_AB,M_P,-54.34694753368501,-54.34694753368501,2348.836298421221,-47.75365855794143,-47.75365855794143,1602.9642342567809,-54.34694753353355,-60397.72962752404 kJ/mol
Non-binding_donor1_row10579_cand000589,openmm,-265.98897455503686,AB,MP,P,M,MP_AB,M_P,-59.000928734142775,-59.000928734142775,2357.620788771113,-55.78128336277196,-55.78128336277196,1648.3251010485274,-59.000928733648465,-54562.36005472183 kJ/mol
Non-binding_donor1_row10671_cand000233,openmm,-71.18810654029758,AB,MP,P,M,MP_AB,M_P,-40.88757201519111,-40.88757201519111,2212.356119799395,-58.74905440560855,-58.74905440560855,1572.555013633433,-40.88757201510924,-55707.34458514248 kJ/mol
Non-binding_donor1_row10684_cand000329,openmm,-133.5563134596929,AB,MP,P,M,MP_AB,M_P,-45.44943201660993,-45.44943201660993,2237.1688529705048,-52.13399938311054,-52.13399938311054,1553.3571132642528,-45.44943201668474,-59532.118456451666 kJ/mol
Non-binding_donor1_row1069_cand000064,openmm,-130.30757369624612,AB,MP,P,M,MP_AB,M_P,-49.26262666347503,-49.26262666347503,2156.7287841973393,-56.70988924543516,-56.70988924543516,1720.8070036669023,-49.26262666315016,-56747.079889353954 kJ/mol
Non-binding_donor1_row10763_cand000192,openmm,592.9438928406024,AB,MP,P,M,MP_AB,M_P,-61.697054635438235,-61.697054635438235,2390.071416300763,-52.96515603215255,-52.96515603215255,1692.9214825998247,-61.697054635513155,-46771.5884077378 kJ/mol
Non-binding_donor1_row10865_cand000058,openmm,-414.76094138011234,AB,MP,P,M,MP_AB,M_P,-59.946610930472275,-59.946610930472275,2302.5252433566125,-50.75397936091588,-50.75397936091588,1632.687462913905,-59.9466109301639,-57645.52966187004 kJ/mol
Non-binding_donor1_row10873_cand000260,openmm,16682.60731773454,AB,MP,P,M,MP_AB,M_P,5945.163174626881,5945.163174626881,2257.128795119181,59.77088627032117,59.77088627032117,1654.2445519825721,5945.1631746269195,14143279109.709648 kJ/mol
Non-binding_donor1_row10988_cand000146,openmm,-217.15751226862903,AB,MP,P,M,MP_AB,M_P,-55.676697602647806,-55.676697602647806,2312.087095598323,-51.5988465444836,-51.5988465444836,1630.7677015779573,-55.67669760297372,-56529.37388228986 kJ/mol
Non-binding_donor1_row11253_cand000265,openmm,160.62311094807757,AB,MP,P,M,MP_AB,M_P,293.62633666931583,293.62633666931583,2395.81061738668,-45.84334437420951,-45.84334437420951,1640.0051552893644,293.62633666910057,-49430.642506986806 kJ/mol
Non-binding_donor1_row11278_cand000445,openmm,-42.06169315096315,AB,MP,P,M,MP_AB,M_P,-57.48257400714004,-57.48257400714004,2194.8599076938895,-51.55902744251268,-51.55902744251268,1712.276819424554,-57.48257400757696,-56064.53323269349 kJ/mol
Non-binding_donor1_row11303_cand000383,openmm,-17.624387736230616,AB,MP,P,M,MP_AB,M_P,-35.88975659796287,-35.88975659796287,1991.804594661836,-55.605937206290754,-55.605937206290754,1672.410109491745,-35.88975659798891,-51929.67776506978 kJ/mol
Non-binding_donor1_row11360_cand000381,openmm,-389.4079335342556,AB,MP,P,M,MP_AB,M_P,-54.80624190822391,-54.80624190822391,2236.3119583639273,-51.210032857714936,-51.210032857714936,1681.0170339220485,-54.80624190793486,-56690.199272798054 kJ/mol
Non-binding_donor1_row11427_cand000427,openmm,-125.1230140783961,AB,MP,P,M,MP_AB,M_P,-39.97557918282101,-39.97557918282101,1912.2769917786325,-49.02393603880533,-49.02393603880533,1587.57901727411,-39.975579182999596,-54345.072166832724 kJ/mol
Non-binding_donor1_row11444_cand000560,openmm,-262.45701363367976,AB,MP,P,M,MP_AB,M_P,-44.19028333085305,-44.19028333085305,2025.7060484640092,-54.25614669156333,-54.25614669156333,1663.3272919520637,-44.19028333100104,-51060.6396628033 kJ/mol
