TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10217_cand000284,rosetta_sidechain,1698.044109374205,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-2.2737367544323206e-13
Non-binding_donor1_row10344_cand000167,rosetta_sidechain,9329.855253900489,AB,MP,P,M,MP_AB,M_P,7774.281298589085,7774.281298589085,707.9590447682378,0.0,0.0,0.0,7774.2812985892
Non-binding_donor1_row1046_cand000007,rosetta_sidechain,458.8214739593055,AB,MP,P,M,MP_AB,M_P,33.43452488963686,33.43452488963686,247.17686418556286,127.52787276307886,127.52787276307886,1391.8891488258507,33.43452488953898
Non-binding_donor1_row1001_cand000507,rosetta_sidechain,23881.51610868848,AB,MP,P,M,MP_AB,M_P,0.09360076517623384,0.09360076517623384,10.817930797786858,23072.00375979809,23072.00375979809,1369.7974770428264,0.09360076514713
Non-binding_donor1_row10555_cand000286,rosetta_sidechain,9077.767775832846,AB,MP,P,M,MP_AB,M_P,1537.2737749765975,1537.2737749765975,585.5037269679644,6391.241356741665,6391.241356741665,603.2186171932153,1537.2737749765265
Non-binding_donor1_row10593_cand000330,rosetta_sidechain,14102.414685415883,AB,MP,P,M,MP_AB,M_P,7652.031798313818,7652.031798313818,1417.6851617124403,2769.6200846913293,2769.6200846913293,368.6221870972733,7652.031798313308
Non-binding_donor1_row10697_cand000536,rosetta_sidechain,19481.491335503153,AB,MP,P,M,MP_AB,M_P,4236.547293009049,4236.547293009049,403.0759639160225,14479.407255143771,14479.407255143771,1135.7151666453894,4236.547293009033
Non-binding_donor1_row10831_cand000170,rosetta_sidechain,1549.5187825334071,AB,MP,P,M,MP_AB,M_P,-3.394540326617971,-3.394540326617971,260.759838668586,2.0662621519314257,2.0662621519314257,380.1520726035337,-3.3945403269183316
Non-binding_donor1_row10600_cand000157,rosetta_sidechain,368.9527302553156,AB,MP,P,M,MP_AB,M_P,-13.900723659565529,-13.900723659565529,963.8027485980705,-25.28689876859505,-25.28689876859505,1842.3679837303778,-13.900723659838604
Non-binding_donor1_row11093_cand000231,rosetta_sidechain,1013.8677977429109,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-2.4413570258730033e-06,-2.4413570258730033e-06,0.0,0.02378207627646134
