TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10221_cand000591,openmm,377.97682209494724,AB,MP,P,M,MP_AB,M_P,-45.658537522781444,-45.658537522781444,2059.4469242179794,-55.88715692177222,-55.88715692177222,1805.9515570181952,-45.65853752261694,-44597.71182147127 kJ/mol
Non-binding_donor1_row10046_cand000260,openmm,21.783545493320403,AB,MP,P,M,MP_AB,M_P,254.37908016114602,254.37908016114602,1965.8862923723234,-55.45982014328881,-55.45982014328881,1895.8682283953856,254.3790801609153,-47222.80539793509 kJ/mol
Non-binding_donor1_row10348_cand000422,openmm,13.320952749814197,AB,MP,P,M,MP_AB,M_P,317.45237902941926,317.45237902941926,2058.9441297670646,-52.04294799648011,-52.04294799648011,1844.15977752557,317.45237902941676,-54438.978713941484 kJ/mol
Non-binding_donor1_row1046_cand000525,openmm,-264.77220770938675,AB,MP,P,M,MP_AB,M_P,-51.078248104088715,-51.078248104088715,2227.918669991086,-61.901272571149256,-61.901272571149256,1812.0325013286722,-51.07824810383332,-55876.1535242379 kJ/mol
Non-binding_donor1_row10536_cand000035,openmm,-103.16261654002065,AB,MP,P,M,MP_AB,M_P,-34.31069234932774,-34.31069234932774,1856.1512987404728,-49.764202273141045,-49.764202273141045,1781.019373513078,-34.31069234946396,-53051.2834850744 kJ/mol
Non-binding_donor1_row10611_cand000542,openmm,238.29564290803063,AB,MP,P,M,MP_AB,M_P,385.617464471214,385.617464471214,2412.583852059858,-48.38698195305789,-48.38698195305789,1782.232385100233,385.6174644709988,-49565.80876915068 kJ/mol
Non-binding_donor1_row1061_cand000207,openmm,-219.52925066282666,AB,MP,P,M,MP_AB,M_P,-46.35344942291931,-46.35344942291931,2031.833348719419,-52.56716908839557,-52.56716908839557,1818.6124081227283,-46.353449422735366,-55485.603163887274 kJ/mol
Non-binding_donor1_row10715_cand000169,openmm,118.54588872292263,AB,MP,P,M,MP_AB,M_P,263.71990813780394,263.71990813780394,1929.0408714870193,-53.12516798807348,-53.12516798807348,1858.3444639644918,263.71990813753473,-49592.30037861837 kJ/mol
Non-binding_donor1_row10832_cand000335,openmm,-238.47546054887152,AB,MP,P,M,MP_AB,M_P,-45.593974128586865,-45.593974128586865,2051.2539841292287,-62.41807367279719,-62.41807367279719,1813.1396373648918,-45.59397412839354,-59856.8125849975 kJ/mol
Non-binding_donor1_row10847_cand000164,openmm,334.730604431949,AB,MP,P,M,MP_AB,M_P,-55.268875546644836,-55.268875546644836,2271.681559861821,-57.23402207062129,-57.23402207062129,1792.591379631953,-55.26887554733264,-45312.31340400963 kJ/mol
