TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row1001_cand000507,openmm,-231.49212461727177,AB,MP,P,M,MP_AB,M_P,-41.80411768028151,-41.80411768028151,1714.522716863039,-61.0794737264705,-61.0794737264705,1642.1255829471786,-41.8041176799523,-56151.64143859484 kJ/mol
Non-binding_donor1_row10081_cand000598,openmm,-159.64796435038778,AB,MP,P,M,MP_AB,M_P,-38.54230436167636,-38.54230436167636,1965.3511589096233,-57.43496832569401,-57.43496832569401,1738.582383125518,-38.54230436194479,-57052.58046217024 kJ/mol
Non-binding_donor1_row10289_cand000522,openmm,21219.99686091515,AB,MP,P,M,MP_AB,M_P,10800.187292480123,10800.187292480123,1522.0685026795234,-15.30399379237997,-15.30399379237997,1770.947892886803,10800.187292480176,1733381595705443.0 kJ/mol
Non-binding_donor1_row1046_cand000007,openmm,-273.4020019629107,AB,MP,P,M,MP_AB,M_P,-40.397554837611096,-40.397554837611096,1985.8177274765503,-71.65126846746332,-71.65126846746332,1798.0532750492953,-40.397554836970016,-53751.64667719293 kJ/mol
Non-binding_donor1_row10550_cand000353,openmm,-198.63466201643934,AB,MP,P,M,MP_AB,M_P,-38.00239819349562,-38.00239819349562,1722.9738648398372,-64.20482788137501,-64.20482788137501,1744.9248320570762,-38.00239819343847,-53150.52784630969 kJ/mol
Non-binding_donor1_row1050_cand000587,openmm,-300.9282762281662,AB,MP,P,M,MP_AB,M_P,-42.676988798434934,-42.676988798434934,1656.8843896257804,-71.95252883943266,-71.95252883943266,1770.6464628894553,-42.67698879855385,-55698.51864210297 kJ/mol
Non-binding_donor1_row10555_cand000359,openmm,355.19894884711977,AB,MP,P,M,MP_AB,M_P,-35.95405297757941,-35.95405297757941,1711.179472746183,-68.80068601842227,-68.80068601842227,1688.5642875147685,-35.95405297753297,-42075.72550224369 kJ/mol
Non-binding_donor1_row10556_cand000282,openmm,-249.3148828815889,AB,MP,P,M,MP_AB,M_P,-40.485911967109615,-40.485911967109615,2261.6348861819806,-68.2870885588607,-68.2870885588607,1694.7081645195626,-40.485911966938914,-53853.167809799954 kJ/mol
Non-binding_donor1_row10602_cand000182,openmm,916.6423763027432,AB,MP,P,M,MP_AB,M_P,326.79289203696294,326.79289203696294,2141.036559920735,-51.730256521755095,-51.730256521755095,1708.0337456015206,326.7928920372259,-41334.37373593444 kJ/mol
Non-binding_donor1_row10611_cand000369,openmm,-292.590685399648,AB,MP,P,M,MP_AB,M_P,-40.699033081291816,-40.699033081291816,2052.2758239856485,-72.07685492219723,-72.07685492219723,1733.529034379482,-40.699033081021526,-57146.65349109807 kJ/mol
Non-binding_donor1_row10783_cand000307,openmm,825.7425881365009,AB,MP,P,M,MP_AB,M_P,-39.54032078247178,-39.54032078247178,1924.5847045978467,-74.13970545731989,-74.13970545731989,1706.1974808169884,-39.5403207825251,-39898.71836196384 kJ/mol
Non-binding_donor1_row10800_cand000152,openmm,352.09889328947014,AB,MP,P,M,MP_AB,M_P,-39.81280535283338,-39.81280535283338,1765.3152887545782,-67.51123448215417,-67.51123448215417,1738.1642565358725,-39.81280535265125,-41611.52120805731 kJ/mol
Non-binding_donor1_row10878_cand000525,openmm,-293.12913512772946,AB,MP,P,M,MP_AB,M_P,-35.085760881556496,-35.085760881556496,1770.095986043376,-62.00983782344119,-62.00983782344119,1770.263925502513,-35.08576088140546,-53731.602930220775 kJ/mol
Non-binding_donor1_row10978_cand000478,openmm,566.9082046907934,AB,MP,P,M,MP_AB,M_P,652.2615250324151,652.2615250324151,2093.782150516914,-64.55426048106102,-64.55426048106102,1758.9210229367825,652.2615250327578,-36602.67320154108 kJ/mol
Non-binding_donor1_row11048_cand000319,openmm,353.73983474786144,AB,MP,P,M,MP_AB,M_P,-48.71588281101856,-48.71588281101856,1851.645626556695,-61.54738510483801,-61.54738510483801,1854.893839435034,-48.71588281104431,-43359.11173767262 kJ/mol
Non-binding_donor1_row110_cand000198,openmm,-77.04287157450082,AB,MP,P,M,MP_AB,M_P,-43.72625408289984,-43.72625408289984,1898.9291015103256,-53.343599023804956,-53.343599023804956,1801.627391319605,-43.7262540826623,-56960.78318153888 kJ/mol
Non-binding_donor1_row11126_cand000577,openmm,-375.0319373197482,AB,MP,P,M,MP_AB,M_P,-37.967048369209635,-37.967048369209635,2117.205244780567,-71.02151537537551,-71.02151537537551,1695.9923777831802,-37.967048369504255,-54372.067275282025 kJ/mol
Non-binding_donor1_row11263_cand000110,openmm,-288.443248075244,AB,MP,P,M,MP_AB,M_P,-47.24453663077563,-47.24453663077563,2022.594553043742,-78.31730428074198,-78.31730428074198,1733.4806616096357,-47.2445366305374,-53969.80203361358 kJ/mol
Non-binding_donor1_row11293_cand000138,openmm,14206.000038039097,AB,MP,P,M,MP_AB,M_P,6268.807917691229,6268.807917691229,2159.8589895471882,123.67725980653358,123.67725980653358,1809.1340214043566,6268.80791769112,1.7417213830894146e+16 kJ/mol
Non-binding_donor1_row11340_cand000100,openmm,-247.98078376005816,AB,MP,P,M,MP_AB,M_P,-37.81375356538999,-37.81375356538999,1981.0193674557224,-70.6322088671829,-70.6322088671829,1825.9529837039365,-37.81375356523131,-51387.11293947857 kJ/mol
Non-binding_donor1_row11436_cand000515,openmm,-171.32706579831375,AB,MP,P,M,MP_AB,M_P,-42.82333130742268,-42.82333130742268,1930.6174467928936,-67.340840072373,-67.340840072373,1722.2331781333676,-42.823331307374104,-53382.603144106004 kJ/mol
Non-binding_donor1_row11491_cand000286,openmm,-203.80995838369364,AB,MP,P,M,MP_AB,M_P,-35.2688190674279,-35.2688190674279,1812.0215173899128,-60.327948160296,-60.327948160296,1845.5104917121978,-35.26881906714283,-54131.63098445304 kJ/mol
Non-binding_donor1_row11541_cand000202,openmm,-238.98304148449182,AB,MP,P,M,MP_AB,M_P,-33.395075801592384,-33.395075801592384,1671.2704560323057,-64.46179499970464,-64.46179499970464,1805.360759187885,-33.39507580103259,-56349.977165515884 kJ/mol
Non-binding_donor1_row11664_cand000147,openmm,-64.09463263665944,AB,MP,P,M,MP_AB,M_P,-31.640564066954823,-31.640564066954823,1475.3482571110396,-57.80488745785908,-57.80488745785908,1626.9600602537307,-31.64056406679056,-56764.216264553965 kJ/mol
Non-binding_donor1_row1169_cand000347,openmm,-186.81059915069673,AB,MP,P,M,MP_AB,M_P,-31.236821307671647,-31.236821307671647,1548.1026172611796,-64.93003759884046,-64.93003759884046,1763.2595701484088,-31.23682130764749,-50062.332250477484 kJ/mol
Non-binding_donor1_row12000_cand000526,openmm,-151.17668154051,AB,MP,P,M,MP_AB,M_P,-54.77406846803714,-54.77406846803714,2358.8984628677986,-65.27572418998838,-65.27572418998838,1598.103880140921,-54.774068468130224,-52433.15577614092 kJ/mol
Non-binding_donor1_row12071_cand000043,openmm,-335.6361889040019,AB,MP,P,M,MP_AB,M_P,-38.35310704659912,-38.35310704659912,1820.9435474418817,-64.74597090378849,-64.74597090378849,1722.7525183055905,-38.35310704687407,-52543.38152560079 kJ/mol
