TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10081_cand000598,openmm,375.4039982321309,AB,MP,P,M,MP_AB,M_P,-43.29135371764062,-43.29135371764062,2054.7821478195888,-62.58036531275738,-62.58036531275738,1875.9162682191547,-43.29135371727716,-48483.84310121852 kJ/mol
Non-binding_donor1_row1001_cand000507,openmm,-292.9699920706725,AB,MP,P,M,MP_AB,M_P,-45.355696183049076,-45.355696183049076,2085.557065341852,-63.4948908209779,-63.4948908209779,1735.9242078896355,-45.3556961832856,-58435.31929921289 kJ/mol
Non-binding_donor1_row10289_cand000522,openmm,53.26060356239863,AB,MP,P,M,MP_AB,M_P,-39.66498767155701,-39.66498767155701,1979.2233305711934,-66.74678940665981,-66.74678940665981,1800.3605382642806,-39.664987671531605,-57650.69821082912 kJ/mol
Non-binding_donor1_row1046_cand000007,openmm,-144.85323198106624,AB,MP,P,M,MP_AB,M_P,-46.683441524277626,-46.683441524277626,2283.816554898256,-70.91826851723485,-70.91826851723485,1852.3857392437671,-46.68344152428703,-55732.366906663876 kJ/mol
Non-binding_donor1_row1050_cand000587,openmm,-333.8659000019662,AB,MP,P,M,MP_AB,M_P,-51.46542341409406,-51.46542341409406,1899.379892906548,-65.77385531795592,-65.77385531795592,1838.9307400585187,-51.46542341392683,-57760.464941637445 kJ/mol
Non-binding_donor1_row10550_cand000353,openmm,-233.13488492810825,AB,MP,P,M,MP_AB,M_P,-46.282603661650654,-46.282603661650654,1963.2484948250863,-63.2552669004172,-63.2552669004172,1925.4737675617937,-46.28260366161038,-55706.65835293679 kJ/mol
Non-binding_donor1_row10555_cand000359,openmm,374.4233554086762,AB,MP,P,M,MP_AB,M_P,-40.79778412464822,-40.79778412464822,2073.77686859278,-72.8170199249974,-72.8170199249974,1882.9260690005249,-40.79778412428169,-42412.329731731916 kJ/mol
Non-binding_donor1_row10556_cand000282,openmm,-238.46398428820726,AB,MP,P,M,MP_AB,M_P,-49.675072685818776,-49.675072685818776,2239.806999583593,-44.50493341067444,-44.50493341067444,1853.2532144241216,-49.67507268603484,-55823.33755110333 kJ/mol
Non-binding_donor1_row10602_cand000182,openmm,469.4233867258911,AB,MP,P,M,MP_AB,M_P,-59.54395862523904,-59.54395862523904,2289.9396275783674,-64.10483441400962,-64.10483441400962,1813.0093892605796,-59.543958624866036,-50804.552937342836 kJ/mol
Non-binding_donor1_row10611_cand000369,openmm,-283.53933195116394,AB,MP,P,M,MP_AB,M_P,-51.18240281043728,-51.18240281043728,2301.6889358781887,-70.33321012799061,-70.33321012799061,1915.820809133128,-51.18240281065772,-58986.05466749104 kJ/mol
