TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10234_cand000431,openmm,-185.08161789996547,AB,MP,P,M,MP_AB,M_P,-49.37751616967785,-49.37751616967785,2101.8872113385705,-56.46064165014655,-56.46064165014655,1929.4701914549348,-49.37751617028508,-55881.40500766849 kJ/mol
Non-binding_donor1_row10248_cand000439,openmm,320.7004550839779,AB,MP,P,M,MP_AB,M_P,-56.81272020289492,-56.81272020289492,2322.02070297071,394.83450382479293,394.83450382479293,1869.279851542428,-56.81272020277686,-43981.110469721054 kJ/mol
Non-binding_donor1_row10321_cand000280,openmm,245.98289077476278,AB,MP,P,M,MP_AB,M_P,-54.257507048566566,-54.257507048566566,2017.2737267720747,399.87437539468203,399.87437539468203,1952.1787944649354,-54.25750704851623,-44135.99041910411 kJ/mol
Non-binding_donor1_row1037_cand000226,openmm,-92.22327785106327,AB,MP,P,M,MP_AB,M_P,-55.412417269968465,-55.412417269968465,1945.26973408799,-59.72544847987453,-59.72544847987453,1986.9659446848527,-55.41241727006393,-52891.28061191923 kJ/mol
Non-binding_donor1_row10422_cand000479,openmm,-156.9110906799388,AB,MP,P,M,MP_AB,M_P,-43.46146603665268,-43.46146603665268,1949.530261203543,-59.193812849490484,-59.193812849490484,1816.352330853698,-43.46146603660469,-57707.86476831527 kJ/mol
Non-binding_donor1_row10528_cand000276,openmm,15.342364889839445,AB,MP,P,M,MP_AB,M_P,-47.18923933164636,-47.18923933164636,2024.287848212971,-53.45768951344261,-53.45768951344261,1826.8417596581844,-47.18923933116152,-58891.972800558724 kJ/mol
Non-binding_donor1_row10534_cand000406,openmm,1006.9652620165022,AB,MP,P,M,MP_AB,M_P,-54.70840189146713,-54.70840189146713,2189.676419441808,415.68626491687417,415.68626491687417,1945.3261353723956,-54.70840189141961,-37072.52718811584 kJ/mol
Non-binding_donor1_row10638_cand000350,openmm,-258.5139329921743,AB,MP,P,M,MP_AB,M_P,-38.50276501325183,-38.50276501325183,2050.548785784216,-62.67771372924489,-62.67771372924489,1945.219561689759,-38.50276501298674,-54955.85627833909 kJ/mol
Non-binding_donor1_row11014_cand000435,openmm,-165.2172111971193,AB,MP,P,M,MP_AB,M_P,-37.65313925227683,-37.65313925227683,1790.9351785270935,-62.409847609000856,-62.409847609000856,1981.328763911478,-37.65313925227349,-56984.89557533337 kJ/mol
Non-binding_donor1_row11020_cand000186,openmm,-113.17795842139495,AB,MP,P,M,MP_AB,M_P,-38.371216117779724,-38.371216117779724,2022.1220419946048,-56.4773080096111,-56.4773080096111,1947.1449623784463,-38.37121611753986,-54488.364784433346 kJ/mol
Non-binding_donor1_row110_cand000163,openmm,-81.89483937074837,AB,MP,P,M,MP_AB,M_P,-44.626427753722645,-44.626427753722645,2271.794517571009,-51.57696264862789,-51.57696264862789,1995.2595398508204,-44.62642775310579,-56825.285396594794 kJ/mol
Non-binding_donor1_row11152_cand000572,openmm,-133.78734920585762,AB,MP,P,M,MP_AB,M_P,-54.32527734946058,-54.32527734946058,2290.580372853359,-57.193117139767566,-57.193117139767566,1981.4618976268202,-54.32527734958586,-54282.403070256965 kJ/mol
Non-binding_donor1_row11175_cand000476,openmm,-136.0947587878243,AB,MP,P,M,MP_AB,M_P,-51.123177928529856,-51.123177928529856,1893.698481611419,-61.15993814838997,-61.15993814838997,1945.628674623446,-51.12317792841637,-51973.025445864485 kJ/mol
Non-binding_donor1_row11405_cand000361,openmm,-134.35302526344927,AB,MP,P,M,MP_AB,M_P,-38.964935330119715,-38.964935330119715,1872.5688663401706,-54.65726021370657,-54.65726021370657,1947.8488342732282,-38.96493533033809,-50797.41476511133 kJ/mol
Non-binding_donor1_row11456_cand000564,openmm,-333.91012374582454,AB,MP,P,M,MP_AB,M_P,-48.09597444208805,-48.09597444208805,1961.7686573018852,-58.560122086229484,-58.560122086229484,1941.4204453293019,-48.095974442490274,-54157.75408832293 kJ/mol
Non-binding_donor1_row11540_cand000032,openmm,-135.8122509067038,AB,MP,P,M,MP_AB,M_P,-27.713758240194977,-27.713758240194977,1610.8331248810762,-57.50155754536421,-57.50155754536421,2004.3680331230523,-27.713758240559656,-53171.369399690215 kJ/mol
Non-binding_donor1_row11638_cand000523,openmm,-37.48156771130303,AB,MP,P,M,MP_AB,M_P,-44.20829331244644,-44.20829331244644,2063.402297967113,-50.607076497375004,-50.607076497375004,1949.942771711507,-44.20829331216847,-53164.62083466704 kJ/mol
Non-binding_donor1_row11660_cand000166,openmm,75.42355977936845,AB,MP,P,M,MP_AB,M_P,-46.55858615131065,-46.55858615131065,2334.414386830367,-53.442799989632235,-53.442799989632235,1946.4345668307712,-46.55858615105629,-53925.36305080199 kJ/mol
Non-binding_donor1_row11733_cand000527,openmm,-117.85500651746634,AB,MP,P,M,MP_AB,M_P,-48.51605118982302,-48.51605118982302,2203.575880295857,-44.12837598633811,-44.12837598633811,1915.7864377823917,-48.51605118992515,-53308.95846927497 kJ/mol
Non-binding_donor1_row11765_cand000358,openmm,-237.52260294370677,AB,MP,P,M,MP_AB,M_P,-54.49893857649329,-54.49893857649329,2266.1116557133464,-59.168732214121256,-59.168732214121256,1832.8723531589965,-54.49893857619446,-57429.94241062271 kJ/mol
Non-binding_donor1_row11969_cand000206,openmm,-250.71626672708913,AB,MP,P,M,MP_AB,M_P,-43.78037854961161,-43.78037854961161,2502.175046681117,-51.875672265836016,-51.875672265836016,1723.755035427936,-43.780378549182444,-58526.81835453224 kJ/mol
Non-binding_donor1_row11980_cand000324,openmm,-249.2619664473127,AB,MP,P,M,MP_AB,M_P,-49.65278693437517,-49.65278693437517,1940.333865393162,-51.26308119661833,-51.26308119661833,1990.0623837314388,-49.65278693448647,-54885.25629957577 kJ/mol
Non-binding_donor1_row11986_cand000410,openmm,-318.659420577325,AB,MP,P,M,MP_AB,M_P,-45.01749924519021,-45.01749924519021,1843.8632809922406,-55.51116983010526,-55.51116983010526,1827.6234111814542,-45.01749924515889,-55386.54253925788 kJ/mol
Non-binding_donor1_row12034_cand000340,openmm,-175.33108661738362,AB,MP,P,M,MP_AB,M_P,-49.95951675038761,-49.95951675038761,2255.701301959503,-47.863369339145095,-47.863369339145095,1963.1347303859316,-49.95951675027921,-53467.52629592509 kJ/mol
