TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10222_cand000591,rosetta_sidechain,2180.1644170794953,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,9.255199904873393,9.255199904873393,272.81641024396583,-5.4569682106375694e-12
Non-binding_donor1_row10349_cand000422,rosetta_sidechain,333.9922853020375,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-1.7621459846850485e-12
Non-binding_donor1_row10047_cand000260,rosetta_sidechain,6710.596291157748,AB,MP,P,M,MP_AB,M_P,-10.028507983819509,-10.028507983819509,488.565122831848,6157.966687804379,6157.966687804379,450.120375304243,-10.028507983873169
Non-binding_donor1_row10612_cand000542,rosetta_sidechain,29703.69661814207,AB,MP,P,M,MP_AB,M_P,23.255686655993486,23.255686655993486,233.3029316807041,0.0,0.0,0.0,23.255686655815225
Non-binding_donor1_row10537_cand000035,rosetta_sidechain,675.8530415559611,AB,MP,P,M,MP_AB,M_P,216.18465276262862,216.18465276262862,323.1264490179512,-20.12336082432722,-20.12336082432722,1412.8439984613342,216.18465276297366
Non-binding_donor1_row1046_cand000525,rosetta_sidechain,230.9528503129173,AB,MP,P,M,MP_AB,M_P,-1.94858057141073,-1.94858057141073,591.4207111699998,-30.499948203138526,-30.499948203138526,1731.352585531189,-1.9485805711732098
Non-binding_donor1_row1061_cand000207,rosetta_sidechain,1104.599321692793,AB,MP,P,M,MP_AB,M_P,-7.695318817573934,-7.695318817573934,505.0870766348515,-29.4601980940842,-29.4601980940842,1709.7509168749166,-7.695318817708767
Non-binding_donor1_row10716_cand000169,rosetta_sidechain,16533.719763118515,AB,MP,P,M,MP_AB,M_P,0.15983528978176764,0.15983528978176764,57.972359985034174,16143.419791091384,16143.419791091384,1056.6626423845785,0.1598352895671269
Non-binding_donor1_row11020_cand000040,rosetta_sidechain,3051.3539992110113,AB,MP,P,M,MP_AB,M_P,-3.826559729948258,-3.826559729948258,298.8350573299399,-1.1788735613390031,-1.1788735613390031,114.67920887901339,-3.8265597299955516
Non-binding_donor1_row110_cand000024,rosetta_sidechain,35970.51006843804,AB,MP,P,M,MP_AB,M_P,2665.8904018133326,2665.8904018133326,947.6596475980333,29211.68638965435,29211.68638965435,1518.0414773468312,2665.8904018132234
