TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10208_cand000230,openmm,-69.88203223408043,AB,MP,P,M,MP_AB,M_P,288.8412635592719,288.8412635592719,2218.9001736521054,-62.40465336326589,-62.40465336326589,1896.9530630022741,288.8412635591726,-47319.03660224213 kJ/mol
Non-binding_donor1_row10017_cand000127,openmm,397.5989601605565,AB,MP,P,M,MP_AB,M_P,-55.883967813405604,-55.883967813405604,2326.0104558276,-71.5283184679192,-71.5283184679192,1917.165061723014,-55.88396781337701,-49048.17062298994 kJ/mol
Non-binding_donor1_row10464_cand000355,openmm,323.5529276230245,AB,MP,P,M,MP_AB,M_P,-49.16973087046654,-49.16973087046654,2138.3435866980767,-62.03453499785513,-62.03453499785513,1923.85278332273,-49.16973087049195,-41300.20628429231 kJ/mol
Non-binding_donor1_row10874_cand000526,openmm,-303.5075671934221,AB,MP,P,M,MP_AB,M_P,-29.154967088869626,-29.154967088869626,1926.7023319718385,-73.36142061140124,-73.36142061140124,1940.2783484089105,-29.154967088960575,-53722.05714370951 kJ/mol
Non-binding_donor1_row10883_cand000306,openmm,-239.0898129735657,AB,MP,P,M,MP_AB,M_P,-47.42881061589503,-47.42881061589503,2144.500813532394,-65.24195369197705,-65.24195369197705,1933.005165807886,-47.428810615332964,-53184.68221325103 kJ/mol
Non-binding_donor1_row11119_cand000340,openmm,-237.65978525340498,AB,MP,P,M,MP_AB,M_P,-48.26226529136045,-48.26226529136045,2175.778300552025,-55.40119941056156,-55.40119941056156,1939.0400256690918,-48.262265291740334,-54009.1484345835 kJ/mol
Non-binding_donor1_row11312_cand000525,openmm,-243.55518947853028,AB,MP,P,M,MP_AB,M_P,-47.56316544615487,-47.56316544615487,2043.9139437823255,-59.92713306939373,-59.92713306939373,1962.3150849841008,-47.56316544606199,-52857.213666118165 kJ/mol
Non-binding_donor1_row11734_cand000167,openmm,208.40438663385817,AB,MP,P,M,MP_AB,M_P,285.62155988123817,285.62155988123817,2040.1994021989094,-58.682151725117684,-58.682151725117684,1977.852998883773,285.6215598809373,-48282.10655831886 kJ/mol
Non-binding_donor1_row11952_cand000034,openmm,-241.8474462794817,AB,MP,P,M,MP_AB,M_P,-57.75786503716486,-57.75786503716486,2087.8746376349527,-76.77180343289872,-76.77180343289872,1898.6639433333435,-57.75786503660834,-51947.13019345321 kJ/mol
Non-binding_donor1_row12085_cand000454,openmm,-288.5387298322337,AB,MP,P,M,MP_AB,M_P,-50.02031039247851,-50.02031039247851,2149.249776856883,-69.58830159583411,-69.58830159583411,1954.1490695079451,-50.020310392304054,-54418.38216819892 kJ/mol
Non-binding_donor1_row12265_cand000237,openmm,-410.49103867996143,AB,MP,P,M,MP_AB,M_P,-35.160457960720464,-35.160457960720464,1813.0769063530654,-72.89803705290461,-72.89803705290461,1911.1792960344121,-35.16045796109239,-54858.97164205344 kJ/mol
Non-binding_donor1_row12276_cand000443,openmm,-279.3302013016593,AB,MP,P,M,MP_AB,M_P,-40.89294102624663,-40.89294102624663,1747.2680878397477,-71.83494692954886,-71.83494692954886,1965.5931778992344,-40.892941025925154,-51618.46270230049 kJ/mol
Non-binding_donor1_row12759_cand000522,openmm,-153.26255465227788,AB,MP,P,M,MP_AB,M_P,-33.82690368876126,-33.82690368876126,1807.9678466973062,-70.12831850726725,-70.12831850726725,2011.811924438959,-33.82690368939433,-52294.36278899141 kJ/mol
