TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10081_cand000598,none,23809.236391696828,AB,MP,P,M,MP_AB,M_P,3340.3822352944517,3340.3822352944517,1680.979559763754,2261.258919401819,2261.258919401819,1803.9781093544552,3340.3822352942952
Non-binding_donor1_row1046_cand000007,none,16350.959935874289,AB,MP,P,M,MP_AB,M_P,8463.500641169578,8463.500641169578,2083.493768128219,2237.4940547402803,2237.4940547402803,1767.8443251398503,8463.500641169514
Non-binding_donor1_row10550_cand000353,none,19940.648544353622,AB,MP,P,M,MP_AB,M_P,4660.769340408811,4660.769340408811,1686.3274657883935,1730.6112881511453,1730.6112881511453,1819.2670617326044,4660.769340408955
Non-binding_donor1_row1050_cand000587,none,14137.916931942458,AB,MP,P,M,MP_AB,M_P,2179.91856383935,2179.91856383935,1839.8975671369165,2196.1923832702596,2196.1923832702596,1774.4568657124094,2179.918563839772
Non-binding_donor1_row10289_cand000522,none,26102.74939139284,AB,MP,P,M,MP_AB,M_P,10356.3701266888,10356.3701266888,1671.8160614705173,1811.9585404375366,1811.9585404375366,1792.3688850589087,10356.370126688995
Non-binding_donor1_row1001_cand000507,none,14684.15489985252,AB,MP,P,M,MP_AB,M_P,6888.617600011411,6888.617600011411,1762.4319970732638,1990.6732035335763,1990.6732035335763,1786.8575541601317,6888.6176000111445
Non-binding_donor1_row10555_cand000359,none,28875.149322574744,AB,MP,P,M,MP_AB,M_P,7257.742142920622,7257.742142920622,1483.438393428338,1957.9800435997295,1957.9800435997295,1767.8654862874027,7257.742142920164
Non-binding_donor1_row10556_cand000282,none,23951.016395078677,AB,MP,P,M,MP_AB,M_P,12342.88041374836,12342.88041374836,1778.1936466690042,1917.49227420821,1917.49227420821,1775.585395606749,12342.880413748117
Non-binding_donor1_row10602_cand000182,none,34835.88181011302,AB,MP,P,M,MP_AB,M_P,10938.633833851247,10938.633833851247,1918.457373314361,2116.244900075263,2116.244900075263,1852.0922214056948,10938.633833851261
Non-binding_donor1_row10800_cand000152,none,20444.77956073237,AB,MP,P,M,MP_AB,M_P,2051.127149686461,2051.127149686461,1553.658566532657,2017.6205433000182,2017.6205433000182,1774.596941959665,2051.127149686072
Non-binding_donor1_row10611_cand000369,none,12554.824647862077,AB,MP,P,M,MP_AB,M_P,2461.4895326910773,2461.4895326910773,1918.9728582481919,1971.4621502156297,1971.4621502156297,1818.4646679408024,2461.4895326904534
Non-binding_donor1_row10783_cand000307,none,31308.54967313601,AB,MP,P,M,MP_AB,M_P,8122.3956451871345,8122.3956451871345,1874.0061953998097,2159.8377878303136,2159.8377878303136,1812.1599491491625,8122.39564518668
