TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10018_cand000128,rosetta_sidechain,1232.1895119049796,AB,MP,P,M,MP_AB,M_P,-0.24898504557268097,-0.24898504557268097,85.08287729403689,0.0,0.0,0.0,-0.24898504547036282
Non-binding_donor1_row10876_cand000526,rosetta_sidechain,54401.11158306481,AB,MP,P,M,MP_AB,M_P,-1.6343188602477312,-1.6343188602477312,363.82128277424647,6383.064958118186,6383.064958118186,1086.8347464542599,-1.634318860102212
Non-binding_donor1_row10210_cand000234,rosetta_sidechain,974.186666165596,AB,MP,P,M,MP_AB,M_P,-2.9789370081529114,-2.9789370081529114,297.60162926904604,-0.345196142682088,-0.345196142682088,89.0943575608585,-2.9789370082872892
Non-binding_donor1_row10466_cand000348,rosetta_sidechain,2314.6805708764896,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,18.757822637298815,18.757822637298815,461.26764585337173,7.73070496506989e-12
Non-binding_donor1_row11736_cand000161,rosetta_sidechain,4956.205693162925,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,0.002449166747283016
Non-binding_donor1_row10885_cand000308,rosetta_sidechain,36312.774324193786,AB,MP,P,M,MP_AB,M_P,-0.05712186013988685,-0.05712186013988685,14.054073754721301,32841.456405731056,32841.456405731056,1643.6661424143101,-0.057121859877952375
Non-binding_donor1_row11314_cand000527,rosetta_sidechain,1711.6688088771834,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-2.202378296526504,-2.202378296526504,269.8652213762403,0.05379903408584141
Non-binding_donor1_row11121_cand000343,rosetta_sidechain,8105.884459349592,AB,MP,P,M,MP_AB,M_P,9.39902102198812,9.39902102198812,163.94104168934552,6605.840409329107,6605.840409329107,809.4603274200118,9.399021021848966
Non-binding_donor1_row11954_cand000034,rosetta_sidechain,2238.348715283111,AB,MP,P,M,MP_AB,M_P,-0.5037396564866867,-0.5037396564866867,216.9061916767482,17.83488559008849,17.83488559008849,421.5986157901532,-0.5037396564985102
Non-binding_donor1_row12048_cand000574,rosetta_sidechain,-34.01286759470301,AB,MP,P,M,MP_AB,M_P,0.6476505189432515,0.6476505189432515,64.41712399585396,88.95362579135308,88.95362579135308,373.032098882759,0.6476505189651576
Non-binding_donor1_row12087_cand000441,rosetta_sidechain,7830.424823878451,AB,MP,P,M,MP_AB,M_P,1550.1996905796223,1550.1996905796223,655.2320042329206,-35.397009386659164,-35.397009386659164,2098.43956550437,1550.1996905794595
Non-binding_donor1_row12267_cand000236,rosetta_sidechain,-256.93382871909705,AB,MP,P,M,MP_AB,M_P,1.2481063493802367,1.2481063493802367,710.8395439227478,-37.682383218747034,-37.682383218747034,2114.412019845676,1.2481063492413114
Non-binding_donor1_row12278_cand000450,rosetta_sidechain,1181.1187924298792,AB,MP,P,M,MP_AB,M_P,-2.7236927522769747,-2.7236927522769747,195.02672865970942,-45.033315181341095,-45.033315181341095,2111.1561585467034,-2.7236927525809733
Non-binding_donor1_row12801_cand000549,rosetta_sidechain,32625.164472166503,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,30015.894106625154,30015.894106625154,1441.608839676623,7.275957614183426e-12
Non-binding_donor1_row12761_cand000536,rosetta_sidechain,62445.815536476715,AB,MP,P,M,MP_AB,M_P,58507.34467906266,58507.34467906266,3711.58968865915,3267.669925475081,3267.669925475081,787.0032690188278,58507.34467906267
Non-binding_donor1_row13622_cand000276,rosetta_sidechain,-187.13465332652413,AB,MP,P,M,MP_AB,M_P,-9.645725680715572,-9.645725680715572,863.2433154238428,-38.909622859015045,-38.909622859015045,2105.9699475809875,-9.645725680782618
Non-binding_donor1_row14545_cand000447,rosetta_sidechain,-166.0690701021123,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014653738844572217
Non-binding_donor1_row12804_cand000424,rosetta_sidechain,112.21253916777724,AB,MP,P,M,MP_AB,M_P,-2.0478990272159763,-2.0478990272159763,170.66299501345753,-25.25726728974209,-25.25726728974209,1759.844953700675,-2.0478990271059843
Non-binding_donor1_row13933_cand000578,rosetta_sidechain,402.8823123482545,AB,MP,P,M,MP_AB,M_P,-1.1033566996700301,-1.1033566996700301,320.5661053044079,-37.323035534554435,-37.323035534554435,2099.5733391434846,-1.1033566993893942
Non-binding_donor1_row14996_cand000353,rosetta_sidechain,1051.3897847890994,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,199.36080158848029,199.36080158848029,89.71184729319515,-0.0367968664786531
Non-binding_donor1_row15202_cand000203,rosetta_sidechain,573.4355499654698,AB,MP,P,M,MP_AB,M_P,46.15844342420132,46.15844342420132,592.4960434287386,229.96239773826795,229.96239773826795,573.6665626721074,46.15844342356854
