TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10017_cand000412,openmm,402.2188941915596,AB,MP,P,M,MP_AB,M_P,-51.19159077064296,-51.19159077064296,2117.1673905283465,-54.3091894161561,-54.3091894161561,1834.3691707965634,-51.19159077062534,-49819.656845181205 kJ/mol
Non-binding_donor1_row0_cand000178,openmm,-37.33512180612935,AB,MP,P,M,MP_AB,M_P,158.38072832747355,158.38072832747355,2415.819242585959,-61.3394515663436,-61.3394515663436,1809.7597180626876,158.38072832729904,-44080.27288832459 kJ/mol
Non-binding_donor1_row10057_cand000021,openmm,-166.08897942843288,AB,MP,P,M,MP_AB,M_P,-28.049272539633108,-28.049272539633108,1768.5414174001148,-61.503708621176514,-61.503708621176514,1811.4521987449314,-28.049272539783146,-55536.66933952985 kJ/mol
Non-binding_donor1_row10160_cand000174,openmm,-339.369375548262,AB,MP,P,M,MP_AB,M_P,-64.03643366339276,-64.03643366339276,2392.312923266552,-53.616166876097466,-53.616166876097466,1851.9725771462163,-64.03643366278249,-55994.01381873934 kJ/mol
Non-binding_donor1_row10221_cand000320,openmm,403.5724887038379,AB,MP,P,M,MP_AB,M_P,-42.10229099637178,-42.10229099637178,2039.693140360548,-49.00177875329849,-49.00177875329849,1823.1243867628712,-42.102290996431805,-44766.1907405557 kJ/mol
Non-binding_donor1_row10167_cand000068,openmm,-213.15239010154917,AB,MP,P,M,MP_AB,M_P,-50.998021347225546,-50.998021347225546,2266.6536774088263,-57.904218599230674,-57.904218599230674,1916.8921232560774,-50.9980213476189,-59258.07987393779 kJ/mol
Non-binding_donor1_row10226_cand000322,openmm,-208.38395683284028,AB,MP,P,M,MP_AB,M_P,-42.521102403865086,-42.521102403865086,1975.6491444877136,-53.026196809745684,-53.026196809745684,1830.8110960413342,-42.52110240429755,-59189.29529432454 kJ/mol
Non-binding_donor1_row10248_cand000276,openmm,-359.8356397271682,AB,MP,P,M,MP_AB,M_P,-47.05552474304227,-47.05552474304227,2244.8989394986443,-53.556545163426534,-53.556545163426534,1846.9454316100168,-47.05552474280921,-55174.57413214764 kJ/mol
Non-binding_donor1_row1026_cand000433,openmm,-220.01342404015674,AB,MP,P,M,MP_AB,M_P,-58.3977238170215,-58.3977238170215,2312.997017186087,-65.76398433056654,-65.76398433056654,1756.0538193126633,-58.39772381718251,-56176.45780506751 kJ/mol
Non-binding_donor1_row10317_cand000179,openmm,-242.2941909936976,AB,MP,P,M,MP_AB,M_P,-48.21467007602487,-48.21467007602487,2317.0502922707283,-58.619341977219904,-58.619341977219904,1836.5456506729327,-48.21467007576132,-58097.1492765404 kJ/mol
