tcr,region,best_method,best_score
1KGC,A_CDR1,ca_pca,0.9653609467455622
1KGC,A_CDR2,ca_diffmap,0.9480591715976331
1KGC,A_CDR3,ca_kpca_cosine,0.9351360946745562
1KGC,A_variable_A_CDR1,ca_pca,0.9653609467455622
1KGC,A_variable_A_CDR1A_CDR2A_CDR3,ca_kpca_poly,0.9222011834319527
1KGC,A_variable_A_CDR1A_CDR2A_CDR3B_CDR1B_CDR2B_CDR3,ca_pca,0.9692544378698225
1KGC,A_variable_A_CDR2,ca_diffmap,0.9480591715976331
1KGC,A_variable_A_CDR3,ca_kpca_cosine,0.9351360946745562
1KGC,A_variable_A_variable,ca_kpca_rbf,0.9111360946745563
1KGC,A_variable_B_CDR1,ca_pca,0.9586508875739645
1KGC,A_variable_B_CDR1B_CDR2B_CDR3,ca_pca,0.9190414201183432
1KGC,A_variable_B_CDR2,ca_pca,0.870378698224852
1KGC,A_variable_B_CDR3,ca_pca,0.8817278106508876
1KGC,B_CDR1,ca_pca,0.9586508875739645
1KGC,B_CDR2,ca_pca,0.870378698224852
1KGC,B_CDR3,ca_pca,0.8817278106508876
1KGC,B_variable_A_CDR1,ca_pca,0.9653609467455622
1KGC,B_variable_A_CDR1A_CDR2A_CDR3,ca_kpca_poly,0.9222011834319527
1KGC,B_variable_A_CDR1A_CDR2A_CDR3B_CDR1B_CDR2B_CDR3,ca_pca,0.9692544378698225
1KGC,B_variable_A_CDR2,ca_diffmap,0.9480591715976331
1KGC,B_variable_A_CDR3,ca_kpca_cosine,0.9351360946745562
1KGC,B_variable_B_CDR1,ca_pca,0.9586508875739645
1KGC,B_variable_B_CDR1B_CDR2B_CDR3,ca_pca,0.9190414201183432
1KGC,B_variable_B_CDR2,ca_pca,0.8697396449704142
1KGC,B_variable_B_CDR3,ca_pca,0.8817278106508876
1KGC,B_variable_B_variable,ca_kpca_cosine,0.8300828402366864
2BNU,A_CDR1,ca_pca,0.8732307692307693
2BNU,A_CDR2,ca_diffmap,0.9046153846153846
2BNU,A_CDR3,ca_diffmap,0.8820473372781065
2BNU,A_variable_A_CDR1,ca_pca,0.8724497041420118
2BNU,A_variable_A_CDR1A_CDR2A_CDR3,ca_kpca_cosine,0.8761183431952663
2BNU,A_variable_A_CDR1A_CDR2A_CDR3B_CDR1B_CDR2B_CDR3,ca_pca,0.95698224852071
2BNU,A_variable_A_CDR2,ca_diffmap,0.904603550295858
2BNU,A_variable_A_CDR3,ca_diffmap,0.8820473372781065
2BNU,A_variable_A_variable,ca_kpca_cosine,0.8724378698224852
2BNU,A_variable_B_CDR1,ca_pca,0.905810650887574
