TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10127_cand000113,openmm,392.3760757371176,AB,MP,P,M,MP_AB,M_P,-56.29535161520704,-56.29535161520704,2169.0400031890945,-54.69435679455867,-54.69435679455867,1570.8088078383032,-56.29535161547699,-42284.57612543809 kJ/mol
Non-binding_donor1_row10018_cand000412,openmm,631.3060979308384,AB,MP,P,M,MP_AB,M_P,269.3423072726307,269.3423072726307,2168.06393750119,-63.41242770315131,-63.41242770315131,1684.3657001951137,269.3423072728783,-42518.32833268011 kJ/mol
Non-binding_donor1_row10176_cand000317,openmm,364.0411564733668,AB,MP,P,M,MP_AB,M_P,-42.78598812067435,-42.78598812067435,1860.0512718606392,-72.07018301290904,-72.07018301290904,1716.3529544438882,-42.7859881207454,-45413.67867186998 kJ/mol
Non-binding_donor1_row10579_cand000598,openmm,463.8865728451894,AB,MP,P,M,MP_AB,M_P,-51.87020705975107,-51.87020705975107,2010.741130036275,-64.60293622205424,-64.60293622205424,1808.2202988773336,-51.870207060139876,-37254.00607942907 kJ/mol
Non-binding_donor1_row10956_cand000296,openmm,-277.7133186783391,AB,MP,P,M,MP_AB,M_P,-53.89506837021176,-53.89506837021176,2101.161790445291,-69.27178992541867,-69.27178992541867,1715.1541769864102,-53.895068370078576,-52974.190202099024 kJ/mol
Non-binding_donor1_row11148_cand000516,openmm,-76.9152180210512,AB,MP,P,M,MP_AB,M_P,-54.702690987738066,-54.702690987738066,1980.4576972313744,-63.86897450635311,-63.86897450635311,1651.922643515908,-54.70269098782195,-54854.40063090574 kJ/mol
Non-binding_donor1_row11171_cand000357,openmm,-355.10850889997926,AB,MP,P,M,MP_AB,M_P,-44.767724770003326,-44.767724770003326,1811.3910268939037,-72.38574468672647,-72.38574468672647,1836.5756160369344,-44.767724770336145,-52286.908612162115 kJ/mol
Non-binding_donor1_row1118_cand000153,openmm,-261.4208140208831,AB,MP,P,M,MP_AB,M_P,-37.6746814417985,-37.6746814417985,1919.2017523618267,-58.424338503300575,-58.424338503300575,1673.4261393410104,-37.67468144138496,-48166.973529610084 kJ/mol
Non-binding_donor1_row11213_cand000577,openmm,-250.204303128173,AB,MP,P,M,MP_AB,M_P,-35.651327590763714,-35.651327590763714,1782.291012649062,-73.73408228055865,-73.73408228055865,1734.577891932723,-35.6513275906332,-55614.976470212445 kJ/mol
Non-binding_donor1_row11502_cand000452,openmm,-124.82429999185197,AB,MP,P,M,MP_AB,M_P,-37.00084855352793,-37.00084855352793,1684.5759076502243,-65.52912771119219,-65.52912771119219,1830.8876888459308,-37.000848553941836,-52750.043671332896 kJ/mol
Non-binding_donor1_row11584_cand000078,openmm,-336.1772820857522,AB,MP,P,M,MP_AB,M_P,-45.1332696490507,-45.1332696490507,1979.5197495343332,-72.67012788079688,-72.67012788079688,1890.1859405571201,-45.133269649045644,-55289.254896816536 kJ/mol
Non-binding_donor1_row11958_cand000567,openmm,-392.6570110092643,AB,MP,P,M,MP_AB,M_P,-48.673530329325445,-48.673530329325445,1861.900746848356,-62.82539636094478,-62.82539636094478,1734.9518578137838,-48.67353032939735,-55387.61919729605 kJ/mol
Non-binding_donor1_row12104_cand000009,openmm,-302.1865418650839,AB,MP,P,M,MP_AB,M_P,-48.66851849260493,-48.66851849260493,2081.937523968877,-71.204281474881,-71.204281474881,1708.6095336002634,-48.668518492610104,-57253.486552970775 kJ/mol
Non-binding_donor1_row12123_cand000318,openmm,-347.1895257071454,AB,MP,P,M,MP_AB,M_P,-45.30679776581201,-45.30679776581201,1873.835688367418,-68.1300713634052,-68.1300713634052,1703.409615982155,-45.306797766433476,-51187.393313443914 kJ/mol
Non-binding_donor1_row12137_cand000450,openmm,-282.69853598784374,AB,MP,P,M,MP_AB,M_P,-28.56291215511058,-28.56291215511058,1804.5648269928245,-67.43427142145855,-67.43427142145855,1808.0029704788758,-28.562912155249194,-56184.12614989154 kJ/mol
Non-binding_donor1_row12385_cand000594,openmm,-297.3227300770873,AB,MP,P,M,MP_AB,M_P,-50.2469633751445,-50.2469633751445,2047.8730098724554,-65.10085043115038,-65.10085043115038,1718.2435881738752,-50.24696337522559,-53343.2012257882 kJ/mol
Non-binding_donor1_row12429_cand000178,openmm,344.48673486121345,AB,MP,P,M,MP_AB,M_P,297.46770002056655,297.46770002056655,1621.6655845752587,-57.818232797771216,-57.818232797771216,1730.0904254722975,297.46770002079467,-37842.34426859449 kJ/mol
Non-binding_donor1_row12543_cand000526,openmm,25.892198707853566,AB,MP,P,M,MP_AB,M_P,204.24386223231315,204.24386223231315,2027.0038908098297,-53.669164657523226,-53.669164657523226,1741.8990206675544,204.2438622324061,-44791.05086813424 kJ/mol
Non-binding_donor1_row12603_cand000211,openmm,-327.13534137160894,AB,MP,P,M,MP_AB,M_P,-47.65969538257127,-47.65969538257127,1965.2907937885623,-70.20318676538976,-70.20318676538976,1706.9504080992795,-47.659695382888515,-54150.2691028016 kJ/mol
Non-binding_donor1_row12828_cand000455,openmm,-359.92472532169813,AB,MP,P,M,MP_AB,M_P,-32.26041555658543,-32.26041555658543,1944.3005721469049,-60.116082315455586,-60.116082315455586,1732.9561552628268,-32.26041555652591,-55265.36782994179 kJ/mol
Non-binding_donor1_row12844_cand000226,openmm,-268.53728043656906,AB,MP,P,M,MP_AB,M_P,-42.87495176697169,-42.87495176697169,1949.310341960773,-68.74882322667862,-68.74882322667862,1765.5824094573409,-42.874951766992496,-52698.45221305467 kJ/mol
Non-binding_donor1_row12923_cand000474,openmm,-400.63439239003225,AB,MP,P,M,MP_AB,M_P,-39.618941596178445,-39.618941596178445,1684.5470980820376,-72.69160542241967,-72.69160542241967,1730.1082433447057,-39.61894159664513,-55798.56388517212 kJ/mol
Non-binding_donor1_row12973_cand000423,openmm,-374.2706992178003,AB,MP,P,M,MP_AB,M_P,-48.45673172643785,-48.45673172643785,2076.22012786308,-66.04222058163626,-66.04222058163626,1705.3781146678382,-48.45673172680614,-52901.73539543038 kJ/mol
Non-binding_donor1_row13475_cand000502,openmm,-301.853702896919,AB,MP,P,M,MP_AB,M_P,-53.63147738860263,-53.63147738860263,1908.192991142136,-67.23385419178594,-67.23385419178594,1770.046077383788,-53.63147738850668,-49896.52729990795 kJ/mol
Non-binding_donor1_row13699_cand000203,openmm,-323.302337867426,AB,MP,P,M,MP_AB,M_P,-43.69969670303345,-43.69969670303345,1785.5986675632148,-68.80298294116656,-68.80298294116656,1804.3588781410895,-43.6996967029948,-51759.7515623235 kJ/mol
Non-binding_donor1_row13950_cand000270,openmm,244.13220787193796,AB,MP,P,M,MP_AB,M_P,353.7208121757806,353.7208121757806,1565.178716980201,-45.835842304988766,-45.835842304988766,1786.5206901004588,353.7208121760391,-39389.31902802721 kJ/mol
Non-binding_donor1_row14151_cand000414,openmm,16.564073575385464,AB,MP,P,M,MP_AB,M_P,214.18143799395702,214.18143799395702,1729.0407068899594,-61.32814231759622,-61.32814231759622,1805.6837226696935,214.18143799442998,-47702.00018531747 kJ/mol
Non-binding_donor1_row14221_cand000425,openmm,-84.89301275487001,AB,MP,P,M,MP_AB,M_P,-42.06749062671061,-42.06749062671061,1635.8052647905351,-60.23378546486916,-60.23378546486916,1688.2500817072955,-42.067490626610564,-53440.380420676935 kJ/mol
Non-binding_donor1_row14299_cand000430,openmm,-229.28652496422507,AB,MP,P,M,MP_AB,M_P,-33.943140223097544,-33.943140223097544,1789.380245303945,-75.38845461397811,-75.38845461397811,1738.6923233543555,-33.9431402227662,-54968.10732635334 kJ/mol
Non-binding_donor1_row14387_cand000209,openmm,-13.799919772696512,AB,MP,P,M,MP_AB,M_P,-10.176685472175219,-10.176685472175219,1962.6831943158934,-66.51470619177556,-66.51470619177556,1818.792254605873,-10.176685472667316,-50781.56117352909 kJ/mol
Non-binding_donor1_row145_cand000319,openmm,-210.67964229671009,AB,MP,P,M,MP_AB,M_P,-35.6544617228561,-35.6544617228561,1639.6205467783761,-65.54353900638908,-65.54353900638908,1820.3803956269235,-35.6544617232239,-46908.32149061992 kJ/mol
Non-binding_donor1_row14709_cand000140,openmm,143.243697617858,AB,MP,P,M,MP_AB,M_P,-28.91708603750871,-28.91708603750871,1670.750766794232,-65.82240670521406,-65.82240670521406,1694.3073128110032,-28.917086037111602,-47274.16384994311 kJ/mol
Non-binding_donor1_row1476_cand000416,openmm,-283.0007829920987,AB,MP,P,M,MP_AB,M_P,-39.2314061884972,-39.2314061884972,1706.2574580871062,-61.13766643676581,-61.13766643676581,1673.7160346512574,-39.23140618826892,-54010.048752940704 kJ/mol
Non-binding_donor1_row14785_cand000120,openmm,-378.2302506843321,AB,MP,P,M,MP_AB,M_P,-33.990143603920956,-33.990143603920956,1393.380490008076,-66.31251358069994,-66.31251358069994,1783.3835810037917,-33.99014360442379,-55068.441024670785 kJ/mol
Non-binding_donor1_row14826_cand000112,openmm,-102.42616846534163,AB,MP,P,M,MP_AB,M_P,-37.44914768329956,-37.44914768329956,1613.5500129929953,-65.32968112248923,-65.32968112248923,1731.580091138441,-37.449147683458435,-55803.53361145801 kJ/mol
Non-binding_donor1_row1488_cand000221,openmm,283.56813640341096,AB,MP,P,M,MP_AB,M_P,312.04170420390494,312.04170420390494,2081.701726108424,-65.40977530745516,-65.40977530745516,1804.5557745517713,312.0417042035609,-44721.55099984227 kJ/mol
Non-binding_donor1_row14999_cand000509,openmm,-265.7874761277541,AB,MP,P,M,MP_AB,M_P,-44.79762398892126,-44.79762398892126,1768.707324520301,-70.97191301910973,-70.97191301910973,1745.4446841925464,-44.79762398850525,-55634.582994153134 kJ/mol
Non-binding_donor1_row15266_cand000019,openmm,-13.699269064524145,AB,MP,P,M,MP_AB,M_P,-40.59202373539055,-40.59202373539055,1780.5057580208008,-69.23135387288627,-69.23135387288627,1704.9412471205349,-40.592023735155635,-50046.181363323776 kJ/mol
Non-binding_donor1_row15385_cand000542,openmm,-260.8234934622644,AB,MP,P,M,MP_AB,M_P,-48.864793344635956,-48.864793344635956,1680.1847290653766,-67.77860598016875,-67.77860598016875,1718.420130166969,-48.86479334475831,-50982.75130265745 kJ/mol
Non-binding_donor1_row15422_cand000299,openmm,-409.30743954813863,AB,MP,P,M,MP_AB,M_P,-41.58303772254135,-41.58303772254135,1896.3614739560371,-77.5249228486792,-77.5249228486792,1761.585326217594,-41.58303772195711,-53897.27697689773 kJ/mol
Non-binding_donor1_row15534_cand000168,openmm,-329.99631686010804,AB,MP,P,M,MP_AB,M_P,-34.94385527356093,-34.94385527356093,1715.5895629431034,-70.1598163236905,-70.1598163236905,1737.699603346878,-34.94385527361152,-54438.95669827912 kJ/mol
Non-binding_donor1_row1569_cand000166,openmm,198.96007116351382,AB,MP,P,M,MP_AB,M_P,465.4746004237712,465.4746004237712,1876.9570196876468,-62.61354198607877,-62.61354198607877,1821.112743538079,465.47460042368084,-43452.22536550021 kJ/mol
Non-binding_donor1_row16978_cand000562,openmm,-327.5135075910638,AB,MP,P,M,MP_AB,M_P,-57.94406587542841,-57.94406587542841,2083.160231829654,-68.68206614414612,-68.68206614414612,1746.860658179161,-57.94406587560991,-52875.43537231667 kJ/mol
Non-binding_donor1_row17106_cand000239,openmm,-369.6223939376664,AB,MP,P,M,MP_AB,M_P,-46.54692609619161,-46.54692609619161,1910.50357436121,-61.621686248415244,-61.621686248415244,1873.413884950815,-46.546926096456446,-52715.304957659115 kJ/mol
Non-binding_donor1_row17115_cand000490,openmm,-333.3032669488195,AB,MP,P,M,MP_AB,M_P,-50.61933418504117,-50.61933418504117,1940.9412632439128,-63.894604475433155,-63.894604475433155,1826.4464309470786,-50.61933418511643,-54923.077750495635 kJ/mol
Non-binding_donor1_row17265_cand000054,openmm,-326.3866498172041,AB,MP,P,M,MP_AB,M_P,-59.452578961252016,-59.452578961252016,2171.7379331468283,-76.57579229259233,-76.57579229259233,1730.163566403484,-59.45257896115157,-53559.07706879662 kJ/mol
Non-binding_donor1_row17346_cand000090,openmm,-182.48980559595267,AB,MP,P,M,MP_AB,M_P,-56.46223760860718,-56.46223760860718,2171.6438482646163,-65.57089166104767,-65.57089166104767,1674.9958264141026,-56.46223760817114,-51125.461288478924 kJ/mol
Non-binding_donor1_row17466_cand000356,openmm,-305.85157471138535,AB,MP,P,M,MP_AB,M_P,-59.910850289239676,-59.910850289239676,1919.2879018137048,-71.96424146927127,-71.96424146927127,1852.7770110339886,-59.91085028877299,-50330.77917586804 kJ/mol
Non-binding_donor1_row17542_cand000548,openmm,-169.28448377958784,AB,MP,P,M,MP_AB,M_P,-43.09565977614196,-43.09565977614196,1936.0846092260672,-64.0200297623607,-64.0200297623607,1807.9649067871446,-43.09565977577418,-53485.745159413025 kJ/mol
Non-binding_donor1_row17548_cand000448,openmm,-292.9259922018029,AB,MP,P,M,MP_AB,M_P,-44.53790524237894,-44.53790524237894,1804.0852958415842,-69.0689873153161,-69.0689873153161,1764.1316452409699,-44.537905242726,-50196.39436339016 kJ/mol
Non-binding_donor1_row17695_cand000132,openmm,-243.18345470553834,AB,MP,P,M,MP_AB,M_P,-58.54977303928237,-58.54977303928237,2213.240800047664,-64.18309926161672,-64.18309926161672,1736.0465050495777,-58.54977303932856,-51012.30146417279 kJ/mol
Non-binding_donor1_row17716_cand000027,openmm,130.85019758133754,AB,MP,P,M,MP_AB,M_P,268.27675208182313,268.27675208182313,1979.3131568500296,-55.36737405692895,-55.36737405692895,1852.8738884430022,268.27675208225025,-45583.05692092835 kJ/mol
Non-binding_donor1_row17794_cand000087,openmm,-223.1984585109248,AB,MP,P,M,MP_AB,M_P,-49.0522505673805,-49.0522505673805,1918.6082550889403,-70.95864510149751,-70.95864510149751,1723.5315712275299,-49.05225056735321,-54191.05495789245 kJ/mol
Non-binding_donor1_row17869_cand000466,openmm,-217.4611437042497,AB,MP,P,M,MP_AB,M_P,-33.88216619206949,-33.88216619206949,1600.1517641580028,-67.80669820570704,-67.80669820570704,1731.519128726924,-33.88216619172215,-47019.101405855814 kJ/mol
Non-binding_donor1_row17914_cand000383,openmm,2994.89644447086,AB,MP,P,M,MP_AB,M_P,-19.63480174687129,-19.63480174687129,1470.0544097510988,-12.951056018732743,-12.951056018732743,1357.1743560782108,-19.63480174663391,-23333.56638080321 kJ/mol
Non-binding_donor1_row18042_cand000531,openmm,-194.23139573658347,AB,MP,P,M,MP_AB,M_P,-35.64757486946755,-35.64757486946755,1541.5438716146757,-74.09286007007556,-74.09286007007556,1792.177635757985,-35.64757486957518,-49423.33036811069 kJ/mol
Non-binding_donor1_row18078_cand000302,openmm,9003.082154027486,AB,MP,P,M,MP_AB,M_P,1633.4914723611182,1633.4914723611182,1769.369828233301,130.52759682830447,130.52759682830447,1736.6890189248788,1633.4914723611337,641168639.6000059 kJ/mol
Non-binding_donor1_row18088_cand000227,openmm,-266.71349493540146,AB,MP,P,M,MP_AB,M_P,-42.00146043611585,-42.00146043611585,1903.1791411363274,-72.70491515132446,-72.70491515132446,1674.7254555204217,-42.00146043578249,-49791.55257983738 kJ/mol
Non-binding_donor1_row18125_cand000390,openmm,189.11418270948104,AB,MP,P,M,MP_AB,M_P,371.66883766219473,371.66883766219473,1924.442068534355,-70.38279402087187,-70.38279402087187,1850.6424190596674,371.6688376619352,-40036.281549651336 kJ/mol
Non-binding_donor1_row18136_cand000398,openmm,-338.34740381482646,AB,MP,P,M,MP_AB,M_P,-29.96517999919581,-29.96517999919581,1755.4175265665174,-74.84582680342474,-74.84582680342474,1756.8189018435676,-29.965179999128964,-52800.44059132165 kJ/mol
Non-binding_donor1_row18214_cand000161,openmm,-382.89839705659733,AB,MP,P,M,MP_AB,M_P,-45.58043423415387,-45.58043423415387,1839.1956267398396,-70.65191424715925,-70.65191424715925,1773.163855989362,-45.580434234304676,-50717.342498936196 kJ/mol
Non-binding_donor1_row18193_cand000325,openmm,-214.6088852663413,AB,MP,P,M,MP_AB,M_P,-33.58289783199794,-33.58289783199794,1921.4530099003705,-64.09788393812504,-64.09788393812504,1670.2870677185624,-33.58289783238109,-55109.701232570085 kJ/mol
Non-binding_donor1_row18252_cand000520,openmm,-319.9224768044288,AB,MP,P,M,MP_AB,M_P,-25.601616775621892,-25.601616775621892,1370.4086991038935,-66.17559124784876,-66.17559124784876,1747.8042995280732,-25.601616775883997,-51742.20476716338 kJ/mol
Non-binding_donor1_row18546_cand000380,openmm,219.58796764960283,AB,MP,P,M,MP_AB,M_P,319.19703743005095,319.19703743005095,2014.0423543817624,-60.99351769610388,-60.99351769610388,1714.0726003274588,319.19703742988315,-51840.09212074563 kJ/mol
Non-binding_donor1_row18610_cand000160,openmm,-237.4867275236497,AB,MP,P,M,MP_AB,M_P,-42.839326795463364,-42.839326795463364,2168.974611519787,-69.4902947816491,-69.4902947816491,1670.5836573361182,-42.839326795331345,-57065.29866833558 kJ/mol
Non-binding_donor1_row18598_cand000241,openmm,-75.82671241666806,AB,MP,P,M,MP_AB,M_P,-51.983443827307255,-51.983443827307255,1995.4473915774674,-55.89359875675383,-55.89359875675383,1668.301875928212,-51.98344382734562,-52502.11450403895 kJ/mol
