TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10160_cand000174,rosetta_sidechain,1256.4098625844424,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,0.12289367567973386
Non-binding_donor1_row10167_cand000068,rosetta_sidechain,1169.2733831145,AB,MP,P,M,MP_AB,M_P,-0.43382132070109947,-0.43382132070109947,31.75510218720217,0.0,0.0,0.0,-0.4338213210030517
Non-binding_donor1_row0_cand000178,rosetta_sidechain,1352.3389391097721,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,1150.661440891955,1150.661440891955,799.2081315244762,4.320099833421409e-12
Non-binding_donor1_row10057_cand000021,rosetta_sidechain,17187.80077302278,AB,MP,P,M,MP_AB,M_P,12951.435736897685,12951.435736897685,912.7767524938607,4087.8557981266113,4087.8557981266113,667.9191438744988,12951.435736897796
Non-binding_donor1_row10221_cand000320,rosetta_sidechain,52024.496606916095,AB,MP,P,M,MP_AB,M_P,21571.24436288515,21571.24436288515,1109.113137439172,0.0,0.0,0.0,21571.24436288525
Non-binding_donor1_row10226_cand000322,rosetta_sidechain,14208.602094021664,AB,MP,P,M,MP_AB,M_P,0.0057880118783941725,0.0057880118783941725,8.709836800020213,7694.233538450428,7694.233538450428,1001.2355542253696,0.005788011798358639
Non-binding_donor1_row1026_cand000433,rosetta_sidechain,4876.052717977455,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,1498.722626916208,1498.722626916208,923.6104300400096,-1.8189894035458565e-12
Non-binding_donor1_row10248_cand000276,rosetta_sidechain,168.99086125148136,AB,MP,P,M,MP_AB,M_P,-1.589652025423419,-1.589652025423419,214.8048462854224,0.10428996764055753,0.10428996764055753,8.948054850370227,-1.5896520252595394
Non-binding_donor1_row10317_cand000179,rosetta_sidechain,1147.460487425917,AB,MP,P,M,MP_AB,M_P,106.2647755739572,106.2647755739572,332.70383856851515,0.0,0.0,0.0,106.2647755741632
Non-binding_donor1_row10662_cand000006,rosetta_sidechain,15263.210769305584,AB,MP,P,M,MP_AB,M_P,-0.1617823308770312,-0.1617823308770312,23.579103427725244,12617.63002430177,12617.63002430177,1204.3596177159138,-0.1617823307897197
Non-binding_donor1_row11024_cand000353,rosetta_sidechain,995.5633309574192,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,2.3874235921539366e-12
Non-binding_donor1_row10874_cand000071,rosetta_sidechain,38162.10012206484,AB,MP,P,M,MP_AB,M_P,24609.41188427013,24609.41188427013,2117.4789589493935,11445.910270120281,11445.910270120281,1027.526030524577,24609.411884270223
Non-binding_donor1_row10356_cand000372,rosetta_sidechain,-37.81322752626128,AB,MP,P,M,MP_AB,M_P,-0.09330246520099905,-0.09330246520099905,255.12569864661916,-38.350190005182725,-38.350190005182725,1933.899014852493,-0.09330246459919778
Non-binding_donor1_row10778_cand000152,rosetta_sidechain,1532.0632094416562,AB,MP,P,M,MP_AB,M_P,495.84597576415104,495.84597576415104,373.9666645195603,1083.4077439707344,1083.4077439707344,579.209301740402,495.8459757638841
Non-binding_donor1_row11448_cand000007,rosetta_sidechain,8282.766509753572,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-1.2732925824820995e-11
Non-binding_donor1_row11292_cand000470,rosetta_sidechain,4178.722745617119,AB,MP,P,M,MP_AB,M_P,-0.609936355699574,-0.609936355699574,244.6542350979004,3518.1708685356634,3518.1708685356634,856.7992728157802,-0.6099363555968011
Non-binding_donor1_row11177_cand000250,rosetta_sidechain,1334.7129822107377,AB,MP,P,M,MP_AB,M_P,-4.725247155025954,-4.725247155025954,476.0977472926619,-35.8830718348205,-35.8830718348205,1972.0615930606739,-4.725247154755607
