TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10875_cand000518,none,24411.79426236665,AB,MP,P,M,MP_AB,M_P,11095.890152684997,11095.890152684997,1462.5045265289732,1934.1701301519788,1934.1701301519788,1913.061808165613,11095.890152684966
Non-binding_donor1_row10209_cand000233,none,22977.045846867055,AB,MP,P,M,MP_AB,M_P,6276.224013632131,6276.224013632131,1547.3319884617636,1719.88390977368,1719.88390977368,1953.256461586362,6276.22401363228
Non-binding_donor1_row10465_cand000353,none,33016.34524024332,AB,MP,P,M,MP_AB,M_P,8404.081519906536,8404.081519906536,1664.5218418342427,1677.495732035949,1677.495732035949,1872.91834331257,8404.081519906555
Non-binding_donor1_row10017_cand000127,none,27555.717345024186,AB,MP,P,M,MP_AB,M_P,7240.5948877685805,7240.5948877685805,1935.530455553031,1585.2857297802557,1585.2857297802557,1864.093082071351,7240.594887768471
Non-binding_donor1_row11120_cand000342,none,22142.337239745666,AB,MP,P,M,MP_AB,M_P,5508.469486472273,5508.469486472273,1754.9617318931048,2203.331402064776,2203.331402064776,1850.9637768385633,5508.469486472168
Non-binding_donor1_row10884_cand000312,none,23407.03074244257,AB,MP,P,M,MP_AB,M_P,9660.270413220485,9660.270413220485,1912.668240297797,1846.3075285204886,1846.3075285204886,1938.488540410556,9660.270413220504
Non-binding_donor1_row11313_cand000536,none,18208.718770803305,AB,MP,P,M,MP_AB,M_P,3923.754357188145,3923.754357188145,1632.1966995993016,1527.5397885733796,1527.5397885733796,1918.0638364746208,3923.7543571878705
Non-binding_donor1_row11735_cand000162,none,45929.89112345414,AB,MP,P,M,MP_AB,M_P,20812.686754800732,20812.686754800732,1697.146125745956,1460.9674838454312,1460.9674838454312,1912.5409786457606,20812.686754800303
Non-binding_donor1_row12266_cand000235,none,12556.183132774146,AB,MP,P,M,MP_AB,M_P,2513.437597133585,2513.437597133585,1676.8350466228353,1355.6913443986186,1355.6913443986186,1879.3248497061863,2513.4375971330774
Non-binding_donor1_row12047_cand000574,none,10912.911668170149,AB,MP,P,M,MP_AB,M_P,2786.7872944010905,2786.7872944010905,1835.2444495379289,1638.2185269723723,1638.2185269723723,1876.2914209241073,2786.7872944009923
