TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10210_cand000230,rosetta_sidechain,16960.64448380377,AB,MP,P,M,MP_AB,M_P,8084.747831766581,8084.747831766581,684.7068298738825,0.0,0.0,0.0,8084.747831766583
Non-binding_donor1_row10018_cand000128,rosetta_sidechain,56399.939068458174,AB,MP,P,M,MP_AB,M_P,29607.41202310846,29607.41202310846,1713.5137924430833,24125.328901827277,24125.328901827277,1245.4809866703392,29607.41202310868
Non-binding_donor1_row10466_cand000354,rosetta_sidechain,9717.648609494034,AB,MP,P,M,MP_AB,M_P,6172.470861650101,6172.470861650101,528.9915637342809,1.202732816753496,1.202732816753496,111.82942751933815,6172.470861650239
Non-binding_donor1_row10876_cand000532,rosetta_sidechain,24903.908964117607,AB,MP,P,M,MP_AB,M_P,5120.236555574058,5120.236555574058,948.7746957935286,0.0,0.0,0.0,5120.236555574262
Non-binding_donor1_row10885_cand000311,rosetta_sidechain,4962.595223041207,AB,MP,P,M,MP_AB,M_P,0.08637532956527139,0.08637532956527139,25.942721385002756,0.0,0.0,0.0,0.08637532954344351
Non-binding_donor1_row11954_cand000034,rosetta_sidechain,2677.816434394944,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-6.366462912410498e-12
Non-binding_donor1_row11121_cand000336,rosetta_sidechain,3439.5268941425443,AB,MP,P,M,MP_AB,M_P,958.7165297504439,958.7165297504439,325.90281019375936,0.016895290898219173,0.016895290898219173,7.095298643660868,958.7165297506172
Non-binding_donor1_row11314_cand000530,rosetta_sidechain,6663.558993203621,AB,MP,P,M,MP_AB,M_P,4337.839672152673,4337.839672152673,602.0382626556201,1109.8045105481467,1109.8045105481467,777.7614558627998,4337.839672152823
Non-binding_donor1_row11736_cand000165,rosetta_sidechain,5939.481795473083,AB,MP,P,M,MP_AB,M_P,0.019044753686102922,0.019044753686102922,0.0,-0.00028064800699212356,-0.00028064800699212356,0.0,0.01904475432183972
Non-binding_donor1_row12087_cand000435,rosetta_sidechain,12813.356405805465,AB,MP,P,M,MP_AB,M_P,6.119837144084158,6.119837144084158,89.33446832381945,10387.685395164364,10387.685395164364,955.4500139200275,6.11983714409871
Non-binding_donor1_row12278_cand000441,rosetta_sidechain,2290.4759973370938,AB,MP,P,M,MP_AB,M_P,-5.686835674684517,-5.686835674684517,532.330603546894,-10.441795571700936,-10.441795571700936,1668.3292659619397,-5.686835674559006
Non-binding_donor1_row12267_cand000237,rosetta_sidechain,748.5286773645906,AB,MP,P,M,MP_AB,M_P,-4.8764696992587915,-4.8764696992587915,545.9131358798401,-14.541905459334657,-14.541905459334657,1752.2895242100367,-4.876469698933761
Non-binding_donor1_row12761_cand000526,rosetta_sidechain,1812.5341308297595,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,21.328211553989604,21.328211553989604,308.75853403564577,-1.3642420526593924e-12
Non-binding_donor1_row12801_cand000559,rosetta_sidechain,775.7843905121127,AB,MP,P,M,MP_AB,M_P,-0.7823189072533978,-0.7823189072533978,184.25118221317976,-4.098408863658136,-4.098408863658136,1898.0619133396694,-0.7823189075562595
Non-binding_donor1_row13622_cand000276,rosetta_sidechain,5300.235896540507,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,4602.281222246569,4602.281222246569,906.3739229272021,3.637978807091713e-12
Non-binding_donor1_row12804_cand000426,rosetta_sidechain,250.1188631014199,AB,MP,P,M,MP_AB,M_P,-2.167261872533686,-2.167261872533686,195.983487127577,-0.09132882405815224,-0.09132882405815224,1430.9868822042686,-2.1672618726176722
