TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10018_cand000128,openmm,437.2399868303954,AB,MP,P,M,MP_AB,M_P,-47.60515824629181,-47.60515824629181,2263.542872363242,-43.38075410815074,-43.38075410815074,1593.4908042734842,-47.605158246355586,-48395.988763406145 kJ/mol
Non-binding_donor1_row10210_cand000230,openmm,-271.0109011252341,AB,MP,P,M,MP_AB,M_P,-33.56390660361936,-33.56390660361936,1675.185012348,-52.188233036074294,-52.188233036074294,1843.5569795870254,-33.563906603985345,-54595.2449430279 kJ/mol
Non-binding_donor1_row10876_cand000532,openmm,-242.85451499448564,AB,MP,P,M,MP_AB,M_P,-44.433752999763556,-44.433752999763556,1554.6707644145868,-58.04782246510711,-58.04782246510711,1798.8248812330924,-44.43375299958808,-53751.03712749122 kJ/mol
Non-binding_donor1_row10466_cand000354,openmm,405.3310290469526,AB,MP,P,M,MP_AB,M_P,-32.48342959288641,-32.48342959288641,1778.746396321621,-45.23876125310814,-45.23876125310814,1748.5086058159136,-32.4834295927036,-41287.76090457647 kJ/mol
Non-binding_donor1_row10885_cand000311,openmm,-214.47934903055463,AB,MP,P,M,MP_AB,M_P,-45.18686125763381,-45.18686125763381,2064.1937233341932,-48.424162081061155,-48.424162081061155,1706.8168942900113,-45.18686125776085,-53482.20391690593 kJ/mol
Non-binding_donor1_row11121_cand000336,openmm,-77.12064584933103,AB,MP,P,M,MP_AB,M_P,253.62116961743908,253.62116961743908,1929.7427808560203,-48.43153649756951,-48.43153649756951,1775.0943607964832,253.62116961725064,-45587.48637954843 kJ/mol
Non-binding_donor1_row11314_cand000530,openmm,-126.46389836193258,AB,MP,P,M,MP_AB,M_P,-36.05263788521542,-36.05263788521542,1845.8130542343047,-43.673149012599495,-43.673149012599495,1709.592883128912,-36.05263788546699,-52705.88177298581 kJ/mol
Non-binding_donor1_row11736_cand000165,openmm,551.1928229119658,AB,MP,P,M,MP_AB,M_P,387.40921255071606,387.40921255071606,2389.1235241054956,-42.732039384085645,-42.732039384085645,1535.5785301568321,387.40921255087585,-42097.49646997367 kJ/mol
Non-binding_donor1_row12087_cand000435,openmm,-175.3536756891445,AB,MP,P,M,MP_AB,M_P,-43.194702061377455,-43.194702061377455,1914.365111452738,-57.654149147088276,-57.654149147088276,1708.9991609024785,-43.19470206162501,-54200.369841424064 kJ/mol
Non-binding_donor1_row11954_cand000034,openmm,-107.07190111825197,AB,MP,P,M,MP_AB,M_P,-47.39142747004317,-47.39142747004317,1949.734674165536,-57.10548357162907,-57.10548357162907,1767.8807055584803,-47.39142747004857,-51682.76639509844 kJ/mol
