TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10203_cand000271,rosetta_sidechain,3247.798888930845,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,165.32825814386683,165.32825814386683,303.48483165378195,1.8189894035458565e-12
Non-binding_donor1_row10127_cand000113,rosetta_sidechain,964.1428757867668,AB,MP,P,M,MP_AB,M_P,-1.1556622729845003,-1.1556622729845003,123.05556367960038,-0.1148597745650477,-0.1148597745650477,46.20317044577813,-1.155662272349332
Non-binding_donor1_row10176_cand000317,rosetta_sidechain,31200.3573861321,AB,MP,P,M,MP_AB,M_P,9351.522259174013,9351.522259174013,1186.719962816952,597.697218503266,597.697218503266,460.4048403983937,9351.522259173853
Non-binding_donor1_row10018_cand000412,rosetta_sidechain,62303.73430251661,AB,MP,P,M,MP_AB,M_P,55250.19906106806,55250.19906106806,3148.322860382013,3270.427794135065,3270.427794135065,644.4593666684776,55250.199061068444
Non-binding_donor1_row10956_cand000296,rosetta_sidechain,7656.228418750408,AB,MP,P,M,MP_AB,M_P,7136.388774401432,7136.388774401432,1117.7750668904798,0.0,0.0,0.0,7136.388774401235
Non-binding_donor1_row11148_cand000516,rosetta_sidechain,12607.621093164616,AB,MP,P,M,MP_AB,M_P,10459.648728250202,10459.648728250202,786.7257228826662,0.0,0.0,0.0,10459.648728249882
Non-binding_donor1_row11171_cand000357,rosetta_sidechain,688.3025856986696,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,6.87805368215777e-12,6.87805368215777e-12,0.0,5.9117155615240335e-12
Non-binding_donor1_row1118_cand000153,rosetta_sidechain,828.0646527671975,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-0.000428410177164551
Non-binding_donor1_row11502_cand000452,rosetta_sidechain,78260.44155565537,AB,MP,P,M,MP_AB,M_P,31377.486579328062,31377.486579328062,2414.9583608716675,19851.979986890397,19851.979986890397,1529.5889635289702,31377.486579327713
Non-binding_donor1_row11213_cand000577,rosetta_sidechain,1833.6392925546775,AB,MP,P,M,MP_AB,M_P,-7.982887802922278,-7.982887802922278,836.3392822008791,-18.793264895621235,-18.793264895621235,1769.8656801523016,-7.982887803277663
Non-binding_donor1_row12104_cand000009,rosetta_sidechain,4256.241395023518,AB,MP,P,M,MP_AB,M_P,4087.1585645573778,4087.1585645573778,1622.4307446763514,0.0,0.0,0.0,4087.1585645569976
Non-binding_donor1_row12123_cand000318,rosetta_sidechain,198.7916198753345,AB,MP,P,M,MP_AB,M_P,-0.13894024025611884,-0.13894024025611884,148.2119948440324,4.044122727024558,4.044122727024558,172.3128896619528,-0.13894023994663485
Non-binding_donor1_row11584_cand000078,rosetta_sidechain,-41.77040442095968,AB,MP,P,M,MP_AB,M_P,-6.4794344763681835,-6.4794344763681835,788.6075213681288,-24.830418595134233,-24.830418595134233,1720.8514591422052,-6.479434476435053
Non-binding_donor1_row12385_cand000594,rosetta_sidechain,478.129110080217,AB,MP,P,M,MP_AB,M_P,-5.564973219409467,-5.564973219409467,215.67659558318968,-23.21108543136728,-23.21108543136728,1778.5559615076804,-5.564973219032652
Non-binding_donor1_row12429_cand000178,rosetta_sidechain,366.73503662685243,AB,MP,P,M,MP_AB,M_P,-0.5291870239220202,-0.5291870239220202,85.76671280900605,54.73775054507763,54.73775054507763,1170.1322760358084,-0.5291870244361121
Non-binding_donor1_row12543_cand000526,rosetta_sidechain,828.3895519101292,AB,MP,P,M,MP_AB,M_P,511.2216134935169,511.2216134935169,533.342491148068,19.089768687097433,19.089768687097433,304.3622823604391,511.2216134936599
Non-binding_donor1_row12670_cand000470,rosetta_sidechain,11915.880141619098,AB,MP,P,M,MP_AB,M_P,0.0029077451254124753,0.0029077451254124753,40.121528003599934,8384.483076990799,8384.483076990799,1027.385256145621,0.002907744577896665
