TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row1001_cand000507,openmm,-284.79911814382507,AB,MP,P,M,MP_AB,M_P,-25.52004217072124,-25.52004217072124,1684.379329277317,-62.32718803922744,-62.32718803922744,1808.5313010360017,-25.520042171036437,-56041.404958262465 kJ/mol
Non-binding_donor1_row10081_cand000598,openmm,-262.5877259103597,AB,MP,P,M,MP_AB,M_P,-31.186778770541366,-31.186778770541366,1893.3600583909486,-67.44675308384167,-67.44675308384167,1859.9446981780036,-31.186778770232934,-56682.137131204 kJ/mol
Non-binding_donor1_row10289_cand000522,openmm,-207.47872005053966,AB,MP,P,M,MP_AB,M_P,-36.65523843557074,-36.65523843557074,1980.8390633084628,-67.75218955140119,-67.75218955140119,1757.5467196556867,-36.65523843539057,-55847.162033741 kJ/mol
Non-binding_donor1_row1046_cand000007,openmm,-247.14595669478376,AB,MP,P,M,MP_AB,M_P,-42.65868793499379,-42.65868793499379,1985.824165802236,-73.3069635788849,-73.3069635788849,1830.7215722862359,-42.658687934956276,-54078.53257251593 kJ/mol
Non-binding_donor1_row1050_cand000587,openmm,-369.39425304513486,AB,MP,P,M,MP_AB,M_P,-37.89948680780782,-37.89948680780782,1857.180507764846,-70.22096035641614,-70.22096035641614,1886.0416756408067,-37.89948680775342,-55575.48816898652 kJ/mol
Non-binding_donor1_row10550_cand000353,openmm,-209.2948780234329,AB,MP,P,M,MP_AB,M_P,-36.243265299613114,-36.243265299613114,1792.225209554885,-71.75196923422715,-71.75196923422715,1893.7466759698311,-36.24326529953504,-53283.1552854197 kJ/mol
Non-binding_donor1_row10555_cand000359,openmm,483.2702216760232,AB,MP,P,M,MP_AB,M_P,-32.27988386013601,-32.27988386013601,1743.929397092984,-68.18107477983122,-68.18107477983122,1832.6329094996609,-32.27988386006257,-40716.90794406324 kJ/mol
Non-binding_donor1_row10556_cand000282,openmm,-366.3730308581833,AB,MP,P,M,MP_AB,M_P,-49.93628741816315,-49.93628741816315,2322.769255294343,-55.547237234509346,-55.547237234509346,1877.70796893012,-49.93628741837921,-54118.19141124659 kJ/mol
Non-binding_donor1_row10602_cand000182,openmm,492.8959407649867,AB,MP,P,M,MP_AB,M_P,-40.09073361954074,-40.09073361954074,2221.1145388087702,-55.75777401459987,-55.75777401459987,1859.0785959899936,-40.090733619440016,-47956.3053872654 kJ/mol
Non-binding_donor1_row10611_cand000369,openmm,-283.61739903899297,AB,MP,P,M,MP_AB,M_P,-39.85588062302122,-39.85588062302122,2071.89892534571,-67.85219549413048,-67.85219549413048,1861.804164206059,-39.855880623124705,-57367.02985782296 kJ/mol
Non-binding_donor1_row10783_cand000307,openmm,822.144822962144,AB,MP,P,M,MP_AB,M_P,-37.52900764764331,-37.52900764764331,1977.605200915084,-62.37380790480992,-62.37380790480992,1945.0786631985004,-37.52900764750461,-39938.23115745416 kJ/mol
Non-binding_donor1_row10800_cand000152,openmm,274.9084392985726,AB,MP,P,M,MP_AB,M_P,-43.64154877258619,-43.64154877258619,1993.8877420868282,-70.83032684207741,-70.83032684207741,1859.7271293119593,-43.64154877267714,-42934.96508587161 kJ/mol
Non-binding_donor1_row10878_cand000525,openmm,-296.1390845468983,AB,MP,P,M,MP_AB,M_P,-41.269745620051054,-41.269745620051054,1992.0293387703607,-60.06654715575985,-60.06654715575985,1894.4588866599279,-41.26974562025683,-53890.38434231904 kJ/mol
Non-binding_donor1_row10978_cand000478,openmm,310.97388767538666,AB,MP,P,M,MP_AB,M_P,307.9616931328252,307.9616931328252,2173.0060893813275,-70.06228732418464,-70.06228732418464,1853.2706522026042,307.96169313283895,-44209.75653129397 kJ/mol
Non-binding_donor1_row11048_cand000319,openmm,497.13483682438607,AB,MP,P,M,MP_AB,M_P,-40.90901829723805,-40.90901829723805,2180.352474969689,-58.34374908939288,-58.34374908939288,1865.4851954678365,-40.909018297594116,-43862.61709437616 kJ/mol
Non-binding_donor1_row110_cand000198,openmm,-86.63669098504086,AB,MP,P,M,MP_AB,M_P,-47.32161594394848,-47.32161594394848,2255.3464648870454,-64.55305422942743,-64.55305422942743,1897.5427903639754,-47.32161594379254,-56917.642192808424 kJ/mol
Non-binding_donor1_row11126_cand000577,openmm,-316.66616515528654,AB,MP,P,M,MP_AB,M_P,-36.55837804690975,-36.55837804690975,2021.810783854313,-70.17784531218425,-70.17784531218425,1868.6552408667435,-36.558378046922655,-54678.12200222969 kJ/mol
Non-binding_donor1_row11263_cand000110,openmm,-269.2934993110052,AB,MP,P,M,MP_AB,M_P,-50.22138276025757,-50.22138276025757,2055.9848891137226,-68.93666445532244,-68.93666445532244,1880.9021929569305,-50.2213827603689,-53969.864684994456 kJ/mol
Non-binding_donor1_row11293_cand000138,openmm,-143.6074818980757,AB,MP,P,M,MP_AB,M_P,-46.979948841133265,-46.979948841133265,2151.2760653333535,-59.59538972109,-59.59538972109,1915.5543788050468,-46.97994884102556,-53463.451609368225 kJ/mol
Non-binding_donor1_row11340_cand000100,openmm,-218.14787727923766,AB,MP,P,M,MP_AB,M_P,-35.61706278762071,-35.61706278762071,1897.5666664681423,-66.48042912434313,-66.48042912434313,1872.1558516259774,-35.61706278781901,-51282.56739742179 kJ/mol
Non-binding_donor1_row11436_cand000515,openmm,-211.95432711205174,AB,MP,P,M,MP_AB,M_P,-50.78153896856182,-50.78153896856182,2122.672934691027,-62.38391058065618,-62.38391058065618,1873.925863712105,-50.781538968575916,-53348.0355541067 kJ/mol
Non-binding_donor1_row11491_cand000286,openmm,-128.9560637681266,AB,MP,P,M,MP_AB,M_P,-29.598443261705185,-29.598443261705185,1791.5395821685509,-69.87009088561399,-69.87009088561399,1990.4980799688879,-29.598443261226436,-55054.66348754209 kJ/mol
Non-binding_donor1_row11541_cand000202,openmm,-239.4545186274341,AB,MP,P,M,MP_AB,M_P,-29.711774323583683,-29.711774323583683,1694.9917999155596,-54.403766585682305,-54.403766585682305,1843.1723710760368,-29.711774323598064,-56214.46073818548 kJ/mol
Non-binding_donor1_row11664_cand000147,openmm,-146.55744346494654,AB,MP,P,M,MP_AB,M_P,-46.22869056149813,-46.22869056149813,1766.5506017710636,-62.652367456738375,-62.652367456738375,1828.3285397132977,-46.228690562144735,-57168.97569510549 kJ/mol
Non-binding_donor1_row1169_cand000347,openmm,-99.87237941512234,AB,MP,P,M,MP_AB,M_P,-28.962825909115466,-28.962825909115466,1734.2788200691202,-67.56822168362933,-67.56822168362933,1973.0485185750344,-28.962825909102307,-49904.05914449812 kJ/mol
