TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row2_cand000007,openmm,-50.85914327010866,AB,MP,P,M,MP_AB,M_P,-46.08108087766698,-46.08108087766698,2130.8882227512204,-60.94214625604731,-60.94214625604731,1759.4152924239286,-46.08108087726872,-57561.65137451806 kJ/mol
Binding_donor1_row0_cand000005,openmm,236.5405535375353,AB,MP,P,M,MP_AB,M_P,-40.83577732415188,-40.83577732415188,2114.777259080476,-54.921444448019,-54.921444448019,1830.89620605268,-40.83577732438005,-44900.65287787389 kJ/mol
Binding_donor1_row4_cand000010,openmm,-167.12234240159194,AB,MP,P,M,MP_AB,M_P,-59.617691889505565,-59.617691889505565,2442.2601817807267,-58.894641652320836,-58.894641652320836,1863.5157892109426,-59.61769188896797,-57652.20523990072 kJ/mol
Binding_donor1_row3_cand000011,openmm,-42.67328590977071,AB,MP,P,M,MP_AB,M_P,-45.20200119739488,-45.20200119739488,2276.733869167323,-70.03276376414165,-70.03276376414165,1829.7369661205248,-45.20200119763835,-54901.458484174975 kJ/mol
Binding_donor2_row11_cand000012,openmm,-177.62799061544428,AB,MP,P,M,MP_AB,M_P,-30.253968880763267,-30.253968880763267,1874.3439282455988,-61.48539260593819,-61.48539260593819,1877.1580893744958,-30.25396888076989,-49730.5721818067 kJ/mol
Binding_donor2_row10_cand000002,openmm,-165.65434467462654,AB,MP,P,M,MP_AB,M_P,-55.31385334256997,-55.31385334256997,2308.57464762825,-53.80229175760701,-53.80229175760701,1751.896212323845,-55.31385334288737,-52991.93599404221 kJ/mol
Binding_donor2_row12_cand000013,openmm,-255.47805317079644,AB,MP,P,M,MP_AB,M_P,-39.98066106268135,-39.98066106268135,1895.9910530326117,-65.22550265820296,-65.22550265820296,1830.0587505354606,-39.98066106294681,-56812.685601525365 kJ/mol
Binding_donor2_row13_cand000022,openmm,553.0315058273128,AB,MP,P,M,MP_AB,M_P,-47.01258755975596,-47.01258755975596,2421.64336751477,-35.18734007443804,-35.18734007443804,1812.6577558369254,-47.012587559746976,-44605.0956870316 kJ/mol
Binding_donor2_row15_cand000017,openmm,-221.82461028358762,AB,MP,P,M,MP_AB,M_P,-36.80928280020092,-36.80928280020092,1687.7564405386804,-59.165182966233004,-59.165182966233004,1877.1878530560068,-36.809282800439746,-55987.63287457928 kJ/mol
Binding_donor2_row14_cand000016,openmm,-270.9500607933547,AB,MP,P,M,MP_AB,M_P,-49.457406078246805,-49.457406078246805,2161.2806882137484,-47.10508735173228,-47.10508735173228,1746.1033792092685,-49.45740607836109,-54042.4074636389 kJ/mol
Binding_donor2_row16_cand000019,openmm,-158.60928726940844,AB,MP,P,M,MP_AB,M_P,-65.07754094630907,-65.07754094630907,2259.4734316512163,-61.98831643220781,-61.98831643220781,1745.2274023362022,-65.07754094607415,-52893.53863867432 kJ/mol
Binding_donor2_row19_cand000021,openmm,247.26870274147433,AB,MP,P,M,MP_AB,M_P,327.11422997613187,327.11422997613187,2057.3763974627336,-52.54501124009564,-52.54501124009564,1727.538901489241,327.1142299763138,-43635.7984179001 kJ/mol
Binding_donor2_row20_cand000004,openmm,-108.60466832505242,AB,MP,P,M,MP_AB,M_P,-58.486184189548894,-58.486184189548894,2345.7888371919544,-55.8267807646623,-55.8267807646623,1664.3411808641135,-58.486184189706606,-58508.2706906829 kJ/mol
