TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10209_cand000234,openmm,-306.9316064473043,AB,MP,P,M,MP_AB,M_P,-35.57731345238949,-35.57731345238949,1885.9503445003054,-49.20405056573382,-49.20405056573382,1807.3792208322886,-35.57731345189808,-55914.49252089531 kJ/mol
Non-binding_donor1_row10017_cand000128,openmm,412.1514012815759,AB,MP,P,M,MP_AB,M_P,-49.22603532890821,-49.22603532890821,2126.9500850980767,-62.143148755814295,-62.143148755814295,1848.4084441592279,-49.22603532873711,-50202.36234351636 kJ/mol
Non-binding_donor1_row10875_cand000521,openmm,-267.06555706458187,AB,MP,P,M,MP_AB,M_P,-37.831536168443364,-37.831536168443364,1888.0231440620869,-65.2494994577149,-65.2494994577149,1865.456859077803,-37.83153616842918,-55415.23909486867 kJ/mol
Non-binding_donor1_row10465_cand000347,openmm,382.7422577232282,AB,MP,P,M,MP_AB,M_P,-42.656046688929735,-42.656046688929735,2220.1597583807225,-52.151644048276204,-52.151644048276204,1775.3867538668155,-42.65604668910436,-43645.55566655604 kJ/mol
Non-binding_donor1_row11120_cand000336,openmm,-220.34769747830077,AB,MP,P,M,MP_AB,M_P,-34.42131777609512,-34.42131777609512,1919.2615744915665,-58.14221041668091,-58.14221041668091,1804.752081429017,-34.42131777659969,-55575.52574110198 kJ/mol
Non-binding_donor1_row10884_cand000310,openmm,-229.87993651570497,AB,MP,P,M,MP_AB,M_P,-51.295161129945,-51.295161129945,2368.943786826351,-47.82401729591112,-47.82401729591112,1767.526225308891,-51.295161129799396,-55597.12517474691 kJ/mol
Non-binding_donor1_row11735_cand000163,openmm,350.5870057173806,AB,MP,P,M,MP_AB,M_P,277.83741241806456,277.83741241806456,2232.363961539765,-57.82056398845049,-57.82056398845049,1693.702862627433,277.83741241817484,-49829.02013374481 kJ/mol
Non-binding_donor1_row11313_cand000528,openmm,-186.5164000451714,AB,MP,P,M,MP_AB,M_P,-43.79101688124803,-43.79101688124803,2123.4962258917394,-55.44290880677788,-55.44290880677788,1838.0885760308274,-43.791016881502,-54823.98349816297 kJ/mol
Non-binding_donor1_row12047_cand000576,openmm,-286.33149881059717,AB,MP,P,M,MP_AB,M_P,-42.64611646212791,-42.64611646212791,2149.5822814719345,-56.99926207576082,-56.99926207576082,1863.3381224501081,-42.64611646198159,-58304.38619530366 kJ/mol
Non-binding_donor1_row11953_cand000034,openmm,-193.0161359748123,AB,MP,P,M,MP_AB,M_P,-55.386631897144355,-55.386631897144355,2288.3691182612706,-56.266039062674146,-56.266039062674146,1837.8969156079022,-55.38663189726725,-53044.03339367323 kJ/mol
