TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10354_cand00497,none,19969.366277034595,AB,MP,P,M,MP_AB,M_P,7221.929374338484,7221.929374338484,1622.4094671735152,2590.638241900509,2590.638241900509,1694.858836854633,7221.9293743385315
Non-binding_donor1_row10586_cand00511,none,24453.866570400172,AB,MP,P,M,MP_AB,M_P,5133.628564893363,5133.628564893363,1916.416959306477,1748.2214631371044,1748.2214631371044,1502.123345408866,5133.628564893177
Non-binding_donor1_row10288_cand00570,none,17993.61042324865,AB,MP,P,M,MP_AB,M_P,5008.030774487428,5008.030774487428,1999.470484101578,1893.9213738796584,1893.9213738796584,1657.4518155581504,5008.030774487657
Non-binding_donor1_row10363_cand00287,none,21954.220529880677,AB,MP,P,M,MP_AB,M_P,6454.598130273493,6454.598130273493,2099.741418228961,2004.2801093884418,2004.2801093884418,1507.053535965862,6454.598130273716
Non-binding_donor1_row11167_cand00150,none,44317.654237495866,AB,MP,P,M,MP_AB,M_P,20377.077080461542,20377.077080461542,1850.7893214835533,2417.829928525848,2417.829928525848,1651.0097742609637,20377.077080461615
Non-binding_donor1_row11375_cand00041,none,23139.987012503214,AB,MP,P,M,MP_AB,M_P,6196.386499630797,6196.386499630797,2082.6819185303807,2027.7303496540944,2027.7303496540944,1535.8700777121037,6196.386499631404
Non-binding_donor1_row11665_cand00184,none,12185.228168888834,AB,MP,P,M,MP_AB,M_P,1388.4645910837444,1388.4645910837444,1763.005814789207,1928.1611601028599,1928.1611601028599,1526.2164056377003,1388.4645910838244
Non-binding_donor1_row11675_cand00481,none,15760.60352591516,AB,MP,P,M,MP_AB,M_P,2979.2500852678404,2979.2500852678404,1828.0681598599565,1921.7971204627665,1921.7971204627665,1518.5385626318364,2979.250085268026
Non-binding_donor1_row12130_cand00436,none,18565.198600593456,AB,MP,P,M,MP_AB,M_P,3327.0139559142626,3327.0139559142626,1716.982832135405,2623.722575049124,2623.722575049124,1665.1428920382532,3327.013955914241
Non-binding_donor1_row12168_cand00477,none,15589.87599688106,AB,MP,P,M,MP_AB,M_P,4876.950060352439,4876.950060352439,2088.1151207348207,2936.967809163381,2936.967809163381,1625.4680907529746,4876.950060352521
Non-binding_donor1_row12171_cand00401,none,16130.666168608614,AB,MP,P,M,MP_AB,M_P,5048.471324206459,5048.471324206459,2036.12084698968,2338.7750915606707,2338.7750915606707,1600.011765480937,5048.471324206448
Non-binding_donor1_row13230_cand00565,none,22725.72941765426,AB,MP,P,M,MP_AB,M_P,8958.650307300055,8958.650307300055,1886.2427918697695,2438.9577321177144,2438.9577321177144,1590.100552622108,8958.650307300086
Non-binding_donor1_row13370_cand00472,none,17515.33837890708,AB,MP,P,M,MP_AB,M_P,1676.486861627438,1676.486861627438,1720.5556452265382,1979.303235919071,1979.303235919071,1547.4482816890786,1676.486861627167
Non-binding_donor1_row12944_cand00277,none,14565.269603889788,AB,MP,P,M,MP_AB,M_P,5054.8818161011495,5054.8818161011495,1978.730418562355,2801.6115488267997,2801.6115488267997,1616.5786944795095,5054.881816101064
Non-binding_donor1_row13814_cand00555,none,21768.13175936093,AB,MP,P,M,MP_AB,M_P,6411.982197696836,6411.982197696836,1750.8885910830652,3378.416759983709,3378.416759983709,1590.3951797138825,6411.982197696827
Non-binding_donor1_row14440_cand00152,none,19946.633325380797,AB,MP,P,M,MP_AB,M_P,3333.2901449041274,3333.2901449041274,1765.2462047442737,1448.6272979903206,1448.6272979903206,1593.219603378781,3333.2901449040583
Non-binding_donor1_row14242_cand00441,none,15343.399576041897,AB,MP,P,M,MP_AB,M_P,493.32123550475444,493.32123550475444,1437.2324304557565,2674.161241591159,2674.161241591159,1591.8507765530267,493.3212355049236
Non-binding_donor1_row14457_cand00273,none,22084.959139608825,AB,MP,P,M,MP_AB,M_P,4390.295422880194,4390.295422880194,1735.0856508757324,1493.468377526262,1493.468377526262,1514.105278948412,4390.295422880059
Non-binding_donor1_row14452_cand00188,none,18070.94375573768,AB,MP,P,M,MP_AB,M_P,3780.501777651887,3780.501777651887,1703.6522167481826,1490.865784947564,1490.865784947564,1594.2664285930705,3780.501777652047
Non-binding_donor1_row14551_cand00564,none,14161.60651414952,AB,MP,P,M,MP_AB,M_P,1649.1933061378077,1649.1933061378077,1679.6668006705927,1623.682776359662,1623.682776359662,1531.1535309695903,1649.193306137906
Non-binding_donor1_row14569_cand00269,none,15666.613727443933,AB,MP,P,M,MP_AB,M_P,3286.0101903136983,3286.0101903136983,1675.1775035537066,2381.9222589963747,2381.9222589963747,1601.6747462203125,3286.0101903138475
Non-binding_donor1_row14572_cand00087,none,15587.772090882121,AB,MP,P,M,MP_AB,M_P,3116.9108932039144,3116.9108932039144,1615.6013256124304,2360.7075748948055,2360.7075748948055,1588.5352094795983,3116.910893204178
Non-binding_donor1_row1555_cand00089,none,14166.865175574088,AB,MP,P,M,MP_AB,M_P,2276.4763830992015,2276.4763830992015,1745.2131682065242,1852.7509916358076,1852.7509916358076,1552.6210730121015,2276.4763830992797
Non-binding_donor1_row14594_cand00461,none,18664.163764566096,AB,MP,P,M,MP_AB,M_P,4052.0524850557194,4052.0524850557194,1623.5146096558776,2426.8646858217444,2426.8646858217444,1603.5772326751753,4052.052485055705
Non-binding_donor1_row16567_cand00327,none,23054.740554189368,AB,MP,P,M,MP_AB,M_P,6649.1265845363705,6649.1265845363705,1931.2480071020727,2856.246758257538,2856.246758257538,1603.187931167754,6649.1265845362395
Non-binding_donor1_row1667_cand00275,none,15152.427206642164,AB,MP,P,M,MP_AB,M_P,2210.5255956609817,2210.5255956609817,1889.1821823117516,2404.8759602994805,2404.8759602994805,1504.5972836889073,2210.525595660729
Non-binding_donor1_row16174_cand00539,none,15707.569424137379,AB,MP,P,M,MP_AB,M_P,3774.322910467312,3774.322910467312,1847.9554730406933,2463.5307065187503,2463.5307065187503,1617.8863106691415,3774.3229104671445
Non-binding_donor1_row16830_cand00026,none,26024.599827629856,AB,MP,P,M,MP_AB,M_P,7026.923209172754,7026.923209172754,1710.1288931347474,1866.545429803663,1866.545429803663,1523.0164646879607,7026.923209172863
Non-binding_donor1_row16681_cand00524,none,11711.074299433334,AB,MP,P,M,MP_AB,M_P,1444.7758669561263,1444.7758669561263,1742.501275614776,3370.1743265059513,3370.1743265059513,1586.007522815615,1444.775866955797
Non-binding_donor1_row16907_cand00181,none,23345.329612030284,AB,MP,P,M,MP_AB,M_P,4082.47562512516,4082.47562512516,2154.7125255463043,3938.7464344974323,3938.7464344974323,1554.765671540801,4082.475625125291
Non-binding_donor1_row17304_cand00004,none,17026.75765631178,AB,MP,P,M,MP_AB,M_P,2137.2096866716656,2137.2096866716656,1743.4112127165772,2294.3074430775,2294.3074430775,1555.7864719566883,2137.2096866715547
Non-binding_donor1_row17278_cand00528,none,18830.935535892877,AB,MP,P,M,MP_AB,M_P,6841.484820947713,6841.484820947713,2088.4495490905583,1710.7117641700597,1710.7117641700597,1432.3458731300602,6841.484820948101
Non-binding_donor1_row17357_cand00398,none,15385.470721199008,AB,MP,P,M,MP_AB,M_P,4058.142222849241,4058.142222849241,1669.1899304797018,1639.2863165619196,1639.2863165619196,1587.2147709377286,4058.142222849596
Non-binding_donor1_row17889_cand00187,none,16939.797316333348,AB,MP,P,M,MP_AB,M_P,1917.4040165243514,1917.4040165243514,1956.0678069173987,1726.3515013806382,1726.3515013806382,1510.9620573208533,1917.404016524184
Non-binding_donor1_row17894_cand00426,none,17320.920280749415,AB,MP,P,M,MP_AB,M_P,3183.4191402516735,3183.4191402516735,2028.8158063120422,2866.42853081454,2866.42853081454,1640.1120780378515,3183.419140251488
Non-binding_donor1_row17902_cand00153,none,15754.534355567375,AB,MP,P,M,MP_AB,M_P,1776.8731224694766,1776.8731224694766,2133.3538222359466,2625.7216312487953,2625.7216312487953,1615.720884544701,1776.8731224694784
Non-binding_donor1_row17922_cand00369,none,16821.585923969535,AB,MP,P,M,MP_AB,M_P,1052.491711379933,1052.491711379933,2015.0535128231595,1750.6013103309178,1750.6013103309178,1553.0212653740557,1052.4917113804368
Non-binding_donor1_row1857_cand00559,none,22912.64642936408,AB,MP,P,M,MP_AB,M_P,8214.663263689632,8214.663263689632,1866.22910133715,2364.286182405407,2364.286182405407,1574.6372224591378,8214.663263689692
Non-binding_donor1_row17926_cand00174,none,18104.328794518286,AB,MP,P,M,MP_AB,M_P,1670.0451587894422,1670.0451587894422,2016.8576557924362,1969.4204004721241,1969.4204004721241,1566.5671070076148,1670.0451587895623
Non-binding_donor1_row1862_cand00207,none,18608.424607929388,AB,MP,P,M,MP_AB,M_P,5426.8673433390395,5426.8673433390395,1944.5611304116808,1925.7035696704042,1925.7035696704042,1454.726835175858,5426.8673433391195
Non-binding_donor1_row19088_cand00109,none,24083.580196860654,AB,MP,P,M,MP_AB,M_P,6009.163792555992,6009.163792555992,1765.1338753536156,1944.0855378006445,1944.0855378006445,1565.4379798228206,6009.163792556079
Non-binding_donor1_row18672_cand00047,none,21001.23341816705,AB,MP,P,M,MP_AB,M_P,5249.541589329574,5249.541589329574,2010.6773983690123,2744.3381676271247,2744.3381676271247,1552.3782085074317,5249.541589329388
Non-binding_donor1_row19336_cand00453,none,18389.140459743634,AB,MP,P,M,MP_AB,M_P,5718.139073658816,5718.139073658816,1741.3618238378278,3676.8107212688737,3676.8107212688737,1565.4687829448635,5718.1390736593985
Non-binding_donor1_row19800_cand00320,none,14988.7366680718,AB,MP,P,M,MP_AB,M_P,3214.9289456745155,3214.9289456745155,1666.2405722684357,2819.0814004778376,2819.0814004778376,1587.4773460274173,3214.928945674739
Non-binding_donor1_row19793_cand00493,none,18396.040457969855,AB,MP,P,M,MP_AB,M_P,3419.004175679869,3419.004175679869,1541.6931011442307,1767.7134227539436,1767.7134227539436,1651.0577902079406,3419.004175680315
Non-binding_donor1_row19588_cand00337,none,19139.616138089306,AB,MP,P,M,MP_AB,M_P,7933.951986682538,7933.951986682538,1635.4280176904813,2052.1271235306504,2052.1271235306504,1568.7651126114256,7933.951986682403
