TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10210_cand000233,rosetta_sidechain,2821.867641101593,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009280893082177499
Non-binding_donor1_row10466_cand000356,rosetta_sidechain,1766.5228745192137,AB,MP,P,M,MP_AB,M_P,3.753750615942408e-05,3.753750615942408e-05,0.0,0.0,0.0,0.0,3.753716941901075e-05
Non-binding_donor1_row10018_cand000128,rosetta_sidechain,34103.24733453971,AB,MP,P,M,MP_AB,M_P,11267.252498914957,11267.252498914957,1561.7830742006906,20635.92911982513,20635.92911982513,1576.946153433186,11267.252498915084
Non-binding_donor1_row10876_cand000532,rosetta_sidechain,2264.7629621733854,AB,MP,P,M,MP_AB,M_P,4.001994865149754,4.001994865149754,331.6705338381644,-6.900235471204269,-6.900235471204269,893.8383166497915,4.001994865099277
Non-binding_donor1_row11121_cand000340,rosetta_sidechain,5063.827515046077,AB,MP,P,M,MP_AB,M_P,3375.330331758634,3375.330331758634,1364.576662015807,-1.4127282536449002,-1.4127282536449002,183.89119448017297,3375.330331758614
Non-binding_donor1_row11736_cand000161,rosetta_sidechain,30464.722001031216,AB,MP,P,M,MP_AB,M_P,5584.219177120503,5584.219177120503,867.6368288713786,18937.99501342026,18937.99501342026,1039.5303973627756,5584.219177120347
Non-binding_donor1_row11314_cand000535,rosetta_sidechain,8206.390740831712,AB,MP,P,M,MP_AB,M_P,6741.90531085551,6741.90531085551,769.4831265100238,6.362370933294983,6.362370933294983,424.5947410683534,6741.905310855486
Non-binding_donor1_row10885_cand000309,rosetta_sidechain,4604.790729904315,AB,MP,P,M,MP_AB,M_P,-8.269476328112432,-8.269476328112432,904.6795728034036,-33.75363227754019,-33.75363227754019,1705.5692165854027,-8.269476328771816
Non-binding_donor1_row11954_cand000034,rosetta_sidechain,3254.1236219924062,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-4.092726157978177e-12
Non-binding_donor1_row12048_cand000575,rosetta_sidechain,3250.174399374972,AB,MP,P,M,MP_AB,M_P,2276.92329826659,2276.92329826659,768.7774860149327,0.0,0.0,0.0,2276.9232982666467
Non-binding_donor1_row12278_cand000454,rosetta_sidechain,2185.799948848094,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,1.3642420526593924e-12
Non-binding_donor1_row12087_cand000439,rosetta_sidechain,20134.524905935446,AB,MP,P,M,MP_AB,M_P,1670.450982207698,1670.450982207698,498.3356233678712,15811.877319631594,15811.877319631594,1211.9952780530111,1670.4509822076943
Non-binding_donor1_row12267_cand000236,rosetta_sidechain,9428.601826897608,AB,MP,P,M,MP_AB,M_P,-0.6369497150444658,-0.6369497150444658,66.6998052179523,8532.46959466407,8532.46959466407,981.3103092222224,-0.6369497150353709
Non-binding_donor1_row12761_cand000534,rosetta_sidechain,1855.2432907612178,AB,MP,P,M,MP_AB,M_P,-1.1669269403898852,-1.1669269403898852,47.81872477161309,0.0,0.0,0.0,-1.166926940355097
Non-binding_donor1_row12804_cand000425,rosetta_sidechain,4684.254364880927,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,3834.6996967842756,3834.6996967842756,406.2883393670542,0.6103434187816674
Non-binding_donor1_row12801_cand000558,rosetta_sidechain,10921.094081027804,AB,MP,P,M,MP_AB,M_P,10288.302435005337,10288.302435005337,2067.75759258254,0.0,0.0,0.0,10288.302435004913
Non-binding_donor1_row14545_cand000436,rosetta_sidechain,22149.898032438483,AB,MP,P,M,MP_AB,M_P,0.1275901144981617,0.1275901144981617,10.276498635742598,21335.77766049966,21335.77766049966,1104.6501986725013,0.12759011478920002
Non-binding_donor1_row13622_cand000274,rosetta_sidechain,1150.6596187780062,AB,MP,P,M,MP_AB,M_P,-0.2265693816939347,-0.2265693816939347,1076.8830574708227,-29.88777159513802,-29.88777159513802,1722.3451739722132,-0.22656938221507517
Non-binding_donor1_row14996_cand000351,rosetta_sidechain,5653.272563391508,AB,MP,P,M,MP_AB,M_P,3310.7176087388034,3310.7176087388034,1144.4438374872927,0.003139735114928044,0.003139735114928044,0.0,3310.7176087385187
Non-binding_donor1_row13933_cand000571,rosetta_sidechain,77079.90116738029,AB,MP,P,M,MP_AB,M_P,48751.8324311042,48751.8324311042,3546.653685183865,26901.638660412325,26901.638660412325,1477.96485472563,48751.83243110434
Non-binding_donor1_row15202_cand000201,rosetta_sidechain,2556.7051362801053,AB,MP,P,M,MP_AB,M_P,29.32206555376024,29.32206555376024,381.6588812814409,0.23995675775722702,0.23995675775722702,25.165250894918827,29.322065554037636
Non-binding_donor1_row15219_cand000346,rosetta_sidechain,2057.9136038817855,AB,MP,P,M,MP_AB,M_P,-0.5071457602980445,-0.5071457602980445,268.3736629974862,-0.2361999016241043,-0.2361999016241043,45.902198112545356,-0.5071457604622083
Non-binding_donor1_row15214_cand000239,rosetta_sidechain,2944.716191223495,AB,MP,P,M,MP_AB,M_P,-6.714122293533364,-6.714122293533364,626.8031350201314,-14.259245829280644,-14.259245829280644,1198.0413086271653,-6.714122293066794
Non-binding_donor1_row15335_cand000345,rosetta_sidechain,70237.35178449989,AB,MP,P,M,MP_AB,M_P,68231.32365139817,68231.32365139817,3011.8329001593575,0.0,0.0,0.0,68231.32365139786
Non-binding_donor1_row1636_cand000081,rosetta_sidechain,5783.72212570741,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,3183.3934636347876,3183.3934636347876,441.1320770398313,-9.719234003569e-05
