TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10176_cand000317,rosetta_sidechain,4837.407885373837,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non-binding_donor1_row10127_cand000113,rosetta_sidechain,1693.4297875946754,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,4.547473508864641e-12,4.547473508864641e-12,0.0,1.8189894035458565e-12
Non-binding_donor1_row10203_cand000271,rosetta_sidechain,21276.970367145474,AB,MP,P,M,MP_AB,M_P,19064.979147802896,19064.979147802896,2036.9509953950976,-1.015890521339088,-1.015890521339088,72.97074219229232,19064.97914780293
Non-binding_donor1_row10018_cand000412,rosetta_sidechain,36812.189374056405,AB,MP,P,M,MP_AB,M_P,6266.931026475053,6266.931026475053,811.2273297828067,27434.980930023135,27434.980930023135,1484.3658070937154,6266.931026474831
Non-binding_donor1_row10956_cand000296,rosetta_sidechain,4197.574247638982,AB,MP,P,M,MP_AB,M_P,-2.2633518395523424,-2.2633518395523424,356.26711767768893,3293.57088578278,3293.57088578278,573.9722512728299,-2.2633518395705323
Non-binding_donor1_row11148_cand000516,rosetta_sidechain,25244.01429689551,AB,MP,P,M,MP_AB,M_P,849.7571731186617,849.7571731186617,363.52847858191296,21810.387289859562,21810.387289859562,1371.9156086230469,849.7571731186545
Non-binding_donor1_row11171_cand000357,rosetta_sidechain,12108.978170319459,AB,MP,P,M,MP_AB,M_P,-1.3007540294129285,-1.3007540294129285,232.72751601886887,10775.460406521726,10775.460406521726,704.8708824608158,-1.3007540292073827
Non-binding_donor1_row1118_cand000153,rosetta_sidechain,23473.360793022188,AB,MP,P,M,MP_AB,M_P,-1.5682767339021666,-1.5682767339021666,102.7271010771295,0.0,0.0,0.0,-1.568276733993116
Non-binding_donor1_row11213_cand000577,rosetta_sidechain,2659.1684632735364,AB,MP,P,M,MP_AB,M_P,259.7050094056194,259.7050094056194,188.2443248873273,0.0,0.0,0.0,259.70500940554257
Non-binding_donor1_row11502_cand000452,rosetta_sidechain,15356.247475478036,AB,MP,P,M,MP_AB,M_P,0.03940852688901941,0.03940852688901941,0.0,-0.3638905433186892,-0.3638905433186892,94.90848369230979,0.03940852721098054
Non-binding_donor1_row12123_cand000318,rosetta_sidechain,3854.137154332752,AB,MP,P,M,MP_AB,M_P,-0.11297377786604557,-0.11297377786604557,25.848295193960404,2694.2358718025753,2694.2358718025753,903.9799595119965,-0.11297377758091898
Non-binding_donor1_row12104_cand000009,rosetta_sidechain,1368.5141487422572,AB,MP,P,M,MP_AB,M_P,-2.0877506891006306,-2.0877506891006306,487.6946844702745,-1.079457004319579,-1.079457004319579,598.2721058684588,-2.087750689161112
Non-binding_donor1_row11584_cand000078,rosetta_sidechain,713.6056443225211,AB,MP,P,M,MP_AB,M_P,-1.3054359795022492,-1.3054359795022492,414.363675292295,-18.831654034946496,-18.831654034946496,1601.957885167099,-1.305435979391632
Non-binding_donor1_row12385_cand000594,rosetta_sidechain,1432.6247041964803,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-1.0185216969318844,-1.0185216969318844,144.06651983277118,4.547473508864641e-12
Non-binding_donor1_row12429_cand000178,rosetta_sidechain,2388.4800142790473,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,1536.8850886734958,1536.8850886734958,803.1691601403866,2.7284841053187847e-12
Non-binding_donor1_row12543_cand000526,rosetta_sidechain,5116.582107830458,AB,MP,P,M,MP_AB,M_P,453.22763319152637,453.22763319152637,578.0026586657619,2129.080324784324,2129.080324784324,646.4179441269904,453.22763319146543
Non-binding_donor1_row12603_cand000211,rosetta_sidechain,29289.343510132723,AB,MP,P,M,MP_AB,M_P,3572.631678359139,3572.631678359139,1162.3651419854136,24521.765835360547,24521.765835360547,1550.4274423669492,3572.631678358819
Non-binding_donor1_row12844_cand000226,rosetta_sidechain,899.0162677070531,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-3.410605131648481e-13
Non-binding_donor1_row12670_cand000470,rosetta_sidechain,32137.860300601154,AB,MP,P,M,MP_AB,M_P,27856.550151269577,27856.550151269577,1658.3301583219804,-9.094947017729282e-13,-9.094947017729282e-13,0.0,27856.55015126981
Non-binding_donor1_row12973_cand000423,rosetta_sidechain,1826.2840497796058,AB,MP,P,M,MP_AB,M_P,0.1703284721907039,0.1703284721907039,44.74251603031246,892.736961639072,892.736961639072,387.0584257808832,0.17032847222321834
Non-binding_donor1_row13475_cand000502,rosetta_sidechain,31848.88845765336,AB,MP,P,M,MP_AB,M_P,19700.086340080437,19700.086340080437,2205.654520892869,0.0,0.0,0.0,19700.08634008003
Non-binding_donor1_row12923_cand000474,rosetta_sidechain,485.8371449662741,AB,MP,P,M,MP_AB,M_P,-7.9348370272360285,-7.9348370272360285,530.4457177679103,-16.71535640109687,-16.71535640109687,1719.3468534576643,-7.934837027220226
Non-binding_donor1_row13699_cand000203,rosetta_sidechain,1679.1065322413858,AB,MP,P,M,MP_AB,M_P,0.5029198755214566,0.5029198755214566,93.15385377465711,598.170570216392,598.170570216392,578.6720040694302,0.5029198755876223
Non-binding_donor1_row13851_cand000217,rosetta_sidechain,1676.4523549631292,AB,MP,P,M,MP_AB,M_P,0.04171075960448434,0.04171075960448434,23.809339505629453,401.29740710603573,401.29740710603573,843.419547741916,0.04171075969247795
Non-binding_donor1_row14151_cand000414,rosetta_sidechain,3025.054522469914,AB,MP,P,M,MP_AB,M_P,0.04235041242009174,0.04235041242009174,56.03685965774257,-18.384854588152393,-18.384854588152393,1757.2381454439335,0.04235041228957925
Non-binding_donor1_row14221_cand000425,rosetta_sidechain,20415.693521108504,AB,MP,P,M,MP_AB,M_P,12495.635944042933,12495.635944042933,606.2747973117222,-1.8024421622644695,-1.8024421622644695,313.3346864931293,12495.63594404278
Non-binding_donor1_row14387_cand000209,rosetta_sidechain,4042.8057719771323,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,860.3857039045502,860.3857039045502,525.01561837103,-4.547473508864641e-13
Non-binding_donor1_row14299_cand000430,rosetta_sidechain,1137.0665949364593,AB,MP,P,M,MP_AB,M_P,7.87401047677713,7.87401047677713,536.7829307117128,-14.43202663271677,-14.43202663271677,1555.6162364199586,7.874010476848525
Non-binding_donor1_row145_cand000319,rosetta_sidechain,1942.9177621428128,AB,MP,P,M,MP_AB,M_P,136.93121565871593,136.93121565871593,215.8446746686662,0.0,0.0,0.0,136.93121565831575
Non-binding_donor1_row14709_cand000140,rosetta_sidechain,8901.995743052548,AB,MP,P,M,MP_AB,M_P,5336.976003765192,5336.976003765192,631.4812457340071,2292.3609394024243,2292.3609394024243,765.0605707837346,5336.976003764963
Non-binding_donor1_row14785_cand000120,rosetta_sidechain,781.0990768548569,AB,MP,P,M,MP_AB,M_P,162.91323036733854,162.91323036733854,425.666605939645,97.23971250096673,97.23971250096673,359.15174356625283,162.91323036714414
Non-binding_donor1_row1476_cand000416,rosetta_sidechain,3118.354822412116,AB,MP,P,M,MP_AB,M_P,-1.2600082306735203,-1.2600082306735203,399.3433096934806,-1.5738920769108518,-1.5738920769108518,1162.9736646039044,-1.2600082309536447
Non-binding_donor1_row14826_cand000112,rosetta_sidechain,30779.264872817545,AB,MP,P,M,MP_AB,M_P,26905.80022783944,26905.80022783944,2747.4051783760256,-0.0014130209400491367,-0.0014130209400491367,18.96140437702546,26905.80022783949
Non-binding_donor1_row1488_cand000221,rosetta_sidechain,13767.836257560257,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,8827.892261425384,8827.892261425384,924.4698456777298,1.8189894035458565e-12
Non-binding_donor1_row15266_cand000019,rosetta_sidechain,30184.810267610424,AB,MP,P,M,MP_AB,M_P,-3.1905096520495135,-3.1905096520495135,434.6686030994301,24791.83298896957,24791.83298896957,1544.807241707942,-3.190509651802131
Non-binding_donor1_row14999_cand000509,rosetta_sidechain,2196.378092734151,AB,MP,P,M,MP_AB,M_P,-3.1811684050644544,-3.1811684050644544,506.75402121088405,-7.469671697174817,-7.469671697174817,1550.072923332265,-3.1811684050503573
Non-binding_donor1_row15385_cand000542,rosetta_sidechain,1498.5050876435482,AB,MP,P,M,MP_AB,M_P,-10.067140238933234,-10.067140238933234,1404.4048661068073,-14.37496185178793,-14.37496185178793,1603.287996711535,-10.06714023891891
Non-binding_donor1_row15534_cand000168,rosetta_sidechain,2140.544637497861,AB,MP,P,M,MP_AB,M_P,0.009980397489016468,0.009980397489016468,10.331767395389107,0.0,0.0,0.0,0.009980397694107523
Non-binding_donor1_row15422_cand000299,rosetta_sidechain,4616.415616878245,AB,MP,P,M,MP_AB,M_P,3218.057646971837,3218.057646971837,1203.3163529732983,-0.8161705130598875,-0.8161705130598875,395.50561767804436,3218.0576469717616
Non-binding_donor1_row17106_cand000239,rosetta_sidechain,836.1875251945675,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-134.15888091967656
Non-binding_donor1_row1569_cand000166,rosetta_sidechain,1878.7577455888074,AB,MP,P,M,MP_AB,M_P,-0.09701816432652777,-0.09701816432652777,277.0487716239011,1.9777169272911124,1.9777169272911124,1057.228237660489,-0.09701816441156552
Non-binding_donor1_row16978_cand000562,rosetta_sidechain,553.359681299493,AB,MP,P,M,MP_AB,M_P,20.006249348523056,20.006249348523056,729.1560375056333,13.554895489020055,13.554895489020055,437.0706415713082,20.00624934857649
Non-binding_donor1_row17115_cand000490,rosetta_sidechain,2165.3807258094625,AB,MP,P,M,MP_AB,M_P,949.9913737849151,949.9913737849151,564.5841872825038,235.9541598606869,235.9541598606869,452.5321100497432,949.9913737849802
Non-binding_donor1_row17265_cand000054,rosetta_sidechain,3298.0824382262585,AB,MP,P,M,MP_AB,M_P,-2.2230128346727724,-2.2230128346727724,292.3796739602491,529.3029019043083,529.3029019043083,416.6264985460151,-2.2230128349769984
Non-binding_donor1_row17346_cand000090,rosetta_sidechain,7776.725345054798,AB,MP,P,M,MP_AB,M_P,0.04436429839552147,0.04436429839552147,61.392445131091065,5772.303008218671,5772.303008218671,955.4113684518788,0.04436429824454535
Non-binding_donor1_row17466_cand000356,rosetta_sidechain,1185.559632541812,AB,MP,P,M,MP_AB,M_P,1.4993338678614236,1.4993338678614236,224.58235140951052,459.4964550639959,459.4964550639959,484.8889086788063,1.4993338678216332
Non-binding_donor1_row17542_cand000548,rosetta_sidechain,9159.921971825135,AB,MP,P,M,MP_AB,M_P,5281.992399234212,5281.992399234212,617.4522892064765,0.28995846093960154,0.28995846093960154,197.9618449842788,5281.9923992345075
Non-binding_donor1_row17695_cand000132,rosetta_sidechain,1361.5891628727418,AB,MP,P,M,MP_AB,M_P,169.36603123873374,169.36603123873374,356.40537102550354,0.0,0.0,0.0,169.36603123851705
Non-binding_donor1_row17548_cand000448,rosetta_sidechain,2062.6380686732286,AB,MP,P,M,MP_AB,M_P,0.25908458725689343,0.25908458725689343,46.68837197783258,1307.5990221664624,1307.5990221664624,369.6420023717609,0.25908458731873907
Non-binding_donor1_row17716_cand000027,rosetta_sidechain,3875.6558945518514,AB,MP,P,M,MP_AB,M_P,-10.326224609867495,-10.326224609867495,952.6102391147305,-8.378253631667235,-8.378253631667235,1568.2249138153861,-10.326224609793371
Non-binding_donor1_row17869_cand000466,rosetta_sidechain,19337.616952429526,AB,MP,P,M,MP_AB,M_P,16032.259361962988,16032.259361962988,1551.4863762877385,-0.6202624559446122,-0.6202624559446122,217.81481784235524,16032.259361962937
Non-binding_donor1_row17914_cand000383,rosetta_sidechain,89617.33383175558,AB,MP,P,M,MP_AB,M_P,-3.6084262557997135,-3.6084262557997135,436.94666113826537,146.54055877203064,146.54055877203064,628.6024763947106,-3.608426255581435
Non-binding_donor1_row17794_cand000087,rosetta_sidechain,2073.7055336474455,AB,MP,P,M,MP_AB,M_P,58.92307942396155,58.92307942396155,931.3207516839979,-7.715572726718165,-7.715572726718165,1283.466487651122,58.92307942367961
Non-binding_donor1_row18042_cand000531,rosetta_sidechain,11045.703758794987,AB,MP,P,M,MP_AB,M_P,7.803470547518373,7.803470547518373,690.2647959702736,9450.942376603158,9450.942376603158,741.2891708575341,7.803470547825782
Non-binding_donor1_row18078_cand000302,rosetta_sidechain,1752.256296026163,AB,MP,P,M,MP_AB,M_P,39.54289597369461,39.54289597369461,629.3130891389148,-3.468834983477791,-3.468834983477791,400.94393175793755,39.54289597391016
Non-binding_donor1_row18088_cand000227,rosetta_sidechain,4834.983195910382,AB,MP,P,M,MP_AB,M_P,-0.9092400010958954,-0.9092400010958954,170.75217745972503,2938.143186045324,2938.143186045324,353.9182845984307,-0.909240001001308
Non-binding_donor1_row18136_cand000398,rosetta_sidechain,3100.962481428631,AB,MP,P,M,MP_AB,M_P,0.16479415361527572,0.16479415361527572,172.44278094339566,0.0,0.0,0.0,0.16479415378762496
Non-binding_donor1_row18125_cand000390,rosetta_sidechain,4439.144842585341,AB,MP,P,M,MP_AB,M_P,1851.4495299855362,1851.4495299855362,514.7275928052054,-16.250146630860627,-16.250146630860627,1656.29535263876,1851.449529985639
Non-binding_donor1_row18252_cand000520,rosetta_sidechain,11495.639796846544,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,10111.596322856936,10111.596322856936,1216.4997168707844,0.12807442483426712
Non-binding_donor1_row18214_cand000161,rosetta_sidechain,7607.868365294788,AB,MP,P,M,MP_AB,M_P,6756.082525467188,6756.082525467188,1635.1270996563806,-13.465724111719965,-13.465724111719965,1349.248210897431,6756.0825254675365
Non-binding_donor1_row18598_cand000241,rosetta_sidechain,11626.342639587298,AB,MP,P,M,MP_AB,M_P,-0.04933961657479813,-0.04933961657479813,43.18634168413979,1.267835818161302,1.267835818161302,460.5241433490411,-0.049339616431097966
Non-binding_donor1_row18193_cand000325,rosetta_sidechain,120324.95591277759,AB,MP,P,M,MP_AB,M_P,116093.70374769415,116093.70374769415,3829.082383806415,0.0,0.0,0.0,116093.70374769435
Non-binding_donor1_row18546_cand000380,rosetta_sidechain,10353.054255598465,AB,MP,P,M,MP_AB,M_P,3168.64098893303,3168.64098893303,1144.8982126262479,5485.204242831036,5485.204242831036,788.6810036081471,3168.640988933019
Non-binding_donor1_row18610_cand000160,rosetta_sidechain,13840.49781633446,AB,MP,P,M,MP_AB,M_P,2801.8047768062243,2801.8047768062243,569.0114747903202,9621.582474811039,9621.582474811039,929.8220801189143,2801.8047768063843
Non-binding_donor1_row18767_cand000179,rosetta_sidechain,16602.037056384786,AB,MP,P,M,MP_AB,M_P,204.3226049811601,204.3226049811601,284.96061286183374,9827.616072471528,9827.616072471528,985.8602739839074,204.32260498163305
Non-binding_donor1_row18900_cand000569,rosetta_sidechain,6140.451118208868,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.036899852100305,-0.036899852100305,33.275803685955395,-0.0037518095869017998
Non-binding_donor1_row18811_cand000216,rosetta_sidechain,3826.3574442563067,AB,MP,P,M,MP_AB,M_P,816.7817970007054,816.7817970007054,1196.432347767393,866.0112546182079,866.0112546182079,534.690319723666,816.7817970007818
Non-binding_donor1_row18836_cand000169,rosetta_sidechain,11773.362667542182,AB,MP,P,M,MP_AB,M_P,8996.359351979347,8996.359351979347,883.6755281540709,1442.5692208479445,1442.5692208479445,729.7314609244875,8996.359351979276
Non-binding_donor1_row1938_cand000089,rosetta_sidechain,4239.380895049629,AB,MP,P,M,MP_AB,M_P,2552.0840363914067,2552.0840363914067,490.73991167809754,0.0,0.0,0.0,2552.084036391662
Non-binding_donor1_row2017_cand000069,rosetta_sidechain,3209.3135625427435,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13
Non-binding_donor1_row19829_cand000436,rosetta_sidechain,5987.655243738425,AB,MP,P,M,MP_AB,M_P,195.82980940283505,195.82980940283505,326.77962482486686,-0.7261918648969186,-0.7261918648969186,54.0940910037437,195.82980940268317
Non-binding_donor1_row20313_cand000183,rosetta_sidechain,12726.754476330078,AB,MP,P,M,MP_AB,M_P,0.027537430363736348,0.027537430363736348,45.69552785805253,10046.126317561264,10046.126317561264,1190.4216898051486,0.027537430431038956
Non-binding_donor1_row20279_cand000592,rosetta_sidechain,1340.8108515791491,AB,MP,P,M,MP_AB,M_P,-1.6801939613187642,-1.6801939613187642,501.6632293346293,-16.310123482500103,-16.310123482500103,1392.9427226465812,-1.6801939611752914
