TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10208_cand000232,openmm,-257.00806905073637,AB,MP,P,M,MP_AB,M_P,-42.16356135380093,-42.16356135380093,1992.9087054606855,-47.4119441454622,-47.4119441454622,1903.5189218351059,-42.16356135328414,-55050.512519084456 kJ/mol
Non-binding_donor1_row10016_cand000127,openmm,439.1966586965327,AB,MP,P,M,MP_AB,M_P,-41.282578579251606,-41.282578579251606,2136.199593216851,-58.57784124542866,-58.57784124542866,1981.885283475279,-41.2825785793994,-49659.466729726984 kJ/mol
Non-binding_donor1_row10464_cand000352,openmm,417.2435228441262,AB,MP,P,M,MP_AB,M_P,-39.083605183970974,-39.083605183970974,2056.768410078547,-48.258635597599486,-48.258635597599486,1811.2512376563475,-39.08360518384444,-41838.521868832686 kJ/mol
Non-binding_donor1_row10874_cand000526,openmm,16118.99593358863,AB,MP,P,M,MP_AB,M_P,5563.440421862651,5563.440421862651,1609.1734719028077,4188.1836801716045,4188.1836801716045,1875.2062372513674,5563.440421862679,2338722158956.48 kJ/mol
Non-binding_donor1_row10883_cand000311,openmm,-159.92900519527015,AB,MP,P,M,MP_AB,M_P,-45.58422525417714,-45.58422525417714,2154.882256876806,-57.740459380486286,-57.740459380486286,1915.47476076308,-45.584225254093184,-54297.358681143414 kJ/mol
Non-binding_donor1_row11119_cand000338,openmm,-214.8101121350514,AB,MP,P,M,MP_AB,M_P,-44.07518266876011,-44.07518266876011,2019.8318830062883,-55.645638672792956,-55.645638672792956,1936.090807084166,-44.07518266872714,-54627.715940388145 kJ/mol
Non-binding_donor1_row11734_cand000163,openmm,51.92383685409638,AB,MP,P,M,MP_AB,M_P,-56.0526094768262,-56.0526094768262,2269.1994611978985,-37.14417198987457,-37.14417198987457,1738.2347057815016,-56.052609477057075,-54438.843366248606 kJ/mol
Non-binding_donor1_row11312_cand000529,openmm,-14.229463185517034,AB,MP,P,M,MP_AB,M_P,-51.56168301426372,-51.56168301426372,2033.8279575307115,-42.99092894848603,-42.99092894848603,1927.454499066278,-51.56168301424888,-53654.366706626664 kJ/mol
Non-binding_donor1_row12045_cand000575,openmm,-276.03088660192475,AB,MP,P,M,MP_AB,M_P,-42.437136551242475,-42.437136551242475,2080.829713072014,-52.159227610979265,-52.159227610979265,1940.042860829212,-42.43713655155642,-56511.62754624165 kJ/mol
Non-binding_donor1_row11951_cand000034,openmm,-185.44284939928525,AB,MP,P,M,MP_AB,M_P,-67.96011829543723,-67.96011829543723,2231.11814551969,-67.08221991453767,-67.08221991453767,1997.845078361743,-67.9601182954254,-52403.36423082054 kJ/mol
Non-binding_donor1_row12084_cand000451,openmm,-139.54468488547005,AB,MP,P,M,MP_AB,M_P,-45.58795013705942,-45.58795013705942,1963.1050908167233,-65.1464540925897,-65.1464540925897,1911.5534868690206,-45.587950137220275,-54716.04872021746 kJ/mol
