TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10205_cand000232,openmm,-339.6459835653369,AB,MP,P,M,MP_AB,M_P,-34.06282941091638,-34.06282941091638,2217.8718566849057,-55.721154987625795,-55.721154987625795,1895.551447257639,-34.0628294105378,-54882.50531212604 kJ/mol
Non-binding_donor1_row10013_cand000127,openmm,552.3690645745875,AB,MP,P,M,MP_AB,M_P,-37.03488527087097,-37.03488527087097,2192.5811049812405,-48.422682147683844,-48.422682147683844,1870.7122626520868,-37.03488527088473,-48173.69506943972 kJ/mol
Non-binding_donor1_row10461_cand000346,openmm,418.95907038058715,AB,MP,P,M,MP_AB,M_P,-41.011801248922495,-41.011801248922495,2037.350435326219,-51.93557501150194,-51.93557501150194,1894.2956712253006,-41.01180124872434,-41600.757803822235 kJ/mol
Non-binding_donor1_row10871_cand000518,openmm,-253.45387698581536,AB,MP,P,M,MP_AB,M_P,-39.68534515406694,-39.68534515406694,1817.0929244759432,-59.54258912259997,-59.54258912259997,1903.2383116764802,-39.68534515391454,-53918.47268732799 kJ/mol
Non-binding_donor1_row10880_cand000308,openmm,-190.5233897498817,AB,MP,P,M,MP_AB,M_P,-51.37628678412423,-51.37628678412423,2344.9611943036402,-54.318662025215694,-54.318662025215694,1876.498913422603,-51.3762867842575,-53906.91237529318 kJ/mol
Non-binding_donor1_row11116_cand000335,openmm,-249.48335138512508,AB,MP,P,M,MP_AB,M_P,-45.857658181574294,-45.857658181574294,2106.6663029244583,-55.61612927237072,-55.61612927237072,1900.0772799335327,-45.857658182074346,-54028.02107397747 kJ/mol
Non-binding_donor1_row11309_cand000528,openmm,-155.8450957715924,AB,MP,P,M,MP_AB,M_P,-35.599112114882644,-35.599112114882644,1857.7873936523495,-58.10001194279906,-58.10001194279906,1980.6759564721,-35.59911211488138,-53194.13306000521 kJ/mol
Non-binding_donor1_row11730_cand000161,openmm,-109.26969973530828,AB,MP,P,M,MP_AB,M_P,-49.72491154917002,-49.72491154917002,2080.228924201364,-61.76508508311282,-61.76508508311282,1990.8433216089702,-49.72491154888469,-54926.82282879918 kJ/mol
Non-binding_donor1_row11948_cand000034,openmm,-196.10305089978954,AB,MP,P,M,MP_AB,M_P,-54.353742640743235,-54.353742640743235,2167.5838168165146,-50.06979262728703,-50.06979262728703,1875.677701102954,-54.353742640786976,-52181.119702842196 kJ/mol
Non-binding_donor1_row12081_cand000444,openmm,166.74201923946507,AB,MP,P,M,MP_AB,M_P,298.08167817094653,298.08167817094653,2084.6929722217374,-57.449405094307856,-57.449405094307856,2003.4744323030498,298.08167817122285,-48124.42053107766 kJ/mol
Non-binding_donor1_row12261_cand000236,openmm,-358.83018488179414,AB,MP,P,M,MP_AB,M_P,-31.474204408359185,-31.474204408359185,1886.4935530196767,-57.62746490715536,-57.62746490715536,1825.7967961284303,-31.47420440844502,-54442.75693545572 kJ/mol
Non-binding_donor1_row12272_cand000446,openmm,-268.90954494315326,AB,MP,P,M,MP_AB,M_P,-38.750923309115905,-38.750923309115905,1898.112302934429,-55.524800778954784,-55.524800778954784,1989.77165842017,-38.75092330895376,-51653.01737964667 kJ/mol
Non-binding_donor1_row12755_cand000515,openmm,-176.16716780757775,AB,MP,P,M,MP_AB,M_P,-31.695799825739897,-31.695799825739897,1825.711321537196,-44.218302970495174,-44.218302970495174,1880.558215710929,-31.695799825825787,-53075.08224899769 kJ/mol
Non-binding_donor1_row12795_cand000537,openmm,-266.6550110401365,AB,MP,P,M,MP_AB,M_P,-41.30698396013659,-41.30698396013659,2184.6557432593686,-50.88713494725964,-50.88713494725964,1952.7496334856212,-41.30698395999843,-52110.2164167344 kJ/mol
Non-binding_donor1_row12798_cand000427,openmm,-229.15426552069582,AB,MP,P,M,MP_AB,M_P,-35.82727384390844,-35.82727384390844,2120.111931630877,-48.85597853092317,-48.85597853092317,1884.4939874733086,-35.82727384406283,-52065.23813434086 kJ/mol
Non-binding_donor1_row13616_cand000272,openmm,-348.9574993308719,AB,MP,P,M,MP_AB,M_P,-51.293588472438444,-51.293588472438444,2265.9811205993337,-60.299573610789636,-60.299573610789636,1908.2395565265797,-51.29358847212882,-53075.849838733964 kJ/mol
Non-binding_donor1_row14539_cand000443,openmm,-46.611751582607155,AB,MP,P,M,MP_AB,M_P,-51.237087334360396,-51.237087334360396,1853.2294934603328,-55.363436361098934,-55.363436361098934,1913.9418264455253,-51.23708733431546,-53054.31782716586 kJ/mol
Non-binding_donor1_row14990_cand000355,openmm,-92.55534190567008,AB,MP,P,M,MP_AB,M_P,-33.84348218905196,-33.84348218905196,1585.8372329797517,-55.31296164476818,-55.31296164476818,1948.3782430559813,-33.843482188471,-46137.6103399349 kJ/mol
Non-binding_donor1_row15196_cand000204,openmm,-44.27019110765032,AB,MP,P,M,MP_AB,M_P,-31.905891437525952,-31.905891437525952,1684.0121663018297,-57.06242843739329,-57.06242843739329,1890.559673727614,-31.90589143735346,-47438.05417640862 kJ/mol
Non-binding_donor1_row15208_cand000239,openmm,-80.45996570468294,AB,MP,P,M,MP_AB,M_P,-35.441131801306064,-35.441131801306064,1688.7364778202605,-64.64700191504642,-64.64700191504642,2003.9718899249626,-35.441131801358786,-47670.17322649308 kJ/mol
Non-binding_donor1_row15213_cand000356,openmm,-318.1200555221314,AB,MP,P,M,MP_AB,M_P,-35.72203880724703,-35.72203880724703,1663.8744953361684,-58.46670947666155,-58.46670947666155,1913.7326817020044,-35.722038806986916,-53875.71457709509 kJ/mol
Non-binding_donor1_row15329_cand000347,openmm,2.283060792234423,AB,MP,P,M,MP_AB,M_P,-26.563787227578928,-26.563787227578928,1308.6203822703749,-60.03132019316635,-60.03132019316635,1896.665805078452,-26.56378722800359,-47346.233926132896 kJ/mol
Non-binding_donor1_row15332_cand000110,openmm,-54.40796446231617,AB,MP,P,M,MP_AB,M_P,-18.213710611878234,-18.213710611878234,1241.5607910019066,-63.79168054225459,-63.79168054225459,1874.7227655345275,-18.213710611382268,-47477.20009670433 kJ/mol
Non-binding_donor1_row1634_cand000081,openmm,-326.48808698776423,AB,MP,P,M,MP_AB,M_P,-34.462329519962964,-34.462329519962964,1575.5435447901325,-56.27301291871784,-56.27301291871784,2054.3110020057775,-34.462329519837056,-53609.477860035535 kJ/mol
Non-binding_donor1_row17433_cand000401,openmm,14487.273641306887,AB,MP,P,M,MP_AB,M_P,5869.178836718265,5869.178836718265,2142.989901391491,785.5960030331191,785.5960030331191,2038.7745309116194,5869.178836718313,1465844820.313151 kJ/mol
Non-binding_donor1_row1754_cand000257,openmm,-337.9800196944795,AB,MP,P,M,MP_AB,M_P,-24.163281330570328,-24.163281330570328,1999.568788802069,-44.97714185604379,-44.97714185604379,1911.4614032976851,-24.163281330985967,-54897.47820489559 kJ/mol
Non-binding_donor1_row17714_cand000024,openmm,239.3169783481241,AB,MP,P,M,MP_AB,M_P,-46.21189383245391,-46.21189383245391,1916.6410673394516,-54.0823500469531,-54.0823500469531,1967.3242187224187,-46.21189383296735,-45643.57388957848 kJ/mol
Non-binding_donor1_row17795_cand000171,openmm,-63.50241022271112,AB,MP,P,M,MP_AB,M_P,-56.00787533215834,-56.00787533215834,2505.86645683418,-51.12347097543903,-51.12347097543903,1910.5664605134139,-56.0078753326021,-53462.3331976396 kJ/mol
Non-binding_donor1_row18209_cand000006,openmm,201.32711035281133,AB,MP,P,M,MP_AB,M_P,-33.499271971444756,-33.499271971444756,1755.9624649011043,-68.09869568868324,-68.09869568868324,1935.9567114984807,-33.49927197171721,-39573.31081703151 kJ/mol
Non-binding_donor1_row18262_cand000512,openmm,-290.9556145227977,AB,MP,P,M,MP_AB,M_P,-32.71710245604601,-32.71710245604601,1899.017081618663,-64.16331080668657,-64.16331080668657,1856.9284511927822,-32.71710245627111,-49660.97339912955 kJ/mol
Non-binding_donor1_row18831_cand000238,openmm,-316.833002317626,AB,MP,P,M,MP_AB,M_P,-57.96539369291082,-57.96539369291082,2192.9887906234494,-59.47236884652715,-59.47236884652715,1976.1521173500628,-57.96539369325404,-54613.06202788035 kJ/mol
Non-binding_donor1_row18836_cand000534,openmm,168.8885757193908,AB,MP,P,M,MP_AB,M_P,359.0319527883297,359.0319527883297,2318.3238473903816,-55.72299971897085,-55.72299971897085,1988.663482943418,359.03195278836426,-46568.306028290666 kJ/mol
Non-binding_donor1_row18844_cand000203,openmm,-280.80699227164126,AB,MP,P,M,MP_AB,M_P,-62.016564687690305,-62.016564687690305,2351.4538036070207,-55.131516557292514,-55.131516557292514,1960.3376889977426,-62.01656468735439,-54500.42313930179 kJ/mol
Non-binding_donor1_row18864_cand000459,openmm,-195.25400306236799,AB,MP,P,M,MP_AB,M_P,-32.10389312215915,-32.10389312215915,2018.1575072061519,-68.28600735377425,-68.28600735377425,1981.8298207901598,-32.103893122182,-54307.8092906047 kJ/mol
Non-binding_donor1_row18868_cand000223,openmm,-287.2205514730639,AB,MP,P,M,MP_AB,M_P,-54.63087835178749,-54.63087835178749,2226.749470046665,-62.350415590018585,-62.350415590018585,2047.5798023151387,-54.63087835120689,-55211.94931390413 kJ/mol
Non-binding_donor1_row1958_cand000577,openmm,-223.97503403684502,AB,MP,P,M,MP_AB,M_P,-54.30745505429567,-54.30745505429567,2137.877808741342,-46.36290038980661,-46.36290038980661,2036.2490705120592,-54.307455054279416,-53945.519889042414 kJ/mol
Non-binding_donor1_row1963_cand000241,openmm,-320.2690224103124,AB,MP,P,M,MP_AB,M_P,-39.370610835485934,-39.370610835485934,2047.9470195897586,-56.98550033535673,-56.98550033535673,2003.0565849660843,-39.37061083568739,-55441.773240556824 kJ/mol
Non-binding_donor1_row19664_cand000057,openmm,-293.4696686686644,AB,MP,P,M,MP_AB,M_P,-40.61573479537489,-40.61573479537489,2136.417480120671,-58.814144467753245,-58.814144467753245,1972.0764089667682,-40.61573479581986,-55158.03790364116 kJ/mol
