TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10017_cand000400,openmm,953.4116372853193,AB,MP,P,M,MP_AB,M_P,-50.403530271931004,-50.403530271931004,2237.1793094319783,-49.59551415676327,-49.59551415676327,1843.9086673098116,-50.403530272025364,-41118.721481671295 kJ/mol
Non-binding_donor1_row10004_cand000262,openmm,404.13337723686254,AB,MP,P,M,MP_AB,M_P,-68.56848232820624,-68.56848232820624,2263.0897616183674,-43.680163736805696,-43.680163736805696,1695.4943383848506,-68.56848232786945,-48070.04982989374 kJ/mol
Non-binding_donor1_row10112_cand000420,openmm,250.1037086014603,AB,MP,P,M,MP_AB,M_P,-42.67467996697721,-42.67467996697721,2000.126774442441,-61.93048480578523,-61.93048480578523,1838.9486277440972,-42.67467996703073,-50107.731366346794 kJ/mol
Non-binding_donor1_row10324_cand000547,openmm,376.2214489318004,AB,MP,P,M,MP_AB,M_P,-13.225872682426882,-13.225872682426882,2400.29770375318,-42.03402666552239,-42.03402666552239,1867.027469236144,-13.225872682427507,-42921.543240252846 kJ/mol
Non-binding_donor1_row10331_cand000342,openmm,-238.7064090791438,AB,MP,P,M,MP_AB,M_P,-45.97720857641053,-45.97720857641053,1821.0917530449415,-46.38451695422782,-46.38451695422782,1913.2630407498584,-45.97720857591588,-54939.880968734855 kJ/mol
Non-binding_donor1_row10471_cand000520,openmm,425.3778545323937,AB,MP,P,M,MP_AB,M_P,-59.930373945773226,-59.930373945773226,2375.747336232248,-54.999031447277495,-54.999031447277495,1899.388875534433,-59.930373945623955,-41864.13771862401 kJ/mol
Non-binding_donor1_row10581_cand000416,openmm,192.944143790265,AB,MP,P,M,MP_AB,M_P,-37.892445989318816,-37.892445989318816,2015.1121636430453,-49.212981883772045,-49.212981883772045,1919.6503252506457,-37.89244598905762,-48805.55898586648 kJ/mol
Non-binding_donor1_row10610_cand000061,openmm,-236.0926425710452,AB,MP,P,M,MP_AB,M_P,-58.20968129100848,-58.20968129100848,2247.8474134097555,-47.21345329669133,-47.21345329669133,1938.84074009659,-58.20968129132453,-57247.122358506254 kJ/mol
Non-binding_donor1_row10968_cand000331,openmm,140.3198206585617,AB,MP,P,M,MP_AB,M_P,-55.74639503818952,-55.74639503818952,2113.0654246360823,248.19776572117092,248.19776572117092,1988.5521154231026,-55.74639503818045,-50457.12484110678 kJ/mol
Non-binding_donor1_row11012_cand000325,openmm,141.9385743979854,AB,MP,P,M,MP_AB,M_P,321.4110532783091,321.4110532783091,2240.8896156830765,-51.9801685462386,-51.9801685462386,1824.6088009272207,321.41105327804564,-50224.53058873052 kJ/mol
Non-binding_donor1_row11428_cand000294,openmm,-55.52373736783545,AB,MP,P,M,MP_AB,M_P,-45.28486919665929,-45.28486919665929,2145.4903841902,-45.83440529238338,-45.83440529238338,1857.4642517591067,-45.28486919698276,-52448.012582295145 kJ/mol
Non-binding_donor1_row11481_cand000218,openmm,-116.12491306704777,AB,MP,P,M,MP_AB,M_P,-39.39392910359142,-39.39392910359142,1991.545254249027,-52.511664148363735,-52.511664148363735,1909.7078748767162,-39.39392910372794,-55244.30173778306 kJ/mol
