TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row1001_cand000507,openmm,-299.64148824520953,AB,MP,P,M,MP_AB,M_P,-44.10909025945938,-44.10909025945938,1956.1535452472758,-52.36307906979452,-52.36307906979452,1629.411386823685,-44.10909025936331,-56020.974783162004 kJ/mol
Non-binding_donor1_row10081_cand000598,openmm,-216.9609252636315,AB,MP,P,M,MP_AB,M_P,-50.268068966448595,-50.268068966448595,2029.9912041145622,-59.08889719544573,-59.08889719544573,1702.8273043305194,-50.268068966611395,-56412.04397342219 kJ/mol
Non-binding_donor1_row10289_cand000522,openmm,-44.41545004543296,AB,MP,P,M,MP_AB,M_P,-48.39275718738568,-48.39275718738568,2050.264033377497,-57.044694353637524,-57.044694353637524,1644.5835340112715,-48.392757187459026,-55764.290522919226 kJ/mol
Non-binding_donor1_row1046_cand000007,openmm,-309.4946646848913,AB,MP,P,M,MP_AB,M_P,-45.60373137958857,-45.60373137958857,2186.63923626258,-63.314798612470625,-63.314798612470625,1656.3744199323846,-45.60373137921374,-53464.79725211269 kJ/mol
Non-binding_donor1_row10550_cand000353,openmm,-239.51867741023713,AB,MP,P,M,MP_AB,M_P,-44.26711333051614,-44.26711333051614,1807.8388707440938,-65.6327425675372,-65.6327425675372,1697.9013723768985,-44.26711333123504,-52941.782439216026 kJ/mol
Non-binding_donor1_row1050_cand000587,openmm,-385.1378145498503,AB,MP,P,M,MP_AB,M_P,-45.72396758267786,-45.72396758267786,1937.4675383121769,-67.43458536955548,-67.43458536955548,1670.5282489501315,-45.72396758228558,-55172.98817674838 kJ/mol
Non-binding_donor1_row10555_cand000359,openmm,395.06778062845245,AB,MP,P,M,MP_AB,M_P,-39.842305420668765,-39.842305420668765,1892.5357742918166,-73.8816242594724,-73.8816242594724,1725.5341077121357,-39.84230542061988,-42129.83231681206 kJ/mol
Non-binding_donor1_row10556_cand000282,openmm,-190.28834010475046,AB,MP,P,M,MP_AB,M_P,-25.785730064360365,-25.785730064360365,2412.132502158274,-58.04824721376956,-58.04824721376956,1697.197857304986,-25.78573006435667,-53313.12202979118 kJ/mol
Non-binding_donor1_row10602_cand000182,openmm,580.4263471511018,AB,MP,P,M,MP_AB,M_P,-73.57576929953586,-73.57576929953586,2515.3988401610986,-45.96808046625604,-45.96808046625604,1517.577685186934,-73.57576929992445,-48284.25228965825 kJ/mol
Non-binding_donor1_row10611_cand000369,openmm,-254.9402252150685,AB,MP,P,M,MP_AB,M_P,-49.63281361095409,-49.63281361095409,2239.148839801175,-69.567180789332,-69.567180789332,1677.9454871491057,-49.63281361079146,-56628.999069987825 kJ/mol
