TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10210_cand000232,openmm,-189.2555530242184,AB,MP,P,M,MP_AB,M_P,-33.121945286159104,-33.121945286159104,2297.2559314474443,-43.924370437297384,-43.924370437297384,1829.8044366708973,-33.121945286310876,-54906.0149311021 kJ/mol
Non-binding_donor1_row10018_cand000127,openmm,358.23649844534344,AB,MP,P,M,MP_AB,M_P,-45.411503746707524,-45.411503746707524,2323.6195797059136,-78.3644657690909,-78.3644657690909,1964.8047700125048,-45.41150374659168,-50479.170661289325 kJ/mol
Non-binding_donor1_row10876_cand000525,openmm,-278.62314942062903,AB,MP,P,M,MP_AB,M_P,-43.70385236076058,-43.70385236076058,1891.2820926545803,-72.20883868642288,-72.20883868642288,1953.0191123221284,-43.70385236047716,-55548.20279072152 kJ/mol
Non-binding_donor1_row10466_cand000348,openmm,384.8766081191172,AB,MP,P,M,MP_AB,M_P,-55.787963481896384,-55.787963481896384,2382.982827478448,-65.03712509986616,-65.03712509986616,1794.220679395275,-55.78796348181362,-43020.10822857462 kJ/mol
Non-binding_donor1_row11121_cand000340,openmm,-250.85911354831433,AB,MP,P,M,MP_AB,M_P,-54.925970667329864,-54.925970667329864,2118.1289583479306,-63.19991714796395,-63.19991714796395,1901.957170192346,-54.925970667601774,-55692.14091204725 kJ/mol
Non-binding_donor1_row10885_cand000306,openmm,-181.5616371640257,AB,MP,P,M,MP_AB,M_P,-61.58937222290491,-61.58937222290491,2415.049591170925,-64.9469026497653,-64.9469026497653,1863.8179716391235,-61.58937222325184,-54049.62149062051 kJ/mol
Non-binding_donor1_row11314_cand000534,openmm,-130.61771506570327,AB,MP,P,M,MP_AB,M_P,-41.21984506440418,-41.21984506440418,1981.7002475464917,-75.16491017966916,-75.16491017966916,2030.3391141691452,-41.219845064960296,-54789.21044545588 kJ/mol
Non-binding_donor1_row11736_cand000160,openmm,383.15579426743113,AB,MP,P,M,MP_AB,M_P,369.3545766613649,369.3545766613649,2551.9941049439703,-58.225374393704634,-58.225374393704634,1744.429678269776,369.35457666136483,-49302.958873375464 kJ/mol
Non-binding_donor1_row12087_cand000441,openmm,-247.06667072278995,AB,MP,P,M,MP_AB,M_P,-44.25742232884426,-44.25742232884426,2163.036846264125,-73.80057771860575,-73.80057771860575,1952.72676579391,-44.257422328895785,-55893.53869270868 kJ/mol
Non-binding_donor1_row11954_cand000034,openmm,-50.59119343462338,AB,MP,P,M,MP_AB,M_P,-51.008039842225614,-51.008039842225614,2232.1742558856013,-70.2833417139912,-70.2833417139912,1880.0398839511622,-51.00803984200864,-52721.50019272786 kJ/mol
Non-binding_donor1_row12267_cand000236,openmm,-337.0799451246061,AB,MP,P,M,MP_AB,M_P,-42.96196814854153,-42.96196814854153,1878.181814186508,-70.91430015089226,-70.91430015089226,1874.6114212852692,-42.961968148462006,-56577.54354910154 kJ/mol
Non-binding_donor1_row12278_cand000447,openmm,-265.8421280070188,AB,MP,P,M,MP_AB,M_P,-44.954312839630006,-44.954312839630006,2012.3326376035275,-70.80144231559795,-70.80144231559795,1997.4514717088337,-44.95431283991013,-53143.43338617219 kJ/mol
Non-binding_donor1_row12761_cand000528,openmm,-109.84940773863876,AB,MP,P,M,MP_AB,M_P,-36.820300134993005,-36.820300134993005,2011.4811418821023,-70.46622366862982,-70.46622366862982,1941.630133064146,-36.82030013536502,-54341.84903775189 kJ/mol
Non-binding_donor1_row12801_cand000559,openmm,-252.81590695858375,AB,MP,P,M,MP_AB,M_P,-52.04325682510088,-52.04325682510088,2219.321596974783,-74.01593968562494,-74.01593968562494,1957.8177128105428,-52.04325682537342,-53294.75373477136 kJ/mol
Non-binding_donor1_row12804_cand000433,openmm,-282.13605664038147,AB,MP,P,M,MP_AB,M_P,-51.74452566532395,-51.74452566532395,2283.5612015931615,-73.95363267410517,-73.95363267410517,1977.8410298036138,-51.74452566529186,-54185.45350399503 kJ/mol
Non-binding_donor1_row13622_cand000273,openmm,-382.9773231208244,AB,MP,P,M,MP_AB,M_P,-54.365834057533505,-54.365834057533505,2282.5696296244805,-79.75696221729748,-79.75696221729748,1917.3206520080648,-54.36583405715862,-53823.18107886349 kJ/mol
Non-binding_donor1_row13933_cand000562,openmm,-239.3571026928466,AB,MP,P,M,MP_AB,M_P,-39.516748772023504,-39.516748772023504,1987.5545783068892,-71.96646639264017,-71.96646639264017,1935.809204027121,-39.516748772518326,-53930.674391022614 kJ/mol
Non-binding_donor1_row14545_cand000439,openmm,-69.33941667477248,AB,MP,P,M,MP_AB,M_P,-37.75260198300386,-37.75260198300386,1834.461285395974,-72.98758848478468,-72.98758848478468,1988.309755124662,-37.75260198367272,-53944.93335320436 kJ/mol
Non-binding_donor1_row14996_cand000347,openmm,-329.27901411795824,AB,MP,P,M,MP_AB,M_P,-33.439856527540655,-33.439856527540655,1624.5399867129152,-80.21792890513646,-80.21792890513646,1981.1514694875514,-33.43985652725894,-54319.4213718397 kJ/mol
Non-binding_donor1_row15202_cand000204,openmm,-41.656495030322134,AB,MP,P,M,MP_AB,M_P,-28.230968503198383,-28.230968503198383,1743.510533586543,-71.76598331763553,-71.76598331763553,1948.7449173392781,-28.230968503531756,-48297.738927413295 kJ/mol
Non-binding_donor1_row15214_cand000239,openmm,-77.52438870029417,AB,MP,P,M,MP_AB,M_P,-28.45077080197234,-28.45077080197234,1496.104271081117,-74.15252458751075,-74.15252458751075,1992.3752009719549,-28.45077080190609,-48910.27335404716 kJ/mol
Non-binding_donor1_row15219_cand000352,openmm,4.384475209264409,AB,MP,P,M,MP_AB,M_P,-25.065924007437097,-25.065924007437097,1630.146457448474,-66.58899985665673,-66.58899985665673,1900.538659660552,-25.06592400714932,-48888.42208262211 kJ/mol
Non-binding_donor1_row15335_cand000351,openmm,-8.40466625688461,AB,MP,P,M,MP_AB,M_P,-28.725494087363177,-28.725494087363177,1499.6622294810625,-67.77427503232806,-67.77427503232806,1886.1662766353616,-28.72549408732513,-49371.419851573715 kJ/mol
