TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10203_cand000271,none,28747.509583696286,AB,MP,P,M,MP_AB,M_P,11355.031149491857,11355.031149491857,1596.0288310436592,4725.577994216259,4725.577994216259,1941.7222321495194,11355.031149491671
Non-binding_donor1_row10176_cand000317,none,31330.290479234307,AB,MP,P,M,MP_AB,M_P,6007.691191323542,6007.691191323542,1674.0260749395811,5131.393422523221,5131.393422523221,1941.5185483473017,6007.691191324055
Non-binding_donor1_row10127_cand000113,none,41216.13567654035,AB,MP,P,M,MP_AB,M_P,14719.25522592487,14719.25522592487,1801.7779860844862,5011.191403028956,5011.191403028956,1978.6739862498735,14719.25522592511
Non-binding_donor1_row10018_cand000412,none,28489.233084335418,AB,MP,P,M,MP_AB,M_P,6680.676697658491,6680.676697658491,1894.205224384953,4753.803232801891,4753.803232801891,1966.7044872116207,6680.67669765895
Non-binding_donor1_row11171_cand000357,none,22445.205361709297,AB,MP,P,M,MP_AB,M_P,8786.334469091917,8786.334469091917,2022.651722273018,4333.335042442837,4333.335042442837,1983.5182988506522,8786.334469092095
Non-binding_donor1_row11148_cand000516,none,25010.70681967998,AB,MP,P,M,MP_AB,M_P,10335.410119231456,10335.410119231456,1745.6650921275066,4859.0551692605395,4859.0551692605395,1950.0819403875516,10335.410119231525
Non-binding_donor1_row10956_cand000296,none,20476.443289239265,AB,MP,P,M,MP_AB,M_P,7309.892300719039,7309.892300719039,2197.837524724999,4351.931652172396,4351.931652172396,2012.5194421326232,7309.892300719228
Non-binding_donor1_row1118_cand000153,none,19847.05943958248,AB,MP,P,M,MP_AB,M_P,6742.613772631086,6742.613772631086,1753.6004293756814,4105.834693230775,4105.834693230775,2009.0140142646533,6742.613772631044
Non-binding_donor1_row11213_cand000577,none,20078.55021115707,AB,MP,P,M,MP_AB,M_P,4749.319835145456,4749.319835145456,1739.0929035672546,4377.22074785412,4377.22074785412,1911.9128540405159,4749.319835145618
Non-binding_donor1_row11502_cand000452,none,22879.419897524327,AB,MP,P,M,MP_AB,M_P,8663.487874963688,8663.487874963688,1643.1751076040446,4260.552806612861,4260.552806612861,1860.1179899801793,8663.48787496311
Non-binding_donor1_row12104_cand000009,none,16220.589277876226,AB,MP,P,M,MP_AB,M_P,2921.9429855941326,2921.9429855941326,2022.8466406438818,4439.852377640074,4439.852377640074,1953.1548368817826,2921.942985594009
Non-binding_donor1_row11584_cand000078,none,18768.53024717901,AB,MP,P,M,MP_AB,M_P,7510.144201545927,7510.144201545927,2108.568409285394,4095.1575462938904,4095.1575462938904,1953.7512663078119,7510.14420154624
Non-binding_donor1_row12385_cand000594,none,16704.829978812842,AB,MP,P,M,MP_AB,M_P,4772.039320695807,4772.039320695807,1852.5715896595382,4890.474074836766,4890.474074836766,1944.644727804342,4772.039320695552
Non-binding_donor1_row12123_cand000318,none,19950.242726229706,AB,MP,P,M,MP_AB,M_P,11571.762712708238,11571.762712708238,1843.0693578650748,4734.001422731922,4734.001422731922,1986.0303008224246,11571.762712708212
Non-binding_donor1_row12429_cand000178,none,22708.58966997459,AB,MP,P,M,MP_AB,M_P,11123.549902450173,11123.549902450173,1641.2943951012273,4653.513334040688,4653.513334040688,1906.6953512605658,11123.549902450148
Non-binding_donor1_row12543_cand000526,none,15855.499756129324,AB,MP,P,M,MP_AB,M_P,6316.209761881308,6316.209761881308,1793.0097079040895,4523.140343224007,4523.140343224007,1914.5841463953534,6316.209761880866
Non-binding_donor1_row12603_cand000211,none,20191.927883478736,AB,MP,P,M,MP_AB,M_P,10331.252122133683,10331.252122133683,1860.260385576085,4733.257950877691,4733.257950877691,2010.7173702873918,10331.252122133898
Non-binding_donor1_row12670_cand000470,none,40705.02751332086,AB,MP,P,M,MP_AB,M_P,20599.139293176293,20599.139293176293,1757.043607166998,4845.902316791626,4845.902316791626,2035.6104816883208,20599.139293176428
Non-binding_donor1_row12923_cand000474,none,21875.70483220099,AB,MP,P,M,MP_AB,M_P,11309.525386025687,11309.525386025687,1636.933352534798,5059.05060462004,5059.05060462004,1941.5937061034022,11309.525386026427
Non-binding_donor1_row12844_cand000226,none,24190.485303925052,AB,MP,P,M,MP_AB,M_P,10159.168024301687,10159.168024301687,1750.5126006200728,4955.993602471912,4955.993602471912,1927.3537896899281,10159.168024301744
Non-binding_donor1_row13475_cand000502,none,20690.148897489355,AB,MP,P,M,MP_AB,M_P,6954.326365390803,6954.326365390803,1716.529434380831,4788.468390004775,4788.468390004775,1929.7792233308019,6954.3263653911235
Non-binding_donor1_row12973_cand000423,none,22232.087963752256,AB,MP,P,M,MP_AB,M_P,9191.055864641743,9191.055864641743,1912.5528779127505,5306.589039027983,5306.589039027983,1968.166126768487,9191.055864641949
Non-binding_donor1_row13699_cand000203,none,16328.984466598848,AB,MP,P,M,MP_AB,M_P,3221.9136805847083,3221.9136805847083,1562.676225113597,4794.552888957277,4794.552888957277,1934.492667265757,3221.91368058463
Non-binding_donor1_row13851_cand000217,none,30582.779748486275,AB,MP,P,M,MP_AB,M_P,14014.907505133437,14014.907505133437,1788.098715968866,5373.77155634048,5373.77155634048,1950.9634790431674,14014.90750513364
Non-binding_donor1_row14151_cand000414,none,22099.817137971226,AB,MP,P,M,MP_AB,M_P,6404.458592941386,6404.458592941386,1651.5665342923494,5038.909597286925,5038.909597286925,1854.2983796363671,6404.458592941763
Non-binding_donor1_row14221_cand000425,none,46489.682226742196,AB,MP,P,M,MP_AB,M_P,24874.629568200846,24874.629568200846,1346.8375311065001,4486.569375967556,4486.569375967556,1966.6314316076418,24874.62956820064
Non-binding_donor1_row14299_cand000430,none,17433.401602039445,AB,MP,P,M,MP_AB,M_P,5766.973321653273,5766.973321653273,1840.3918986802132,4584.716343299015,4584.716343299015,1949.0941771151495,5766.973321653346
Non-binding_donor1_row14387_cand000209,none,35359.385776729,AB,MP,P,M,MP_AB,M_P,19044.676223507322,19044.676223507322,1704.9961978424064,4298.412407592107,4298.412407592107,1947.8271534054086,19044.67622350742
