TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10136_cand000581,none,21359.8481836552,AB,MP,P,M,MP_AB,M_P,8256.26444289701,8256.26444289701,1693.4822374959438,931.1876414451954,931.1876414451954,1725.3849014536372,8256.264442897027
Non-binding_donor1_row10015_cand000408,none,27703.08350654895,AB,MP,P,M,MP_AB,M_P,9314.529920832865,9314.529920832865,1969.0822849994438,989.2645463276508,989.2645463276508,1704.9452807703615,9314.529920832723
Non-binding_donor1_row1017_cand000075,none,15352.417234333985,AB,MP,P,M,MP_AB,M_P,3965.24280804095,3965.24280804095,1741.3041969444369,1041.4036808141036,1041.4036808141036,1753.6939867806075,3965.2428080412683
Non-binding_donor1_row10097_cand000332,none,13968.57450889699,AB,MP,P,M,MP_AB,M_P,3463.5666593374153,3463.5666593374153,2131.5685443366283,1033.6881447157461,1033.6881447157461,1696.944001104538,3463.566659336875
Non-binding_donor1_row10582_cand000316,none,18328.521117512944,AB,MP,P,M,MP_AB,M_P,4980.688248606824,4980.688248606824,1720.451569303988,994.9991117304112,994.9991117304112,1756.0889586082694,4980.688248606431
Non-binding_donor1_row10751_cand000205,none,34026.394047437396,AB,MP,P,M,MP_AB,M_P,7543.983032521621,7543.983032521621,1776.9000396555023,979.2522188186222,979.2522188186222,1739.6554503347381,7543.983032521675
Non-binding_donor1_row1110_cand000565,none,14365.66218158698,AB,MP,P,M,MP_AB,M_P,6857.085684093091,6857.085684093091,1779.361070256097,950.9864670576831,950.9864670576831,1715.6371755250982,6857.085684092818
Non-binding_donor1_row10951_cand000580,none,16322.364955090385,AB,MP,P,M,MP_AB,M_P,5766.843818339457,5766.843818339457,1936.0719497712262,891.3365235669089,891.3365235669089,1747.9906851781486,5766.843818339681
Non-binding_donor1_row11168_cand000426,none,15916.241167248123,AB,MP,P,M,MP_AB,M_P,5061.342973954745,5061.342973954745,1875.6213851457564,892.6908806871738,892.6908806871738,1748.388883986245,5061.342973955054
Non-binding_donor1_row11206_cand000111,none,18377.70922517486,AB,MP,P,M,MP_AB,M_P,6635.850783941258,6635.850783941258,1703.67833463081,918.3926305284699,918.3926305284699,1752.3137028379415,6635.8507839417
Non-binding_donor1_row111_cand000067,none,21654.25442552659,AB,MP,P,M,MP_AB,M_P,8330.1606761942,8330.1606761942,1982.4292133974077,1078.5907230095672,1078.5907230095672,1714.1510082744774,8330.160676194026
Non-binding_donor1_row11209_cand000510,none,17229.958987337377,AB,MP,P,M,MP_AB,M_P,6046.8798796828305,6046.8798796828305,1959.8160605049436,1009.0561316424034,1009.0561316424034,1749.3588449002775,6046.879879682952
Non-binding_donor1_row11311_cand000487,none,17112.0179917514,AB,MP,P,M,MP_AB,M_P,4711.798514043605,4711.798514043605,1690.934312769656,870.2549287410961,870.2549287410961,1755.3733891289899,4711.798514043363
Non-binding_donor1_row11344_cand000343,none,33035.3055246477,AB,MP,P,M,MP_AB,M_P,9892.828030965178,9892.828030965178,1664.4928926397163,1032.4684136245853,1032.4684136245853,1782.2100138577318,9892.828030965622
Non-binding_donor1_row11391_cand000262,none,11941.345104527558,AB,MP,P,M,MP_AB,M_P,4582.266265322114,4582.266265322114,1613.8866055570063,831.4700330322662,831.4700330322662,1748.4020786753908,4582.266265322114
Non-binding_donor1_row1136_cand000171,none,10125.478356848083,AB,MP,P,M,MP_AB,M_P,4778.874412539174,4778.874412539174,1591.3662576386348,1236.0375780041616,1236.0375780041616,1754.1952375847618,4778.874412539346
Non-binding_donor1_row11497_cand000599,none,12292.541705574371,AB,MP,P,M,MP_AB,M_P,2079.624512392438,2079.624512392438,1375.2294226102042,870.2623486691173,870.2623486691173,1734.9141509449219,2079.624512391769
Non-binding_donor1_row11444_cand000493,none,19917.897848651653,AB,MP,P,M,MP_AB,M_P,9413.545908875767,9413.545908875767,1712.0496240980576,903.9652483999507,903.9652483999507,1711.521340083045,9413.545908875702
Non-binding_donor1_row11586_cand000347,none,22498.946540055484,AB,MP,P,M,MP_AB,M_P,6935.490839990151,6935.490839990151,1352.8468393474575,781.7985907488592,781.7985907488592,1802.703220027553,6935.490839989881
Non-binding_donor1_row11869_cand000048,none,19065.145677295124,AB,MP,P,M,MP_AB,M_P,10338.115184623124,10338.115184623124,1894.1774852853741,834.2274157741576,834.2274157741576,1678.1208500753264,10338.11518462371
Non-binding_donor1_row11941_cand000188,none,39805.4266228784,AB,MP,P,M,MP_AB,M_P,15168.365344745642,15168.365344745642,1511.2084279980652,865.2312614465286,865.2312614465286,1712.9878200197027,15168.36534474593
Non-binding_donor1_row12078_cand000439,none,20220.981870563344,AB,MP,P,M,MP_AB,M_P,8925.372909896649,8925.372909896649,1690.2114439355923,854.9094230193687,854.9094230193687,1760.7729103573752,8925.372909896261
Non-binding_donor1_row1203_cand000214,none,19064.52587783326,AB,MP,P,M,MP_AB,M_P,10455.417352128537,10455.417352128537,1818.4526988606422,1007.8396210128644,1007.8396210128644,1748.8703854202856,10455.417352128748
Non-binding_donor1_row12168_cand000312,none,12095.42392446127,AB,MP,P,M,MP_AB,M_P,5079.667547387382,5079.667547387382,1675.6146270826328,791.2542332189773,791.2542332189773,1682.082018317578,5079.667547387513
Non-binding_donor1_row12348_cand000595,none,16171.632026806203,AB,MP,P,M,MP_AB,M_P,7925.532868476435,7925.532868476435,1659.0239305781581,1037.5980410343986,1037.5980410343986,1762.1265101550334,7925.532868476432
