TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10876_cand000525,none,19799.523969675927,AB,MP,P,M,MP_AB,M_P,9195.726364474465,9195.726364474465,1656.9057757268806,478.020514786137,478.020514786137,1916.8190133529663,9195.726364474642
Non-binding_donor1_row10210_cand000232,none,21972.9048484305,AB,MP,P,M,MP_AB,M_P,6888.82940678818,6888.82940678818,1931.5098297609281,644.5874209281878,644.5874209281878,1861.371392364735,6888.829406787971
Non-binding_donor1_row10466_cand000348,none,28161.038180454038,AB,MP,P,M,MP_AB,M_P,5614.810115606473,5614.810115606473,2014.7329385031724,671.9807500362358,671.9807500362358,1766.6867762378135,5614.810115606178
Non-binding_donor1_row10018_cand000127,none,25531.389656484094,AB,MP,P,M,MP_AB,M_P,7196.682614905672,7196.682614905672,2123.0547661892488,493.447220467006,493.447220467006,1906.4368873908925,7196.682614906058
Non-binding_donor1_row11314_cand000534,none,16625.217620564894,AB,MP,P,M,MP_AB,M_P,4728.901410016855,4728.901410016855,1845.9542397352623,409.52499130981005,409.52499130981005,1904.2571805946623,4728.90141001709
Non-binding_donor1_row11121_cand000340,none,22529.776034830313,AB,MP,P,M,MP_AB,M_P,7358.819003253397,7358.819003253397,1952.1054053091427,517.6877004718117,517.6877004718117,1842.2786771718079,7358.819003253544
Non-binding_donor1_row10885_cand000306,none,19543.466617235154,AB,MP,P,M,MP_AB,M_P,7448.7825266994605,7448.7825266994605,2148.7339040721067,480.4362391246241,480.4362391246241,1871.2289576808662,7448.782526700124
Non-binding_donor1_row11736_cand000160,none,46034.1068067489,AB,MP,P,M,MP_AB,M_P,24161.394946568165,24161.394946568165,1830.4787232956037,662.7217279902252,662.7217279902252,1884.2391461314605,24161.394946567507
Non-binding_donor1_row12267_cand000236,none,10479.812738387975,AB,MP,P,M,MP_AB,M_P,3175.166933718444,3175.166933718444,1764.310731536262,547.7985987072179,547.7985987072179,1856.2211119105532,3175.1669337186013
Non-binding_donor1_row12087_cand000441,none,14550.279877943225,AB,MP,P,M,MP_AB,M_P,5840.629731162309,5840.629731162309,2141.683821091601,446.607864356311,446.607864356311,1896.890479373807,5840.629731162087
