TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10127_cand000113,openmm,362.18667993534274,AB,MP,P,M,MP_AB,M_P,-36.7863896706948,-36.7863896706948,2188.2100325893766,-59.778550473908936,-59.778550473908936,1556.1541468954235,-36.786389670587425,-44992.20823925618 kJ/mol
Non-binding_donor1_row10018_cand000412,openmm,15415.999306999563,AB,MP,P,M,MP_AB,M_P,2799.2059825808246,2799.2059825808246,2004.322538207217,411.9998495769521,411.9998495769521,1687.887883223903,2799.205982580872,4494597517.972471 kJ/mol
Non-binding_donor1_row10176_cand000317,openmm,344.7031816125098,AB,MP,P,M,MP_AB,M_P,-48.34199551307722,-48.34199551307722,1826.1565123657763,-62.51925742594008,-62.51925742594008,1600.3579689913627,-48.341995513275776,-48680.793483829 kJ/mol
Non-binding_donor1_row10203_cand000271,openmm,-295.1914464926123,AB,MP,P,M,MP_AB,M_P,-42.80056618430885,-42.80056618430885,2039.504078538953,-58.57229845227252,-58.57229845227252,1517.871521062781,-42.80056618423038,-61280.26831749898 kJ/mol
Non-binding_donor1_row10956_cand000296,openmm,52.64682198667927,AB,MP,P,M,MP_AB,M_P,-45.122703680370435,-45.122703680370435,2356.9934010826614,-68.172540996233,-68.172540996233,1549.5765749640545,-45.12270368043292,-48015.09340270326 kJ/mol
Non-binding_donor1_row11148_cand000516,openmm,-160.39932831498467,AB,MP,P,M,MP_AB,M_P,-46.467647765934146,-46.467647765934146,2000.7345601441366,-64.56319142033082,-64.56319142033082,1488.6376051577263,-46.467647766236055,-57890.12778200457 kJ/mol
Non-binding_donor1_row1118_cand000153,openmm,-186.51301865699799,AB,MP,P,M,MP_AB,M_P,-35.66024442311232,-35.66024442311232,2214.3740539665127,-63.265556815483265,-63.265556815483265,1556.1888905830663,-35.66024442297413,-50712.048779285586 kJ/mol
Non-binding_donor1_row11171_cand000357,openmm,-310.9988967977963,AB,MP,P,M,MP_AB,M_P,-38.44766300119278,-38.44766300119278,2092.995937866532,-57.97197223579195,-57.97197223579195,1640.4139656993143,-38.44766300103112,-54843.89021587415 kJ/mol
Non-binding_donor1_row11213_cand000577,openmm,97.44044283380515,AB,MP,P,M,MP_AB,M_P,314.58006137011745,314.58006137011745,2040.3380201266127,-59.55569024167244,-59.55569024167244,1604.292879724644,314.58006137007953,-51773.69834105968 kJ/mol
Non-binding_donor1_row11502_cand000452,openmm,-309.4668167221796,AB,MP,P,M,MP_AB,M_P,-37.520450044280835,-37.520450044280835,2070.5724828712127,-66.54007301295815,-66.54007301295815,1634.395077540019,-37.52045004482966,-55264.19153632094 kJ/mol
Non-binding_donor1_row11584_cand000078,openmm,-465.03648514050667,AB,MP,P,M,MP_AB,M_P,-49.739124820156576,-49.739124820156576,2297.519437379401,-63.634198472540675,-63.634198472540675,1566.6701124615581,-49.739124820660834,-58016.136559858955 kJ/mol
Non-binding_donor1_row12104_cand000009,openmm,-226.58074057347082,AB,MP,P,M,MP_AB,M_P,-42.46259935013177,-42.46259935013177,2183.7450614837535,-54.23102496761533,-54.23102496761533,1591.7899847959252,-42.46259935018375,-59416.21774439242 kJ/mol
Non-binding_donor1_row12123_cand000318,openmm,-314.5927692019644,AB,MP,P,M,MP_AB,M_P,-39.059479080639505,-39.059479080639505,2152.6848951055636,-52.16240010873173,-52.16240010873173,1540.713017320538,-39.05947908065423,-54455.31555149003 kJ/mol
Non-binding_donor1_row12385_cand000594,openmm,-341.2006275605382,AB,MP,P,M,MP_AB,M_P,-53.95036180939775,-53.95036180939775,2185.6381852168074,-48.784111495272626,-48.784111495272626,1582.5959083341938,-53.95036180966639,-56023.61896182406 kJ/mol
Non-binding_donor1_row12429_cand000178,openmm,-383.76506137514934,AB,MP,P,M,MP_AB,M_P,-27.85927970417464,-27.85927970417464,1648.3451374283406,-61.06089808998652,-61.06089808998652,1640.6450007501653,-27.859279704442997,-55701.43183877361 kJ/mol
Non-binding_donor1_row12543_cand000526,openmm,-329.6028778520388,AB,MP,P,M,MP_AB,M_P,-32.88267823431306,-32.88267823431306,2041.8001018335553,-56.798671568262904,-56.798671568262904,1587.0747489896048,-32.88267823450906,-54570.93851748138 kJ/mol
Non-binding_donor1_row12603_cand000211,openmm,-373.5287550708784,AB,MP,P,M,MP_AB,M_P,-38.102201298689636,-38.102201298689636,2110.369302063753,-53.64393268171315,-53.64393268171315,1556.279345180433,-38.10220129870555,-56862.43077552994 kJ/mol
Non-binding_donor1_row12670_cand000470,openmm,-116.08588813977171,AB,MP,P,M,MP_AB,M_P,-46.5096613559694,-46.5096613559694,2421.2313999981297,-61.473797752641374,-61.473797752641374,1558.2734497854965,-46.50966135574295,-56979.532366175066 kJ/mol
Non-binding_donor1_row12844_cand000226,openmm,-358.035970637222,AB,MP,P,M,MP_AB,M_P,-37.023094840156375,-37.023094840156375,1955.6727652159932,-52.08976162162554,-52.08976162162554,1439.2086085901478,-37.023094840041836,-55303.92267144859 kJ/mol
Non-binding_donor1_row12923_cand000474,openmm,-232.9865301429592,AB,MP,P,M,MP_AB,M_P,-32.75316772185775,-32.75316772185775,1820.3981126580861,-56.59867847689404,-56.59867847689404,1540.0076715921655,-32.753167721964445,-57911.405303049534 kJ/mol
Non-binding_donor1_row12973_cand000423,openmm,-426.9700015144405,AB,MP,P,M,MP_AB,M_P,-48.118851449311364,-48.118851449311364,2163.527159671632,-61.693389601394074,-61.693389601394074,1650.8453875164828,-48.11885144906779,-55228.73707255093 kJ/mol
Non-binding_donor1_row13475_cand000502,openmm,-352.23782267594606,AB,MP,P,M,MP_AB,M_P,-46.38421158598686,-46.38421158598686,2131.354504914183,-64.48705733485491,-64.48705733485491,1589.7332500202804,-46.38421158591888,-52431.83624570995 kJ/mol
Non-binding_donor1_row13699_cand000203,openmm,-418.36362996692196,AB,MP,P,M,MP_AB,M_P,-42.43547885432156,-42.43547885432156,1841.41024012111,-62.59411734883403,-62.59411734883403,1574.0399087329538,-42.435478854204916,-54748.032573392775 kJ/mol
Non-binding_donor1_row13851_cand000217,openmm,-237.5293969936543,AB,MP,P,M,MP_AB,M_P,-45.67310790734848,-45.67310790734848,2053.008660588995,-61.11231236349096,-61.11231236349096,1623.0614058267768,-45.67310790737193,-53191.90772618572 kJ/mol
Non-binding_donor1_row14151_cand000414,openmm,-216.55871190880907,AB,MP,P,M,MP_AB,M_P,-23.971245458719153,-23.971245458719153,1768.0800842152098,-53.72713077588213,-53.72713077588213,1640.4921642068223,-23.971245458989245,-57494.765819808104 kJ/mol
Non-binding_donor1_row14221_cand000425,openmm,-34.37233334730985,AB,MP,P,M,MP_AB,M_P,-35.279642882863705,-35.279642882863705,1839.5706165473948,-34.978926464414485,-34.978926464414485,1594.272401497622,-35.279642883087405,-55840.53967129397 kJ/mol
Non-binding_donor1_row14299_cand000430,openmm,-330.620343461411,AB,MP,P,M,MP_AB,M_P,-32.508087434920924,-32.508087434920924,1933.2278387923654,-71.45269438472427,-71.45269438472427,1612.1291598414937,-32.50808743445771,-57503.9431346738 kJ/mol
Non-binding_donor1_row14387_cand000209,openmm,-202.62542292815755,AB,MP,P,M,MP_AB,M_P,-42.8068804480784,-42.8068804480784,1997.9980079893123,-55.75727411415794,-55.75727411415794,1616.3759880616735,-42.80688044831831,-55397.66100466204 kJ/mol
Non-binding_donor1_row145_cand000319,openmm,-334.25085842659735,AB,MP,P,M,MP_AB,M_P,-48.150548232028825,-48.150548232028825,1972.3663430621093,-60.445542017020344,-60.445542017020344,1578.2580980393627,-48.1505482320415,-49177.64361554202 kJ/mol
Non-binding_donor1_row14709_cand000140,openmm,191.36691646683533,AB,MP,P,M,MP_AB,M_P,-58.074261689900055,-58.074261689900055,2189.675224860897,-51.546468517868675,-51.546468517868675,1656.5174516038403,-58.07426168983065,-49886.73546035411 kJ/mol
Non-binding_donor1_row1476_cand000416,openmm,-283.9273612372638,AB,MP,P,M,MP_AB,M_P,-49.65011819977778,-49.65011819977778,2300.0053990387337,-57.568512250523696,-57.568512250523696,1522.0889424243194,-49.650118199696976,-56665.40202206327 kJ/mol
Non-binding_donor1_row14785_cand000120,openmm,-425.124579977297,AB,MP,P,M,MP_AB,M_P,-28.54806738483927,-28.54806738483927,1779.7932370499475,-52.25891195905294,-52.25891195905294,1549.1261481477193,-28.548067384539763,-56822.42403473982 kJ/mol
Non-binding_donor1_row14826_cand000112,openmm,-124.2804697102168,AB,MP,P,M,MP_AB,M_P,-34.816817587143845,-34.816817587143845,1732.681401653468,-54.96574917048869,-54.96574917048869,1543.3880175304091,-34.81681758725256,-58469.9314006413 kJ/mol
