TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row1000_cand000045,openmm,-272.5579075340754,AB,MP,P,M,MP_AB,M_P,-43.94446686390211,-43.94446686390211,1828.1454197681787,-55.43327181265765,-55.43327181265765,1883.5305889972647,-43.94446686419158,-55922.63643260929 kJ/mol
Non-binding_donor1_row10170_cand000054,openmm,-178.07658061340823,AB,MP,P,M,MP_AB,M_P,-51.53975391667829,-51.53975391667829,2386.582704808517,-63.096742919285674,-63.096742919285674,1751.4471274717787,-51.5397539167426,-57042.533394264174 kJ/mol
Non-binding_donor1_row10376_cand000117,openmm,-373.93674985929823,AB,MP,P,M,MP_AB,M_P,-54.02245478624275,-54.02245478624275,2040.9729553944505,-64.15150924794517,-64.15150924794517,1844.1584743463948,-54.0224547864363,-54104.76761949913 kJ/mol
Non-binding_donor1_row10332_cand000046,openmm,-230.51708668888395,AB,MP,P,M,MP_AB,M_P,-46.3898080677227,-46.3898080677227,1725.1089842914437,-63.91910328730998,-63.91910328730998,1921.4324227722157,-46.38980806810994,-51515.89788481689 kJ/mol
Non-binding_donor1_row1060_cand000096,openmm,-215.47416139783934,AB,MP,P,M,MP_AB,M_P,-44.2383942051176,-44.2383942051176,1799.48895186391,-59.34800200069519,-59.34800200069519,1915.152278216444,-44.238394205131726,-54057.236410243444 kJ/mol
Non-binding_donor1_row10378_cand000498,openmm,609.5302738156385,AB,MP,P,M,MP_AB,M_P,-53.54762913468301,-53.54762913468301,2065.7831830484574,-49.85450972269644,-49.85450972269644,1887.8408230899138,-53.547629134431304,-40688.75438301258 kJ/mol
Non-binding_donor1_row10742_cand000529,openmm,406.18319347553813,AB,MP,P,M,MP_AB,M_P,-50.34452067547795,-50.34452067547795,2041.3714489692659,-62.01897068136681,-62.01897068136681,1879.090370538945,-50.34452067553559,-48659.890927400265 kJ/mol
Non-binding_donor1_row10947_cand000194,openmm,-145.41158795667099,AB,MP,P,M,MP_AB,M_P,-51.70995580331085,-51.70995580331085,2266.7260503951425,-55.90406645454706,-55.90406645454706,1855.367638149309,-51.709955803757026,-57846.533387191026 kJ/mol
Non-binding_donor1_row10992_cand000186,openmm,-205.24638199870034,AB,MP,P,M,MP_AB,M_P,-36.09665122208713,-36.09665122208713,1687.9803081040702,-59.97187759542901,-59.97187759542901,1848.2464543335861,-36.09665122184131,-55297.467745660404 kJ/mol
Non-binding_donor1_row110_cand000163,openmm,-124.8367064494772,AB,MP,P,M,MP_AB,M_P,-40.488153874738714,-40.488153874738714,2016.0456665682577,-58.181037862299675,-58.181037862299675,1848.3040967410154,-40.48815387511165,-56916.64308073642 kJ/mol
Non-binding_donor1_row11122_cand000577,openmm,29.37884305433127,AB,MP,P,M,MP_AB,M_P,-37.83825379658683,-37.83825379658683,2072.5364204297834,-62.20404984277867,-62.20404984277867,1910.3314616259067,-37.83825379644648,-58700.059113366166 kJ/mol
Non-binding_donor1_row11162_cand000572,openmm,-216.13798390914008,AB,MP,P,M,MP_AB,M_P,-42.07212668740746,-42.07212668740746,1836.931244325321,-59.32014552319569,-59.32014552319569,1853.2400662770895,-42.07212668743787,-53052.6926440788 kJ/mol
Non-binding_donor1_row11218_cand000100,openmm,-161.6634142439919,AB,MP,P,M,MP_AB,M_P,-51.63262195433228,-51.63262195433228,2016.7169124415561,-62.900993019524535,-62.900993019524535,1952.349642806158,-51.632621954228725,-52415.7519051796 kJ/mol
Non-binding_donor1_row11383_cand000061,openmm,-188.827333421961,AB,MP,P,M,MP_AB,M_P,-50.40991023383663,-50.40991023383663,1931.1172858196066,-49.823838735510094,-49.823838735510094,1821.1193137330856,-50.40991023398357,-48806.63733210375 kJ/mol
Non-binding_donor1_row11399_cand000314,openmm,-330.93135768436133,AB,MP,P,M,MP_AB,M_P,-46.31955020935243,-46.31955020935243,1977.8530299118493,-63.164862725325435,-63.164862725325435,1895.081449482624,-46.31955020965103,-52514.23788148032 kJ/mol
Non-binding_donor1_row11402_cand000376,openmm,16594.944123442732,AB,MP,P,M,MP_AB,M_P,4279.285340483597,4279.285340483597,1500.1463372734527,2921.4402927266938,2921.4402927266938,1705.8237476464942,4279.285340483591,476679747459.0441 kJ/mol
Non-binding_donor1_row11453_cand000038,openmm,-415.0256509453127,AB,MP,P,M,MP_AB,M_P,-39.22041242208468,-39.22041242208468,2157.7200613993023,-61.719406689731855,-61.719406689731855,1759.14166358231,-39.220412421880724,-53395.37799938555 kJ/mol
Non-binding_donor1_row11457_cand000183,openmm,-273.2383390735468,AB,MP,P,M,MP_AB,M_P,-31.1705714492376,-31.1705714492376,1733.51413314618,-62.0065327651473,-62.0065327651473,1832.9367907149804,-31.170571449486545,-52019.79944044744 kJ/mol
Non-binding_donor1_row11493_cand000421,openmm,-412.3684774176395,AB,MP,P,M,MP_AB,M_P,-42.0165712169549,-42.0165712169549,1812.8197611766057,-61.74428794284081,-61.74428794284081,1833.5676225198208,-42.01657121667779,-53016.0432582391 kJ/mol
Non-binding_donor1_row11464_cand000384,openmm,-287.7267417828322,AB,MP,P,M,MP_AB,M_P,-46.68376170744412,-46.68376170744412,2147.627760934305,-54.449903208053314,-54.449903208053314,1851.6710773356986,-46.68376170743829,-54190.112031647644 kJ/mol
Non-binding_donor1_row11501_cand000394,openmm,-62.4164186903013,AB,MP,P,M,MP_AB,M_P,-56.81074472218886,-56.81074472218886,1999.7957359039608,-59.58032794550096,-59.58032794550096,1829.715580019424,-56.81074472236668,-51380.15931564463 kJ/mol
Non-binding_donor1_row11576_cand000552,openmm,-25.836681021441905,AB,MP,P,M,MP_AB,M_P,-51.33907816176554,-51.33907816176554,2267.7262326547993,-53.79380726828746,-53.79380726828746,1774.0140640456498,-51.33907816178856,-51753.54878598698 kJ/mol
Non-binding_donor1_row11636_cand000523,openmm,-323.1545030642489,AB,MP,P,M,MP_AB,M_P,-47.94035725747551,-47.94035725747551,2125.321770476155,-60.676168190457744,-60.676168190457744,1878.6447996164393,-47.94035725752207,-56204.196823110484 kJ/mol
Non-binding_donor1_row11649_cand000122,openmm,-144.87082618801833,AB,MP,P,M,MP_AB,M_P,-45.82474712038318,-45.82474712038318,1933.2105561542605,-49.10458932931124,-49.10458932931124,1843.2287180613102,-45.82474712057453,-53596.5558973992 kJ/mol
Non-binding_donor1_row11665_cand000522,openmm,-325.1032573951094,AB,MP,P,M,MP_AB,M_P,-31.281577046417112,-31.281577046417112,1774.9829932761684,-61.76855385335509,-61.76855385335509,1846.0385119885677,-31.281577046624363,-56623.10951617437 kJ/mol
Non-binding_donor1_row11757_cand000437,openmm,-175.36071847638186,AB,MP,P,M,MP_AB,M_P,-51.125308944310675,-51.125308944310675,2444.2454821693427,-57.82907280650004,-57.82907280650004,1781.64893316682,-51.12530894419881,-58968.44786430498 kJ/mol
Non-binding_donor1_row11967_cand000206,openmm,61.03418202468832,AB,MP,P,M,MP_AB,M_P,298.62480276124165,298.62480276124165,2125.7169828319766,-58.01506276555723,-58.01506276555723,1761.3758324082223,298.6248027615736,-52083.93659283781 kJ/mol
Non-binding_donor1_row12002_cand000435,openmm,-249.21596577417998,AB,MP,P,M,MP_AB,M_P,-48.755012815869634,-48.755012815869634,2225.8447689326213,-54.74254231417167,-54.74254231417167,1746.3545669952157,-48.75501281631287,-57563.206674901856 kJ/mol
Non-binding_donor1_row12003_cand000409,openmm,98.33554509835994,AB,MP,P,M,MP_AB,M_P,287.89354697149224,287.89354697149224,2121.046388669413,-63.80095454592245,-63.80095454592245,1789.4253446118166,287.89354697137924,-45209.39874241024 kJ/mol
Non-binding_donor1_row12379_cand000131,openmm,-372.92498982447455,AB,MP,P,M,MP_AB,M_P,-44.288278130298124,-44.288278130298124,1919.4655375464638,-57.422298700474784,-57.422298700474784,1913.3890690358908,-44.28827813020865,-56450.604346763634 kJ/mol
Non-binding_donor1_row12481_cand000441,openmm,-318.28718985389565,AB,MP,P,M,MP_AB,M_P,-58.80232396080282,-58.80232396080282,2221.0736593191796,-61.41902937965772,-61.41902937965772,1861.8347734026295,-58.80232396076207,-55463.37385325814 kJ/mol
Non-binding_donor1_row12714_cand000579,openmm,-301.21962937402,AB,MP,P,M,MP_AB,M_P,-32.19988171821393,-32.19988171821393,1760.3625563006651,-62.297357238653674,-62.297357238653674,1828.5299351949402,-32.1998817182955,-51123.76134331031 kJ/mol
Non-binding_donor1_row12802_cand000255,openmm,-316.95011002355903,AB,MP,P,M,MP_AB,M_P,-26.694454282804998,-26.694454282804998,1598.8612909801352,-58.40636915410563,-58.40636915410563,1902.3094862336632,-26.694454282984168,-53579.37768355446 kJ/mol
Non-binding_donor1_row12869_cand000492,openmm,-290.49676744267356,AB,MP,P,M,MP_AB,M_P,-40.05192345013543,-40.05192345013543,1834.2275276314901,-60.83039564579224,-60.83039564579224,1940.7879224943413,-40.05192345008996,-56670.66804892783 kJ/mol
Non-binding_donor1_row1329_cand000427,openmm,-246.0034457282249,AB,MP,P,M,MP_AB,M_P,-37.24775987020715,-37.24775987020715,1666.2862688667628,-57.942053077120065,-57.942053077120065,1880.9283651386918,-37.24775987009616,-55404.956691542895 kJ/mol
Non-binding_donor1_row12969_cand000530,openmm,-318.63745068091936,AB,MP,P,M,MP_AB,M_P,-39.809704066829056,-39.809704066829056,1825.2297192619098,-69.82873992935873,-69.82873992935873,1912.5706259719884,-39.80970406670821,-54185.82012427757 kJ/mol
Non-binding_donor1_row13443_cand000541,openmm,-374.6000962610734,AB,MP,P,M,MP_AB,M_P,-43.71971290849706,-43.71971290849706,1769.8088832599324,-57.038967132282394,-57.038967132282394,1908.1789897230258,-43.71971290855117,-52810.882482824636 kJ/mol
Non-binding_donor1_row13464_cand000387,openmm,51.824115119272975,AB,MP,P,M,MP_AB,M_P,-36.3681591418145,-36.3681591418145,1840.649369651468,-63.21555651765017,-63.21555651765017,1894.8437123674457,-36.36815914196933,-52703.52264606445 kJ/mol
Non-binding_donor1_row13494_cand000500,openmm,-262.2173997917772,AB,MP,P,M,MP_AB,M_P,-39.74934323591762,-39.74934323591762,1774.1340651279986,-57.66215899070332,-57.66215899070332,1806.1836625376536,-39.74934323565381,-49170.77520322251 kJ/mol
Non-binding_donor1_row13521_cand000019,openmm,3675.408009138241,AB,MP,P,M,MP_AB,M_P,-19.081423141125924,-19.081423141125924,1303.682217497952,-8.441463722415392,-8.441463722415392,1144.2355227447938,-19.0814231412578,-19856.36617698194 kJ/mol
Non-binding_donor1_row13597_cand000533,openmm,3046.2549172336016,AB,MP,P,M,MP_AB,M_P,-28.86135775649518,-28.86135775649518,1524.9824578565397,-17.687666036698374,-17.687666036698374,1272.8747592814125,-28.861357756294183,-27734.60256614245 kJ/mol
Non-binding_donor1_row13710_cand000542,openmm,-103.67993954752342,AB,MP,P,M,MP_AB,M_P,-40.014165819334046,-40.014165819334046,1927.639550509103,-65.49873793583279,-65.49873793583279,1893.6755751346145,-40.01416581926952,-53324.7412120078 kJ/mol
Non-binding_donor1_row13803_cand000347,openmm,174407.06665351137,AB,MP,P,M,MP_AB,M_P,1638.3823944481555,1638.3823944481555,957.4719739799538,1402.5197500804497,1402.5197500804497,1033.674329030144,1638.382394448272,1.00114045870668e+16 kJ/mol
Non-binding_donor1_row13861_cand000457,openmm,-282.7391760661099,AB,MP,P,M,MP_AB,M_P,-43.09160211519898,-43.09160211519898,1970.5444830616696,-58.48581336518684,-58.48581336518684,1862.3852890338035,-43.091602115780944,-55600.01025008785 kJ/mol
Non-binding_donor1_row13924_cand000123,openmm,-195.11389597764054,AB,MP,P,M,MP_AB,M_P,-32.24919973684541,-32.24919973684541,1629.2937826601758,-67.2597972525499,-67.2597972525499,1787.7172568075503,-32.249199736963135,-52128.8724534308 kJ/mol
Non-binding_donor1_row13970_cand000095,openmm,173.15771919811354,AB,MP,P,M,MP_AB,M_P,-30.91398440420889,-30.91398440420889,1724.0925045350828,-60.89204979437049,-60.89204979437049,1939.8752316508317,-30.91398440396432,-44458.41816503155 kJ/mol
Non-binding_donor1_row13997_cand000249,openmm,100.12360222317041,AB,MP,P,M,MP_AB,M_P,299.6985016095733,299.6985016095733,1946.0635641309298,-52.21352785628615,-52.21352785628615,1817.534042869601,299.6985016096095,-45416.34307390346 kJ/mol
Non-binding_donor1_row14230_cand000512,openmm,258.48278214668045,AB,MP,P,M,MP_AB,M_P,337.8001575750718,337.8001575750718,1691.319875393968,-59.86221019930577,-59.86221019930577,1931.2860940648607,337.8001575750152,-48559.38976307675 kJ/mol
