TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10210_cand000230,none,26287.50780734191,AB,MP,P,M,MP_AB,M_P,8477.99647666726,8477.99647666726,1969.5428269684214,3276.945180244647,3276.945180244647,1924.362535819596,8477.996476667242
Non-binding_donor1_row10876_cand000526,none,21758.346238051898,AB,MP,P,M,MP_AB,M_P,7279.5693337408375,7279.5693337408375,1727.8120106105935,5192.528200605147,5192.528200605147,1948.106662067352,7279.569333740757
Non-binding_donor1_row10466_cand000345,none,33261.38982768246,AB,MP,P,M,MP_AB,M_P,8512.634548095353,8512.634548095353,1917.6047373111567,3540.4855646209285,3540.4855646209285,1873.172796803473,8512.634548095637
Non-binding_donor1_row10018_cand000128,none,28203.86040863151,AB,MP,P,M,MP_AB,M_P,5421.957104795041,5421.957104795041,2051.7732700023207,5221.753591110905,5221.753591110905,1923.74475907756,5421.957104795438
Non-binding_donor1_row10885_cand000312,none,23686.54134613721,AB,MP,P,M,MP_AB,M_P,9140.545633673542,9140.545633673542,2135.1523646375804,3852.720487586146,3852.720487586146,1940.6873837724077,9140.545633673642
Non-binding_donor1_row11121_cand000340,none,24429.483693415496,AB,MP,P,M,MP_AB,M_P,7056.433287851607,7056.433287851607,2002.265493150816,3944.858083705967,3944.858083705967,1905.587385223324,7056.433287851294
Non-binding_donor1_row11314_cand000515,none,24216.507797788956,AB,MP,P,M,MP_AB,M_P,8661.260845639183,8661.260845639183,2007.2669939825387,3605.828565799342,3605.828565799342,1885.801720018223,8661.260845639032
Non-binding_donor1_row11736_cand000161,none,50974.3251775735,AB,MP,P,M,MP_AB,M_P,24142.851849336384,24142.851849336384,1792.8321962836333,4314.420110891469,4314.420110891469,1968.0766417984823,24142.85184933601
Non-binding_donor1_row11954_cand000034,none,23671.259237017082,AB,MP,P,M,MP_AB,M_P,7594.645022968756,7594.645022968756,2136.852935890534,3959.3178063279174,3959.3178063279174,1943.9172125159596,7594.645022968341
Non-binding_donor1_row12267_cand000237,none,13639.849824052979,AB,MP,P,M,MP_AB,M_P,3787.369905929174,3787.369905929174,1973.4155884662955,3305.4697698074333,3305.4697698074333,1915.1302482827743,3787.3699059292267
Non-binding_donor1_row12048_cand000577,none,11236.368968952373,AB,MP,P,M,MP_AB,M_P,2823.8698596866543,2823.8698596866543,2143.6340985398924,3100.9122304238244,3100.9122304238244,1907.2759641250625,2823.8698596865543
Non-binding_donor1_row12087_cand000450,none,19551.526308940374,AB,MP,P,M,MP_AB,M_P,7780.554160406891,7780.554160406891,2152.3698205119745,3821.4843117215582,3821.4843117215582,1946.6399494201269,7780.554160406646
Non-binding_donor1_row12278_cand000442,none,19289.455800611344,AB,MP,P,M,MP_AB,M_P,7134.034659322775,7134.034659322775,1869.0963825314586,4490.489220979182,4490.489220979182,1912.2284405973517,7134.034659322853
Non-binding_donor1_row12761_cand000519,none,23477.96749691961,AB,MP,P,M,MP_AB,M_P,6819.533724995577,6819.533724995577,1667.3051455419632,4503.410409654253,4503.410409654253,1920.1450291308502,6819.533724996134
Non-binding_donor1_row12801_cand000552,none,16253.390441707317,AB,MP,P,M,MP_AB,M_P,4957.405779963839,4957.405779963839,2091.581841078491,3955.022060824007,3955.022060824007,1883.0738712386024,4957.405779963656
Non-binding_donor1_row12804_cand000430,none,17474.379792091844,AB,MP,P,M,MP_AB,M_P,5036.357984067767,5036.357984067767,2055.2225137824134,4233.4273018086715,4233.4273018086715,1903.6862717608064,5036.3579840681705
Non-binding_donor1_row13622_cand000272,none,16380.989428785535,AB,MP,P,M,MP_AB,M_P,6852.299560507656,6852.299560507656,2142.802251347336,4351.27128289439,4351.27128289439,1886.2907069755001,6852.299560507643
Non-binding_donor1_row14545_cand000438,none,23454.43266068407,AB,MP,P,M,MP_AB,M_P,9534.72490244629,9534.72490244629,1974.2544712749927,1890.7119917934006,1890.7119917934006,1875.4614276590667,9534.72490244612
Non-binding_donor1_row14996_cand000344,none,16183.659364174327,AB,MP,P,M,MP_AB,M_P,2021.7231667634387,2021.7231667634387,1612.26324767016,3015.741540351973,3015.741540351973,1866.5377996612049,2021.723166763415
Non-binding_donor1_row15202_cand000203,none,21052.247622437244,AB,MP,P,M,MP_AB,M_P,6521.187338318741,6521.187338318741,1917.523839361073,3759.467063968934,3759.467063968934,1885.8664135558313,6521.187338318727
Non-binding_donor1_row15214_cand000238,none,18151.046189396136,AB,MP,P,M,MP_AB,M_P,5457.612752484856,5457.612752484856,1935.5714436408857,4362.024851811457,4362.024851811457,1854.913084598919,5457.612752484905
Non-binding_donor1_row15219_cand000355,none,18284.27870469832,AB,MP,P,M,MP_AB,M_P,5597.983710371476,5597.983710371476,1923.80028381883,3584.857874060118,3584.857874060118,1875.6948130866424,5597.983710370947
Non-binding_donor1_row15335_cand000357,none,19248.549918499626,AB,MP,P,M,MP_AB,M_P,4703.002134068323,4703.002134068323,1703.8506878337,3419.466746515255,3419.466746515255,1835.441097724006,4703.002134067963
Non-binding_donor1_row15338_cand000110,none,19959.22580688339,AB,MP,P,M,MP_AB,M_P,4865.424194346695,4865.424194346695,1704.3585321039166,3406.1808637627546,3406.1808637627546,1850.6897213609059,4865.424194346779
Non-binding_donor1_row1636_cand000082,none,10402.92639302404,AB,MP,P,M,MP_AB,M_P,1453.9235994492901,1453.9235994492901,1903.6512255494272,3277.5818167424986,3277.5818167424986,1969.705863991615,1453.92359944877
Non-binding_donor1_row17026_cand000572,none,18042.071424451173,AB,MP,P,M,MP_AB,M_P,4594.2680977477685,4594.2680977477685,1931.6570657366265,5025.032454638342,5025.032454638342,1934.4565583427875,4594.268097747628
Non-binding_donor1_row17439_cand000401,none,22005.914379522266,AB,MP,P,M,MP_AB,M_P,7067.747869888581,7067.747869888581,2020.654421776169,4197.429108721022,4197.429108721022,1904.364312782659,7067.747869888524
Non-binding_donor1_row1756_cand000257,none,16787.437603276314,AB,MP,P,M,MP_AB,M_P,6824.365970374634,6824.365970374634,2053.989876937448,3737.9007416388085,3737.9007416388085,1920.1850243202866,6824.365970374609
Non-binding_donor1_row17720_cand000024,none,25846.794984246917,AB,MP,P,M,MP_AB,M_P,7580.678484392913,7580.678484392913,1786.0761586184842,3317.295325980146,3317.295325980146,1905.1601674075307,7580.67848439328
Non-binding_donor1_row18215_cand000006,none,19465.463621800507,AB,MP,P,M,MP_AB,M_P,5160.1318354563045,5160.1318354563045,1947.6319868099422,3645.6231965898965,3645.6231965898965,1970.308506789781,5160.131835456294
Non-binding_donor1_row17801_cand000170,none,23522.133083755667,AB,MP,P,M,MP_AB,M_P,7304.907337088263,7304.907337088263,2226.252780369623,4080.9992906739667,4080.9992906739667,1922.4162066939227,7304.9073370888145
Non-binding_donor1_row18268_cand000507,none,15757.943182581099,AB,MP,P,M,MP_AB,M_P,4309.583116788748,4309.583116788748,1923.9324401497906,3043.352561357415,3043.352561357415,1884.3912612720453,4309.583116788859
Non-binding_donor1_row18837_cand000239,none,20082.729234712053,AB,MP,P,M,MP_AB,M_P,6614.198374820302,6614.198374820302,2157.672611714705,4117.1966105253205,4117.1966105253205,1869.627288418858,6614.19837482026
Non-binding_donor1_row18842_cand000522,none,21592.31743241956,AB,MP,P,M,MP_AB,M_P,8076.993367289728,8076.993367289728,2214.783958116126,4028.685913161752,4028.685913161752,1888.9335000429078,8076.993367289539
Non-binding_donor1_row18850_cand000204,none,20798.571562808153,AB,MP,P,M,MP_AB,M_P,6584.662147232913,6584.662147232913,2344.4527527429686,4349.211077799951,4349.211077799951,1900.584108034274,6584.662147233084
Non-binding_donor1_row18870_cand000468,none,21220.199676824246,AB,MP,P,M,MP_AB,M_P,6359.415664161928,6359.415664161928,2178.5216400983845,4213.836205385719,4213.836205385719,1897.4063987006964,6359.415664161719
Non-binding_donor1_row1965_cand000241,none,19499.4216587152,AB,MP,P,M,MP_AB,M_P,8164.651621583382,8164.651621583382,1976.3921970849483,3748.7949348218717,3748.7949348218717,1889.956984387334,8164.651621583613
Non-binding_donor1_row18874_cand000220,none,22629.444739808812,AB,MP,P,M,MP_AB,M_P,6642.352884766096,6642.352884766096,2192.109222250633,4281.780635886467,4281.780635886467,1900.443015617543,6642.3528847656635
Non-binding_donor1_row1960_cand000576,none,25147.458389751868,AB,MP,P,M,MP_AB,M_P,9092.64336675397,9092.64336675397,1793.997432391398,4011.1389875590885,4011.1389875590885,1897.7343344316175,9092.643366753917
Non-binding_donor1_row19670_cand000057,none,21733.13954100731,AB,MP,P,M,MP_AB,M_P,5309.413272557129,5309.413272557129,2222.7153858267748,4611.256940527384,4611.256940527384,1886.740412389078,5309.413272556485
