TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row10_cand000011,openmm,-187.19302623841895,AB,MP,P,M,MP_AB,M_P,-25.687727069890656,-25.687727069890656,1188.0295492893838,-63.24916679332074,-63.24916679332074,1791.6310296643358,-25.68772706990734,-54987.79966840906 kJ/mol
Binding_donor1_row0_cand000005,openmm,-238.57179000599285,AB,MP,P,M,MP_AB,M_P,-31.88224435391507,-31.88224435391507,1628.0548703869217,-61.78424368950762,-61.78424368950762,2018.9608318402225,-31.882244354128147,-49980.99901710195 kJ/mol
Binding_donor1_row2_cand000007,openmm,-366.87665516348704,AB,MP,P,M,MP_AB,M_P,-39.58530710606675,-39.58530710606675,1816.405412134016,-63.55341115973073,-63.55341115973073,1863.7303483536548,-39.585307106118194,-55249.053972841924 kJ/mol
Binding_donor1_row1_cand000006,openmm,-284.1341158994021,AB,MP,P,M,MP_AB,M_P,-34.106365674223355,-34.106365674223355,1808.3814974870481,-59.89395246393494,-59.89395246393494,1816.9908886493613,-34.10636567461614,-53172.29198715441 kJ/mol
Binding_donor1_row3_cand000004,openmm,-286.2118117703717,AB,MP,P,M,MP_AB,M_P,-37.4888508157793,-37.4888508157793,1596.9732015523466,-55.93996099892638,-55.93996099892638,1851.9365845785305,-37.488850815219735,-56494.7925911407 kJ/mol
Binding_donor1_row4_cand000013,openmm,-272.9791650710149,AB,MP,P,M,MP_AB,M_P,-36.2033385701352,-36.2033385701352,1792.7728395750282,-60.530946892963655,-60.530946892963655,1885.681850805197,-36.203338569797864,-57761.69121699274 kJ/mol
Binding_donor1_row5_cand000014,openmm,426.647367468843,AB,MP,P,M,MP_AB,M_P,-58.92846912505138,-58.92846912505138,1860.9664992493292,-62.70976566764324,-62.70976566764324,1841.8595033846116,-58.928469125392155,-45946.71655094072 kJ/mol
Binding_donor1_row6_cand000015,openmm,-156.2280670382529,AB,MP,P,M,MP_AB,M_P,-49.605939239513845,-49.605939239513845,2073.6817985691687,-62.876908476241184,-62.876908476241184,1864.158528039792,-49.60593923986001,-51800.27370913628 kJ/mol
Binding_donor1_row7_cand000008,openmm,-211.83445781777215,AB,MP,P,M,MP_AB,M_P,-38.18639311143559,-38.18639311143559,1896.5072516121822,-60.585750396722005,-60.585750396722005,1972.1616973895489,-38.18639311129871,-55133.056174497775 kJ/mol
Binding_donor1_row8_cand000009,openmm,157.70940043282968,AB,MP,P,M,MP_AB,M_P,374.32964691061807,374.32964691061807,1732.9763467830173,-62.05594774706334,-62.05594774706334,1856.507252823653,374.32964691049085,-45601.41476525637 kJ/mol
Binding_donor1_row9_cand000010,openmm,-238.37349965316923,AB,MP,P,M,MP_AB,M_P,-44.77131478774612,-44.77131478774612,1833.8814715044236,-61.162282251361155,-61.162282251361155,1867.6233789419073,-44.771314787621236,-52483.02365808641 kJ/mol
Binding_donor2_row12_cand000018,openmm,-52.36099448727346,AB,MP,P,M,MP_AB,M_P,-35.96964420591482,-35.96964420591482,1828.6373233645604,-54.23272769680632,-54.23272769680632,1825.681332902137,-35.969644205161245,-57274.823265077604 kJ/mol
Binding_donor2_row13_cand000017,openmm,-232.3719398292239,AB,MP,P,M,MP_AB,M_P,-29.455640323423268,-29.455640323423268,1418.1370778764049,-57.67550165303295,-57.67550165303295,1924.2323187433592,-29.45564032362276,-52980.47100613248 kJ/mol
Binding_donor2_row14_cand000016,openmm,-216.4762421207166,AB,MP,P,M,MP_AB,M_P,-31.963887685125343,-31.963887685125343,1761.4361897722642,-67.128561197653,-67.128561197653,1847.1333764208914,-31.963887685740445,-52666.56088701151 kJ/mol
Binding_donor2_row15_cand000003,openmm,402.2691168910474,AB,MP,P,M,MP_AB,M_P,-39.86455825571528,-39.86455825571528,2313.2091561389025,-60.82545992515324,-60.82545992515324,1797.7452903709795,-39.86455825576115,-42970.797770465506 kJ/mol
Binding_donor2_row16_cand000023,openmm,-249.7554073394104,AB,MP,P,M,MP_AB,M_P,-42.85256113926212,-42.85256113926212,1960.5771404140967,-62.32994361168943,-62.32994361168943,1899.2806573637902,-42.85256113953136,-54315.47733838757 kJ/mol
Binding_donor2_row17_cand000019,openmm,-221.09365080989144,AB,MP,P,M,MP_AB,M_P,-45.93370606985155,-45.93370606985155,1630.8169586479582,-56.08651628930288,-56.08651628930288,1900.4061620207594,-45.93370607036064,-51121.571290927626 kJ/mol
Binding_donor2_row18_cand000020,openmm,-56.631699698189394,AB,MP,P,M,MP_AB,M_P,-37.63592129317863,-37.63592129317863,2173.722597459893,-62.178148268228355,-62.178148268228355,1830.164812254849,-37.635921293584786,-50376.61725014622 kJ/mol
Binding_donor2_row19_cand000021,openmm,-23.658815246039808,AB,MP,P,M,MP_AB,M_P,-57.05921492974692,-57.05921492974692,1936.39951316524,-57.10178599728948,-57.10178599728948,1842.254870880811,-57.05921492995307,-47806.23198381761 kJ/mol
Binding_donor2_row20_cand000022,openmm,-168.23504229862627,AB,MP,P,M,MP_AB,M_P,-30.200777537993076,-30.200777537993076,1725.6955467894354,-61.566884226191874,-61.566884226191874,1842.7710151612484,-30.20077753831572,-51113.518323355194 kJ/mol
Binding_donor3_row21_cand000024,openmm,-283.96392687026787,AB,MP,P,M,MP_AB,M_P,-59.66469775738875,-59.66469775738875,2265.8638112025437,-60.838048807021494,-60.838048807021494,1791.9074743038136,-59.6646977569863,-57590.20794302711 kJ/mol
Binding_donor3_row23_cand000025,openmm,-217.83292489471128,AB,MP,P,M,MP_AB,M_P,-27.79646039300016,-27.79646039300016,1671.068199521566,-66.81535208479144,-66.81535208479144,1903.2276845605902,-27.796460393074852,-57260.04442947286 kJ/mol
Binding_donor3_row24_cand000027,openmm,-165.35577487833828,AB,MP,P,M,MP_AB,M_P,-46.34665272126698,-46.34665272126698,1864.9248827217948,-57.522580252906366,-57.522580252906366,1966.1011307677159,-46.34665272127273,-57358.465780330305 kJ/mol
Binding_donor3_row25_cand000026,openmm,-352.5400186566855,AB,MP,P,M,MP_AB,M_P,-55.95565838951262,-55.95565838951262,2556.471239055223,-59.43246522614127,-59.43246522614127,1882.0515737180672,-55.9556583897475,-52830.171123451364 kJ/mol
Binding_donor3_row27_cand000001,openmm,-280.91478024026895,AB,MP,P,M,MP_AB,M_P,-39.494226414523155,-39.494226414523155,1930.7173649533147,-61.58884645070955,-61.58884645070955,1899.1813675218991,-39.49422641472859,-53112.54426200444 kJ/mol
Binding_donor3_row26_cand000028,openmm,-17.83569248771684,AB,MP,P,M,MP_AB,M_P,-41.71888856986949,-41.71888856986949,2071.281606267789,-51.11227663060208,-51.11227663060208,1697.5850023611538,-41.71888856996095,-48939.464232523525 kJ/mol
Binding_donor3_row28_cand000029,openmm,-144.2612745867631,AB,MP,P,M,MP_AB,M_P,-50.15968084862958,-50.15968084862958,2020.5179602997193,-64.94400633734946,-64.94400633734946,1866.3437655904968,-50.159680848536595,-50270.285228019944 kJ/mol
Binding_donor4_row29_cand000030,openmm,18275.671108973642,AB,MP,P,M,MP_AB,M_P,4453.02056435156,4453.02056435156,1728.6388467689421,2084.202200389339,2084.202200389339,1733.8711266698924,4453.020564351338,240441165299677.47 kJ/mol
Binding_donor4_row30_cand000031,openmm,-409.1672330398705,AB,MP,P,M,MP_AB,M_P,-47.183566789090094,-47.183566789090094,2089.8303372394535,-66.30278308258647,-66.30278308258647,1808.4688104917614,-47.183566789414556,-54930.37841700159 kJ/mol
