TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10128_cand000113,openmm,-357.20988206521827,AB,MP,P,M,MP_AB,M_P,-33.5748265713537,-33.5748265713537,1740.2689529593615,-62.0519974845204,-62.0519974845204,1887.801797527839,-33.574826571441236,-55603.044238013856 kJ/mol
Non-binding_donor1_row10018_cand000412,openmm,407.34869625886824,AB,MP,P,M,MP_AB,M_P,-49.55430583627964,-49.55430583627964,2177.7502355970787,-64.20555519622246,-64.20555519622246,1844.5061129053165,-49.55430583636115,-49011.78418243648 kJ/mol
Non-binding_donor1_row10957_cand000296,openmm,-304.14292602272985,AB,MP,P,M,MP_AB,M_P,-33.406332964210094,-33.406332964210094,1757.5639169665828,-58.08343951824765,-58.08343951824765,1852.3765006342596,-33.406332964060596,-57595.20239063763 kJ/mol
Non-binding_donor1_row10178_cand000317,openmm,-242.33757232129557,AB,MP,P,M,MP_AB,M_P,-45.15918502319198,-45.15918502319198,2187.8283019323967,-68.40762107661163,-68.40762107661163,1821.912724897004,-45.15918502351326,-53852.77507344348 kJ/mol
Non-binding_donor1_row11150_cand000516,openmm,-224.8827384062612,AB,MP,P,M,MP_AB,M_P,-37.30494302910682,-37.30494302910682,1797.4169124899804,-69.21976162349146,-69.21976162349146,1850.8340251834609,-37.3049430292692,-55304.254393366115 kJ/mol
Non-binding_donor1_row11172_cand000357,openmm,1881.6209564974997,AB,MP,P,M,MP_AB,M_P,-28.561556555313473,-28.561556555313473,1458.0281836336467,-49.98762603353495,-49.98762603353495,1768.5185497084046,-28.561556555920333,-52318.453883461276 kJ/mol
Non-binding_donor1_row11214_cand000577,openmm,130.54371530251967,AB,MP,P,M,MP_AB,M_P,-43.956116964494214,-43.956116964494214,2048.054043179491,-57.68749772345731,-57.68749772345731,1903.413116097341,-43.95611696450163,-46422.817178903206 kJ/mol
Non-binding_donor1_row11314_cand000071,openmm,-172.07362225099342,AB,MP,P,M,MP_AB,M_P,-41.710159216760786,-41.710159216760786,2110.4498199199115,-66.66918480757936,-66.66918480757936,1920.1662600915733,-41.71015921659665,-53361.6973783347 kJ/mol
Non-binding_donor1_row11485_cand000452,openmm,-190.9041108815536,AB,MP,P,M,MP_AB,M_P,-30.872848964271583,-30.872848964271583,1700.3212830203172,-66.31626250950356,-66.31626250950356,1856.692389593686,-30.87284896400638,-56264.05547042779 kJ/mol
Non-binding_donor1_row11538_cand000078,openmm,-84.64876230942409,AB,MP,P,M,MP_AB,M_P,-38.58008883427864,-38.58008883427864,1652.9352835479149,-62.689684337015095,-62.689684337015095,1911.5749582973292,-38.58008883418373,-50508.50916555591 kJ/mol
