TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row10_cand000027,openmm,28014.872647474524,AB,MP,P,M,MP_AB,M_P,955.6671093614823,955.6671093614823,1128.886181974526,2764.1141484814016,2764.1141484814016,1675.1436208951616,955.6671093612786,5.158895376727735e+16 kJ/mol
Binding_donor1_row0_cand000005,openmm,-290.05436812893873,AB,MP,P,M,MP_AB,M_P,-34.894539146864815,-34.894539146864815,1620.9606809969628,-58.802596227940825,-58.802596227940825,2004.8249448071865,-34.89453914700846,-49919.28242121807 kJ/mol
Binding_donor1_row1_cand000031,openmm,-311.69796853524923,AB,MP,P,M,MP_AB,M_P,-27.8722475084694,-27.8722475084694,1740.3623940090038,-63.633163711576756,-63.633163711576756,1720.25753523328,-27.87224750846434,-52756.408089797944 kJ/mol
Binding_donor1_row2_cand000028,openmm,-338.4662058314848,AB,MP,P,M,MP_AB,M_P,-37.97586696082698,-37.97586696082698,1797.6335815418327,-59.37807071769588,-59.37807071769588,1851.9861131441926,-37.97586696092338,-55316.95793467791 kJ/mol
Binding_donor1_row3_cand000020,openmm,-240.5924381397212,AB,MP,P,M,MP_AB,M_P,-38.342732891784806,-38.342732891784806,1649.1393320511675,-56.300210399241536,-56.300210399241536,1860.6385867894644,-38.34273289217657,-56469.60357540424 kJ/mol
Binding_donor1_row4_cand000001,openmm,-266.32991853662406,AB,MP,P,M,MP_AB,M_P,-40.838818178277535,-40.838818178277535,1759.033042046686,-60.387063559705524,-60.387063559705524,1934.8180431804417,-40.83881817790322,-58373.09397703461 kJ/mol
Binding_donor1_row5_cand000019,openmm,460.4016073246714,AB,MP,P,M,MP_AB,M_P,-51.707713430933666,-51.707713430933666,1871.1476796368556,-58.5498765423403,-58.5498765423403,1895.292944602871,-51.70771343120765,-45360.02504912815 kJ/mol
Binding_donor1_row6_cand000018,openmm,-142.0331336735736,AB,MP,P,M,MP_AB,M_P,-51.558420856724084,-51.558420856724084,2151.546831834999,-61.62741439140819,-61.62741439140819,1834.7844195321977,-51.558420856952296,-51976.08330062093 kJ/mol
Binding_donor1_row7_cand000008,openmm,-194.53527232844428,AB,MP,P,M,MP_AB,M_P,-43.11210752299445,-43.11210752299445,1871.7667750721043,-64.07117925896921,-64.07117925896921,1948.2576834682723,-43.112107523054675,-54650.98434016194 kJ/mol
Binding_donor1_row8_cand000015,openmm,222.90885676076238,AB,MP,P,M,MP_AB,M_P,376.47750915705035,376.47750915705035,1700.1890413621484,-66.75671365579271,-66.75671365579271,1821.6863983566245,376.4775091570976,-45672.39908952942 kJ/mol
Binding_donor1_row9_cand000013,openmm,-259.09927156342974,AB,MP,P,M,MP_AB,M_P,-35.78539273924909,-35.78539273924909,1818.8675985304276,-55.33712164614469,-55.33712164614469,1901.8757059798825,-35.78539273857001,-52221.8260370613 kJ/mol
Binding_donor2_row12_cand000002,openmm,-252.17952789529454,AB,MP,P,M,MP_AB,M_P,-38.42807422171762,-38.42807422171762,1800.0178409263979,-57.15999265198137,-57.15999265198137,1934.5279461877037,-38.428074221450686,-58169.35407399048 kJ/mol
Binding_donor2_row13_cand000012,openmm,-229.7637458330634,AB,MP,P,M,MP_AB,M_P,-30.996922676276085,-30.996922676276085,1333.758910235191,-59.090406331191474,-59.090406331191474,1933.3712428007275,-30.996922676290865,-52911.54891033659 kJ/mol
Binding_donor2_row14_cand000004,openmm,-177.12161756993197,AB,MP,P,M,MP_AB,M_P,-31.00022054217601,-31.00022054217601,1722.4234035077964,-72.6742302234521,-72.6742302234521,1912.0204206215708,-31.000220541795017,-53278.34635144492 kJ/mol
Binding_donor2_row15_cand000025,openmm,389.5288005094634,AB,MP,P,M,MP_AB,M_P,-48.219615318734725,-48.219615318734725,2165.463606355229,-63.74618654185254,-63.74618654185254,1881.2851492228938,-48.219615318801914,-43776.79137855038 kJ/mol
Binding_donor2_row16_cand000026,openmm,-238.60366415025908,AB,MP,P,M,MP_AB,M_P,-38.60100646696554,-38.60100646696554,1905.6200655439397,-63.46043417431431,-63.46043417431431,1888.808751664994,-38.60100646703114,-54094.421711965755 kJ/mol
Binding_donor2_row17_cand000011,openmm,-207.73698414630985,AB,MP,P,M,MP_AB,M_P,-40.888713830123265,-40.888713830123265,1692.0457384373249,-55.13018540106603,-55.13018540106603,1903.788105904896,-40.88871383001094,-51386.52764812188 kJ/mol
Binding_donor2_row18_cand000016,openmm,-28.45435618817217,AB,MP,P,M,MP_AB,M_P,-44.084720561854525,-44.084720561854525,2152.676005561906,-58.65829128094867,-58.65829128094867,1852.9461605880726,-44.084720562022596,-50430.75308963175 kJ/mol
Binding_donor2_row19_cand000006,openmm,-15.830030759439268,AB,MP,P,M,MP_AB,M_P,-50.80651840630628,-50.80651840630628,1863.52333679033,-61.07975174828242,-61.07975174828242,1887.8730379893964,-50.80651840654852,-47799.1905885814 kJ/mol
Binding_donor2_row20_cand000010,openmm,-320.1525820047283,AB,MP,P,M,MP_AB,M_P,-30.03210946485916,-30.03210946485916,1786.1809481867751,-61.95436625025185,-61.95436625025185,1835.2626707753197,-30.032109464859047,-51044.02774358954 kJ/mol
Binding_donor3_row21_cand000014,openmm,-229.34249463218936,AB,MP,P,M,MP_AB,M_P,-42.303994021944106,-42.303994021944106,2174.522733959196,-64.19522015523157,-64.19522015523157,1779.2243683120626,-42.30399402224111,-57304.13991567526 kJ/mol
Binding_donor3_row23_cand000003,openmm,-271.79814186813167,AB,MP,P,M,MP_AB,M_P,-23.088319000223038,-23.088319000223038,1602.6466929311816,-63.094486078814256,-63.094486078814256,1951.9367211761928,-23.088319000885974,-56969.22635380891 kJ/mol
Binding_donor3_row24_cand000030,openmm,-239.58921941584344,AB,MP,P,M,MP_AB,M_P,-40.76478224582846,-40.76478224582846,1956.2485919998294,-60.911488348422665,-60.911488348422665,1927.4088955521777,-40.76478224567677,-57549.744211185345 kJ/mol
Binding_donor3_row25_cand000022,openmm,-352.39062980205233,AB,MP,P,M,MP_AB,M_P,-55.17477249719781,-55.17477249719781,2543.7655368674227,-55.53181082180748,-55.53181082180748,1909.6495110665296,-55.17477249739113,-52938.92211687076 kJ/mol
Binding_donor3_row27_cand000017,openmm,-297.7710609051731,AB,MP,P,M,MP_AB,M_P,-38.210948534310035,-38.210948534310035,1901.2001704751333,-61.364252040237886,-61.364252040237886,1949.4483858690778,-38.21094853464575,-53132.156783696264 kJ/mol
Binding_donor3_row26_cand000024,openmm,0.4969783287290568,AB,MP,P,M,MP_AB,M_P,-43.43677723530699,-43.43677723530699,2057.9038669907627,-50.49145691044099,-50.49145691044099,1735.2538928586055,-43.436777235398544,-48902.5105085274 kJ/mol
Binding_donor4_row29_cand000029,openmm,219.94366800851958,AB,MP,P,M,MP_AB,M_P,-50.59609991945268,-50.59609991945268,1886.815399490763,-57.558121437149495,-57.558121437149495,1816.4115169078884,-50.59609991971922,-47186.98214592409 kJ/mol
Binding_donor3_row28_cand000021,openmm,-152.96208330347585,AB,MP,P,M,MP_AB,M_P,-45.90741949857146,-45.90741949857146,1996.6589138169927,-65.030741408907,-65.030741408907,1839.637582891539,-45.907419498412736,-49841.228728653325 kJ/mol
Binding_donor4_row30_cand000007,openmm,-387.54620488481646,AB,MP,P,M,MP_AB,M_P,-47.405980999902226,-47.405980999902226,2086.852223759134,-63.13666221081871,-63.13666221081871,1836.557107789845,-47.40598099983936,-54869.28383718248 kJ/mol
