TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row10_cand000020,openmm,-260.45189476468806,AB,MP,P,M,MP_AB,M_P,-23.3825404317474,-23.3825404317474,1212.6064690860028,-65.9433312824351,-65.9433312824351,1811.0599418133097,-23.382540432311373,-55466.309917920094 kJ/mol
Binding_donor1_row0_cand000030,openmm,-271.1160674320735,AB,MP,P,M,MP_AB,M_P,-32.28913981349666,-32.28913981349666,1606.7873353196708,-63.86070145172441,-63.86070145172441,1947.2610461662514,-32.289139813172426,-50441.89565215357 kJ/mol
Binding_donor1_row1_cand000006,openmm,-335.44169033515874,AB,MP,P,M,MP_AB,M_P,-33.958810932340555,-33.958810932340555,1736.5625872738644,-63.57913280770629,-63.57913280770629,1795.434668366811,-33.95881093291604,-52996.83561940576 kJ/mol
Binding_donor1_row2_cand000017,openmm,-319.1229952835911,AB,MP,P,M,MP_AB,M_P,-38.207272584663656,-38.207272584663656,1772.1465850170725,-59.993739315722536,-59.993739315722536,1818.7475198778898,-38.207272584994996,-55266.073383405164 kJ/mol
Binding_donor1_row3_cand000027,openmm,-302.74025699481507,AB,MP,P,M,MP_AB,M_P,-39.78159915060837,-39.78159915060837,1635.4075857027044,-58.72315327775608,-58.72315327775608,1780.899294860541,-39.78159915026026,-56874.484084534684 kJ/mol
Binding_donor1_row4_cand000013,openmm,-378.0379104666075,AB,MP,P,M,MP_AB,M_P,-37.220610283191434,-37.220610283191434,1781.1970868160256,-57.22122803950984,-57.22122803950984,1900.3083847975536,-37.220610282828034,-57730.725739330795 kJ/mol
Binding_donor1_row5_cand000011,openmm,421.70505399512126,AB,MP,P,M,MP_AB,M_P,-55.08858571978806,-55.08858571978806,1925.0923239145156,-59.826240048229494,-59.826240048229494,1845.9407813074747,-55.08858572011968,-45424.747627964905 kJ/mol
Binding_donor1_row6_cand000023,openmm,-166.8484356805277,AB,MP,P,M,MP_AB,M_P,-48.20038718562856,-48.20038718562856,2104.4295122261587,-57.25755114304576,-57.25755114304576,1926.6229233693823,-48.20038718591796,-51415.14887752935 kJ/mol
Binding_donor1_row7_cand000024,openmm,-225.89120486469432,AB,MP,P,M,MP_AB,M_P,-40.6900085111767,-40.6900085111767,1847.1029223646983,-57.07226944363052,-57.07226944363052,1959.3925505441835,-40.690008511416806,-54168.91265312956 kJ/mol
Binding_donor1_row8_cand000022,openmm,243.00265236243484,AB,MP,P,M,MP_AB,M_P,378.36813556081177,378.36813556081177,1725.906475647304,-61.21942089034759,-61.21942089034759,1847.6487915415526,378.3681355612607,-45522.59778177139 kJ/mol
Binding_donor1_row9_cand000004,openmm,-253.44800428232912,AB,MP,P,M,MP_AB,M_P,-36.42746619338956,-36.42746619338956,1822.1644013751422,-57.95053966231319,-57.95053966231319,1910.3677101752155,-36.42746619414439,-52261.32677684806 kJ/mol
Binding_donor2_row12_cand000014,openmm,-63.294970523842096,AB,MP,P,M,MP_AB,M_P,-37.97347424548271,-37.97347424548271,1774.1718728381065,-57.663166842829966,-57.663166842829966,1930.1440436865819,-37.97347424524544,-57738.19204184945 kJ/mol
Binding_donor2_row13_cand000010,openmm,-287.33850332635814,AB,MP,P,M,MP_AB,M_P,-31.148408640738296,-31.148408640738296,1287.0191324931225,-64.20591774225007,-64.20591774225007,1932.8794400455915,-31.148408641060144,-52817.90541457923 kJ/mol
Binding_donor2_row14_cand000031,openmm,-216.02368965387396,AB,MP,P,M,MP_AB,M_P,-31.093178028061544,-31.093178028061544,1742.1100581236863,-66.2629652425183,-66.2629652425183,1941.7216581301204,-31.093178028194103,-52958.594649682935 kJ/mol
Binding_donor2_row15_cand000001,openmm,362.14056848799544,AB,MP,P,M,MP_AB,M_P,-42.93404274556167,-42.93404274556167,2175.6553673165317,-59.62047604198827,-59.62047604198827,1834.3540911518262,-42.93404274562772,-43448.11176003427 kJ/mol
Binding_donor2_row16_cand000028,openmm,-252.88149169047256,AB,MP,P,M,MP_AB,M_P,-37.725186188245374,-37.725186188245374,1982.3864799803007,-63.592448787681334,-63.592448787681334,1867.9507794385252,-37.72518618855196,-54265.53869589844 kJ/mol
Binding_donor2_row17_cand000002,openmm,-235.06118150885774,AB,MP,P,M,MP_AB,M_P,-41.88707958688053,-41.88707958688053,1704.2715216229412,-55.13703028647612,-55.13703028647612,1927.1257876334666,-41.887079587107365,-51194.82585309671 kJ/mol
Binding_donor2_row18_cand000026,openmm,-47.37132370781876,AB,MP,P,M,MP_AB,M_P,-38.535064165588835,-38.535064165588835,2117.5648601766675,-64.35038054623807,-64.35038054623807,1776.962600012912,-38.53506416544408,-50831.783659506946 kJ/mol
Binding_donor2_row19_cand000012,openmm,9.3051528711772,AB,MP,P,M,MP_AB,M_P,-54.13112102557441,-54.13112102557441,1922.6949163829192,-61.752026277442184,-61.752026277442184,1851.3597416252182,-54.131121025279526,-47769.470743617676 kJ/mol
Binding_donor2_row20_cand000019,openmm,-224.4950743977743,AB,MP,P,M,MP_AB,M_P,-31.92871980818782,-31.92871980818782,1776.600122276839,-60.314400300863554,-60.314400300863554,1847.98793616478,-31.928719808601784,-51130.29661387648 kJ/mol
Binding_donor3_row21_cand000025,openmm,-277.04752863400216,AB,MP,P,M,MP_AB,M_P,-56.61431181348115,-56.61431181348115,2216.6722957685192,-51.99841534461606,-51.99841534461606,1781.440951976133,-56.61431181346947,-57259.817273600995 kJ/mol
