TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10018_cand000412,openmm,397.74860227572617,AB,MP,P,M,MP_AB,M_P,-56.606687765493234,-56.606687765493234,2360.4593845095364,-72.8154024264771,-72.8154024264771,2115.9857250545574,-56.60668776549795,-52404.923977515275 kJ/mol
Non-binding_donor1_row10013_cand000261,openmm,425.1713546122294,AB,MP,P,M,MP_AB,M_P,-60.98947344644682,-60.98947344644682,2580.514654363111,-63.719628151289456,-63.719628151289456,2116.9761722554977,-60.98947344647172,-49747.87415645653 kJ/mol
Non-binding_donor1_row10128_cand000297,openmm,-384.0542158323545,AB,MP,P,M,MP_AB,M_P,-52.928775854527714,-52.928775854527714,2019.2063337313175,-75.32864278562988,-75.32864278562988,2114.4576931729453,-52.928775854438584,-59919.75966353199 kJ/mol
Non-binding_donor1_row10106_cand000280,openmm,-295.69748212868046,AB,MP,P,M,MP_AB,M_P,-39.249722116512146,-39.249722116512146,2266.258767576742,-68.38982091919212,-68.38982091919212,2113.679780532785,-39.24972211642711,-60915.902295312764 kJ/mol
Non-binding_donor1_row10308_cand000322,openmm,-312.6548831581018,AB,MP,P,M,MP_AB,M_P,-57.04361625094134,-57.04361625094134,2546.796351534134,-54.05167209495701,-54.05167209495701,2034.7582800781756,-57.043616250573166,-59622.040885189184 kJ/mol
Non-binding_donor1_row1022_cand000225,openmm,8817.09616265395,AB,MP,P,M,MP_AB,M_P,-23.061940550949657,-23.061940550949657,1749.670638274873,320.5110472509368,320.5110472509368,1887.0889585192112,-23.06194055117703,29283.51299197643 kJ/mol
Non-binding_donor1_row10315_cand000120,openmm,464.6207719547107,AB,MP,P,M,MP_AB,M_P,-70.65009049195538,-70.65009049195538,2449.8797307895734,-62.10045094519155,-62.10045094519155,2126.4455763459864,-70.65009049222226,-46069.96552632017 kJ/mol
Non-binding_donor1_row1043_cand000260,openmm,-374.31879171574246,AB,MP,P,M,MP_AB,M_P,-46.949213000962004,-46.949213000962004,2081.034288931404,-80.46145332698272,-80.46145332698272,2050.2229754764726,-46.94921300095882,-57923.46895778713 kJ/mol
Non-binding_donor1_row10819_cand000215,openmm,317.0213081395061,AB,MP,P,M,MP_AB,M_P,-56.55986213669229,-56.55986213669229,2208.8970711474135,-78.112713408436,-78.112713408436,2173.279431213246,-56.559862136871686,-51063.09546872826 kJ/mol
Non-binding_donor1_row10910_cand000073,openmm,-208.0548835548156,AB,MP,P,M,MP_AB,M_P,-33.713656614710345,-33.713656614710345,1983.2265961550027,-70.89931418968284,-70.89931418968284,2167.684658062185,-33.713656614963156,-60483.47340176917 kJ/mol
Non-binding_donor1_row1096_cand000564,openmm,-183.8159459078439,AB,MP,P,M,MP_AB,M_P,-40.429024362609596,-40.429024362609596,2019.6651613991194,-76.18343915844477,-76.18343915844477,2131.0035230801163,-40.42902436268895,-51325.928969548004 kJ/mol
Non-binding_donor1_row11175_cand000362,openmm,-255.3198996009999,AB,MP,P,M,MP_AB,M_P,-48.34698532313442,-48.34698532313442,2055.659373572697,-73.17463926329924,-73.17463926329924,2251.665899046401,-48.34698532327829,-56226.81745952309 kJ/mol
Non-binding_donor1_row11222_cand000234,openmm,-294.9156382402364,AB,MP,P,M,MP_AB,M_P,-32.600237077027316,-32.600237077027316,1773.2919941845341,-81.36324805146351,-81.36324805146351,2257.5743505276487,-32.600237077347,-56010.074113630006 kJ/mol
Non-binding_donor1_row11312_cand000594,openmm,-290.04437903065684,AB,MP,P,M,MP_AB,M_P,-37.07503246742658,-37.07503246742658,1836.2558949890254,-76.48879056950526,-76.48879056950526,2204.643013385622,-37.07503246735695,-54769.501099925976 kJ/mol
Non-binding_donor1_row11382_cand000291,openmm,-125.34746297508106,AB,MP,P,M,MP_AB,M_P,-40.99664946294274,-40.99664946294274,2088.152804332626,-73.00190397403982,-73.00190397403982,2085.281551544642,-40.99664946224982,-53704.18086613194 kJ/mol
Non-binding_donor1_row11670_cand000148,openmm,-330.8112133238795,AB,MP,P,M,MP_AB,M_P,-37.82067318782805,-37.82067318782805,1988.9941569020098,-71.95509525964484,-71.95509525964484,2163.2950851802498,-37.820673187862894,-60468.47362525679 kJ/mol
Non-binding_donor1_row11714_cand000067,openmm,220.13145691468523,AB,MP,P,M,MP_AB,M_P,382.1453382941497,382.1453382941497,2223.241156567665,-67.21423967058496,-67.21423967058496,2090.339182165109,382.14533829407253,-48778.32279166266 kJ/mol
Non-binding_donor1_row12013_cand000262,openmm,-154.42046997362263,AB,MP,P,M,MP_AB,M_P,-38.42611405752321,-38.42611405752321,1884.0503868336032,-72.56770232901533,-72.56770232901533,2184.0244150053186,-38.42611405739447,-59219.224335183455 kJ/mol
