TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row0_cand000281,openmm,-249.99534778303993,AB,MP,P,M,MP_AB,M_P,-46.37674243582717,-46.37674243582717,2025.023081735157,-58.206364712381834,-58.206364712381834,1941.692918375104,-46.37674243561597,-49796.191676593866 kJ/mol
Binding_donor1_row100_cand000142,openmm,266.9271004439131,AB,MP,P,M,MP_AB,M_P,-36.57856278373532,-36.57856278373532,1996.1793438806587,-49.25358484100842,-49.25358484100842,1963.1909610159214,-36.5785627834606,-47111.73430841404 kJ/mol
Binding_donor1_row101_cand000276,openmm,-148.8752119335478,AB,MP,P,M,MP_AB,M_P,-39.789167330732965,-39.789167330732965,2121.2557195813883,-66.73299474300214,-66.73299474300214,2003.7702539757347,-39.7891673309275,-51778.92584218927 kJ/mol
Binding_donor1_row102_cand000061,openmm,-191.18747792439956,AB,MP,P,M,MP_AB,M_P,-47.556079606929785,-47.556079606929785,2081.198272310902,-69.51455180811917,-69.51455180811917,1952.5158369360422,-47.55607960692339,-56395.33544332395 kJ/mol
Binding_donor1_row104_cand000148,openmm,-330.7368482737658,AB,MP,P,M,MP_AB,M_P,-47.84256507836909,-47.84256507836909,1821.4674875263102,-65.88723637177839,-65.88723637177839,1995.504878844518,-47.84256507855156,-55862.08997019484 kJ/mol
Binding_donor1_row103_cand000310,openmm,-226.3885322076747,AB,MP,P,M,MP_AB,M_P,-41.91271735748106,-41.91271735748106,2064.203543720118,-60.48588298112759,-60.48588298112759,1998.870253736289,-41.91271735775831,-59205.39541934324 kJ/mol
Binding_donor1_row105_cand000037,openmm,-255.25578020781472,AB,MP,P,M,MP_AB,M_P,-38.20299954544407,-38.20299954544407,1962.3893196549518,-66.23878390883819,-66.23878390883819,1998.4681996897996,-38.2029995457537,-56147.82775254219 kJ/mol
Binding_donor1_row10_cand000280,openmm,26.53511491844887,AB,MP,P,M,MP_AB,M_P,-41.1310701841451,-41.1310701841451,1963.784993523111,-55.237959570929625,-55.237959570929625,1887.0045543965846,-41.13107018399393,-57229.56750623924 kJ/mol
Binding_donor1_row11_cand000074,openmm,-286.70506078881203,AB,MP,P,M,MP_AB,M_P,-35.15413926014622,-35.15413926014622,1769.1170347444415,-61.26038668658978,-61.26038668658978,1968.4693486372,-35.154139259951194,-61523.38897659976 kJ/mol
Binding_donor1_row12_cand000210,openmm,-216.96715654174767,AB,MP,P,M,MP_AB,M_P,-37.45920163262619,-37.45920163262619,1733.625841975326,-62.437880233796925,-62.437880233796925,1961.8886118421212,-37.459201632549764,-61573.06326743009 kJ/mol
Binding_donor1_row13_cand000126,openmm,-208.49189900220043,AB,MP,P,M,MP_AB,M_P,-47.601777819995505,-47.601777819995505,2159.864147964755,-58.79023689844232,-58.79023689844232,1888.819014200996,-47.60177782001051,-55500.65859735591 kJ/mol
Binding_donor1_row14_cand000116,openmm,-165.293556535042,AB,MP,P,M,MP_AB,M_P,-39.12320332337157,-39.12320332337157,2181.8427068982114,-61.209515827690495,-61.209515827690495,1854.329927432224,-39.123203323142505,-57527.89588950923 kJ/mol
Binding_donor1_row15_cand000319,openmm,12948.401348905023,AB,MP,P,M,MP_AB,M_P,3223.5141946058975,3223.5141946058975,1933.5117999831557,653.9676561744363,653.9676561744363,1913.2508001740377,3223.5141946059466,2632039169.272473 kJ/mol
Binding_donor1_row16_cand000269,openmm,-201.0678285510889,AB,MP,P,M,MP_AB,M_P,-28.16674524931699,-28.16674524931699,1786.0338208093417,-51.78389412905763,-51.78389412905763,1970.7859823310137,-28.166745249474587,-58677.7195750082 kJ/mol
Binding_donor1_row17_cand000178,openmm,-175.0066488724679,AB,MP,P,M,MP_AB,M_P,-34.729549124173815,-34.729549124173815,1973.4527368297963,-62.993704887318486,-62.993704887318486,1920.1041186131831,-34.7295491238815,-55602.7788619439 kJ/mol
Binding_donor1_row18_cand000249,openmm,216.80194824384483,AB,MP,P,M,MP_AB,M_P,-41.47072187140813,-41.47072187140813,1904.0634723187475,-53.0872037820187,-53.0872037820187,1977.0515592052952,-41.470721871209605,-48442.51917729162 kJ/mol
Binding_donor1_row19_cand000284,openmm,-204.99462815595518,AB,MP,P,M,MP_AB,M_P,-43.24725631907731,-43.24725631907731,1616.407784082136,-56.46999733231681,-56.46999733231681,1925.918725679806,-43.24725631910107,-52986.99787606712 kJ/mol
Binding_donor1_row1_cand000208,openmm,-1.82218248773367,AB,MP,P,M,MP_AB,M_P,-38.050891998877404,-38.050891998877404,1987.7828673730505,-56.70038804468753,-56.70038804468753,2007.0365794932004,-38.05089199878134,-57569.51400300425 kJ/mol
Binding_donor1_row20_cand000195,openmm,-224.96430283108373,AB,MP,P,M,MP_AB,M_P,-39.527706213539034,-39.527706213539034,1807.7221353667007,-69.61515667570572,-69.61515667570572,1980.6456497992663,-39.52770621340767,-52972.748976129566 kJ/mol
Binding_donor1_row21_cand000040,openmm,-154.9220066863567,AB,MP,P,M,MP_AB,M_P,-44.55546128994263,-44.55546128994263,1977.8609653421815,-54.63366668907982,-54.63366668907982,1969.5620178331749,-44.55546129015676,-59755.37082489499 kJ/mol
Binding_donor1_row22_cand000270,openmm,-37.089306162897714,AB,MP,P,M,MP_AB,M_P,-50.17760233996931,-50.17760233996931,1682.7873252608554,-50.300441031717966,-50.300441031717966,1899.4623189893564,-50.177602339264176,-60047.57317215256 kJ/mol
Binding_donor1_row23_cand000292,openmm,-132.69667252978016,AB,MP,P,M,MP_AB,M_P,-29.178959249455815,-29.178959249455815,1692.2922021987636,-69.76591793519431,-69.76591793519431,2071.7872708156956,-29.178959249633508,-55272.586674541264 kJ/mol
Binding_donor1_row24_cand000064,openmm,-371.56024680530953,AB,MP,P,M,MP_AB,M_P,-35.50017870507452,-35.50017870507452,1839.258683546459,-63.20378946242532,-63.20378946242532,1894.8928530821627,-35.50017870522862,-53918.07445610178 kJ/mol
Binding_donor1_row25_cand000290,openmm,-89.67381493752863,AB,MP,P,M,MP_AB,M_P,-34.34008829319818,-34.34008829319818,1958.7494161073712,-71.02395985659912,-71.02395985659912,1942.9746804207505,-34.34008829335562,-58819.623233667204 kJ/mol
Binding_donor1_row26_cand000034,openmm,-250.7682158578284,AB,MP,P,M,MP_AB,M_P,-33.27267591569873,-33.27267591569873,1523.9307767484206,-53.47725139347045,-53.47725139347045,1979.5896713026777,-33.272675915675904,-56652.95714639424 kJ/mol
Binding_donor1_row27_cand000189,openmm,-191.07266846765793,AB,MP,P,M,MP_AB,M_P,-41.86341623549475,-41.86341623549475,1543.6417496185545,-58.441934672872634,-58.441934672872634,1933.0684010259408,-41.863416235616,-56618.10978645526 kJ/mol
Binding_donor1_row28_cand000154,openmm,3110.9039399312715,AB,MP,P,M,MP_AB,M_P,-30.6944025323578,-30.6944025323578,1597.0331555514078,-15.995346845350014,-15.995346845350014,1261.784603662428,-30.694402532397362,-33001.71474753067 kJ/mol
Binding_donor1_row29_cand000150,openmm,-65.35882556278773,AB,MP,P,M,MP_AB,M_P,-39.022584565774366,-39.022584565774366,1819.9912725309368,-64.23802990487188,-64.23802990487188,1835.7579098898286,-39.02258456579044,-57898.91310555318 kJ/mol
Binding_donor1_row2_cand000113,openmm,-296.55114131695956,AB,MP,P,M,MP_AB,M_P,-38.588610576046904,-38.588610576046904,2072.5480094160166,-66.48520392465015,-66.48520392465015,2011.657621819045,-38.58861057613041,-53236.861531695555 kJ/mol
Binding_donor1_row36_cand000080,openmm,50.652252034062286,AB,MP,P,M,MP_AB,M_P,-56.56202543675911,-56.56202543675911,1885.3084744575724,-54.59326873470891,-54.59326873470891,1940.0067441492242,-56.56202543679207,-57488.6052829138 kJ/mol
Binding_donor1_row37_cand000109,openmm,-276.1409746243718,AB,MP,P,M,MP_AB,M_P,-37.57500130729133,-37.57500130729133,1830.2423048736375,-60.37757424305441,-60.37757424305441,1951.2530330445827,-37.57500130735946,-58050.52611616381 kJ/mol
Binding_donor1_row38_cand000166,openmm,-244.19316477978316,AB,MP,P,M,MP_AB,M_P,-40.24708669121219,-40.24708669121219,2014.9513373702387,-56.367307692209536,-56.367307692209536,1898.5012941610953,-40.2470866916031,-60893.50819997647 kJ/mol
Binding_donor1_row39_cand000008,openmm,-116.16143081494596,AB,MP,P,M,MP_AB,M_P,-45.84639050277538,-45.84639050277538,2144.212787663702,-64.85832860452805,-64.85832860452805,1954.8757082531922,-45.84639050294854,-61209.49779128689 kJ/mol
Binding_donor1_row3_cand000283,openmm,-323.1649218172535,AB,MP,P,M,MP_AB,M_P,-47.02356071536832,-47.02356071536832,1902.95512618758,-61.27209448170807,-61.27209448170807,1935.968634036527,-47.02356071525713,-53910.079758994034 kJ/mol
Binding_donor1_row40_cand000101,openmm,-84.30884934682194,AB,MP,P,M,MP_AB,M_P,-28.862186877825685,-28.862186877825685,1811.6664320928496,-49.212206153900745,-49.212206153900745,1949.7193618102326,-28.862186877851244,-56984.770509141716 kJ/mol
Binding_donor1_row41_cand000313,openmm,116.41137814730347,AB,MP,P,M,MP_AB,M_P,317.1385203173732,317.1385203173732,2186.566072060337,-60.58232572598425,-60.58232572598425,1973.9383262127958,317.1385203173798,-51729.79592749202 kJ/mol
Binding_donor1_row42_cand000058,openmm,441.69486229283643,AB,MP,P,M,MP_AB,M_P,-42.49116928169752,-42.49116928169752,2055.297299201607,-62.20345563701949,-62.20345563701949,1953.113228232415,-42.49116928119901,-51932.89587857439 kJ/mol
Binding_donor1_row43_cand000326,openmm,684.6422130508472,AB,MP,P,M,MP_AB,M_P,-35.94167872696573,-35.94167872696573,2056.760110068327,-38.24273545688315,-38.24273545688315,2000.336338064983,-35.94167872726371,-30628.578204891754 kJ/mol
Binding_donor1_row44_cand000336,openmm,-52.34365654353482,AB,MP,P,M,MP_AB,M_P,-53.03559942340836,-53.03559942340836,2414.4691877459372,-44.921174158577095,-44.921174158577095,1824.3130025255928,-53.03559942284173,-54641.45889913212 kJ/mol
Binding_donor1_row45_cand000097,openmm,-329.53798877895485,AB,MP,P,M,MP_AB,M_P,-32.61339980219253,-32.61339980219253,1829.7821507556048,-62.99211033657275,-62.99211033657275,1981.7661279079903,-32.61339980250841,-57610.1133607337 kJ/mol
Binding_donor1_row46_cand000140,openmm,-185.66094972725136,AB,MP,P,M,MP_AB,M_P,-52.15497260689705,-52.15497260689705,1969.4516509682978,-52.60226288359783,-52.60226288359783,1939.1533945002825,-52.15497260713971,-55831.50901513946 kJ/mol
Binding_donor1_row47_cand000079,openmm,-21.982328265537006,AB,MP,P,M,MP_AB,M_P,-46.86471665671003,-46.86471665671003,2262.240476647328,-51.94758339406837,-51.94758339406837,1909.2659264820356,-46.864716656941184,-56043.28592000237 kJ/mol
Binding_donor1_row48_cand000135,openmm,-283.3218322987102,AB,MP,P,M,MP_AB,M_P,-64.33265364859608,-64.33265364859608,2416.5724258498753,-58.69422843749747,-58.69422843749747,1871.1758065873792,-64.33265364930222,-57068.61012906506 kJ/mol
Binding_donor1_row49_cand000011,openmm,-214.54229245087907,AB,MP,P,M,MP_AB,M_P,-50.46186442110621,-50.46186442110621,2099.3649390737774,-63.004797571010286,-63.004797571010286,1989.4005393650452,-50.46186442127566,-63106.01625479881 kJ/mol
Binding_donor1_row4_cand000245,openmm,-310.8016767810497,AB,MP,P,M,MP_AB,M_P,-43.827065156503636,-43.827065156503636,1943.956881910602,-63.89294895628402,-63.89294895628402,2003.2171707713057,-43.827065156300364,-59597.322333008415 kJ/mol
Binding_donor1_row50_cand000175,openmm,638.4106748525041,AB,MP,P,M,MP_AB,M_P,-53.4793120044103,-53.4793120044103,2408.0594389184225,-55.58117638492514,-55.58117638492514,1787.874522608684,-53.47931200429366,-49748.13377248415 kJ/mol
Binding_donor1_row51_cand000287,openmm,-255.18670559423262,AB,MP,P,M,MP_AB,M_P,-42.15183830201798,-42.15183830201798,2043.5640169028288,-57.88790044106942,-57.88790044106942,2016.981923235179,-42.15183830198964,-56034.74227184956 kJ/mol
Binding_donor1_row52_cand000041,openmm,-189.0967917089616,AB,MP,P,M,MP_AB,M_P,-25.799347548533177,-25.799347548533177,1867.0287181161868,-62.676693986517,-62.676693986517,1931.6582835885936,-25.799347548615913,-56139.552886341 kJ/mol
Binding_donor1_row53_cand000322,openmm,-4.109679622590093,AB,MP,P,M,MP_AB,M_P,-41.04671070160971,-41.04671070160971,2110.8246002879564,-61.349691590226016,-61.349691590226016,1902.2712208594405,-41.046710700971545,-55076.67555647271 kJ/mol
Binding_donor1_row54_cand000112,openmm,-196.23855247864748,AB,MP,P,M,MP_AB,M_P,-48.1358948304748,-48.1358948304748,1949.0055686882802,-64.43517199872694,-64.43517199872694,1851.387286799324,-48.135894830459904,-57095.37862041786 kJ/mol
Binding_donor1_row55_cand000206,openmm,-147.77403574205877,AB,MP,P,M,MP_AB,M_P,-28.656954688753814,-28.656954688753814,1614.8591107732366,-61.47419619338406,-61.47419619338406,1986.2375218252591,-28.656954689216477,-55944.32451313394 kJ/mol
Binding_donor1_row56_cand000111,openmm,4.057511473098515,AB,MP,P,M,MP_AB,M_P,-51.8444444163987,-51.8444444163987,2257.322852460947,-63.02660702334602,-63.02660702334602,1886.5218428675962,-51.844444416192786,-58469.61620930738 kJ/mol
Binding_donor1_row57_cand000177,openmm,-123.19804801796667,AB,MP,P,M,MP_AB,M_P,-50.159275890652324,-50.159275890652324,2268.2122641878755,-60.44663069472802,-60.44663069472802,1919.3701960271915,-50.1592758906404,-55416.98425561902 kJ/mol
Binding_donor1_row58_cand000261,openmm,-342.5815837706426,AB,MP,P,M,MP_AB,M_P,-48.83837974833466,-48.83837974833466,2164.52340136569,-64.05013182241743,-64.05013182241743,1954.6506926490063,-48.838379748184934,-59842.58046769189 kJ/mol
Binding_donor1_row59_cand000351,openmm,-155.3577379768284,AB,MP,P,M,MP_AB,M_P,-57.0598780495545,-57.0598780495545,2402.401787372177,-61.72756240162987,-61.72756240162987,1918.563396248655,-57.05987804955218,-59690.61770258622 kJ/mol
Binding_donor1_row5_cand000232,openmm,-245.65978998731217,AB,MP,P,M,MP_AB,M_P,-52.99277119201801,-52.99277119201801,2006.927632162781,-52.96696121688887,-52.96696121688887,1852.6189462599089,-52.9927711922374,-57100.070497837194 kJ/mol
Binding_donor1_row60_cand000318,openmm,-273.50763084675646,AB,MP,P,M,MP_AB,M_P,-37.88973188177093,-37.88973188177093,1850.354276835691,-60.726476091462686,-60.726476091462686,1979.1845377196857,-37.88973188161589,-54743.65116295833 kJ/mol
Binding_donor1_row63_cand000315,openmm,-160.0808078562994,AB,MP,P,M,MP_AB,M_P,-37.13828739583667,-37.13828739583667,1980.4561303135565,-55.800761339144046,-55.800761339144046,1950.562371352984,-37.13828739592658,-56042.56898166537 kJ/mol
Binding_donor1_row64_cand000332,openmm,-6.904986018192204,AB,MP,P,M,MP_AB,M_P,-35.025608944118765,-35.025608944118765,1660.1803004133217,-49.13052880151719,-49.13052880151719,1964.9842674297986,-35.0256089442661,-52537.70908061024 kJ/mol
Binding_donor1_row65_cand000253,openmm,-215.64162531999222,AB,MP,P,M,MP_AB,M_P,-38.369538028638715,-38.369538028638715,2051.686437932779,-50.69711755053591,-50.69711755053591,1882.9421493006996,-38.36953802915431,-52884.606871470016 kJ/mol
Binding_donor1_row66_cand000325,openmm,-148.36661285909304,AB,MP,P,M,MP_AB,M_P,-34.49591019805314,-34.49591019805314,1970.1824474756736,-61.94028461195807,-61.94028461195807,1985.6269591107985,-34.49591019836676,-55923.94096077261 kJ/mol
Binding_donor1_row6_cand000263,openmm,-261.08830306284887,AB,MP,P,M,MP_AB,M_P,-40.19654162194243,-40.19654162194243,1915.3086286893472,-61.98373365602266,-61.98373365602266,1896.0360282281813,-40.196541622263794,-55270.893347625635 kJ/mol
Binding_donor1_row71_cand000304,openmm,-241.79989946987732,AB,MP,P,M,MP_AB,M_P,-50.606211825309856,-50.606211825309856,2165.5539058122185,-63.35183416323081,-63.35183416323081,1945.8335917916681,-50.606211825162376,-56337.047357390984 kJ/mol
Binding_donor1_row72_cand000096,openmm,-274.94398235741454,AB,MP,P,M,MP_AB,M_P,-41.37455013616574,-41.37455013616574,1896.387343614061,-63.378501000067956,-63.378501000067956,1963.1805123114664,-41.37455013626041,-55334.7808282775 kJ/mol
Binding_donor1_row73_cand000053,openmm,-284.16746406062134,AB,MP,P,M,MP_AB,M_P,-50.309137993938634,-50.309137993938634,2174.3093538833577,-59.46768354000372,-59.46768354000372,2030.9488623966215,-50.309137994263665,-58537.48459999114 kJ/mol
Binding_donor1_row74_cand000209,openmm,274.92553089597516,AB,MP,P,M,MP_AB,M_P,372.2893509147483,372.2893509147483,2438.8677891921343,-58.10956293627718,-58.10956293627718,1940.8271962810209,372.289350915069,-48764.37585510156 kJ/mol
Binding_donor1_row75_cand000256,openmm,-215.13976007236056,AB,MP,P,M,MP_AB,M_P,-45.95940566130233,-45.95940566130233,1843.0231337894636,-59.59185754882857,-59.59185754882857,1979.7900971569582,-45.95940566122039,-57688.99242263235 kJ/mol
Binding_donor1_row76_cand000350,openmm,-105.99681492502246,AB,MP,P,M,MP_AB,M_P,-51.75683095660543,-51.75683095660543,2276.5636181165546,-61.5446625795735,-61.5446625795735,1966.1410018448503,-51.756830957025166,-56772.08658683907 kJ/mol
Binding_donor1_row77_cand000231,openmm,-234.0586289103121,AB,MP,P,M,MP_AB,M_P,-39.09607740563621,-39.09607740563621,1822.4728049324788,-58.2437674525425,-58.2437674525425,1963.5471167815929,-39.0960774056482,-55570.082588818055 kJ/mol
Binding_donor1_row7_cand000125,openmm,-184.78808168551387,AB,MP,P,M,MP_AB,M_P,-33.1274548738898,-33.1274548738898,2073.02414299298,-68.00945112454858,-68.00945112454858,1999.3563705965735,-33.12745487396111,-57447.45588595236 kJ/mol
Binding_donor1_row83_cand000252,openmm,82.75847836898816,AB,MP,P,M,MP_AB,M_P,282.97833407465856,282.97833407465856,1956.175164058943,-62.251336002153934,-62.251336002153934,1945.3253363994493,282.97833407505993,-50311.467716747415 kJ/mol
Binding_donor1_row84_cand000218,openmm,598.1678360540577,AB,MP,P,M,MP_AB,M_P,-42.477071485254214,-42.477071485254214,1979.1678291009796,-56.46048238756206,-56.46048238756206,1991.6412085727932,-42.47707148475547,-46566.36812407717 kJ/mol
Binding_donor1_row85_cand000050,openmm,188.2860021628697,AB,MP,P,M,MP_AB,M_P,349.0889985380279,349.0889985380279,1903.373012309639,-62.581029175070164,-62.581029175070164,2001.8969649400033,349.08899853805065,-42822.31310895249 kJ/mol
Binding_donor1_row86_cand000348,openmm,-251.7772903196652,AB,MP,P,M,MP_AB,M_P,-44.75317006570677,-44.75317006570677,2314.8090257725266,-63.6843448052746,-63.6843448052746,1885.7898983214236,-44.75317006539376,-56372.76763718351 kJ/mol
Binding_donor1_row87_cand000017,openmm,-161.2718797270863,AB,MP,P,M,MP_AB,M_P,-32.63343244581421,-32.63343244581421,1979.1096514592466,-68.08973755065094,-68.08973755065094,1912.1932470026127,-32.63343244534494,-55617.02530502103 kJ/mol
Binding_donor1_row88_cand000262,openmm,126.74855380326825,AB,MP,P,M,MP_AB,M_P,294.6261909777181,294.6261909777181,1713.1065954930646,-58.547905499915856,-58.547905499915856,2055.7714159536567,294.62619097746597,-49936.56986741522 kJ/mol
Binding_donor1_row89_cand000311,openmm,-110.45240625441589,AB,MP,P,M,MP_AB,M_P,-50.65952240616088,-50.65952240616088,2454.9391455243876,-54.26722250170103,-54.26722250170103,1788.371173500631,-50.659522406166424,-54632.83990974004 kJ/mol
Binding_donor1_row8_cand000196,openmm,-325.557028932102,AB,MP,P,M,MP_AB,M_P,-36.44959631223901,-36.44959631223901,1711.6337082587975,-57.70597020942138,-57.70597020942138,1985.2113768233514,-36.44959631254727,-55939.34249329107 kJ/mol
Binding_donor1_row90_cand000323,openmm,60.51198887616178,AB,MP,P,M,MP_AB,M_P,-27.30894802457498,-27.30894802457498,1637.0674946625966,-59.4603287692131,-59.4603287692131,1917.638069221361,-27.308948024222033,-56224.00685237329 kJ/mol
Binding_donor1_row91_cand000271,openmm,-90.14924085096612,AB,MP,P,M,MP_AB,M_P,-29.710399829820943,-29.710399829820943,1780.450202251455,-61.68192061093694,-61.68192061093694,2010.9683408768096,-29.710399829971223,-57726.55542900413 kJ/mol
Binding_donor1_row92_cand000095,openmm,-174.43196535660053,AB,MP,P,M,MP_AB,M_P,-34.3253176328985,-34.3253176328985,1827.4029567043804,-68.32342616017618,-68.32342616017618,2030.4877851933395,-34.325317632904586,-60291.42056346547 kJ/mol
Binding_donor1_row93_cand000212,openmm,-290.8306500261887,AB,MP,P,M,MP_AB,M_P,-47.33299647865155,-47.33299647865155,2177.187013968951,-68.99022009953691,-68.99022009953691,1960.2346835437995,-47.33299647830961,-57044.40164116699 kJ/mol
Binding_donor1_row94_cand000179,openmm,-279.74943551229063,AB,MP,P,M,MP_AB,M_P,-41.65456462654288,-41.65456462654288,1776.6068786402993,-54.88566054602463,-54.88566054602463,2057.1466190489455,-41.654564626674755,-52569.172330141824 kJ/mol
Binding_donor1_row95_cand000331,openmm,-254.3046410147591,AB,MP,P,M,MP_AB,M_P,-59.7329357427071,-59.7329357427071,2162.0760851745054,-57.2888525664592,-57.2888525664592,1994.7366935060543,-59.732935742765164,-57294.11458908231 kJ/mol
Binding_donor1_row96_cand000168,openmm,-261.73334203412867,AB,MP,P,M,MP_AB,M_P,-33.75779303152015,-33.75779303152015,1972.013778796188,-53.576482603005154,-53.576482603005154,1978.930914229805,-33.75779303178774,-55901.590942871015 kJ/mol
Binding_donor1_row97_cand000015,openmm,-33.3995139337072,AB,MP,P,M,MP_AB,M_P,-55.414393702955266,-55.414393702955266,2515.094206514947,-51.88169773175066,-51.88169773175066,1921.787888163205,-55.414393702941084,-52896.59472130309 kJ/mol
