TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10206_cand000433,none,21466.42629395938,AB,MP,P,M,MP_AB,M_P,4619.460454963089,4619.460454963089,1505.11867171412,1645.5074066385291,1645.5074066385291,1950.4284076366193,4619.460454963064
Non-binding_donor1_row10016_cand000202,none,23006.670744183077,AB,MP,P,M,MP_AB,M_P,4690.822332362022,4690.822332362022,1645.0281896055471,1683.4016925405904,1683.4016925405904,1883.4022258485443,4690.822332362248
Non-binding_donor1_row10436_cand000421,none,37141.0711579838,AB,MP,P,M,MP_AB,M_P,15457.006490914791,15457.006490914791,1731.9790656484279,1579.493439114162,1579.493439114162,1974.7545507692926,15457.00649091461
Non-binding_donor1_row10574_cand000024,none,19356.907694491678,AB,MP,P,M,MP_AB,M_P,6469.644687705644,6469.644687705644,1950.3378521980069,1458.259813012317,1458.259813012317,1905.2604811759165,6469.64468770579
Non-binding_donor1_row10715_cand000131,none,20417.9006415979,AB,MP,P,M,MP_AB,M_P,7595.2918116228775,7595.2918116228775,1553.8500175160727,1704.5739888619687,1704.5739888619687,1922.514061487318,7595.291811623254
Non-binding_donor1_row10697_cand000077,none,27426.892687518633,AB,MP,P,M,MP_AB,M_P,7031.641171951549,7031.641171951549,1976.312959136908,1641.412506382143,1641.412506382143,1934.321345746381,7031.641171951709
Non-binding_donor1_row10712_cand000460,none,49099.00395517314,AB,MP,P,M,MP_AB,M_P,22700.54371660067,22700.54371660067,1856.1446354612401,1859.1218294463838,1859.1218294463838,1938.1913612595647,22700.543716600816
Non-binding_donor1_row10762_cand000571,none,29847.251398705772,AB,MP,P,M,MP_AB,M_P,7864.270419911656,7864.270419911656,1745.2529461994322,1577.3298949160417,1577.3298949160417,1893.7033219912112,7864.270419911518
Non-binding_donor1_row10819_cand000514,none,13221.690787067791,AB,MP,P,M,MP_AB,M_P,4298.817707348315,4298.817707348315,1858.9157761633298,1580.6430156208935,1580.6430156208935,1920.0823136330616,4298.817707348104
Non-binding_donor1_row1086_cand000436,none,13179.278999031396,AB,MP,P,M,MP_AB,M_P,2674.082333311302,2674.082333311302,1702.8249229257178,1330.656593394076,1330.656593394076,1888.6531846509997,2674.0823333113494
