TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row10205_cand000232,rosetta_sidechain,1609.7337021889234,AB,MP,P,M,MP_AB,M_P,-0.013722020899876952,-0.013722020899876952,2.4983341044747647,-1.6518601903941317,-1.6518601903941317,128.93514353651096,-0.013722020739351137
Non-binding_donor1_row10461_cand000348,rosetta_sidechain,1052.4670671501406,AB,MP,P,M,MP_AB,M_P,18.852136439375045,18.852136439375045,273.90219120715994,0.0,0.0,0.0,18.85213643928205
Non-binding_donor1_row10871_cand000534,rosetta_sidechain,32976.04822896633,AB,MP,P,M,MP_AB,M_P,24492.9415343219,24492.9415343219,2040.4602164453088,1098.315338288867,1098.315338288867,566.842961372359,24492.94153432134
Non-binding_donor1_row10014_cand000128,rosetta_sidechain,40379.517641601306,AB,MP,P,M,MP_AB,M_P,8730.437346849929,8730.437346849929,1204.9966318648158,30138.26937340621,30138.26937340621,1560.4298157118642,8730.437346850042
Non-binding_donor1_row11116_cand000340,rosetta_sidechain,6125.10971174979,AB,MP,P,M,MP_AB,M_P,5235.6413412343045,5235.6413412343045,803.480170056073,0.0,0.0,0.0,5235.641341234524
Non-binding_donor1_row10880_cand000310,rosetta_sidechain,6562.420918846912,AB,MP,P,M,MP_AB,M_P,2572.550379618285,2572.550379618285,516.1650149490722,0.0,0.0,0.0,2572.5503796190574
Non-binding_donor1_row11731_cand000164,rosetta_sidechain,5500.7484553749255,AB,MP,P,M,MP_AB,M_P,77.46935626905633,77.46935626905633,181.67785325000165,0.0,0.0,0.0,77.46935626923914
Non-binding_donor1_row11309_cand000518,rosetta_sidechain,10588.69199632168,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,9704.70693657001,9704.70693657001,1002.0344573586676,-1.4095348888076842e-08
Non-binding_donor1_row11949_cand000034,rosetta_sidechain,2742.0714108530915,AB,MP,P,M,MP_AB,M_P,-2.3806631666502653,-2.3806631666502653,139.80481365034586,3.364279038646913,3.364279038646913,728.6369765860901,-2.3806631669126546
Non-binding_donor1_row12082_cand000471,rosetta_sidechain,2167.8318609366293,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,3.0503394528866465,3.0503394528866465,202.12462590470102,5.9117155615240335e-12
Non-binding_donor1_row12273_cand000441,rosetta_sidechain,1482.8565892627607,AB,MP,P,M,MP_AB,M_P,22.956935327913015,22.956935327913015,675.50079984603,-33.26068783616448,-33.26068783616448,1855.4370014122924,22.956935327862766
Non-binding_donor1_row12262_cand000237,rosetta_sidechain,111.2500930672349,AB,MP,P,M,MP_AB,M_P,56.113940594635906,56.113940594635906,348.16373237211394,0.0,0.0,0.0,56.113940594642685
Non-binding_donor1_row12796_cand000554,rosetta_sidechain,246.25132301893254,AB,MP,P,M,MP_AB,M_P,8.104152026339989,8.104152026339989,367.2214634098116,-1.1111518744655626,-1.1111518744655626,74.3769811201903,8.104152026066032
Non-binding_donor1_row12756_cand000528,rosetta_sidechain,152813.6794814231,AB,MP,P,M,MP_AB,M_P,151591.97971128547,151591.97971128547,4522.819283491473,-33.123910448146034,-33.123910448146034,1809.700632849743,151591.9797112853
Non-binding_donor1_row12043_cand000560,rosetta_sidechain,22.65089332512317,AB,MP,P,M,MP_AB,M_P,-11.997902381853635,-11.997902381853635,880.594541089129,-41.879660766875446,-41.879660766875446,1878.1855375555785,-11.997902381664893
Non-binding_donor1_row12799_cand000426,rosetta_sidechain,1084.306749325544,AB,MP,P,M,MP_AB,M_P,0.046934035502999905,0.046934035502999905,22.60085026049188,838.6653461071828,838.6653461071828,205.78568284281664,0.04693403553164899
Non-binding_donor1_row13617_cand000275,rosetta_sidechain,436.60700512646855,AB,MP,P,M,MP_AB,M_P,-10.127899946649165,-10.127899946649165,1181.660268829458,-37.13224105472523,-37.13224105472523,1822.925287358823,-10.127899946086188
Non-binding_donor1_row15196_cand000204,rosetta_sidechain,3690.8397039004144,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-3.183231456205249e-12
Non-binding_donor1_row14539_cand000452,rosetta_sidechain,122999.91454562233,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,14471.560862181044,14471.560862181044,1206.7197915568006,1.0186340659856796e-10
Non-binding_donor1_row14990_cand000357,rosetta_sidechain,2735.040910447884,AB,MP,P,M,MP_AB,M_P,-2.7899417884382274,-2.7899417884382274,300.63429786327356,-14.950448982606304,-14.950448982606304,1250.3829339215285,-2.789941788422766
Non-binding_donor1_row15213_cand000345,rosetta_sidechain,1441.3896283160825,AB,MP,P,M,MP_AB,M_P,120.41174924592474,120.41174924592474,644.9812588999184,0.0,0.0,0.0,120.41174924603706
Non-binding_donor1_row15208_cand000240,rosetta_sidechain,1325.7938225202158,AB,MP,P,M,MP_AB,M_P,-1.748129685453705,-1.748129685453705,513.2100406561245,-34.0347467157726,-34.0347467157726,1731.4276967451758,-1.7481296852940886
Non-binding_donor1_row15331_cand000110,rosetta_sidechain,10250.239690608183,AB,MP,P,M,MP_AB,M_P,4156.256273931115,4156.256273931115,1731.5165456396307,5.294164206768073,5.294164206768073,1213.848259213268,4156.2562739312025
Non-binding_donor1_row15328_cand000351,rosetta_sidechain,6963.271038678553,AB,MP,P,M,MP_AB,M_P,-5.870445408793785,-5.870445408793785,758.0085950906176,21.425230082875714,21.425230082875714,1470.1869306619476,-5.870445408952946
Non-binding_donor1_row17432_cand000392,rosetta_sidechain,3518.3356135366216,AB,MP,P,M,MP_AB,M_P,2865.0876338393446,2865.0876338393446,432.54484768050884,0.0,0.0,0.0,2865.0876338395
Non-binding_donor1_row1635_cand000082,rosetta_sidechain,591.2332506574926,AB,MP,P,M,MP_AB,M_P,-1.596327126031838,-1.596327126031838,294.70312607367407,-31.917479178053668,-31.917479178053668,1800.1834998219774,-1.5963271263277647
Non-binding_donor1_row17019_cand000569,rosetta_sidechain,1697.3432087170884,AB,MP,P,M,MP_AB,M_P,653.2674632440107,653.2674632440107,832.9461992376052,-1.2530522155884682e-05,-1.2530522155884682e-05,0.0,653.2674632438896
Non-binding_donor1_row17713_cand000024,rosetta_sidechain,1899.959784956637,AB,MP,P,M,MP_AB,M_P,2.201526290188667,2.201526290188667,157.7063455072958,0.0,0.0,0.0,2.201526290318043
Non-binding_donor1_row1755_cand000259,rosetta_sidechain,519.2066749276354,AB,MP,P,M,MP_AB,M_P,597.4607423741994,597.4607423741994,727.3050033571194,-43.90058965938928,-43.90058965938928,1858.66672155758,597.4607423742482
Non-binding_donor1_row17794_cand000168,rosetta_sidechain,15731.718749880927,AB,MP,P,M,MP_AB,M_P,-3.6564276906538,-3.6564276906538,299.9718096643111,14338.974305716301,14338.974305716301,1163.335645890768,-3.656427690759301
Non-binding_donor1_row18208_cand000006,rosetta_sidechain,1332.7250767452126,AB,MP,P,M,MP_AB,M_P,789.2392125373764,789.2392125373764,154.38240861047646,0.0,0.0,0.0,789.2392125373053
Non-binding_donor1_row18829_cand000241,rosetta_sidechain,4168.028351719245,AB,MP,P,M,MP_AB,M_P,3432.2413267513066,3432.2413267513066,611.382119395248,-34.47100374179854,-34.47100374179854,1754.7271829126942,3432.241326751625
Non-binding_donor1_row18261_cand000497,rosetta_sidechain,575.0234590509388,AB,MP,P,M,MP_AB,M_P,-7.329764445516389,-7.329764445516389,773.2855396035129,-37.65879436698566,-37.65879436698566,1864.382620558729,-7.329764445758201
Non-binding_donor1_row18866_cand000220,rosetta_sidechain,2089.933538515556,AB,MP,P,M,MP_AB,M_P,-6.061703042955742,-6.061703042955742,592.2793976479434,-35.80260817579,-35.80260817579,1857.831267351235,-6.061703043099442
Non-binding_donor1_row18862_cand000454,rosetta_sidechain,613.459445128801,AB,MP,P,M,MP_AB,M_P,26.76261448535206,26.76261448535206,877.9465663330977,-0.0641226216480959,-0.0641226216480959,1143.3762312193767,26.762614485144695
Non-binding_donor1_row18834_cand000515,rosetta_sidechain,71713.08141857252,AB,MP,P,M,MP_AB,M_P,51796.80393364522,51796.80393364522,2564.913334590969,17913.015684881484,17913.015684881484,1277.0528758281957,51796.803933645235
Non-binding_donor1_row18842_cand000203,rosetta_sidechain,1593.574564150876,AB,MP,P,M,MP_AB,M_P,-13.70527354888145,-13.70527354888145,1107.1168996539109,-37.71386379794973,-37.71386379794973,1889.4361781385392,-13.705273548671812
Non-binding_donor1_row1959_cand000575,rosetta_sidechain,430.39121906925766,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.00017206548719173043,-0.00017206548719173043,0.0,3.979039320256561e-12
Non-binding_donor1_row20101_cand000132,rosetta_sidechain,10460.458089696895,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-1.1111933417851105e-06
Non-binding_donor1_row1964_cand000238,rosetta_sidechain,348.43811176798414,AB,MP,P,M,MP_AB,M_P,-8.039590372432485,-8.039590372432485,614.6290213373939,-40.40494384150941,-40.40494384150941,1809.3647229033954,-8.039590372881037
Non-binding_donor1_row1967_cand000480,rosetta_sidechain,1094.368092089199,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,658.5295324733502,658.5295324733502,427.76903731361614,-6.59383658785373e-12
Non-binding_donor1_row20632_cand000320,rosetta_sidechain,12954.734818545961,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.02615684435767207,0.02615684435767207,1.918295259376407,-186.78380170957462
Non-binding_donor1_row20357_cand000429,rosetta_sidechain,2150.1031562528465,AB,MP,P,M,MP_AB,M_P,388.59586038227985,388.59586038227985,927.264777156779,-17.00583741631897,-17.00583741631897,1171.6254944166074,388.5958603825243
Non-binding_donor1_row21306_cand000045,rosetta_sidechain,1841.9402949366188,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,2.9558577807620168e-12
Non-binding_donor1_row21216_cand000088,rosetta_sidechain,2222.1754630489813,AB,MP,P,M,MP_AB,M_P,977.8620201670071,977.8620201670071,230.66227179349335,282.24545550413757,282.24545550413757,307.4295162308749,977.8620201668482
Non-binding_donor1_row20857_cand000359,rosetta_sidechain,64806.01859394997,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-95.52231882532215
Non-binding_donor1_row21595_cand000505,rosetta_sidechain,2534.130010353561,AB,MP,P,M,MP_AB,M_P,1567.0440229534458,1567.0440229534458,392.36513427815703,7.124813362887437,7.124813362887437,256.23772160474425,1567.0440229534872
