TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10052_cand000094,openmm,308.25767851907676,AB,MP,P,M,MP_AB,M_P,-41.56152052069831,-41.56152052069831,2133.2168875813445,461.499253299108,461.499253299108,1870.2697014529135,-41.56152052087276,-43413.216809588805 kJ/mol
Non-binding_donor1_row10013_cand000505,openmm,1477.68414624907,AB,MP,P,M,MP_AB,M_P,-48.075690949041245,-48.075690949041245,2249.082625584995,968.3498645586302,968.3498645586302,1908.420752731012,-48.075690949331374,-27800.601118021616 kJ/mol
Non-binding_donor1_row10211_cand000589,openmm,-213.86296263611314,AB,MP,P,M,MP_AB,M_P,-43.131649897774736,-43.131649897774736,1748.4076016728459,-70.36384863699337,-70.36384863699337,1912.219907876564,-43.131649897622594,-50981.90971865284 kJ/mol
Non-binding_donor1_row10099_cand000046,openmm,948.1542322027507,AB,MP,P,M,MP_AB,M_P,-45.73362367441746,-45.73362367441746,2356.54815595495,455.14139918791403,455.14139918791403,1887.1561808449796,-45.73362367398681,-31235.261373589223 kJ/mol
Non-binding_donor1_row10309_cand000501,openmm,786.9638865355756,AB,MP,P,M,MP_AB,M_P,-45.95619971180736,-45.95619971180736,2080.2115329649946,445.7066688389878,445.7066688389878,1863.261087495435,-45.95619971224187,-31435.762962702116 kJ/mol
Non-binding_donor1_row10479_cand000388,openmm,752.198358712338,AB,MP,P,M,MP_AB,M_P,-48.04402952620103,-48.04402952620103,2093.4888964174843,958.4189603782092,958.4189603782092,1954.371052117742,-48.04402952577868,-38063.59027034315 kJ/mol
Non-binding_donor1_row10621_cand000022,openmm,860.9714960587803,AB,MP,P,M,MP_AB,M_P,-66.67679988064037,-66.67679988064037,2279.2441878659943,959.9369923912711,959.9369923912711,1903.0860569095553,-66.67679988108284,-30969.016253474714 kJ/mol
Non-binding_donor1_row1053_cand000093,openmm,214.0736238900893,AB,MP,P,M,MP_AB,M_P,-40.11404106462396,-40.11404106462396,1887.3936464644962,443.4013035542652,443.4013035542652,1941.7567586406326,-40.1140410647709,-44726.19065570252 kJ/mol
Non-binding_donor1_row10805_cand000487,openmm,236.76627028627405,AB,MP,P,M,MP_AB,M_P,-37.888245665619934,-37.888245665619934,1848.1811014493724,438.9225333463105,438.9225333463105,1906.0688013301572,-37.88824566547629,-44148.609567182175 kJ/mol
Non-binding_donor1_row10938_cand000159,openmm,1005.5808835159762,AB,MP,P,M,MP_AB,M_P,-60.1907735161717,-60.1907735161717,2278.4210673196976,446.1509730997313,446.1509730997313,1811.0447690843462,-60.1907735165571,-34576.4857616646 kJ/mol
