TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row0_cand000001,openmm,-184.46615592449922,AB,MP,P,M,MP_AB,M_P,-37.73916565491166,-37.73916565491166,1920.2051848124024,-55.12645008538467,-55.12645008538467,1951.6422724958536,-37.73916565498749,-49427.93620319639 kJ/mol
Binding_donor1_row1_cand000002,openmm,-147.88303861753582,AB,MP,P,M,MP_AB,M_P,-53.254654002331804,-53.254654002331804,1952.1785384833115,-54.30214627929458,-54.30214627929458,1863.8701608622675,-53.25465400274145,-50233.30039645461 kJ/mol
Binding_donor1_row2_cand000003,openmm,-392.27083747493486,AB,MP,P,M,MP_AB,M_P,-43.70577990122291,-43.70577990122291,1900.290186831219,-61.12939795889582,-61.12939795889582,1935.7691700525897,-43.70577990112281,-56136.266178739264 kJ/mol
Binding_donor1_row3_cand000004,openmm,-242.6387331779589,AB,MP,P,M,MP_AB,M_P,-44.028316950351154,-44.028316950351154,2004.9498172974024,-54.83149206794726,-54.83149206794726,1997.3906566806747,-44.02831695044779,-54703.65838554369 kJ/mol
Binding_donor1_row4_cand000005,openmm,-347.81816334906983,AB,MP,P,M,MP_AB,M_P,-43.74979539351591,-43.74979539351591,2043.8914018854084,-58.988124334960474,-58.988124334960474,1901.3208852032203,-43.7497953935445,-52933.18069769541 kJ/mol
Binding_donor1_row5_cand000006,openmm,-181.76481071637443,AB,MP,P,M,MP_AB,M_P,-24.581050494952308,-24.581050494952308,1876.131129885604,-41.43958654419244,-41.43958654419244,2019.8155855095847,-24.581050494892764,-59555.55371488368 kJ/mol
Binding_donor1_row7_cand000008,openmm,-262.0069429020688,AB,MP,P,M,MP_AB,M_P,-23.938411135589263,-23.938411135589263,1652.0825311894284,-55.45588476728411,-55.45588476728411,1989.295687740604,-23.93841113538963,-53197.58078278729 kJ/mol
Binding_donor1_row6_cand000007,openmm,-126.90296925235465,AB,MP,P,M,MP_AB,M_P,-26.924987241148088,-26.924987241148088,1810.3933191232745,-44.07403018449948,-44.07403018449948,2004.4026682124302,-26.924987241536698,-50058.16610321864 kJ/mol
Binding_donor2_row10_cand000011,openmm,-152.78842886292267,AB,MP,P,M,MP_AB,M_P,-41.78873848479856,-41.78873848479856,1866.4586237693152,-63.383130569585774,-63.383130569585774,1900.0081493811158,-41.78873848477306,-56630.156454463686 kJ/mol
Binding_donor2_row11_cand000012,openmm,439.6833180684237,AB,MP,P,M,MP_AB,M_P,-41.6299606425593,-41.6299606425593,1654.6949244997759,-58.50748124468016,-58.50748124468016,1992.9034462018735,-41.62996064210205,-46097.134103370954 kJ/mol
