TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row1001_cand000507,openmm,-267.3054014544006,AB,MP,P,M,MP_AB,M_P,-41.195223330843646,-41.195223330843646,1956.949128376486,-51.62130096986205,-51.62130096986205,1947.3899367922563,-41.195223330760626,-60876.702697914494 kJ/mol
Non-binding_donor1_row10081_cand000598,openmm,-167.2095129895086,AB,MP,P,M,MP_AB,M_P,-45.81254728128344,-45.81254728128344,1980.735344208781,-45.84712408355952,-45.84712408355952,1920.7584541852839,-45.81254728145376,-61232.88460614988 kJ/mol
Non-binding_donor1_row10289_cand000522,openmm,-241.54250304903732,AB,MP,P,M,MP_AB,M_P,-38.30964258168504,-38.30964258168504,1690.694202006694,-53.26707252096618,-53.26707252096618,2058.7786725539754,-38.30964258150905,-59173.29281594489 kJ/mol
Non-binding_donor1_row1046_cand000007,openmm,-201.05008066334477,AB,MP,P,M,MP_AB,M_P,-35.698121413034954,-35.698121413034954,2268.551276941783,-57.401160026832635,-57.401160026832635,1930.959329643793,-35.698121412980356,-57672.23943314279 kJ/mol
Non-binding_donor1_row1050_cand000587,openmm,-307.44603256021566,AB,MP,P,M,MP_AB,M_P,-45.32217632686587,-45.32217632686587,1900.952248394142,-53.01012960575322,-53.01012960575322,2025.230876757389,-45.32217632661229,-59644.57219676907 kJ/mol
Non-binding_donor1_row10550_cand000353,openmm,-186.85120631696864,AB,MP,P,M,MP_AB,M_P,-46.02764875039307,-46.02764875039307,1851.0218148539568,-56.829500579023346,-56.829500579023346,2010.3333357958018,-46.02764875000034,-57946.46773063185 kJ/mol
Non-binding_donor1_row10555_cand000359,openmm,401.5814638319452,AB,MP,P,M,MP_AB,M_P,-33.874217043420515,-33.874217043420515,1735.1160428757742,-49.85147012278358,-49.85147012278358,1862.197856186177,-33.8742170436322,-45564.71348924828 kJ/mol
Non-binding_donor1_row10556_cand000282,openmm,-317.9117961961731,AB,MP,P,M,MP_AB,M_P,-55.822830369963754,-55.822830369963754,2068.7833187054275,-51.08610748803831,-51.08610748803831,2026.2387694938311,-55.822830369963015,-58062.483986187675 kJ/mol
Non-binding_donor1_row10602_cand000182,openmm,575.3522768876586,AB,MP,P,M,MP_AB,M_P,-49.804746380586266,-49.804746380586266,2383.531721892671,-48.072666617980616,-48.072666617980616,1803.5882338276358,-49.804746380759525,-52186.81357335742 kJ/mol
Non-binding_donor1_row10611_cand000369,openmm,16785.79769079765,AB,MP,P,M,MP_AB,M_P,7074.041473202378,7074.041473202378,1959.494927679596,4392.076021824432,4392.076021824432,1993.282399846085,7074.041473202069,22716957461.633377 kJ/mol
