TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Non-binding_donor1_row10018_cand000412,openmm,401.9387572377873,AB,MP,P,M,MP_AB,M_P,-48.80141736007141,-48.80141736007141,2101.7268970290115,-42.236020561016716,-42.236020561016716,1937.497239937537,-48.80141735993686,-53155.56812162342 kJ/mol
Non-binding_donor1_row10127_cand000113,openmm,441.1218326468777,AB,MP,P,M,MP_AB,M_P,-36.84832099653761,-36.84832099653761,2376.8691795762975,-38.451809757915306,-38.451809757915306,1914.485190105275,-36.84832099603557,-46643.85207825552 kJ/mol
Non-binding_donor1_row10176_cand000317,openmm,430.59424937820586,AB,MP,P,M,MP_AB,M_P,-50.10029150562593,-50.10029150562593,2016.5964459380743,-43.23894374413423,-43.23894374413423,1948.2274931507222,-50.10029150584717,-50285.638219854234 kJ/mol
Non-binding_donor1_row10203_cand000271,openmm,-242.48181367475266,AB,MP,P,M,MP_AB,M_P,-44.63046258855229,-44.63046258855229,1771.0300629879869,-56.858883239118114,-56.858883239118114,2004.4307331068023,-44.6304625887048,-63004.55678767439 kJ/mol
Non-binding_donor1_row11148_cand000516,openmm,226.22937039162724,AB,MP,P,M,MP_AB,M_P,283.8470999489721,283.8470999489721,1935.372080498195,-47.93940888217031,-47.93940888217031,1983.508633605106,283.8470999490817,-52807.182251707614 kJ/mol
Non-binding_donor1_row10956_cand000296,openmm,-237.79785755627057,AB,MP,P,M,MP_AB,M_P,-58.1722059487841,-58.1722059487841,2398.6653011822996,-54.1617576602884,-54.1617576602884,2009.1112872816311,-58.17220594845912,-57460.456318650264 kJ/mol
Non-binding_donor1_row11171_cand000357,openmm,-277.3117965879523,AB,MP,P,M,MP_AB,M_P,-44.82025137712154,-44.82025137712154,1964.064184147279,-53.44693443304857,-53.44693443304857,2023.5691216269997,-44.820251377563636,-56478.97726482 kJ/mol
Non-binding_donor1_row1118_cand000153,openmm,-202.91807240979534,AB,MP,P,M,MP_AB,M_P,-37.77352691346064,-37.77352691346064,1859.205803342898,-50.9686884630175,-50.9686884630175,1970.354653295204,-37.773526912930436,-52407.878574307244 kJ/mol
Non-binding_donor1_row11213_cand000577,openmm,-210.32339377729858,AB,MP,P,M,MP_AB,M_P,-39.10714375964952,-39.10714375964952,1923.0853581721187,-40.94458159288045,-40.94458159288045,1948.5483312093522,-39.10714375951903,-59832.422868267764 kJ/mol
Non-binding_donor1_row11502_cand000452,openmm,340.6321094034697,AB,MP,P,M,MP_AB,M_P,-37.44756824613171,-37.44756824613171,1785.921344035324,423.6402772052516,423.6402772052516,2057.654145281387,-37.44756824604775,-44683.269761054966 kJ/mol
