TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Binding_donor1_row102_cand000181,rosetta_sidechain,1137.7526592308286,AB,MP,P,M,MP_AB,M_P,26.05481409264212,26.05481409264212,451.930444635958,0.0,0.0,0.0,26.054814092396782
Binding_donor1_row0_cand000103,rosetta_sidechain,115456.2990890911,AB,MP,P,M,MP_AB,M_P,3825.748697840725,3825.748697840725,603.4225181919617,0.0,0.0,0.0,3825.7486978410598
Binding_donor1_row100_cand000093,rosetta_sidechain,831.0870771882743,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-1.453454724091543,-1.453454724091543,188.26912407674325,-1.4779288903810084e-12
Binding_donor1_row101_cand000180,rosetta_sidechain,5514.990919823495,AB,MP,P,M,MP_AB,M_P,726.1385093021909,726.1385093021909,396.78715477014214,3077.1987380302335,3077.1987380302335,426.38373457972335,726.1385093018844
Binding_donor1_row106_cand000185,rosetta_sidechain,372.58456756806083,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,-1.4779288903810084e-12
Binding_donor1_row103_cand000182,rosetta_sidechain,635.4512139762522,AB,MP,P,M,MP_AB,M_P,0.2778697546590365,0.2778697546590365,204.36614062750897,0.0,0.0,0.0,0.27786975488243115
Binding_donor1_row104_cand000183,rosetta_sidechain,15746.231293739038,AB,MP,P,M,MP_AB,M_P,-0.45407842420718225,-0.45407842420718225,115.05031242010082,11833.192053906652,11833.192053906652,917.0875063067763,-0.4540784241598885
Binding_donor1_row105_cand000184,rosetta_sidechain,5010.153338901643,AB,MP,P,M,MP_AB,M_P,452.93361319098767,452.93361319098767,377.7640277937473,1837.3735546821747,1837.3735546821747,230.53929201588838,452.93361319113137
Binding_donor1_row107_cand000186,rosetta_sidechain,881.3187402126754,AB,MP,P,M,MP_AB,M_P,197.6001011489301,197.6001011489301,402.8882518157157,242.32218549344003,242.32218549344003,804.0577344121432,197.60010114892827
Binding_donor1_row108_cand000187,rosetta_sidechain,458.1606199070757,AB,MP,P,M,MP_AB,M_P,215.94746056571188,215.94746056571188,376.5708509039137,-0.5838753239636674,-0.5838753239636674,114.90392195946238,215.94746056564563
Binding_donor1_row109_cand000178,rosetta_sidechain,392.7296485421126,AB,MP,P,M,MP_AB,M_P,-0.10568124049933658,-0.10568124049933658,60.09358661579465,13.239804205820164,13.239804205820164,217.23460058582222,-0.10568124054304917
Binding_donor1_row110_cand000161,rosetta_sidechain,10579.485163682957,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,1160.27925394975,1160.27925394975,428.08776546310594,0.0
Binding_donor1_row112_cand000015,rosetta_sidechain,7965.521696132931,AB,MP,P,M,MP_AB,M_P,-3.3588415832091414,-3.3588415832091414,232.37294268505255,5227.034182446359,5227.034182446359,809.8234179605781,-3.358841583096364
Binding_donor1_row10_cand000089,rosetta_sidechain,44.58469464367553,AB,MP,P,M,MP_AB,M_P,43.01896767699374,43.01896767699374,930.0050914657693,-12.438887433187933,-12.438887433187933,1301.8529728155213,43.01896767702567
Binding_donor1_row111_cand000151,rosetta_sidechain,-65.41308184974685,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,0.0,0.0,0.0,2.8421709430404007e-12
Binding_donor1_row115_cand000014,rosetta_sidechain,674.7985266954208,AB,MP,P,M,MP_AB,M_P,0.37083584166646233,0.37083584166646233,120.14626271392268,0.0,0.0,0.0,0.3708358420096829
Binding_donor1_row114_cand000153,rosetta_sidechain,-71.76587431413921,AB,MP,P,M,MP_AB,M_P,-0.6278149497225627,-0.6278149497225627,82.27181897269914,0.0,0.0,0.0,-0.6278149498404417
Binding_donor1_row113_cand000152,rosetta_sidechain,9720.315641081985,AB,MP,P,M,MP_AB,M_P,8405.21859983313,8405.21859983313,739.4896355574822,1379.5851551370372,1379.5851551370372,445.3138161144397,8405.2185998331
Binding_donor1_row117_cand000155,rosetta_sidechain,1018.2093826398368,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,705.1274297951012,705.1274297951012,475.5223704159214,4.092726157978177e-12
Binding_donor1_row116_cand000154,rosetta_sidechain,-33.74218961346374,AB,MP,P,M,MP_AB,M_P,49.829391213441596,49.829391213441596,821.7477633918267,-18.493720763016007,-18.493720763016007,1446.1084768996984,49.8293912133056
Binding_donor1_row118_cand000156,rosetta_sidechain,5701.8185679629005,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,5385.12755779116,5385.12755779116,806.9147685844878,9.094947017729282e-13
Binding_donor1_row11_cand000071,rosetta_sidechain,380.17748399976614,AB,MP,P,M,MP_AB,M_P,-2.1168976965068396,-2.1168976965068396,162.72361635843777,0.0,0.0,0.0,-2.1168976963022033
Binding_donor1_row12_cand000074,rosetta_sidechain,394.73428627399585,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,-0.26573809756798994,-0.26573809756798994,75.65060605301231,-3.979039320256561e-12
Binding_donor1_row131_cand000169,rosetta_sidechain,13932.041599868362,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,11373.507139714106,11373.507139714106,1391.0588220089976,-9.094947017729282e-12
Binding_donor1_row123_cand000150,rosetta_sidechain,6998.404395072277,AB,MP,P,M,MP_AB,M_P,8.18352635537667,8.18352635537667,93.6666004808175,6872.107047126409,6872.107047126409,704.9303632817235,8.1835263559542
Binding_donor1_row133_cand000179,rosetta_sidechain,1174.325970003494,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,311.3777406477126,311.3777406477126,405.072612823285,-8.86757334228605e-12
Binding_donor1_row134_cand000170,rosetta_sidechain,3215.409890114816,AB,MP,P,M,MP_AB,M_P,256.25630297439966,256.25630297439966,623.3826542661109,0.0,0.0,0.0,256.2563029741823
Binding_donor1_row135_cand000171,rosetta_sidechain,1077.730126902916,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,648.1091725506442,648.1091725506442,346.82033305430673,7.73070496506989e-12
Binding_donor1_row136_cand000172,rosetta_sidechain,23090.73586198296,AB,MP,P,M,MP_AB,M_P,18812.970794138913,18812.970794138913,1455.7770657214435,521.0030357111107,521.0030357111107,832.8015075641055,18812.97079413921
Binding_donor1_row138_cand000174,rosetta_sidechain,583.2296091671556,AB,MP,P,M,MP_AB,M_P,141.91575561823697,141.91575561823697,323.5040141557804,0.0,0.0,0.0,141.91575561812613
Binding_donor1_row139_cand000175,rosetta_sidechain,34382.99387113461,AB,MP,P,M,MP_AB,M_P,3433.985150979639,3433.985150979639,719.0803215470401,-3.1671083085861937,-3.1671083085861937,448.8925865960878,3433.985150979901
Binding_donor1_row13_cand000072,rosetta_sidechain,11348.691747823035,AB,MP,P,M,MP_AB,M_P,10941.62692669811,10941.62692669811,741.9768538538766,0.0,0.0,0.0,10941.626926698382
Binding_donor1_row137_cand000173,rosetta_sidechain,108104.07154536659,AB,MP,P,M,MP_AB,M_P,106804.40215096754,106804.40215096754,3501.839277102407,738.1500179091421,738.1500179091421,618.6414324464829,106804.40215096792
Binding_donor1_row140_cand000176,rosetta_sidechain,837.354795018758,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,9.762025288429754,9.762025288429754,147.5514846848888,-2.0276664486118534e-05
