TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc,openmm_energy
Binding_donor1_row0_cand000005,openmm,-367.4335148849534,AB,MP,P,M,MP_AB,M_P,-41.95367181069753,-41.95367181069753,1975.5945661027492,-71.17163824348482,-71.17163824348482,1716.2189984845427,-41.95367181049198,-54078.57701039825 kJ/mol
Binding_donor1_row3_cand000010,openmm,-291.0083820692726,AB,MP,P,M,MP_AB,M_P,-30.461753534715513,-30.461753534715513,1809.9209554574961,-61.587355751335906,-61.587355751335906,1704.435404161193,-30.461753534395882,-56091.44572633879 kJ/mol
Binding_donor2_row5_cand000004,openmm,-201.05874990152262,AB,MP,P,M,MP_AB,M_P,-37.825801177182825,-37.825801177182825,1909.640350027211,-65.64556304848216,-65.64556304848216,1684.5654667027877,-37.82580117725621,-46890.95023970678 kJ/mol
Binding_donor2_row6_cand000011,openmm,-298.76316892329254,AB,MP,P,M,MP_AB,M_P,-55.8327597798891,-55.8327597798891,2275.2652560504685,-70.96363408699729,-70.96363408699729,1703.7703483889763,-55.83275978019921,-58149.65903596073 kJ/mol
Binding_donor2_row7_cand000008,openmm,-275.39497495081747,AB,MP,P,M,MP_AB,M_P,-33.10225438019384,-33.10225438019384,1900.2049294365138,-61.12988421068722,-61.12988421068722,1666.4187742635743,-33.10225438041664,-57869.19749837546 kJ/mol
Binding_donor2_row8_cand000001,openmm,-227.17903634056032,AB,MP,P,M,MP_AB,M_P,-42.71141226921429,-42.71141226921429,1927.7777030156717,-58.049576987731754,-58.049576987731754,1686.4336361060468,-42.71141226933722,-54201.66654805337 kJ/mol
Binding_donor3_row10_cand000002,openmm,147.39170430919023,AB,MP,P,M,MP_AB,M_P,309.9590741056341,309.9590741056341,1712.8228359847662,-60.1233140511442,-60.1233140511442,1679.71432016836,309.95907410540286,-46673.88193074534 kJ/mol
Binding_donor3_row11_cand000009,openmm,-150.98896326713995,AB,MP,P,M,MP_AB,M_P,-31.020706589743583,-31.020706589743583,1593.3575929879535,-61.097188832473705,-61.097188832473705,1707.5636624992985,-31.020706589696488,-51404.07585094961 kJ/mol
Binding_donor3_row12_cand000007,openmm,-394.03354272680957,AB,MP,P,M,MP_AB,M_P,-54.135305679409726,-54.135305679409726,2157.1012607307716,-54.71850841440815,-54.71850841440815,1794.046487778907,-54.13530567960947,-47845.78002186334 kJ/mol
Binding_donor3_row9_cand000012,openmm,-357.1517927319986,AB,MP,P,M,MP_AB,M_P,-37.140026651746666,-37.140026651746666,1764.665281599022,-64.46636271329277,-64.46636271329277,1720.1437397660495,-37.14002665142209,-55306.36684251934 kJ/mol
